velocity [mm/s]	effect [%]	deffect [%]	
-20.391	0.012332	0.11742	-0.049395
-20.311	0.014952	0.11743	-0.049487
-20.231	0.065136	0.11746	-0.049581
-20.152	0.042939	0.11744	-0.049678
-20.072	-0.023789	0.1174	-0.049779
-19.992	-0.062531	0.11738	-0.049883
-19.912	-0.002006	0.11742	-0.04999
-19.832	0.01509	0.11743	-0.0501
-19.753	-0.0010409	0.11742	-0.050213
-19.673	0.010678	0.11742	-0.05033
-19.593	-0.039506	0.11739	-0.050451
-19.513	-0.080867	0.11737	-0.050575
-19.433	-0.088036	0.11737	-0.050704
-19.353	-0.20895	0.11729	-0.050835
-19.274	0.023362	0.11743	-0.050971
-19.194	0.076993	0.11746	-0.051111
-19.114	-0.012208	0.11741	-0.051255
-19.034	-0.062117	0.11738	-0.051404
-18.954	-0.056326	0.11738	-0.051556
-18.875	-0.12664	0.11734	-0.051713
-18.795	0.018674	0.11743	-0.051875
-18.715	0.081267	0.11747	-0.052042
-18.635	-0.028477	0.1174	-0.052213
-18.555	-0.081832	0.11737	-0.05239
-18.476	-0.10789	0.11735	-0.052571
-18.396	-0.044883	0.11739	-0.052758
-18.316	-0.11947	0.11735	-0.05295
-18.236	-0.16828	0.11732	-0.053148
-18.156	-0.080178	0.11737	-0.053352
-18.077	0.023086	0.11743	-0.053562
-17.997	0.056451	0.11745	-0.053777
-17.917	-0.017447	0.11741	-0.053999
-17.837	-0.018826	0.11741	-0.054228
-17.757	-0.047227	0.11739	-0.054463
-17.678	0.017709	0.11743	-0.054705
-17.598	0.00061352	0.11742	-0.054954
-17.518	-0.0373	0.1174	-0.05521
-17.438	0.047489	0.11745	-0.055474
-17.358	0.18274	0.11752	-0.055745
-17.278	-0.030821	0.1174	-0.056025
-17.199	-0.22232	0.11729	-0.056312
-17.119	-0.069424	0.11738	-0.056609
-17.039	-0.092724	0.11736	-0.056914
-16.959	-0.12374	0.11735	-0.057228
-16.879	-0.13202	0.11734	-0.057552
-16.8	-0.1061	0.11736	-0.057885
-16.72	-0.13036	0.11734	-0.058228
-16.64	-0.040609	0.11739	-0.058582
-16.56	-0.040747	0.11739	-0.058946
-16.48	-0.16373	0.11732	-0.059321
-16.401	-0.099755	0.11736	-0.059708
-16.321	-0.02958	0.1174	-0.060107
-16.241	-0.13009	0.11734	-0.060518
-16.161	-0.1691	0.11732	-0.060942
-16.081	-0.11713	0.11735	-0.061379
-16.002	-0.13519	0.11734	-0.06183
-15.922	-0.10044	0.11736	-0.062295
-15.842	-0.097549	0.11736	-0.062774
-15.762	-0.15807	0.11732	-0.063269
-15.682	-0.068183	0.11738	-0.06378
-15.603	0.02998	0.11744	-0.064307
-15.523	-0.054672	0.11739	-0.064852
-15.443	0.045007	0.11744	-0.065414
-15.363	0.059346	0.11745	-0.065995
-15.283	-0.065839	0.11738	-0.066595
-15.203	-0.10155	0.11736	-0.067216
-15.124	-0.07742	0.11737	-0.067857
-15.044	-0.061014	0.11738	-0.06852
-14.964	0.035081	0.11744	-0.069206
-14.884	0.049281	0.11745	-0.069915
-14.804	-0.10527	0.11736	-0.070649
-14.725	-0.052052	0.11739	-0.071409
-14.645	-0.092586	0.11736	-0.072196
-14.565	-0.061428	0.11738	-0.073011
-14.485	-0.089277	0.11737	-0.073856
-14.405	-0.17986	0.11731	-0.074731
-14.326	-0.10362	0.11736	-0.075639
-14.246	-0.0839	0.11737	-0.07658
-14.166	-0.10706	0.11735	-0.077557
-14.086	-0.15876	0.11732	-0.078571
-14.006	-0.017999	0.11741	-0.079623
-13.927	-0.093	0.11736	-0.080717
-13.847	-0.23969	0.11728	-0.081853
-13.767	-0.16814	0.11732	-0.083035
-13.687	-0.11189	0.11735	-0.084264
-13.607	-0.081694	0.11737	-0.085543
-13.527	-0.0036604	0.11742	-0.086875
-13.448	-0.014138	0.11741	-0.088262
-13.368	-0.0839	0.11737	-0.089707
-13.288	-0.17131	0.11732	-0.091215
-13.208	-0.14208	0.11733	-0.092787
-13.128	-0.082522	0.11737	-0.094428
-13.049	0.13338	0.1175	-0.096143
-12.969	-0.067218	0.11738	-0.097934
-12.889	-0.16579	0.11732	-0.099807
-12.809	-0.072871	0.11737	-0.10177
-12.729	-0.16455	0.11732	-0.10382
-12.65	-0.092172	0.11736	-0.10597
-12.57	-0.14525	0.11733	-0.10822
-12.49	-0.27678	0.11726	-0.11059
-12.41	-0.18689	0.11731	-0.11307
-12.33	-0.045021	0.11739	-0.11568
-12.251	0.037838	0.11744	-0.11842
-12.171	-0.11258	0.11735	-0.12131
-12.091	-0.23542	0.11728	-0.12435
-12.011	-0.30008	0.11724	-0.12755
-11.931	-0.088312	0.11737	-0.13093
-11.852	-0.075766	0.11737	-0.1345
-11.772	-0.27857	0.11725	-0.13828
-11.692	-0.062668	0.11738	-0.14227
-11.612	0.010126	0.11742	-0.1465
-11.532	0.058519	0.11745	-0.15098
-11.452	0.0086099	0.11742	-0.15573
-11.373	-0.25693	0.11727	-0.16078
-11.293	-0.20481	0.1173	-0.16616
-11.213	-0.12333	0.11735	-0.17188
-11.133	-0.093137	0.11736	-0.17797
-11.053	-0.25307	0.11727	-0.18448
-10.974	-0.30435	0.11724	-0.19142
-10.894	-0.14098	0.11733	-0.19886
-10.814	-0.062531	0.11738	-0.20682
-10.734	-0.095895	0.11736	-0.21535
-10.654	-0.094654	0.11736	-0.22451
-10.575	-0.24438	0.11727	-0.23436
-10.495	-0.22411	0.11729	-0.24496
-10.415	-0.15435	0.11733	-0.25637
-10.335	-0.31456	0.11723	-0.26869
-10.255	-0.3249	0.11723	-0.28198
-10.176	-0.32117	0.11723	-0.29635
-10.096	-0.35357	0.11721	-0.31189
-10.016	-0.29415	0.11724	-0.32872
-9.9361	-0.41534	0.11717	-0.34694
-9.8563	-0.3879	0.11719	-0.36668
-9.7765	-0.37949	0.11719	-0.38807
-9.6967	-0.47628	0.11714	-0.41123
-9.6169	-0.5004	0.11712	-0.43629
-9.5371	-0.69659	0.11701	-0.46336
-9.4573	-0.60325	0.11706	-0.49254
-9.3775	-0.55086	0.11709	-0.5239
-9.2977	-0.51515	0.11711	-0.55745
-9.2178	-0.48027	0.11714	-0.59315
-9.138	-0.56851	0.11708	-0.63085
-9.0582	-0.69328	0.11701	-0.6703
-8.9784	-0.68115	0.11702	-0.71107
-8.8986	-0.66833	0.11702	-0.75258
-8.8188	-0.72361	0.11699	-0.79402
-8.739	-0.89223	0.11689	-0.83441
-8.6592	-0.93497	0.11687	-0.87255
-8.5794	-0.78359	0.11696	-0.90712
-8.4996	-0.76291	0.11697	-0.93677
-8.4198	-0.8499	0.11692	-0.9602
-8.34	-0.9522	0.11686	-0.97636
-8.2602	-0.99908	0.11683	-0.98452
-8.1803	-0.97316	0.11684	-0.98441
-8.1005	-1.1456	0.11674	-0.97627
-8.0207	-1.0085	0.11682	-0.96076
-7.9409	-0.89471	0.11689	-0.93894
-7.8611	-0.97729	0.11684	-0.9121
-7.7813	-0.926	0.11687	-0.88164
-7.7015	-0.9136	0.11688	-0.84891
