# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.349 Rnm= 1.405 K  shell
# # Pot 1 Z=62 Rmt= 1.689 Rnm= 1.738
# # Pot 2 Z=27 Rmt= 1.362 Rnm= 1.418
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.660E+01 kf=1.982E+00 Vint=-2.511E+01 Rs_int= 1.829
# # PATH  Rmax= 4.950,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00763    100.00      2.00     2   2.4277
#           2       0.00763     94.88      2.00     2   2.4277
#           3       0.00780     27.72      2.00     2   2.4760
#           4       0.00780     30.37      2.00     2   2.4760
#           5       0.00699    265.70      2.00     2   3.1592
#           6       0.00699     15.54      2.00     2   3.1592
#           7       0.00865     11.56      4.00     3   3.6657
#           8       0.00865     11.82      4.00     3   3.6657
#           9       0.00865      9.69      4.00     3   3.6657
#          10       0.00865      8.89      4.00     3   3.6657
#          11       0.00877      7.09      4.00     3   3.7140
#          12       0.01062     53.86      2.00     2   3.9244
#          15       0.01077     47.65      2.00     2   4.2608
#          16       0.01077     45.77      2.00     2   4.2609
#          17       0.01078     31.26      2.00     2   4.2885
#          18       0.01078     30.12      2.00     2   4.2885
#          19       0.01040     12.57      4.00     3   4.3899
#          20       0.01040     12.45      4.00     3   4.3899
#          21       0.01064     11.24      4.00     3   4.5822
#          22       0.01064     11.02      4.00     3   4.5822
#          23       0.01064      6.90      4.00     3   4.5822
#          24       0.01064      7.38      4.00     3   4.5822
#          25       0.01064     12.48      4.00     3   4.5823
#          26       0.01064     12.98      4.00     3   4.5822
#          29       0.01066      5.42      4.00     3   4.6203
#          30       0.01066      7.69      4.00     3   4.6203
#          31       0.01066      8.01      4.00     3   4.6203
#          32       0.01086     43.84      2.00     2   4.6402
#          33       0.01086     42.74      2.00     2   4.6402
#          34       0.01086     10.78      2.00     2   4.6402
#          35       0.01086     11.36      2.00     2   4.6402
#          36       0.00775      5.85      2.00     2   4.7161
#          37       0.00775      7.03      2.00     2   4.7161
#          38       0.01081     28.10      4.00     3   4.7478
#          39       0.01081     27.50      4.00     3   4.7478
#          40       0.01081      5.83      4.00     3   4.7478
#          41       0.01081      5.61      4.00     3   4.7478
#          42       0.01089     11.52      2.00     3   4.8554
#          43       0.01089     12.01      2.00     3   4.8554
#          44       0.01089     10.05      2.00     4   4.8554
#          45       0.01089     10.46      2.00     4   4.8554
#          46       0.03052      5.56      2.00     4   4.8554
#          47       0.03052      5.36      2.00     4   4.8554
#          48       0.01162      4.46      2.00     4   4.8554
#          49       0.01162      4.36      2.00     4   4.8554
#    45/  45 paths used
#  xsedge+50, used to normalize mu           2.8975E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.583    -16.596   0.000  4.53035E-01  3.14599E-01  2.50773E-01
    7718.593    -16.586   0.050  4.58753E-01  3.19682E-01  2.51430E-01
    7718.621    -16.557   0.100  4.64485E-01  3.24765E-01  2.52109E-01
    7718.669    -16.510   0.150  4.81273E-01  3.39953E-01  2.53498E-01
    7718.736    -16.443   0.200  4.98103E-01  3.55141E-01  2.54944E-01
    7718.821    -16.357   0.250  5.22831E-01  3.78688E-01  2.54613E-01
    7718.926    -16.253   0.300  5.47381E-01  4.02235E-01  2.53976E-01
    7719.050    -16.129   0.350  5.73206E-01  4.29373E-01  2.48475E-01
    7719.193    -15.986   0.400  5.98246E-01  4.56511E-01  2.41773E-01
    7719.355    -15.824   0.450  6.18874E-01  4.82251E-01  2.29446E-01
    7719.536    -15.643   0.500  6.37589E-01  5.07991E-01  2.14333E-01
    7719.736    -15.443   0.550  6.47800E-01  5.30571E-01  1.90452E-01
    7719.955    -15.224   0.600  6.54479E-01  5.53151E-01  1.61763E-01
    7720.193    -14.986   0.650  6.48634E-01  5.73118E-01  1.18238E-01
    7720.450    -14.729   0.700  6.38015E-01  5.93086E-01  6.90211E-02
    7720.726    -14.452   0.750  6.12912E-01  6.11402E-01  2.27328E-03
    7721.022    -14.157   0.800  5.83575E-01  6.29717E-01 -6.80835E-02
    7721.336    -13.843   0.850  5.41730E-01  6.47033E-01 -1.52192E-01
    7721.669    -13.509   0.900  4.99293E-01  6.64349E-01 -2.33759E-01
    7722.022    -13.157   0.950  4.51185E-01  6.80987E-01 -3.18840E-01
    7722.393    -12.786   1.000  4.09395E-01  6.97625E-01 -3.91940E-01
    7722.784    -12.395   1.050  3.72832E-01  7.13646E-01 -4.54318E-01
    7723.193    -11.985   1.100  3.50917E-01  7.29666E-01 -4.95139E-01
    7723.622    -11.557   1.150  3.44874E-01  7.45005E-01 -5.13340E-01
    7724.070    -11.109   1.200  3.59197E-01  7.60344E-01 -5.05225E-01
    7724.536    -10.642   1.250  3.93936E-01  7.74855E-01 -4.71460E-01
    7725.022    -10.157   1.300  4.48348E-01  7.89366E-01 -4.14906E-01
    7725.527     -9.652   1.350  5.19088E-01  8.02890E-01 -3.39884E-01
    7726.051     -9.128   1.400  6.01813E-01  8.16415E-01 -2.53046E-01
    7726.594     -8.585   1.450  6.90805E-01  8.28789E-01 -1.60437E-01
    7727.156     -8.023   1.500  7.80010E-01  8.41163E-01 -7.01276E-02
    7727.737     -7.442   1.550  8.64152E-01  8.52261E-01  1.34714E-02
    7728.337     -6.842   1.600  9.37882E-01  8.63359E-01  8.34187E-02
    7728.956     -6.223   1.650  9.97818E-01  8.73102E-01  1.38178E-01
    7729.594     -5.585   1.700  1.04103E+00  8.82845E-01  1.73489E-01
    7730.251     -4.927   1.750  1.06675E+00  8.91188E-01  1.90939E-01
    7730.928     -4.251   1.800  1.07532E+00  8.99530E-01  1.89598E-01
    7731.623     -3.556   1.850  1.06801E+00  9.06454E-01  1.73089E-01
    7732.337     -2.841   1.900  1.04853E+00  9.13378E-01  1.43845E-01
    7733.071     -2.108   1.950  1.01935E+00  9.18860E-01  1.06424E-01
    7733.823     -1.356   2.000  9.86584E-01  9.24343E-01  6.55862E-02
    7734.595     -0.584   2.050  9.53013E-01  9.27976E-01  2.63058E-02
    7735.385      0.206   2.100  9.23643E-01  9.31610E-01 -8.34651E-03
    7736.195      1.016   2.150  9.01360E-01  9.35243E-01 -3.53955E-02
    7737.024      1.845   2.200  8.87791E-01  9.38876E-01 -5.32120E-02
    7737.871      2.693   2.250  8.80303E-01  9.40614E-01 -6.28497E-02
    7738.738      3.559   2.300  8.81561E-01  9.42351E-01 -6.33778E-02
    7739.624      4.445   2.350  8.89623E-01  9.44089E-01 -5.68093E-02
    7740.529      5.350   2.400  9.02192E-01  9.45826E-01 -4.55323E-02
    7741.453      6.274   2.450  9.19154E-01  9.50268E-01 -3.24558E-02
    7742.396      7.217   2.500  9.37135E-01  9.54709E-01 -1.83254E-02
    7743.358      8.179   2.550  9.54760E-01  9.59151E-01 -4.57751E-03
    7744.339      9.160   2.600  9.70821E-01  9.63593E-01  7.53167E-03
    7745.339     10.160   2.650  9.82924E-01  9.66009E-01  1.75878E-02
    7746.358     11.179   2.700  9.92868E-01  9.68426E-01  2.53606E-02
    7747.396     12.217   2.750  1.00019E+00  9.70843E-01  3.03822E-02
    7748.454     13.275   2.800  1.00465E+00  9.73260E-01  3.24360E-02
    7749.530     14.351   2.850  1.00581E+00  9.74908E-01  3.18476E-02
    7750.625     15.446   2.900  1.00476E+00  9.76555E-01  2.89955E-02
    7751.740     16.561   2.950  1.00204E+00  9.78203E-01  2.44465E-02
    7752.873     17.694   3.000  9.98291E-01  9.79851E-01  1.88681E-02
    7754.026     18.847   3.050  9.93778E-01  9.81279E-01  1.27622E-02
    7755.197     20.018   3.100  9.89218E-01  9.82707E-01  6.63471E-03
    7756.388     21.209   3.150  9.85311E-01  9.84134E-01  1.19648E-03
    7757.597     22.419   3.200  9.82632E-01  9.85562E-01 -2.97295E-03
    7758.826     23.647   3.250  9.80577E-01  9.86270E-01 -5.76507E-03
    7760.074     24.895   3.300  9.80016E-01  9.86978E-01 -7.03734E-03
    7761.341     26.162   3.350  9.81046E-01  9.87687E-01 -6.69839E-03
    7762.627     27.448   3.400  9.83652E-01  9.88395E-01 -4.77485E-03
    7763.932     28.753   3.450  9.87479E-01  9.89355E-01 -1.88558E-03
    7765.256     30.077   3.500  9.92058E-01  9.90315E-01  1.74874E-03
    7766.599     31.420   3.550  9.97081E-01  9.91276E-01  5.81836E-03
    7767.961     32.782   3.600  1.00219E+00  9.92236E-01  9.96570E-03
    7769.342     34.163   3.650  1.00585E+00  9.92771E-01  1.30670E-02
    7770.742     35.563   3.700  1.00879E+00  9.93307E-01  1.54412E-02
    7772.161     36.982   3.750  1.01079E+00  9.93842E-01  1.68795E-02
    7773.599     38.421   3.800  1.01174E+00  9.94378E-01  1.72591E-02
    7775.057     39.878   3.850  1.01187E+00  9.95347E-01  1.64001E-02
    7776.533     41.354   3.900  1.01091E+00  9.96316E-01  1.44665E-02
    7778.029     42.850   3.950  1.00901E+00  9.97285E-01  1.16042E-02
    7779.543     44.364   4.000  1.00638E+00  9.98254E-01  8.03200E-03
    7781.076     45.898   4.050  1.00310E+00  9.99019E-01  4.03045E-03
    7782.629     47.450   4.100  9.99448E-01  9.99784E-01 -3.30564E-04
    7784.201     49.022   4.150  9.95624E-01  1.00055E+00 -4.84592E-03
    7785.791     50.613   4.200  9.91806E-01  1.00131E+00 -9.34207E-03
    7787.401     52.222   4.250  9.87936E-01  1.00216E+00 -1.39632E-02
    7789.030     53.851   4.300  9.84277E-01  1.00302E+00 -1.83669E-02
    7790.678     55.499   4.350  9.80917E-01  1.00387E+00 -2.24659E-02
    7792.345     57.166   4.400  9.77925E-01  1.00472E+00 -2.61947E-02
    7794.030     58.852   4.450  9.75199E-01  1.00553E+00 -2.96254E-02
    7795.735     60.557   4.500  9.73193E-01  1.00635E+00 -3.23471E-02
    7797.459     62.281   4.550  9.72089E-01  1.00716E+00 -3.41838E-02
    7799.202     64.024   4.600  9.72115E-01  1.00797E+00 -3.49164E-02
    7800.965     65.786   4.650  9.73470E-01  1.00844E+00 -3.40331E-02
    7802.746     67.567   4.700  9.76573E-01  1.00891E+00 -3.14497E-02
    7804.546     69.367   4.750  9.81643E-01  1.00938E+00 -2.69594E-02
    7806.365     71.186   4.800  9.88803E-01  1.00985E+00 -2.04442E-02
    7808.204     73.025   4.850  9.98000E-01  1.01014E+00 -1.17832E-02
    7810.061     74.882   4.900  1.00905E+00  1.01042E+00 -1.33059E-03
    7811.937     76.759   4.950  1.02148E+00  1.01070E+00  1.04608E-02
    7813.833     78.654   5.000  1.03461E+00  1.01098E+00  2.29179E-02
    7815.747     80.569   5.050  1.04723E+00  1.01094E+00  3.52045E-02
    7817.681     82.502   5.100  1.05862E+00  1.01090E+00  4.63006E-02
    7819.634     84.455   5.150  1.06774E+00  1.01086E+00  5.51997E-02
    7821.605     86.426   5.200  1.07367E+00  1.01082E+00  6.09906E-02
    7823.596     88.417   5.250  1.07528E+00  1.01047E+00  6.29250E-02
    7825.606     90.427   5.300  1.07253E+00  1.01011E+00  6.06364E-02
    7827.634     92.456   5.350  1.06545E+00  1.00976E+00  5.41231E-02
    7829.682     94.504   5.400  1.05444E+00  1.00941E+00  4.37907E-02
    7831.749     96.571   5.450  1.04002E+00  1.00880E+00  3.03809E-02
    7833.835     98.656   5.500  1.02363E+00  1.00819E+00  1.50395E-02
    7835.940    100.761   5.550  1.00658E+00  1.00758E+00 -9.71056E-04
    7838.064    102.886   5.600  9.90197E-01  1.00697E+00 -1.63610E-02
    7840.207    105.029   5.650  9.75453E-01  1.00611E+00 -2.99429E-02
    7842.370    107.191   5.700  9.63558E-01  1.00526E+00 -4.07675E-02
