# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# # Pot 1 Z=26 Rmt= 1.356 Rnm= 1.405
# # Gam_ch=3.600E-01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.840E+01 kf=2.079E+00 Vint=-2.770E+01 Rs_int= 1.744
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4825
#           2       0.00000     57.13      6.00     2   2.8665
#           3       0.00000     30.89     48.00     3   3.9157
#           4       0.00000     55.40     12.00     2   4.0538
#           5       0.00000     10.53     24.00     3   4.5094
#           6       0.00000     35.19     48.00     3   4.5094
#           7       0.00000     77.22     24.00     2   4.7536
#           8       0.00000     14.16     48.00     3   4.8934
#           9       0.00000     23.25      8.00     2   4.9649
#          10       0.00000     13.19      8.00     3   4.9649
#          11       0.00000     55.81     16.00     3   4.9649
#          12       0.00000     12.45      8.00     4   4.9649
#          13       0.00000      6.22      8.00     4   4.9649
#          14       0.00000     43.73      8.00     4   4.9649
#          15       0.00000     21.48     48.00     3   5.0513
#          16       0.00000     32.04     48.00     3   5.0513
#          17       0.00000     34.19     48.00     3   5.0513
#          18       0.00000      8.25     48.00     4   5.3490
#          19       0.00000      6.28     24.00     4   5.3490
#          20       0.00000      7.38     24.00     4   5.3490
#          21       0.00000      8.83     48.00     4   5.3490
#          22       0.00000     13.95     96.00     3   5.6449
#          23       0.00000     20.32     96.00     3   5.6449
#          24       0.00000     19.91     96.00     3   5.6449
#          25       0.00000     12.34      6.00     2   5.7330
#          26       0.00000      6.22      6.00     3   5.7330
#          27       0.00000     26.43     12.00     3   5.7330
#          28       0.00000      5.19      6.00     4   5.7330
#          30       0.00000     18.34      6.00     4   5.7330
#          31       0.00000      7.53     48.00     3   5.9426
#          32       0.00000      7.39     48.00     4   5.9426
#          33       0.00000      8.91     48.00     4   5.9426
#          34       0.00000     11.65     48.00     3   6.1005
#          35       0.00000      9.49     48.00     4   6.1005
#          36       0.00000      6.94     48.00     4   6.1005
#          37       0.00000      9.10     48.00     3   6.1868
#          38       0.00000     39.93     24.00     2   6.2474
#          39       0.00000     21.16     48.00     3   6.3918
#          40       0.00000     20.40     48.00     3   6.3918
#          41       0.00000     20.41     48.00     3   6.3918
#    40/  41 paths used
#  xsedge+50, used to normalize mu           3.2114E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7121.260    -18.396   0.000 -1.07850E+00  2.76155E-01 -2.57487E+00
    7121.270    -18.386   0.050 -9.94971E-01  2.94022E-01 -2.44575E+00
    7121.299    -18.358   0.100 -9.12041E-01  3.11889E-01 -2.31821E+00
    7121.346    -18.310   0.150 -6.88573E-01  3.55033E-01 -1.96617E+00
    7121.413    -18.243   0.200 -4.71401E-01  3.98177E-01 -1.62964E+00
    7121.499    -18.158   0.250 -1.87102E-01  4.34002E-01 -1.15395E+00
    7121.603    -18.053   0.300  7.70532E-02  4.69828E-01 -7.23503E-01
    7121.727    -17.929   0.350  3.52892E-01  4.91779E-01 -2.52868E-01
    7121.870    -17.786   0.400  5.89328E-01  5.13730E-01  1.36062E-01
    7122.032    -17.624   0.450  8.07153E-01  5.29419E-01  4.92757E-01
    7122.213    -17.443   0.500  9.69054E-01  5.45108E-01  7.41615E-01
    7122.413    -17.243   0.550  1.09717E+00  5.58692E-01  9.26521E-01
    7122.632    -17.024   0.600  1.16232E+00  5.72276E-01  9.98878E-01
    7122.870    -16.786   0.650  1.19071E+00  5.85395E-01  1.00626E+00
    7123.127    -16.529   0.700  1.16087E+00  5.98515E-01  9.18303E-01
    7123.404    -16.253   0.750  1.09924E+00  6.11783E-01  7.80731E-01
    7123.699    -15.957   0.800  9.95018E-01  6.25051E-01  5.81410E-01
    7124.013    -15.643   0.850  8.70401E-01  6.38653E-01  3.56972E-01
    7124.347    -15.310   0.900  7.26895E-01  6.52255E-01  1.12735E-01
    7124.699    -14.957   0.950  5.79859E-01  6.66135E-01 -1.27701E-01
    7125.070    -14.586   1.000  4.41223E-01  6.80014E-01 -3.46506E-01
    7125.461    -14.195   1.050  3.19230E-01  6.94045E-01 -5.33096E-01
    7125.871    -13.786   1.100  2.29595E-01  7.08075E-01 -6.67298E-01
    7126.299    -13.357   1.150  1.73800E-01  7.22054E-01 -7.49888E-01
    7126.747    -12.909   1.200  1.62957E-01  7.36033E-01 -7.69032E-01
    7127.214    -12.443   1.250  1.92098E-01  7.49750E-01 -7.34584E-01
    7127.699    -11.957   1.300  2.61661E-01  7.63467E-01 -6.49091E-01
    7128.204    -11.452   1.350  3.61347E-01  7.76703E-01 -5.28005E-01
    7128.728    -10.928   1.400  4.80787E-01  7.89939E-01 -3.86336E-01
    7129.271    -10.385   1.450  6.07553E-01  8.02481E-01 -2.39728E-01
    7129.833     -9.823   1.500  7.26943E-01  8.15023E-01 -1.06630E-01
    7130.414     -9.242   1.550  8.29547E-01  8.26704E-01  3.39240E-03
    7131.014     -8.642   1.600  9.05822E-01  8.38386E-01  7.93274E-02
    7131.633     -8.023   1.650  9.54022E-01  8.49036E-01  1.21924E-01
    7132.271     -7.385   1.700  9.75784E-01  8.59687E-01  1.33131E-01
    7132.929     -6.728   1.750  9.77579E-01  8.69197E-01  1.22911E-01
    7133.605     -6.051   1.800  9.69825E-01  8.78706E-01  1.02203E-01
    7134.300     -5.356   1.850  9.61927E-01  8.86972E-01  8.32873E-02
    7135.014     -4.642   1.900  9.63587E-01  8.95238E-01  7.52446E-02
    7135.748     -3.908   1.950  9.79386E-01  9.02167E-01  8.43604E-02
    7136.500     -3.156   2.000  1.00904E+00  9.09095E-01  1.08363E-01
    7137.272     -2.384   2.050  1.04936E+00  9.14073E-01  1.45920E-01
    7138.062     -1.594   2.100  1.08825E+00  9.19051E-01  1.81551E-01
    7138.872     -0.784   2.150  1.11490E+00  9.24029E-01  2.03755E-01
    7139.701      0.045   2.200  1.12137E+00  9.29007E-01  2.04293E-01
    7140.548      0.892   2.250  1.09762E+00  9.30329E-01  1.77512E-01
    7141.415      1.759   2.300  1.04638E+00  9.31650E-01  1.21628E-01
    7142.301      2.645   2.350  9.78986E-01  9.32972E-01  4.87355E-02
    7143.206      3.550   2.400  9.10156E-01  9.34293E-01 -2.55409E-02
    7144.130      4.474   2.450  8.56475E-01  9.38879E-01 -8.69626E-02
    7145.073      5.417   2.500  8.24284E-01  9.43465E-01 -1.25439E-01
    7146.035      6.379   2.550  8.16845E-01  9.48050E-01 -1.37729E-01
    7147.016      7.360   2.600  8.30547E-01  9.52636E-01 -1.27821E-01
    7148.016      8.360   2.650  8.47359E-01  9.57149E-01 -1.14440E-01
    7149.035      9.379   2.700  8.73278E-01  9.61662E-01 -9.17232E-02
    7150.073     10.417   2.750  9.03419E-01  9.66174E-01 -6.48430E-02
    7151.131     11.475   2.800  9.33752E-01  9.70687E-01 -3.79986E-02
    7152.207     12.551   2.850  9.60169E-01  9.73302E-01 -1.34715E-02
    7153.302     13.646   2.900  9.83467E-01  9.75918E-01  7.72073E-03
    7154.417     14.761   2.950  1.00317E+00  9.78534E-01  2.51216E-02
    7155.550     15.894   3.000  1.01960E+00  9.81149E-01  3.90952E-02
    7156.703     17.047   3.050  1.03175E+00  9.82933E-01  4.95348E-02
    7157.874     18.218   3.100  1.04116E+00  9.84716E-01  5.71533E-02
    7159.065     19.409   3.150  1.04814E+00  9.86500E-01  6.22840E-02
    7160.275     20.618   3.200  1.05314E+00  9.88283E-01  6.54020E-02
    7161.503     21.847   3.250  1.05329E+00  9.88650E-01  6.50888E-02
    7162.751     23.095   3.300  1.05070E+00  9.89017E-01  6.20261E-02
    7164.018     24.362   3.350  1.04560E+00  9.89384E-01  5.64512E-02
    7165.304     25.648   3.400  1.03836E+00  9.89751E-01  4.87485E-02
    7166.609     26.953   3.450  1.02871E+00  9.90135E-01  3.86572E-02
    7167.933     28.277   3.500  1.01857E+00  9.90518E-01  2.80941E-02
    7169.276     29.620   3.550  1.00932E+00  9.90902E-01  1.84384E-02
    7170.638     30.982   3.600  1.00219E+00  9.91285E-01  1.09096E-02
    7172.019     32.363   3.650  9.97295E-01  9.90942E-01  6.35116E-03
    7173.419     33.763   3.700  9.96293E-01  9.90599E-01  5.68860E-03
    7174.838     35.182   3.750  9.98391E-01  9.90256E-01  8.12315E-03
    7176.277     36.620   3.800  1.00178E+00  9.89913E-01  1.18402E-02
    7177.734     38.078   3.850  1.00468E+00  9.90013E-01  1.46341E-02
    7179.210     39.554   3.900  1.00393E+00  9.90112E-01  1.37756E-02
    7180.706     41.050   3.950  9.97105E-01  9.90211E-01  6.87180E-03
    7182.220     42.564   4.000  9.82905E-01  9.90310E-01 -7.37848E-03
    7183.754     44.098   4.050  9.61599E-01  9.90282E-01 -2.85663E-02
    7185.306     45.650   4.100  9.35173E-01  9.90253E-01 -5.48321E-02
    7186.878     47.222   4.150  9.07678E-01  9.90224E-01 -8.21386E-02
    7188.469     48.812   4.200  8.84341E-01  9.90196E-01 -1.05284E-01
    7190.078     50.422   4.250  8.70751E-01  9.90277E-01 -1.18830E-01
    7191.707     52.051   4.300  8.71617E-01  9.90359E-01 -1.17999E-01
    7193.355     53.699   4.350  8.89121E-01  9.90440E-01 -1.00642E-01
    7195.022     55.366   4.400  9.22179E-01  9.90522E-01 -6.78566E-02
    7196.708     57.051   4.450  9.67113E-01  9.90811E-01 -2.35206E-02
    7198.413     58.756   4.500  1.01522E+00  9.91099E-01  2.39307E-02
    7200.137     60.480   4.550  1.05684E+00  9.91388E-01  6.49157E-02
    7201.880     62.224   4.600  1.08267E+00  9.91676E-01  9.02189E-02
    7203.642     63.986   4.650  1.08528E+00  9.91798E-01  9.26600E-02
    7205.423     65.767   4.700  1.06251E+00  9.91920E-01  6.99548E-02
    7207.223     67.567   4.750  1.01809E+00  9.92042E-01  2.58117E-02
    7209.042     69.386   4.800  9.61200E-01  9.92164E-01 -3.06716E-02
    7210.881     71.225   4.850  9.04415E-01  9.92271E-01 -8.70231E-02
    7212.738     73.082   4.900  8.62900E-01  9.92377E-01 -1.28245E-01
    7214.615     74.958   4.950  8.48826E-01  9.92484E-01 -1.42286E-01
    7216.510     76.854   5.000  8.69094E-01  9.92590E-01 -1.22312E-01
    7218.425     78.768   5.050  9.24089E-01  9.92518E-01 -6.77812E-02
    7220.358     80.702   5.100  1.00528E+00  9.92447E-01  1.27175E-02
    7222.311     82.655   5.150  1.09824E+00  9.92375E-01  1.04882E-01
    7224.282     84.626   5.200  1.18535E+00  9.92303E-01  1.91285E-01
    7226.273     86.617   5.250  1.24905E+00  9.92020E-01  2.54801E-01
    7228.283     88.627   5.300  1.27641E+00  9.91737E-01  2.82333E-01
    7230.312     90.656   5.350  1.26207E+00  9.91454E-01  2.68506E-01
    7232.360     92.703   5.400  1.20885E+00  9.91171E-01  2.16080E-01
    7234.426     94.770   5.450  1.12596E+00  9.90653E-01  1.34406E-01
    7236.512     96.856   5.500  1.02967E+00  9.90134E-01  3.93034E-02
    7238.617     98.961   5.550  9.36501E-01  9.89616E-01 -5.28372E-02
    7240.742    101.085   5.600  8.60688E-01  9.89098E-01 -1.27829E-01
    7242.885    103.228   5.650  8.11583E-01  9.88318E-01 -1.76096E-01
    7245.047    105.391   5.700  7.92416E-01  9.87538E-01 -1.94594E-01
    7247.228    107.572   5.750  7.99975E-01  9.86758E-01 -1.86449E-01
    7249.428    109.772   5.800  8.26596E-01  9.85978E-01 -1.59243E-01
    7251.648    111.991   5.850  8.62483E-01  9.85046E-01 -1.22600E-01
    7253.886    114.230   5.900  8.98046E-01  9.84113E-01 -8.61943E-02
    7256.143    116.487   5.950  9.26183E-01  9.83181E-01 -5.71500E-02
    7258.420    118.764   6.000  9.43187E-01  9.82248E-01 -3.92115E-02
    7260.715    121.059   6.050  9.48585E-01  9.81132E-01 -3.27167E-02
    7263.030    123.374   6.100  9.45399E-01  9.80015E-01 -3.48457E-02
    7265.364    125.707   6.150  9.38002E-01  9.78899E-01 -4.12242E-02
    7267.716    128.060   6.200  9.31166E-01  9.77782E-01 -4.70548E-02
    7270.088    130.432   6.250  9.29077E-01  9.76665E-01 -4.81040E-02
    7272.479    132.823   6.300  9.34712E-01  9.75549E-01 -4.13362E-02
    7274.889    135.232   6.350  9.49562E-01  9.74432E-01 -2.52093E-02
    7277.317    137.661   6.400  9.73581E-01  9.73316E-01  2.69166E-04
    7279.765    140.109   6.450  1.00526E+00  9.72199E-01  3.36100E-02
    7282.232    142.576   6.500  1.04179E+00  9.71082E-01  7.19716E-02
    7284.718    145.062   6.550  1.07939E+00  9.69973E-01  1.11537E-01
    7287.223    147.567   6.600  1.11242E+00  9.68863E-01  1.46554E-01
    7289.747    150.091   6.650  1.13584E+00  9.67753E-01  1.71849E-01
