# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.314 Rnm= 1.359 K  shell
# # Pot 1 Z=57 Rmt= 1.915 Rnm= 1.919
# # Pot 2 Z=14 Rmt= 1.359 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.369 Rnm= 1.423
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.676E+01 kf=2.084E+00 Vint=-2.522E+01 Rs_int= 1.740
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   2.4720
#           2       0.00000    278.00      9.00     2   2.4720
#           3       0.00000     29.94     24.00     3   3.7489
#           4       0.00000     32.40     24.00     3   3.7489
#           5       0.00000      6.11      6.00     3   3.8695
#           6       0.00000    135.50     12.00     2   3.9444
#           7       0.00000     15.13      6.00     3   4.3978
#           8       0.00000     29.47     18.00     3   4.3978
#           9       0.00000     21.99     12.00     3   4.4954
#          10       0.00000     46.18     36.00     3   4.4954
#          11       0.00000      4.80      6.00     3   4.5110
#          12       0.00000      6.26      6.00     3   4.5110
#          13       0.00000      6.03      6.00     3   4.5886
#          14       0.00000     11.34     12.00     3   4.5886
#          15       0.00000     33.98     30.00     3   4.5886
#          16       0.00000     83.50     12.00     2   4.7861
#          17       0.00000     50.61      6.00     3   4.8186
#          18       0.00000     96.58     18.00     3   4.8186
#          19       0.00000     28.80      3.00     4   4.8511
#          21       0.00000     40.17      9.00     4   4.8511
#          22       0.00000     16.39      6.00     3   4.9440
#          23       0.00000     23.27      6.00     3   4.9439
#          24       0.00000     15.31      6.00     4   4.9440
#          25       0.00000     20.34      6.00     4   4.9439
#          26       0.00000      4.33      3.00     4   4.9440
#          28       0.00000     18.02      9.00     4   4.9440
#          29       0.00000     13.74     30.00     4   4.9439
#          30       0.00000      9.78     24.00     4   4.9440
#          31       0.00000     13.41     24.00     4   4.9440
#          32       0.00000     75.64      8.00     2   4.9602
#          33       0.00000      8.90     12.00     4   5.0258
#          34       0.00000      6.13     12.00     4   5.0258
#          35       0.00000     16.42     24.00     4   5.0258
#          36       0.00000      4.25      6.00     4   5.0463
#          37       0.00000      4.31     18.00     4   5.0463
#          38       0.00000      4.12     12.00     3   5.3155
#          39       0.00000      9.42     36.00     3   5.3155
#          40       0.00000      7.06     12.00     3   5.3420
#          41       0.00000     28.59     12.00     3   5.3768
#          42       0.00000     45.42     36.00     3   5.3768
#          43       0.00000     16.61     48.00     3   5.6422
#          44       0.00000      6.31     12.00     4   5.6747
#          45       0.00000     10.89     36.00     4   5.6747
#          46       0.00000      6.65     12.00     3   5.6854
#          47       0.00000     13.39     36.00     3   5.6854
#          48       0.00000      8.82      3.00     2   5.6881
#          49       0.00000     39.36      9.00     2   5.6881
#          50       0.00000      6.55     18.00     3   5.6941
#          51       0.00000      6.54     12.00     4   5.7179
#          52       0.00000      7.88     24.00     4   5.7179
#          53       0.00000     25.74      6.00     2   5.7276
#          55       0.00000     14.05     36.00     3   5.7368
#          56       0.00000     20.89      6.00     3   5.7624
#          57       0.00000      8.20      6.00     3   5.7624
#          58       0.00000     21.31     12.00     3   5.7624
#          59       0.00000      7.14     18.00     3   5.7714
#          60       0.00000      5.28      6.00     4   5.7933
#          61       0.00000      5.43     18.00     4   5.7933
#          62       0.00000      9.05      3.00     4   5.8366
#          65       0.00000      6.94     36.00     3   5.9040
#          66       0.00000      5.01     12.00     4   5.9365
#          67       0.00000      6.36     24.00     4   5.9365
#    62/  66 paths used
#  xsedge+50, used to normalize mu           3.1343E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7120.905    -16.754   0.050 -2.33226E-02  3.65158E-01 -6.00104E-01
    7120.934    -16.725   0.100 -2.90674E-02  3.71584E-01 -6.17832E-01
    7120.982    -16.678   0.150 -4.19364E-02  3.90708E-01 -6.63705E-01
    7121.048    -16.611   0.200 -4.95534E-02  4.09831E-01 -7.01089E-01
    7121.134    -16.525   0.250 -5.40647E-02  4.38902E-01 -7.46038E-01
    7121.239    -16.420   0.300 -4.66334E-02  4.67974E-01 -7.72317E-01
    7121.363    -16.297   0.350 -3.11654E-02  5.00166E-01 -7.88526E-01
    7121.505    -16.154   0.400  5.32146E-04  5.32359E-01 -7.80557E-01
    7121.667    -15.992   0.450  3.82896E-02  5.61434E-01 -7.57509E-01
    7121.848    -15.811   0.500  9.13582E-02  5.90508E-01 -7.13194E-01
    7122.048    -15.611   0.550  1.46351E-01  6.14951E-01 -6.59428E-01
    7122.267    -15.392   0.600  2.11752E-01  6.39393E-01 -5.92832E-01
    7122.506    -15.154   0.650  2.74276E-01  6.60255E-01 -5.26392E-01
    7122.763    -14.896   0.700  3.40561E-01  6.81117E-01 -4.57028E-01
    7123.039    -14.620   0.750  3.99879E-01  6.99649E-01 -3.95569E-01
    7123.334    -14.325   0.800  4.56439E-01  7.18181E-01 -3.39709E-01
    7123.649    -14.011   0.850  5.03456E-01  7.35126E-01 -2.95672E-01
    7123.982    -13.677   0.900  5.45148E-01  7.52071E-01 -2.59762E-01
    7124.334    -13.325   0.950  5.81499E-01  7.67792E-01 -2.30099E-01
    7124.706    -12.953   1.000  6.04407E-01  7.83512E-01 -2.17716E-01
    7125.096    -12.563   1.050  6.05472E-01  7.98071E-01 -2.30569E-01
    7125.506    -12.153   1.100  5.89291E-01  8.12630E-01 -2.63377E-01
    7125.935    -11.725   1.150  5.63332E-01  8.26001E-01 -3.05463E-01
    7126.382    -11.277   1.200  5.33630E-01  8.39371E-01 -3.50692E-01
    7126.849    -10.810   1.250  5.08270E-01  8.51431E-01 -3.88742E-01
    7127.335    -10.324   1.300  4.93782E-01  8.63491E-01 -4.13695E-01
    7127.839     -9.820   1.350  4.95602E-01  8.74161E-01 -4.19066E-01
    7128.363     -9.296   1.400  5.16931E-01  8.84832E-01 -4.02955E-01
    7128.906     -8.753   1.450  5.56396E-01  8.94029E-01 -3.66479E-01
    7129.468     -8.191   1.500  6.12007E-01  9.03225E-01 -3.13284E-01
    7130.049     -7.610   1.550  6.76080E-01  9.10936E-01 -2.50813E-01
    7130.649     -7.010   1.600  7.44622E-01  9.18647E-01 -1.84506E-01
    7131.268     -6.391   1.650  8.08584E-01  9.24866E-01 -1.22595E-01
    7131.907     -5.752   1.700  8.66486E-01  9.31085E-01 -6.77274E-02
    7132.564     -5.095   1.750  9.12586E-01  9.35898E-01 -2.43421E-02
    7133.240     -4.419   1.800  9.48943E-01  9.40710E-01  8.56189E-03
    7133.935     -3.724   1.850  9.76259E-01  9.44209E-01  3.32424E-02
    7134.650     -3.009   1.900  9.95650E-01  9.47708E-01  4.95945E-02
    7135.383     -2.276   1.950  1.01344E+00  9.49937E-01  6.56029E-02
    7136.136     -1.523   2.000  1.02847E+00  9.52167E-01  7.87077E-02
    7136.907     -0.752   2.050  1.04806E+00  9.53031E-01  9.80356E-02
    7137.698      0.039   2.100  1.06557E+00  9.53895E-01  1.15222E-01
    7138.507      0.848   2.150  1.08047E+00  9.54759E-01  1.29706E-01
    7139.336      1.677   2.200  1.09173E+00  9.55623E-01  1.40447E-01
    7140.184      2.525   2.250  1.09535E+00  9.54816E-01  1.45316E-01
    7141.051      3.392   2.300  1.08865E+00  9.54009E-01  1.39503E-01
    7141.936      4.277   2.350  1.07411E+00  9.53201E-01  1.25526E-01
    7142.841      5.182   2.400  1.05523E+00  9.52394E-01  1.06982E-01
    7143.765      6.106   2.450  1.03307E+00  9.53952E-01  8.25032E-02
    7144.708      7.049   2.500  1.01346E+00  9.55510E-01  6.05760E-02
    7145.670      8.011   2.550  1.00043E+00  9.57068E-01  4.54317E-02
    7146.651      8.992   2.600  9.94534E-01  9.58626E-01  3.77125E-02
    7147.651      9.992   2.650  9.85746E-01  9.60240E-01  2.67655E-02
    7148.671     11.012   2.700  9.82326E-01  9.61853E-01  2.14653E-02
    7149.709     12.050   2.750  9.83319E-01  9.63467E-01  2.07969E-02
    7150.766     13.107   2.800  9.86190E-01  9.65080E-01  2.20948E-02
    7151.842     14.183   2.850  9.86835E-01  9.66583E-01  2.11464E-02
    7152.938     15.279   2.900  9.86760E-01  9.68086E-01  1.94530E-02
    7154.052     16.393   2.950  9.84639E-01  9.69589E-01  1.56410E-02
    7155.186     17.527   3.000  9.79728E-01  9.71092E-01  8.95433E-03
    7156.338     18.679   3.050  9.69821E-01  9.72631E-01 -2.90489E-03
    7157.510     19.851   3.100  9.58296E-01  9.74171E-01 -1.63646E-02
    7158.700     21.041   3.150  9.47059E-01  9.75710E-01 -2.94518E-02
    7159.910     22.251   3.200  9.38091E-01  9.77250E-01 -4.01384E-02
    7161.139     23.480   3.250  9.32013E-01  9.78628E-01 -4.76341E-02
    7162.387     24.727   3.300  9.32092E-01  9.80006E-01 -4.88120E-02
    7163.653     25.994   3.350  9.39357E-01  9.81383E-01 -4.26846E-02
    7164.939     27.280   3.400  9.53796E-01  9.82761E-01 -2.93300E-02
    7166.244     28.585   3.450  9.73224E-01  9.84491E-01 -1.13768E-02
    7167.568     29.909   3.500  9.96789E-01  9.86221E-01  1.06415E-02
    7168.911     31.252   3.550  1.02198E+00  9.87950E-01  3.41665E-02
    7170.273     32.614   3.600  1.04584E+00  9.89680E-01  5.62320E-02
    7171.654     33.995   3.650  1.06482E+00  9.91176E-01  7.35268E-02
    7173.054     35.395   3.700  1.07666E+00  9.92673E-01  8.36030E-02
    7174.474     36.815   3.750  1.07973E+00  9.94170E-01  8.49199E-02
    7175.912     38.253   3.800  1.07342E+00  9.95666E-01  7.69568E-02
    7177.369     39.710   3.850  1.05706E+00  9.97512E-01  5.87761E-02
    7178.846     41.187   3.900  1.03264E+00  9.99358E-01  3.27571E-02
    7180.341     42.682   3.950  1.00291E+00  1.00120E+00  1.67663E-03
    7181.856     44.196   4.000  9.71345E-01  1.00305E+00 -3.10366E-02
    7183.389     45.730   4.050  9.41366E-01  1.00472E+00 -6.18667E-02
    7184.942     47.283   4.100  9.17413E-01  1.00640E+00 -8.66728E-02
    7186.513     48.854   4.150  9.02120E-01  1.00807E+00 -1.02943E-01
    7188.104     50.445   4.200  8.96814E-01  1.00975E+00 -1.09452E-01
    7189.714     52.055   4.250  9.02365E-01  1.01120E+00 -1.05265E-01
    7191.342     53.683   4.300  9.16678E-01  1.01266E+00 -9.26392E-02
    7192.990     55.331   4.350  9.37125E-01  1.01411E+00 -7.41554E-02
    7194.657     56.998   4.400  9.60608E-01  1.01556E+00 -5.28287E-02
    7196.343     58.684   4.450  9.84663E-01  1.01680E+00 -3.08471E-02
    7198.048     60.389   4.500  1.00587E+00  1.01803E+00 -1.16597E-02
    7199.772     62.113   4.550  1.02251E+00  1.01926E+00  3.11218E-03
    7201.515     63.856   4.600  1.03399E+00  1.02049E+00  1.29033E-02
    7203.277     65.618   4.650  1.04010E+00  1.02114E+00  1.81071E-02
    7205.058     67.399   4.700  1.04242E+00  1.02179E+00  1.96954E-02
    7206.859     69.199   4.750  1.04271E+00  1.02243E+00  1.93480E-02
    7208.678     71.019   4.800  1.04290E+00  1.02308E+00  1.88935E-02
    7210.516     72.857   4.850  1.04383E+00  1.02324E+00  1.96320E-02
    7212.374     74.714   4.900  1.04747E+00  1.02341E+00  2.29476E-02
    7214.250     76.591   4.950  1.05449E+00  1.02357E+00  2.94950E-02
    7216.145     78.486   5.000  1.06482E+00  1.02373E+00  3.91896E-02
    7218.060     80.401   5.050  1.07668E+00  1.02333E+00  5.09258E-02
    7219.993     82.334   5.100  1.08953E+00  1.02292E+00  6.36306E-02
    7221.946     84.287   5.150  1.10142E+00  1.02252E+00  7.54272E-02
    7223.918     86.259   5.200  1.11016E+00  1.02212E+00  8.42279E-02
    7225.908     88.249   5.250  1.11294E+00  1.02123E+00  8.78548E-02
    7227.918     90.259   5.300  1.10908E+00  1.02035E+00  8.51276E-02
    7229.947     92.288   5.350  1.09785E+00  1.01947E+00  7.53042E-02
    7231.995     94.336   5.400  1.07947E+00  1.01859E+00  5.85760E-02
    7234.062     96.403   5.450  1.05485E+00  1.01733E+00  3.61536E-02
    7236.148     98.489   5.500  1.02665E+00  1.01608E+00  1.02057E-02
    7238.253    100.594   5.550  9.97449E-01  1.01483E+00 -1.68081E-02
    7240.377    102.718   5.600  9.69858E-01  1.01357E+00 -4.23581E-02
    7242.520    104.861   5.650  9.46115E-01  1.01207E+00 -6.40337E-02
