# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.331 Rnm= 1.373 K  shell
# # Pot 1 Z=62 Rmt= 1.658 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.341 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.790E+01 kf=2.072E+00 Vint=-2.783E+01 Rs_int= 1.750
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00751    100.00      1.00     2   2.2947
#           2       0.00837    110.60      1.00     2   2.5425
#           3       0.00837     10.26      1.00     2   2.5425
#           4       0.00837     13.60      1.00     2   2.5425
#           5       0.00855    113.20      1.00     2   2.5970
#           6       0.00855     10.16      1.00     2   2.5970
#           7       0.00855     10.17      1.00     2   2.5970
#           8       0.00862    141.70      1.00     2   2.6210
#           9       0.00862      9.49      1.00     2   2.6210
#          10       0.00862      9.45      1.00     2   2.6210
#          11       0.00862     11.78      1.00     2   2.6210
#          12       0.00862     59.00      1.00     2   2.6210
#          13       0.00862     56.19      1.00     2   2.6210
#          14       0.00677     90.62      1.00     2   2.8707
#          15       0.00932      4.38      2.00     3   3.7667
#          16       0.00931     18.14      2.00     3   3.7667
#          17       0.00932      9.22      2.00     3   3.7668
#          21       0.00932      6.84      2.00     3   3.7667
#          22       0.00931      5.72      2.00     3   3.7667
#          23       0.00931      5.90      2.00     3   3.7667
#          25       0.00932      5.29      2.00     3   3.7668
#          28       0.00934     16.57      2.00     3   3.7746
#          31       0.00945     14.76      2.00     3   3.8239
#          33       0.01072     51.36      1.00     2   3.9604
#          35       0.01072     17.87      1.00     2   3.9604
#          36       0.01077     47.11      1.00     2   4.0917
#          38       0.01077     17.22      1.00     2   4.0917
#          39       0.01079     51.90      1.00     2   4.1584
#          41       0.01079     32.39      1.00     2   4.1584
#          43       0.01079     24.52      1.00     2   4.1584
#          45       0.01081     33.41      1.00     2   4.2006
#          48       0.01081     16.51      1.00     2   4.2006
#          49       0.01081     10.17      1.00     2   4.2006
#          50       0.01081     10.29      1.00     2   4.2006
#          51       0.01061      5.79      2.00     3   4.3988
#          53       0.01061      8.36      2.00     3   4.3988
#          55       0.01061     12.62      2.00     3   4.3988
#          56       0.01061      6.06      2.00     3   4.3988
#          57       0.01069      5.16      2.00     3   4.4917
#          59       0.01069      8.97      2.00     3   4.4917
#          61       0.01069     12.01      2.00     3   4.4917
#          62       0.01069      5.77      2.00     3   4.4917
#          64       0.01073     14.08      2.00     3   4.5354
#          65       0.01073      9.94      2.00     3   4.5354
#          66       0.01073      6.05      2.00     3   4.5354
#          70       0.01075      5.18      2.00     3   4.5684
#          71       0.01075     10.22      2.00     3   4.5684
#          73       0.01075      4.05      2.00     3   4.5685
#          75       0.03003      5.23      1.00     4   4.5894
#          77       0.00779     61.35      2.00     2   4.9197
#          78       0.00779     18.17      2.00     2   4.9197
#          79       0.01094      5.03      2.00     3   4.9591
#          80       0.01094      6.11      2.00     3   4.9591
#    53/  58 paths used
#  xsedge+50, used to normalize mu           2.9273E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.439    -17.889   0.050  3.69247E-01  3.13314E-01  1.01573E-01
    7719.468    -17.860   0.100  3.79149E-01  3.18305E-01  1.10311E-01
    7719.515    -17.813   0.150  4.07957E-01  3.33195E-01  1.34889E-01
    7719.582    -17.746   0.200  4.36066E-01  3.48085E-01  1.57975E-01
    7719.668    -17.660   0.250  4.78639E-01  3.71082E-01  1.91608E-01
    7719.772    -17.556   0.300  5.19092E-01  3.94080E-01  2.20970E-01
    7719.896    -17.432   0.350  5.64363E-01  4.20392E-01  2.51781E-01
    7720.039    -17.289   0.400  6.05160E-01  4.46705E-01  2.74204E-01
    7720.201    -17.127   0.450  6.38882E-01  4.71327E-01  2.86187E-01
    7720.382    -16.946   0.500  6.65342E-01  4.95949E-01  2.85619E-01
    7720.582    -16.746   0.550  6.79424E-01  5.17143E-01  2.69521E-01
    7720.801    -16.527   0.600  6.84822E-01  5.38337E-01  2.39690E-01
    7721.039    -16.289   0.650  6.78777E-01  5.56722E-01  1.96416E-01
    7721.296    -16.032   0.700  6.64276E-01  5.75108E-01  1.41161E-01
    7721.573    -15.755   0.750  6.38765E-01  5.91731E-01  7.31489E-02
    7721.868    -15.460   0.800  6.06478E-01  6.08354E-01 -2.86636E-03
    7722.182    -15.146   0.850  5.64770E-01  6.23961E-01 -8.88103E-02
    7722.516    -14.812   0.900  5.20200E-01  6.39569E-01 -1.75891E-01
    7722.868    -14.460   0.950  4.71034E-01  6.54560E-01 -2.65431E-01
    7723.239    -14.088   1.000  4.25316E-01  6.69551E-01 -3.46827E-01
    7723.630    -13.698   1.050  3.82739E-01  6.84099E-01 -4.20120E-01
    7724.040    -13.288   1.100  3.50965E-01  6.98647E-01 -4.75993E-01
    7724.468    -12.860   1.150  3.30405E-01  7.12769E-01 -5.14179E-01
    7724.916    -12.412   1.200  3.26245E-01  7.26890E-01 -5.29364E-01
    7725.383    -11.945   1.250  3.38019E-01  7.40513E-01 -5.22780E-01
    7725.868    -11.460   1.300  3.67312E-01  7.54135E-01 -4.94042E-01
    7726.373    -10.955   1.350  4.11949E-01  7.67144E-01 -4.46441E-01
    7726.897    -10.431   1.400  4.69838E-01  7.80153E-01 -3.83932E-01
    7727.440     -9.888   1.450  5.37932E-01  7.92417E-01 -3.10242E-01
    7728.002     -9.326   1.500  6.12234E-01  8.04682E-01 -2.31223E-01
    7728.583     -8.745   1.550  6.89867E-01  8.16077E-01 -1.49632E-01
    7729.183     -8.145   1.600  7.66598E-01  8.27473E-01 -7.12280E-02
    7729.802     -7.526   1.650  8.40534E-01  8.37883E-01  3.06577E-03
    7730.440     -6.888   1.700  9.08142E-01  8.48292E-01  6.84020E-02
    7731.098     -6.230   1.750  9.68478E-01  8.57622E-01  1.25404E-01
    7731.774     -5.554   1.800  1.01909E+00  8.66952E-01  1.70371E-01
    7732.469     -4.859   1.850  1.05936E+00  8.75136E-01  2.04518E-01
    7733.184     -4.144   1.900  1.08815E+00  8.83321E-01  2.25447E-01
    7733.917     -3.411   1.950  1.10482E+00  8.90267E-01  2.34478E-01
    7734.669     -2.658   2.000  1.10980E+00  8.97212E-01  2.30703E-01
    7735.441     -1.887   2.050  1.10216E+00  9.02396E-01  2.15719E-01
    7736.232     -1.096   2.100  1.08426E+00  9.07579E-01  1.89864E-01
    7737.041     -0.287   2.150  1.05832E+00  9.12763E-01  1.55656E-01
    7737.870      0.542   2.200  1.02699E+00  9.17947E-01  1.16049E-01
    7738.718      1.390   2.250  9.87118E-01  9.20249E-01  7.10837E-02
