# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.828 Rnm= 1.828 K  shell
# # Pot 1 Z=57 Rmt= 1.839 Rnm= 1.839
# # Pot 2 Z=14 Rmt= 1.347 Rnm= 1.399
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.420
# # Gam_ch=1.706E+01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.683E+01 kf=2.092E+00 Vint=-2.565E+01 Rs_int= 1.734
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.3044
#           2       0.00000     98.13      3.00     2   3.3219
#           3       0.00000     98.05      3.00     2   3.3227
#           4       0.00000     97.60      3.00     2   3.3270
#           5       0.00000     97.16      3.00     2   3.3312
#           6       0.00000     96.31      3.00     2   3.3394
#           7       0.00000     71.92      3.00     2   3.3597
#           8       0.00000     90.90      3.00     2   3.3937
#          24       0.00000      7.25      1.00     2   4.9212
#          25       0.00000     21.52      3.00     2   4.9344
#          26       0.00000     21.08      3.00     2   4.9590
#          27       0.00000      6.82      1.00     2   4.9954
#          28       0.00000     19.05      3.00     2   5.0823
#          29       0.00000     11.29      3.00     2   5.0905
#          30       0.00000     18.47      3.00     2   5.1201
#          31       0.00000     18.26      3.00     2   5.1342
#          32       0.00000     18.26      3.00     2   5.1346
#          33       0.00000     18.25      3.00     2   5.1349
#          34       0.00000     17.72      3.00     2   5.1715
#          35       0.00000     17.56      3.00     2   5.1831
#          59       0.00000     20.10      3.00     2   5.7005
#          60       0.00000     19.71      3.00     2   5.7300
#          61       0.00000     10.46      3.00     2   5.8578
#          62       0.00000     10.42      3.00     2   5.8638
#          63       0.00000     34.45      6.00     3   5.8636
#          64       0.00000     36.29      6.00     3   5.8658
#          65       0.00000     31.93      3.00     4   5.8679
#          66       0.00000     27.99      3.00     4   5.8694
#          67       0.00000     10.22      3.00     2   5.8906
#          68       0.00000     10.20      3.00     2   5.8924
#          69       0.00000     34.82      6.00     3   5.8939
#          70       0.00000     29.75      3.00     4   5.8972
#          71       0.00000     33.55      6.00     3   5.8979
#          72       0.00000      5.51      3.00     2   5.9006
#          73       0.00000     10.13      3.00     2   5.9019
#          74       0.00000     10.12      3.00     2   5.9036
#          75       0.00000     18.64      6.00     3   5.9036
#          76       0.00000     27.34      3.00     4   5.9033
#          77       0.00000     34.75      6.00     3   5.9062
#          78       0.00000     15.79      3.00     4   5.9065
#          79       0.00000     33.61      6.00     3   5.9068
#          80       0.00000     30.02      3.00     4   5.9088
#          81       0.00000     27.70      3.00     4   5.9117
#          82       0.00000     10.05      3.00     2   5.9131
#          83       0.00000     33.75      6.00     3   5.9140
#          84       0.00000     28.38      3.00     4   5.9149
#          98       0.00000      4.72      3.00     2   7.0267
#          99       0.00000      4.68      3.00     2   7.0405
#         100       0.00000      4.65      3.00     2   7.0478
#         101       0.00000      4.62      3.00     2   7.0598
#         102       0.00000      4.55      3.00     2   7.0848
#         103       0.00000      4.51      3.00     2   7.0987
#         104       0.00000      4.41      3.00     2   7.1342
#         105       0.00000      4.16      3.00     2   7.2258
#         106       0.00000      4.13      3.00     2   7.2368
#         107       0.00000      4.05      3.00     2   7.2700
#         108       0.00000      4.04      3.00     2   7.2740
#         109       0.00000      4.01      3.00     2   7.2882
#    58/  89 paths used
#  xsedge+50, used to normalize mu           5.2513E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   38980.498    -16.816   0.050  3.52976E-01  3.68923E-01 -2.92073E-02
   38980.526    -16.787   0.100  3.53394E-01  3.69479E-01 -2.94417E-02
   38980.574    -16.739   0.150  3.54611E-01  3.71107E-01 -3.01409E-02
   38980.640    -16.673   0.200  3.55829E-01  3.72736E-01 -3.08372E-02
   38980.726    -16.587   0.250  3.57825E-01  3.75414E-01 -3.19859E-02
   38980.831    -16.482   0.300  3.59823E-01  3.78092E-01 -3.31245E-02
   38980.955    -16.358   0.350  3.62622E-01  3.81835E-01 -3.46876E-02
   38981.098    -16.216   0.400  3.65429E-01  3.85578E-01 -3.62237E-02
   38981.260    -16.054   0.450  3.69069E-01  3.90398E-01 -3.81309E-02
   38981.441    -15.873   0.500  3.72730E-01  3.95217E-01 -3.99777E-02
   38981.641    -15.673   0.550  3.77270E-01  4.01119E-01 -4.21023E-02
   38981.860    -15.454   0.600  3.81861E-01  4.07022E-01 -4.41084E-02
   38982.098    -15.215   0.650  3.87394E-01  4.14000E-01 -4.62449E-02
   38982.355    -14.958   0.700  3.93028E-01  4.20979E-01 -4.81722E-02
   38982.631    -14.682   0.750  3.99686E-01  4.29006E-01 -5.00172E-02
   38982.926    -14.387   0.800  4.06522E-01  4.37032E-01 -5.15264E-02
   38983.241    -14.073   0.850  4.14488E-01  4.46055E-01 -5.26791E-02
   38983.574    -13.739   0.900  4.22735E-01  4.55078E-01 -5.33421E-02
   38983.927    -13.387   0.950  4.32236E-01  4.65022E-01 -5.33375E-02
   38984.298    -13.015   1.000  4.42137E-01  4.74967E-01 -5.26892E-02
   38984.689    -12.625   1.050  4.53413E-01  4.85739E-01 -5.10793E-02
   38985.098    -12.215   1.100  4.65201E-01  4.96512E-01 -4.87202E-02
   38985.527    -11.787   1.150  4.78447E-01  5.08009E-01 -4.52011E-02
   38985.974    -11.339   1.200  4.92268E-01  5.19505E-01 -4.09369E-02
   38986.441    -10.872   1.250  5.07539E-01  5.31615E-01 -3.54917E-02
   38986.927    -10.386   1.300  5.23353E-01  5.43725E-01 -2.94667E-02
   38987.432     -9.882   1.350  5.40460E-01  5.56325E-01 -2.24684E-02
   38987.956     -9.358   1.400  5.57947E-01  5.68925E-01 -1.52285E-02
   38988.499     -8.815   1.450  5.76435E-01  5.81919E-01 -7.43815E-03
   38989.061     -8.253   1.500  5.95008E-01  5.94914E-01  1.25639E-04
   38989.642     -7.672   1.550  6.14133E-01  6.08199E-01  7.68770E-03
   38990.242     -7.072   1.600  6.32952E-01  6.21484E-01  1.45180E-02
   38990.861     -6.453   1.650  6.51777E-01  6.34955E-01  2.07913E-02
   38991.499     -5.814   1.700  6.69883E-01  6.48427E-01  2.59073E-02
   38992.156     -5.157   1.750  6.87486E-01  6.62022E-01  3.00423E-02
   38992.832     -4.481   1.800  7.04017E-01  6.75618E-01  3.27560E-02
   38993.528     -3.786   1.850  7.19202E-01  6.88824E-01  3.43104E-02
   38994.242     -3.071   1.900  7.33063E-01  7.02031E-01  3.43360E-02
   38994.976     -2.338   1.950  7.40645E-01  7.10910E-01  3.17094E-02
   38995.728     -1.585   2.000  7.46918E-01  7.19789E-01  2.79196E-02
   38996.499     -0.814   2.050  7.52173E-01  7.28311E-01  2.38947E-02
   38997.290     -0.023   2.100  7.56767E-01  7.36832E-01  1.94366E-02
   38998.100      0.786   2.150  7.61005E-01  7.45354E-01  1.48697E-02
   38998.928      1.615   2.200  7.65173E-01  7.53875E-01  1.04650E-02
   38999.776      2.463   2.250  7.69495E-01  7.62717E-01  6.15757E-03
   39000.643      3.330   2.300  7.74166E-01  7.71559E-01  2.32384E-03
   39001.529      4.215   2.350  7.79312E-01  7.80401E-01 -9.53091E-04
   39002.434      5.120   2.400  7.85007E-01  7.89243E-01 -3.63951E-03
   39003.357      6.044   2.450  7.92445E-01  7.99531E-01 -6.03745E-03
   39004.300      6.987   2.500  8.00389E-01  8.09819E-01 -7.97086E-03
   39005.262      7.949   2.550  8.09018E-01  8.20106E-01 -9.29781E-03
   39006.244      8.930   2.600  8.18511E-01  8.30394E-01 -9.88593E-03
   39007.244      9.930   2.650  8.27599E-01  8.39913E-01 -1.02488E-02
   39008.263     10.950   2.700  8.37589E-01  8.49433E-01 -9.86177E-03
   39009.301     11.988   2.750  8.48313E-01  8.58952E-01 -8.86255E-03
   39010.358     13.045   2.800  8.59537E-01  8.68471E-01 -7.44534E-03
   39011.435     14.121   2.850  8.68551E-01  8.74762E-01 -5.21526E-03
   39012.530     15.217   2.900  8.77962E-01  8.81054E-01 -2.61557E-03
   39013.644     16.331   2.950  8.86806E-01  8.87345E-01 -4.59801E-04
