# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.808 Rnm= 1.808 L3 shell
# # Pot 1 Z=26 Rmt= 1.359 Rnm= 1.413
# # Pot 2 Z=14 Rmt= 1.351 Rnm= 1.404
# # Pot 3 Z=57 Rmt= 1.878 Rnm= 1.878
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.696E+01 kf=2.093E+00 Vint=-2.585E+01 Rs_int= 1.732
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.300  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     22.00     2   3.3054
#           2       0.00000     10.87      2.00     2   3.3054
#           3       0.00000      6.34     40.00     3   4.4892
#           4       0.00000      4.31     40.00     3   4.5762
#           5       0.00000     13.35      8.00     2   4.9363
#           6       0.00000     31.95     22.00     2   5.1750
#           7       0.00000      6.80     44.00     3   5.3509
#           8       0.00000      7.09     40.00     3   5.5110
#           9       0.00000      7.05     42.00     3   5.5212
#          10       0.00000      7.79      6.00     2   5.7000
#          11       0.00000     21.02     21.00     2   5.8360
#          12       0.00000     42.07     38.00     3   5.8414
#          13       0.00000      5.18      6.00     3   5.8414
#          14       0.00000      5.49      4.00     3   5.8414
#          15       0.00000     28.02     19.00     4   5.8469
#    15/  16 paths used
#  xsedge+50, used to normalize mu           8.5118E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5488.035    -16.963   0.000  1.07492E+00  1.17991E+00 -4.49060E-02
    5488.045    -16.953   0.050  1.08588E+00  1.18964E+00 -4.39393E-02
    5488.073    -16.925   0.100  1.09688E+00  1.19937E+00 -4.29732E-02
    5488.121    -16.877   0.150  1.13034E+00  1.22898E+00 -4.01461E-02
    5488.188    -16.810   0.200  1.16415E+00  1.25859E+00 -3.73402E-02
    5488.273    -16.725   0.250  1.22063E+00  1.30808E+00 -3.29655E-02
    5488.378    -16.620   0.300  1.27782E+00  1.35756E+00 -2.87250E-02
    5488.502    -16.496   0.350  1.35565E+00  1.42502E+00 -2.35195E-02
    5488.645    -16.353   0.400  1.43405E+00  1.49248E+00 -1.87094E-02
    5488.807    -16.191   0.450  1.52665E+00  1.57246E+00 -1.37678E-02
    5488.988    -16.010   0.500  1.61874E+00  1.65244E+00 -9.54380E-03
    5489.188    -15.810   0.550  1.71385E+00  1.73571E+00 -5.89440E-03
    5489.407    -15.591   0.600  1.80680E+00  1.81898E+00 -3.13328E-03
    5489.645    -15.353   0.650  1.88955E+00  1.89422E+00 -1.18249E-03
    5489.902    -15.096   0.700  1.96948E+00  1.96946E+00  5.17103E-06
    5490.178    -14.820   0.750  2.02810E+00  2.02557E+00  6.40664E-04
    5490.474    -14.524   0.800  2.08565E+00  2.08168E+00  1.03007E-03
    5490.788    -14.210   0.850  2.11681E+00  2.10996E+00  1.86475E-03
    5491.121    -13.877   0.900  2.15067E+00  2.13825E+00  3.56560E-03
    5491.474    -13.524   0.950  2.15943E+00  2.13500E+00  7.47911E-03
    5491.845    -13.153   1.000  2.17272E+00  2.13175E+00  1.34354E-02
    5492.236    -12.762   1.050  2.16281E+00  2.09946E+00  2.22742E-02
    5492.645    -12.353   1.100  2.15321E+00  2.06717E+00  3.26050E-02
    5493.074    -11.924   1.150  2.12075E+00  2.01358E+00  4.35380E-02
    5493.522    -11.476   1.200  2.08161E+00  1.95999E+00  5.32468E-02
    5493.988    -11.010   1.250  2.02249E+00  1.89483E+00  5.97468E-02
    5494.474    -10.524   1.300  1.95324E+00  1.82966E+00  6.21120E-02
    5494.979    -10.019   1.350  1.87179E+00  1.76156E+00  5.89477E-02
    5495.503     -9.495   1.400  1.78262E+00  1.69345E+00  5.09376E-02
    5496.046     -8.952   1.450  1.69188E+00  1.62852E+00  3.82929E-02
    5496.608     -8.390   1.500  1.59905E+00  1.56359E+00  2.27495E-02
    5497.189     -7.809   1.550  1.51362E+00  1.50527E+00  5.63335E-03
    5497.789     -7.209   1.600  1.43106E+00  1.44695E+00 -1.12861E-02
    5498.408     -6.590   1.650  1.36080E+00  1.39671E+00 -2.66270E-02
    5499.046     -5.952   1.700  1.29595E+00  1.34646E+00 -3.91708E-02
    5499.703     -5.295   1.750  1.24471E+00  1.30456E+00 -4.80921E-02
    5500.380     -4.618   1.800  1.19912E+00  1.26265E+00 -5.29741E-02
    5501.075     -3.923   1.850  1.16701E+00  1.22982E+00 -5.38001E-02
    5501.789     -3.209   1.900  1.13915E+00  1.19699E+00 -5.09370E-02
    5502.523     -2.475   1.950  1.12482E+00  1.17466E+00 -4.47719E-02
    5503.275     -1.723   2.000  1.11240E+00  1.15232E+00 -3.65991E-02
    5504.047     -0.951   2.050  1.10692E+00  1.13621E+00 -2.73990E-02
    5504.837     -0.161   2.100  1.10057E+00  1.12011E+00 -1.86567E-02
    5505.647      0.649   2.150  1.09252E+00  1.10400E+00 -1.11932E-02
    5506.475      1.478   2.200  1.08247E+00  1.08789E+00 -5.39731E-03
    5507.323      2.325   2.250  1.07243E+00  1.07339E+00 -9.74665E-04
    5508.190      3.192   2.300  1.06101E+00  1.05889E+00  2.19480E-03
    5509.076      4.078   2.350  1.04899E+00  1.04439E+00  4.84143E-03
    5509.981      4.983   2.400  1.03698E+00  1.02989E+00  7.59929E-03
    5510.905      5.907   2.450  1.02851E+00  1.01824E+00  1.11262E-02
    5511.848      6.850   2.500  1.01990E+00  1.00659E+00  1.45855E-02
    5512.810      7.812   2.550  1.01039E+00  9.94947E-01  1.71281E-02
    5513.791      8.793   2.600  9.99247E-01  9.83299E-01  1.79047E-02
    5514.791      9.793   2.650  9.92373E-01  9.77068E-01  1.72082E-02
    5515.810     10.812   2.700  9.84040E-01  9.70837E-01  1.48666E-02
    5516.848     11.850   2.750  9.74589E-01  9.64605E-01  1.12577E-02
    5517.905     12.908   2.800  9.64522E-01  9.58374E-01  6.94201E-03
    5518.982     13.984   2.850  9.60135E-01  9.58853E-01  1.43999E-03
    5520.077     15.079   2.900  9.56313E-01  9.59331E-01 -3.37116E-03
    5521.192     16.194   2.950  9.53834E-01  9.59810E-01 -6.63842E-03
    5522.325     17.327   3.000  9.52964E-01  9.60289E-01 -8.09257E-03
    5523.478     18.480   3.050  9.54323E-01  9.63161E-01 -9.68434E-03
    5524.649     19.651   3.100  9.57602E-01  9.66032E-01 -9.16267E-03
    5525.840     20.842   3.150  9.62961E-01  9.68904E-01 -6.40756E-03
    5527.049     22.052   3.200  9.70011E-01  9.71776E-01 -1.88785E-03
    5528.278     23.280   3.250  9.78986E-01  9.76418E-01  2.72149E-03
    5529.526     24.528   3.300  9.88336E-01  9.81060E-01  7.64236E-03
    5530.793     25.795   3.350  9.97253E-01  9.85702E-01  1.20247E-02
    5532.079     27.081   3.400  1.00496E+00  9.90345E-01  1.50764E-02
    5533.383     28.386   3.450  1.00988E+00  9.94053E-01  1.62100E-02
    5534.707     29.710   3.500  1.01271E+00  9.97762E-01  1.51992E-02
    5536.050     31.053   3.550  1.01348E+00  1.00147E+00  1.21220E-02
    5537.413     32.415   3.600  1.01256E+00  1.00518E+00  7.39909E-03
    5538.794     33.796   3.650  1.00878E+00  1.00707E+00  1.70385E-03
    5540.194     35.196   3.700  1.00480E+00  1.00896E+00 -4.13588E-03
    5541.613     36.615   3.750  1.00135E+00  1.01086E+00 -9.40236E-03
    5543.051     38.053   3.800  9.98989E-01  1.01275E+00 -1.35591E-02
    5544.509     39.511   3.850  9.95610E-01  1.01219E+00 -1.63361E-02
    5545.985     40.987   3.900  9.93670E-01  1.01164E+00 -1.76936E-02
    5547.480     42.483   3.950  9.92986E-01  1.01108E+00 -1.78143E-02
    5548.995     43.997   4.000  9.93277E-01  1.01052E+00 -1.69746E-02
    5550.528     45.531   4.050  9.92278E-01  1.00779E+00 -1.53138E-02
    5552.081     47.083   4.100  9.91879E-01  1.00506E+00 -1.30490E-02
    5553.653     48.655   4.150  9.92045E-01  1.00233E+00 -1.02102E-02
    5555.243     50.245   4.200  9.92836E-01  9.99601E-01 -6.73368E-03
    5556.853     51.855   4.250  9.93490E-01  9.95916E-01 -2.42623E-03
    5558.482     53.484   4.300  9.94748E-01  9.92232E-01  2.52716E-03
    5560.130     55.132   4.350  9.96407E-01  9.88548E-01  7.93288E-03
    5561.796     56.799   4.400  9.98100E-01  9.84864E-01  1.34226E-02
    5563.482     58.485   4.450  9.99191E-01  9.81173E-01  1.83556E-02
    5565.187     60.189   4.500  9.99160E-01  9.77483E-01  2.21863E-02
    5566.911     61.913   4.550  9.97522E-01  9.73793E-01  2.43998E-02
    5568.654     63.657   4.600  9.93948E-01  9.70103E-01  2.46344E-02
    5570.417     65.419   4.650  9.89163E-01  9.67348E-01  2.26153E-02
    5572.198     67.200   4.700  9.82524E-01  9.64593E-01  1.86536E-02
    5573.998     69.000   4.750  9.74416E-01  9.61838E-01  1.31307E-02
    5575.817     70.819   4.800  9.65351E-01  9.59083E-01  6.56600E-03
    5577.656     72.658   4.850  9.57159E-01  9.57606E-01 -4.69001E-04
    5579.513     74.515   4.900  9.49102E-01  9.56129E-01 -7.38857E-03
    5581.389     76.391   4.950  9.41582E-01  9.54653E-01 -1.37675E-02
    5583.285     78.287   5.000  9.34900E-01  9.53176E-01 -1.92856E-02
    5585.199     80.201   5.050  9.30584E-01  9.52985E-01 -2.36374E-02
    5587.133     82.135   5.100  9.27544E-01  9.52794E-01 -2.66437E-02
    5589.085     84.088   5.150  9.25991E-01  9.52604E-01 -2.80792E-02
    5591.057     86.059   5.200  9.26170E-01  9.52413E-01 -2.76890E-02
    5593.048     88.050   5.250  9.29343E-01  9.53199E-01 -2.51349E-02
    5595.058     90.060   5.300  9.34652E-01  9.53985E-01 -2.03421E-02
    5597.086     92.089   5.350  9.42043E-01  9.54771E-01 -1.33738E-02
    5599.134     94.136   5.400  9.51178E-01  9.55557E-01 -4.59446E-03
    5601.201     96.203   5.450  9.61179E-01  9.56027E-01  5.39760E-03
    5603.287     98.289   5.500  9.71223E-01  9.56496E-01  1.54051E-02
    5605.392    100.394   5.550  9.80165E-01  9.56966E-01  2.42310E-02
    5607.516    102.518   5.600  9.86901E-01  9.57436E-01  3.07294E-02
    5609.659    104.662   5.650  9.90806E-01  9.58204E-01  3.39423E-02
    5611.822    106.824   5.700  9.91236E-01  9.58972E-01  3.35324E-02
    5614.003    109.005   5.750  9.88348E-01  9.59740E-01  2.96809E-02
    5616.203    111.205   5.800  9.82800E-01  9.60508E-01  2.30884E-02
    5618.422    113.424   5.850  9.76152E-01  9.61810E-01  1.48124E-02
    5620.661    115.663   5.900  9.69049E-01  9.63112E-01  6.11403E-03
    5622.918    117.920   5.950  9.62488E-01  9.64415E-01 -1.97853E-03
    5625.195    120.197   6.000  9.57127E-01  9.65717E-01 -8.79739E-03
    5627.490    122.492   6.050  9.50184E-01  9.63973E-01 -1.41415E-02
    5629.805    124.807   6.100  9.44605E-01  9.62229E-01 -1.80980E-02
    5632.138    127.140   6.150  9.39984E-01  9.60486E-01 -2.10804E-02
    5634.491    129.493   6.200  9.35945E-01  9.58742E-01 -2.34720E-02
    5636.863    131.865   6.250  9.32362E-01  9.56998E-01 -2.53988E-02
    5639.253    134.256   6.300  9.29484E-01  9.55255E-01 -2.66034E-02
    5641.663    136.665   6.350  9.27906E-01  9.53511E-01 -2.64680E-02
    5644.092    139.094   6.400  9.28395E-01  9.51767E-01 -2.41919E-02
    5646.540    141.542   6.450  9.31616E-01  9.50024E-01 -1.90777E-02
    5649.007    144.009   6.500  9.37832E-01  9.48280E-01 -1.08429E-02
    5651.493    146.495   6.550  9.46574E-01  9.46448E-01  1.31241E-04
    5653.998    149.000   6.600  9.56779E-01  9.44616E-01  1.26825E-02
    5656.522    151.524   6.650  9.66774E-01  9.42784E-01  2.50726E-02
    5659.065    154.067   6.700  9.74623E-01  9.40952E-01  3.52736E-02
    5661.628    156.630   6.750  9.78551E-01  9.39120E-01  4.14049E-02
    5664.209    159.211   6.800  9.77363E-01  9.37288E-01  4.21812E-02
    5666.809    161.811   6.850  9.70762E-01  9.35456E-01  3.72497E-02
    5669.429    164.431   6.900  9.59460E-01  9.33625E-01  2.73232E-02
    5672.067    167.069   6.950  9.45058E-01  9.31793E-01  1.40634E-02
    5674.724    169.727   7.000  9.29710E-01  9.29961E-01 -2.66636E-04
    5677.401    172.403   7.050  9.16366E-01  9.28851E-01 -1.32893E-02
    5680.096    175.099   7.100  9.06168E-01  9.27742E-01 -2.30003E-02
    5682.811    177.813   7.150  9.00139E-01  9.26632E-01 -2.82912E-02
    5685.545    180.547   7.200  8.98339E-01  9.25523E-01 -2.90767E-02
    5688.297    183.300   7.250  8.99945E-01  9.24413E-01 -2.62149E-02
    5691.069    186.071   7.300  9.03557E-01  9.23304E-01 -2.11916E-02
    5693.860    188.862   7.350  9.07624E-01  9.22194E-01 -1.56617E-02
    5696.670    191.672   7.400  9.10889E-01  9.21085E-01 -1.09778E-02
    5699.499    194.501   7.450  9.12710E-01  9.19975E-01 -7.83541E-03
    5702.347    197.349   7.500  9.13187E-01  9.18866E-01 -6.13453E-03
    5705.214    200.216   7.550  9.13362E-01  9.18032E-01 -5.04911E-03
    5708.100    203.102   7.600  9.14031E-01  9.17199E-01 -3.42765E-03
    5711.005    206.007   7.650  9.16166E-01  9.16366E-01 -2.16362E-04
    5713.929    208.931   7.700  9.20250E-01  9.15533E-01  5.11307E-03
    5716.872    211.874   7.750  9.26037E-01  9.14699E-01  1.22975E-02
    5719.835    214.837   7.800  9.32526E-01  9.13866E-01  2.02572E-02
    5722.816    217.818   7.850  9.38182E-01  9.13033E-01  2.73252E-02
    5725.816    220.818   7.900  9.41327E-01  9.12200E-01  3.16737E-02
    5728.836    223.838   7.950  9.40603E-01  9.11367E-01  3.18182E-02
    5731.874    226.876   8.000  9.35377E-01  9.10533E-01  2.70600E-02
    5734.932    229.934   8.050  9.25293E-01  9.09106E-01  1.76577E-02
    5738.008    233.010   8.100  9.12315E-01  9.07678E-01  5.06596E-03
    5741.104    236.106   8.150  8.98426E-01  9.06250E-01 -8.56168E-03
    5744.218    239.221   8.200  8.85838E-01  9.04823E-01 -2.08037E-02
    5747.352    242.354   8.250  8.76492E-01  9.03395E-01 -2.95261E-02
    5750.505    245.507   8.300  8.71614E-01  9.01968E-01 -3.33635E-02
    5753.677    248.679   8.350  8.71468E-01  9.00540E-01 -3.20027E-02
    5756.868    251.870   8.400  8.75349E-01  8.99112E-01 -2.61987E-02
    5760.078    255.080   8.450  8.81810E-01  8.97685E-01 -1.75285E-02
    5763.307    258.309   8.500  8.89062E-01  8.96257E-01 -7.95641E-03
    5766.555    261.557   8.550  8.95087E-01  8.94473E-01  6.80782E-04
    5769.822    264.824   8.600  8.99051E-01  8.92689E-01  7.06789E-03
    5773.108    268.110   8.650  9.00498E-01  8.90905E-01  1.06824E-02
    5776.413    271.415   8.700  8.99699E-01  8.89121E-01  1.18059E-02
    5779.737    274.739   8.750  8.97452E-01  8.87337E-01  1.13154E-02
    5783.080    278.082   8.800  8.94762E-01  8.85553E-01  1.03263E-02
    5786.443    281.445   8.850  8.92487E-01  8.83769E-01  9.79787E-03
    5789.824    284.826   8.900  8.91058E-01  8.81985E-01  1.02208E-02
    5793.224    288.227   8.950  8.90363E-01  8.80201E-01  1.14750E-02
    5796.644    291.646   9.000  8.89809E-01  8.78417E-01  1.28933E-02
    5800.082    295.085   9.050  8.88792E-01  8.76885E-01  1.35057E-02
    5803.540    298.542   9.100  8.86226E-01  8.75353E-01  1.23588E-02
    5807.017    302.019   9.150  8.81640E-01  8.73822E-01  8.90604E-03
    5810.512    305.514   9.200  8.75100E-01  8.72290E-01  3.20770E-03
    5814.027    309.029   9.250  8.67241E-01  8.70758E-01 -4.02417E-03
    5817.561    312.563   9.300  8.59133E-01  8.69227E-01 -1.15732E-02
