# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.362 Rnm= 1.416 K  shell
# # Pot 1 Z=62 Rmt= 1.684 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.371 Rnm= 1.428
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.651E+01 kf=1.987E+00 Vint=-2.437E+01 Rs_int= 1.825
# # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4522
#           2       0.00000     51.15      3.00     2   2.8879
#           3       0.00000     35.83      3.00     2   2.8879
#           4       0.00000      8.14     12.00     3   3.7027
#           5       0.00000      7.81     12.00     3   3.8961
#           6       0.00000     11.62      2.00     2   3.9640
#           7       0.00000     56.73     12.00     2   4.3038
#           8       0.00000      7.61     12.00     3   4.4342
#           9       0.00000     15.52     24.00     3   4.6285
#          10       0.00000     14.85     12.00     3   4.7957
#          11       0.00000      6.80     16.00     3   4.8220
#          12       0.00000     32.90      6.00     2   4.9044
#          13       0.00000     20.17      6.00     2   4.9044
#          14       0.00000     47.76     12.00     3   4.9044
#          16       0.00000      5.33      6.00     4   4.9044
#          17       0.00000     39.29      6.00     4   4.9044
#          18       0.00000     19.13      6.00     2   5.0020
#          19       0.00000      7.57     12.00     3   5.0519
#          20       0.00000     12.36     24.00     3   5.1914
#          21       0.00000     15.22     24.00     3   5.2739
#          22       0.00000      4.22      6.00     3   5.3889
#          23       0.00000     13.98     12.00     3   5.3889
#          24       0.00000     28.49     12.00     2   5.5707
#          25       0.00000     10.80      3.00     2   5.7758
#          26       0.00000      6.44      3.00     2   5.7758
#          27       0.00000      9.62      6.00     3   5.7758
#          28       0.00000     31.07      6.00     3   5.7758
#          29       0.00000     19.05      6.00     3   5.7758
#          30       0.00000      5.32      6.00     4   5.7758
#          32       0.00000     37.03      3.00     4   5.7758
#          33       0.00000     12.92      3.00     4   5.7758
#          34       0.00000     31.07     24.00     3   5.8249
#          35       0.00000      8.48     12.00     4   6.0791
#          36       0.00000     10.93      6.00     2   6.1188
#          37       0.00000      5.52     12.00     3   6.2675
#          40       0.00000      4.44     24.00     3   6.3139
#          41       0.00000     19.35     12.00     2   6.3823
#          42       0.00000      5.54     16.00     3   6.5692
#          43       0.00000      5.25     24.00     3   6.5692
#          44       0.00000      6.26     24.00     3   6.5692
#    40/  44 paths used
#  xsedge+50, used to normalize mu           2.8964E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.428    -16.511   0.000  2.39616E-01  3.11912E-01 -1.33684E-01
    7718.438    -16.501   0.050  2.44689E-01  3.16996E-01 -1.33405E-01
    7718.466    -16.473   0.100  2.49838E-01  3.22080E-01 -1.32987E-01
    7718.514    -16.425   0.150  2.65099E-01  3.37123E-01 -1.31719E-01
    7718.581    -16.358   0.200  2.81031E-01  3.52166E-01 -1.29249E-01
    7718.666    -16.273   0.250  3.06936E-01  3.75546E-01 -1.23347E-01
    7718.771    -16.168   0.300  3.34711E-01  3.98926E-01 -1.14241E-01
    7718.895    -16.044   0.350  3.72314E-01  4.26014E-01 -9.41845E-02
    7719.038    -15.901   0.400  4.13005E-01  4.53101E-01 -6.93452E-02
    7719.200    -15.739   0.450  4.60687E-01  4.79015E-01 -3.11571E-02
    7719.381    -15.558   0.500  5.10300E-01  5.04930E-01  8.97379E-03
    7719.581    -15.358   0.550  5.58654E-01  5.27931E-01  5.03535E-02
    7719.800    -15.139   0.600  6.04784E-01  5.50931E-01  8.65834E-02
    7720.038    -14.901   0.650  6.41072E-01  5.71533E-01  1.09457E-01
    7720.295    -14.644   0.700  6.69935E-01  5.92135E-01  1.19945E-01
    7720.571    -14.368   0.750  6.83184E-01  6.11223E-01  1.08521E-01
    7720.867    -14.072   0.800  6.85189E-01  6.30310E-01  8.09903E-02
    7721.181    -13.758   0.850  6.69295E-01  6.48472E-01  3.00514E-02
    7721.514    -13.425   0.900  6.42190E-01  6.66634E-01 -3.45172E-02
    7721.867    -13.072   0.950  6.00693E-01  6.84116E-01 -1.15242E-01
    7722.238    -12.701   1.000  5.53506E-01  7.01597E-01 -2.00230E-01
    7722.629    -12.310   1.050  5.02315E-01  7.18395E-01 -2.86087E-01
    7723.038    -11.901   1.100  4.55803E-01  7.35194E-01 -3.62380E-01
    7723.467    -11.472   1.150  4.18371E-01  7.51206E-01 -4.23292E-01
    7723.914    -11.024   1.200  3.97272E-01  7.67218E-01 -4.61503E-01
    7724.381    -10.558   1.250  3.94419E-01  7.82249E-01 -4.75197E-01
    7724.867    -10.072   1.300  4.13430E-01  7.97280E-01 -4.62091E-01
    7725.372     -9.567   1.350  4.51911E-01  8.11146E-01 -4.25561E-01
    7725.896     -9.043   1.400  5.07959E-01  8.25013E-01 -3.69694E-01
    7726.439     -8.500   1.450  5.76122E-01  8.37532E-01 -3.00571E-01
    7727.001     -7.938   1.500  6.50926E-01  8.50052E-01 -2.25814E-01
    7727.582     -7.357   1.550  7.26097E-01  8.61096E-01 -1.51280E-01
    7728.182     -6.757   1.600  7.97073E-01  8.72140E-01 -8.31363E-02
    7728.801     -6.138   1.650  8.59802E-01  8.81643E-01 -2.39534E-02
    7729.439     -5.500   1.700  9.13578E-01  8.91146E-01  2.43640E-02
    7730.096     -4.843   1.750  9.57690E-01  8.99068E-01  6.31780E-02
    7730.772     -4.166   1.800  9.94699E-01  9.06991E-01  9.38002E-02
    7731.468     -3.471   1.850  1.02525E+00  9.13353E-01  1.18973E-01
    7732.182     -2.757   1.900  1.05153E+00  9.19714E-01  1.39339E-01
    7732.916     -2.023   1.950  1.07197E+00  9.24508E-01  1.55234E-01
    7733.668     -1.271   2.000  1.08767E+00  9.29301E-01  1.66037E-01
    7734.440     -0.499   2.050  1.09674E+00  9.31954E-01  1.72483E-01
    7735.230      0.291   2.100  1.09611E+00  9.34608E-01  1.68760E-01
    7736.040      1.101   2.150  1.08396E+00  9.37262E-01  1.53039E-01
    7736.868      1.929   2.200  1.06040E+00  9.39915E-01  1.25479E-01
    7737.716      2.777   2.250  1.02318E+00  9.40424E-01  8.63132E-02
    7738.583      3.644   2.300  9.82054E-01  9.40933E-01  4.29481E-02
    7739.469      4.530   2.350  9.43639E-01  9.41443E-01  2.29692E-03
    7740.374      5.435   2.400  9.13092E-01  9.41952E-01 -3.02289E-02
    7741.298      6.359   2.450  8.98374E-01  9.46862E-01 -5.07182E-02
    7742.241      7.302   2.500  8.92346E-01  9.51771E-01 -6.20737E-02
    7743.203      8.264   2.550  8.93794E-01  9.56681E-01 -6.55994E-02
    7744.184      9.245   2.600  9.00574E-01  9.61591E-01 -6.35607E-02
    7745.184     10.245   2.650  9.05963E-01  9.64479E-01 -6.08094E-02
    7746.203     11.264   2.700  9.15323E-01  9.67367E-01 -5.39541E-02
    7747.241     12.302   2.750  9.27754E-01  9.70255E-01 -4.39562E-02
    7748.298     13.359   2.800  9.42354E-01  9.73142E-01 -3.17673E-02
    7749.375     14.436   2.850  9.54473E-01  9.74844E-01 -2.09700E-02
    7750.470     15.531   2.900  9.67463E-01  9.76545E-01 -9.32867E-03
    7751.585     16.646   2.950  9.80920E-01  9.78246E-01  2.74031E-03
    7752.718     17.779   3.000  9.94247E-01  9.79947E-01  1.46212E-02
    7753.870     18.932   3.050  1.00403E+00  9.81335E-01  2.31568E-02
    7755.042     20.103   3.100  1.01347E+00  9.82723E-01  3.13120E-02
    7756.233     21.294   3.150  1.02218E+00  9.84110E-01  3.86953E-02
    7757.442     22.503   3.200  1.02960E+00  9.85498E-01  4.47418E-02
    7758.671     23.732   3.250  1.03409E+00  9.86101E-01  4.85919E-02
    7759.919     24.980   3.300  1.03742E+00  9.86703E-01  5.12601E-02
    7761.186     26.247   3.350  1.03892E+00  9.87306E-01  5.20718E-02
    7762.472     27.533   3.400  1.03830E+00  9.87908E-01  5.07408E-02
    7763.776     28.837   3.450  1.03722E+00  9.88831E-01  4.86447E-02
    7765.100     30.161   3.500  1.03450E+00  9.89754E-01  4.49181E-02
    7766.443     31.504   3.550  1.03016E+00  9.90677E-01  3.95715E-02
    7767.806     32.867   3.600  1.02435E+00  9.91599E-01  3.27806E-02
    7769.187     34.248   3.650  1.01698E+00  9.92130E-01  2.48231E-02
    7770.587     35.648   3.700  1.00822E+00  9.92660E-01  1.55178E-02
    7772.006     37.067   3.750  9.98217E-01  9.93191E-01  5.00399E-03
    7773.444     38.505   3.800  9.87277E-01  9.93721E-01 -6.40426E-03
    7774.902     39.963   3.850  9.76075E-01  9.94747E-01 -1.85284E-02
    7776.378     41.439   3.900  9.65174E-01  9.95773E-01 -3.03155E-02
    7777.873     42.934   3.950  9.55583E-01  9.96799E-01 -4.07687E-02
    7779.388     44.449   4.000  9.48318E-01  9.97825E-01 -4.88929E-02
    7780.921     45.982   4.050  9.43882E-01  9.98676E-01 -5.40287E-02
    7782.474     47.535   4.100  9.42993E-01  9.99528E-01 -5.56567E-02
    7784.046     49.107   4.150  9.45417E-01  1.00038E+00 -5.40226E-02
    7785.636     50.697   4.200  9.50302E-01  1.00123E+00 -4.99794E-02
    7787.246     52.307   4.250  9.56928E-01  1.00218E+00 -4.43528E-02
    7788.875     53.936   4.300  9.63582E-01  1.00314E+00 -3.87151E-02
    7790.523     55.584   4.350  9.69063E-01  1.00409E+00 -3.42381E-02
    7792.189     57.250   4.400  9.72729E-01  1.00505E+00 -3.15453E-02
    7793.875     58.936   4.450  9.75279E-01  1.00596E+00 -2.99124E-02
    7795.580     60.641   4.500  9.76905E-01  1.00687E+00 -2.91827E-02
    7797.304     62.365   4.550  9.78874E-01  1.00778E+00 -2.81210E-02
    7799.047     64.108   4.600  9.82674E-01  1.00868E+00 -2.52818E-02
    7800.810     65.871   4.650  9.89079E-01  1.00922E+00 -1.95665E-02
    7802.591     67.652   4.700  9.98798E-01  1.00976E+00 -1.06416E-02
    7804.391     69.452   4.750  1.01176E+00  1.01030E+00  1.42201E-03
    7806.210     71.271   4.800  1.02717E+00  1.01084E+00  1.58323E-02
    7808.048     73.110   4.850  1.04306E+00  1.01115E+00  3.09239E-02
    7809.906     74.967   4.900  1.05813E+00  1.01147E+00  4.52202E-02
    7811.782     76.843   4.950  1.07082E+00  1.01179E+00  5.71973E-02
    7813.678     78.739   5.000  1.07989E+00  1.01210E+00  6.56635E-02
    7815.592     80.653   5.050  1.08410E+00  1.01205E+00  6.98021E-02
    7817.526     82.587   5.100  1.08410E+00  1.01200E+00  6.98631E-02
    7819.478     84.539   5.150  1.08042E+00  1.01195E+00  6.63638E-02
    7821.450     86.511   5.200  1.07396E+00  1.01190E+00  6.01645E-02
    7823.441     88.502   5.250  1.06519E+00  1.01149E+00  5.20919E-02
    7825.451     90.512   5.300  1.05557E+00  1.01108E+00  4.31855E-02
    7827.479     92.540   5.350  1.04572E+00  1.01067E+00  3.40512E-02
    7829.527     94.588   5.400  1.03595E+00  1.01026E+00  2.49692E-02
    7831.594     96.655   5.450  1.02573E+00  1.00955E+00  1.57359E-02
    7833.680     98.741   5.500  1.01530E+00  1.00885E+00  6.28829E-03
    7835.785    100.846   5.550  1.00439E+00  1.00814E+00 -3.65998E-03
    7837.909    102.970   5.600  9.92768E-01  1.00744E+00 -1.43144E-02
    7840.052    105.113   5.650  9.80263E-01  1.00648E+00 -2.56123E-02
    7842.215    107.276   5.700  9.67479E-01  1.00553E+00 -3.72091E-02
    7844.396    109.457   5.750  9.54978E-01  1.00458E+00 -4.85549E-02
    7846.596    111.657   5.800  9.43539E-01  1.00362E+00 -5.88862E-02
    7848.815    113.876   5.850  9.34181E-01  1.00259E+00 -6.71346E-02
    7851.054    116.115   5.900  9.27632E-01  1.00156E+00 -7.26444E-02
    7853.311    118.372   5.950  9.24499E-01  1.00053E+00 -7.48070E-02
    7855.588    120.649   6.000  9.25064E-01  9.99500E-01 -7.33334E-02
    7857.883    122.944   6.050  9.29220E-01  9.98453E-01 -6.82923E-02
    7860.198    125.259   6.100  9.36389E-01  9.97407E-01 -6.02633E-02
    7862.531    127.592   6.150  9.45831E-01  9.96360E-01 -4.99666E-02
    7864.884    129.945   6.200  9.56681E-01  9.95313E-01 -3.82500E-02
    7867.256    132.317   6.250  9.68166E-01  9.94266E-01 -2.58748E-02
    7869.646    134.707   6.300  9.79820E-01  9.93219E-01 -1.32994E-02
    7872.056    137.117   6.350  9.91631E-01  9.92172E-01 -5.38086E-04
    7874.485    139.546   6.400  1.00403E+00  9.91125E-01  1.28387E-02
    7876.933    141.994   6.450  1.01770E+00  9.90078E-01  2.75208E-02
    7879.400    144.461   6.500  1.03325E+00  9.89031E-01  4.41110E-02
    7881.886    146.947   6.550  1.05101E+00  9.88198E-01  6.27248E-02
    7884.391    149.452   6.600  1.06977E+00  9.87364E-01  8.23793E-02
    7886.915    151.976   6.650  1.08756E+00  9.86531E-01  1.01110E-01
    7889.458    154.519   6.700  1.10148E+00  9.85697E-01  1.15988E-01
    7892.021    157.082   6.750  1.10811E+00  9.84864E-01  1.23594E-01
    7894.602    159.663   6.800  1.10435E+00  9.84030E-01  1.20788E-01
    7897.202    162.263   6.850  1.08829E+00  9.83197E-01  1.05613E-01
    7899.821    164.883   6.900  1.05997E+00  9.82364E-01  7.80686E-02
    7902.460    167.521   6.950  1.02176E+00  9.81530E-01  4.05180E-02
    7905.117    170.178   7.000  9.78255E-01  9.80697E-01 -2.46125E-03
    7907.794    172.855   7.050  9.35582E-01  9.79999E-01 -4.48225E-02
    7910.489    175.550   7.100  8.99944E-01  9.79301E-01 -8.01621E-02
    7913.204    178.265   7.150  8.76400E-01  9.78603E-01 -1.03345E-01
    7915.938    180.999   7.200  8.67597E-01  9.77905E-01 -1.11654E-01
    7918.690    183.751   7.250  8.73102E-01  9.77207E-01 -1.05482E-01
    7921.462    186.523   7.300  8.89504E-01  9.76509E-01 -8.82455E-02
    7924.253    189.314   7.350  9.11286E-01  9.75811E-01 -6.55115E-02
    7927.063    192.124   7.400  9.32279E-01  9.75113E-01 -4.35327E-02
    7929.892    194.953   7.450  9.47290E-01  9.74415E-01 -2.75958E-02
    7932.740    197.801   7.500  9.53450E-01  9.73717E-01 -2.06398E-02
    7935.607    200.668   7.550  9.50574E-01  9.72858E-01 -2.27246E-02
    7938.493    203.554   7.600  9.41959E-01  9.72000E-01 -3.06743E-02
    7941.398    206.459   7.650  9.32558E-01  9.71142E-01 -3.94492E-02
    7944.322    209.383   7.700  9.27686E-01  9.70284E-01 -4.36105E-02
    7947.265    212.326   7.750  9.31439E-01  9.69426E-01 -3.89412E-02
    7950.228    215.289   7.800  9.45500E-01  9.68568E-01 -2.36778E-02
    7953.209    218.270   7.850  9.68681E-01  9.67709E-01  9.98435E-04
    7956.209    221.270   7.900  9.97291E-01  9.66851E-01  3.13279E-02
    7959.229    224.290   7.950  1.02620E+00  9.65993E-01  6.20506E-02
    7962.267    227.328   8.000  1.05026E+00  9.65135E-01  8.78416E-02
    7965.325    230.386   8.050  1.06533E+00  9.64057E-01  1.04661E-01
    7968.401    233.462   8.100  1.06989E+00  9.62979E-01  1.10654E-01
    7971.497    236.558   8.150  1.06434E+00  9.61902E-01  1.06188E-01
    7974.611    239.672   8.200  1.05074E+00  9.60824E-01  9.33491E-02
    7977.745    242.806   8.250  1.03189E+00  9.59746E-01  7.50150E-02
    7980.898    245.959   8.300  1.01042E+00  9.58668E-01  5.38876E-02
    7984.070    249.131   8.350  9.88097E-01  9.57591E-01  3.18149E-02
    7987.261    252.322   8.400  9.65715E-01  9.56513E-01  9.61110E-03
    7990.471    255.532   8.450  9.43368E-01  9.55435E-01 -1.26229E-02
    7993.699    258.761   8.500  9.21080E-01  9.54357E-01 -3.48625E-02
    7996.947    262.009   8.550  8.99277E-01  9.53192E-01 -5.65612E-02
    8000.215    265.276   8.600  8.79656E-01  9.52027E-01 -7.60280E-02
    8003.501    268.562   8.650  8.64529E-01  9.50862E-01 -9.08204E-02
    8006.806    271.867   8.700  8.56391E-01  9.49698E-01 -9.82909E-02
