# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.357 Rnm= 1.405 K  shell
# # Pot 1 Z=62 Rmt= 1.642 Rnm= 1.693
# # Pot 2 Z=27 Rmt= 1.346 Rnm= 1.400
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.761E+01 kf=2.042E+00 Vint=-2.600E+01 Rs_int= 1.776
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4686
#           2       0.00000     35.07      2.00     2   2.7867
#           3       0.00000     38.90      3.00     2   2.7867
#           4       0.00000     21.92      2.00     2   3.0113
#           5       0.00000     10.96      2.00     2   4.0467
#           6       0.00000     10.77      2.00     2   4.0755
#           7       0.00000     59.52     12.00     2   4.2121
#           8       0.00000     20.98      6.00     2   4.8266
#           9       0.00000     20.55      4.00     2   4.9371
#          10       0.00000     19.76      6.00     2   4.9371
#          11       0.00000     30.73     12.00     2   5.4213
#          12       0.00000      7.51      2.00     2   5.5733
#          13       0.00000      7.12      3.00     2   5.5733
#          14       0.00000      4.49      2.00     2   5.6889
#          15       0.00000      4.02      2.00     2   5.9143
#    15/  15 paths used
#  xsedge+50, used to normalize mu           2.9267E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.699    -17.601   0.050  3.17803E-01  2.94994E-01  4.52683E-02
    7718.727    -17.572   0.100  3.22134E-01  2.99710E-01  4.44102E-02
    7718.775    -17.525   0.150  3.35118E-01  3.13645E-01  4.22598E-02
    7718.842    -17.458   0.200  3.48220E-01  3.27582E-01  4.03655E-02
    7718.927    -17.372   0.250  3.68761E-01  3.49233E-01  3.78057E-02
    7719.032    -17.267   0.300  3.89484E-01  3.70884E-01  3.56480E-02
    7719.156    -17.144   0.350  4.12745E-01  3.95936E-01  3.17751E-02
    7719.299    -17.001   0.400  4.36002E-01  4.20988E-01  2.79985E-02
    7719.461    -16.839   0.450  4.56480E-01  4.44949E-01  2.11444E-02
    7719.642    -16.658   0.500  4.76521E-01  4.68910E-01  1.37267E-02
    7719.842    -16.458   0.550  4.93005E-01  4.90187E-01  4.98596E-03
    7720.061    -16.239   0.600  5.08559E-01  5.11464E-01 -5.04361E-03
    7720.299    -16.001   0.650  5.19746E-01  5.30596E-01 -1.84442E-02
    7720.556    -15.743   0.700  5.29143E-01  5.49728E-01 -3.42766E-02
    7720.832    -15.467   0.750  5.31373E-01  5.67584E-01 -5.89629E-02
    7721.128    -15.172   0.800  5.30683E-01  5.85441E-01 -8.72345E-02
    7721.442    -14.858   0.850  5.20938E-01  6.02641E-01 -1.27212E-01
    7721.775    -14.524   0.900  5.08186E-01  6.19842E-01 -1.69997E-01
    7722.128    -14.172   0.950  4.87218E-01  6.36667E-01 -2.22372E-01
    7722.499    -13.800   1.000  4.65405E-01  6.53492E-01 -2.73653E-01
    7722.890    -13.410   1.050  4.39929E-01  6.69997E-01 -3.27278E-01
    7723.299    -13.000   1.100  4.18012E-01  6.86501E-01 -3.73618E-01
    7723.728    -12.572   1.150  3.99205E-01  7.02613E-01 -4.13201E-01
    7724.176    -12.124   1.200  3.88909E-01  7.18724E-01 -4.39781E-01
    7724.642    -11.657   1.250  3.87774E-01  7.34275E-01 -4.52738E-01
    7725.128    -11.171   1.300  3.98642E-01  7.49826E-01 -4.49810E-01
    7725.633    -10.667   1.350  4.22199E-01  7.64640E-01 -4.30455E-01
    7726.157    -10.143   1.400  4.58843E-01  7.79454E-01 -3.95656E-01
    7726.700     -9.600   1.450  5.08834E-01  7.93326E-01 -3.45174E-01
    7727.262     -9.038   1.500  5.70255E-01  8.07199E-01 -2.82725E-01
    7727.843     -8.457   1.550  6.42441E-01  8.19941E-01 -2.08631E-01
    7728.443     -7.857   1.600  7.21047E-01  8.32683E-01 -1.29284E-01
    7729.062     -7.238   1.650  8.03882E-01  8.44137E-01 -4.60162E-02
    7729.700     -6.599   1.700  8.84740E-01  8.55592E-01  3.28942E-02
    7730.357     -5.942   1.750  9.60055E-01  8.65660E-01  1.05367E-01
    7731.034     -5.266   1.800  1.02387E+00  8.75727E-01  1.63586E-01
    7731.729     -4.571   1.850  1.07265E+00  8.84318E-01  2.06115E-01
    7732.443     -3.856   1.900  1.10370E+00  8.92908E-01  2.28665E-01
    7733.177     -3.123   1.950  1.11537E+00  8.99926E-01  2.32108E-01
    7733.929     -2.370   2.000  1.11021E+00  9.06943E-01  2.17493E-01
    7734.701     -1.599   2.050  1.08808E+00  9.11466E-01  1.88244E-01
    7735.491     -0.808   2.100  1.05700E+00  9.15988E-01  1.49721E-01
