# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.401 Rnm= 1.450 K  shell
# # Pot 1 Z=62 Rmt= 1.687 Rnm= 1.742
# # Pot 2 Z=27 Rmt= 1.386 Rnm= 1.441
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.657E+01 kf=1.954E+00 Vint=-2.392E+01 Rs_int= 1.856
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.5595
#           2       0.00000     36.32      2.00     2   2.8533
#           3       0.00000     39.97      3.00     2   2.8533
#           4       0.00000     22.45      2.00     2   3.0915
#           5       0.00000     11.04      2.00     2   4.1839
#           6       0.00000     10.61      2.00     2   4.2500
#           7       0.00000     60.64     12.00     2   4.3317
#           8       0.00000     21.46      6.00     2   4.9421
#           9       0.00000     20.39      4.00     2   5.1190
#          10       0.00000     19.51      6.00     2   5.1190
#          11       0.00000     30.95     12.00     2   5.5656
#          12       0.00000      7.66      2.00     2   5.7067
#          13       0.00000      7.21      3.00     2   5.7067
#          14       0.00000      4.52      2.00     2   5.8294
#    14/  14 paths used
#  xsedge+50, used to normalize mu           2.9219E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7717.802    -16.571   0.000  3.12128E-01  2.80946E-01  6.56003E-02
    7717.812    -16.561   0.050  3.15842E-01  2.85443E-01  6.37929E-02
    7717.840    -16.532   0.100  3.19561E-01  2.89939E-01  6.20023E-02
    7717.888    -16.485   0.150  3.30787E-01  3.03381E-01  5.69356E-02
    7717.955    -16.418   0.200  3.42043E-01  3.16823E-01  5.20051E-02
    7718.040    -16.332   0.250  3.59767E-01  3.37784E-01  4.47780E-02
    7718.145    -16.228   0.300  3.77561E-01  3.58745E-01  3.78663E-02
    7718.269    -16.104   0.350  3.98568E-01  3.83242E-01  3.03398E-02
    7718.412    -15.961   0.400  4.19629E-01  4.07739E-01  2.31587E-02
    7718.574    -15.799   0.450  4.40150E-01  4.31557E-01  1.64050E-02
    7718.755    -15.618   0.500  4.60529E-01  4.55376E-01  9.64851E-03
    7718.955    -15.418   0.550  4.77581E-01  4.77015E-01  1.03568E-03
    7719.174    -15.199   0.600  4.93830E-01  4.98654E-01 -8.63515E-03
    7719.412    -14.961   0.650  5.04220E-01  5.18564E-01 -2.50475E-02
    7719.669    -14.704   0.700  5.12531E-01  5.38474E-01 -4.42211E-02
    7719.945    -14.427   0.750  5.12360E-01  5.57437E-01 -7.48755E-02
    7720.241    -14.132   0.800  5.08951E-01  5.76401E-01 -1.09245E-01
    7720.555    -13.818   0.850  4.95720E-01  5.94901E-01 -1.56463E-01
    7720.888    -13.484   0.900  4.79835E-01  6.13401E-01 -2.05368E-01
    7721.241    -13.132   0.950  4.56529E-01  6.31629E-01 -2.62306E-01
    7721.612    -12.761   1.000  4.34127E-01  6.49856E-01 -3.15070E-01
    7722.003    -12.370   1.050  4.11126E-01  6.67760E-01 -3.65486E-01
    7722.412    -11.960   1.100  3.94391E-01  6.85665E-01 -4.04745E-01
    7722.841    -11.532   1.150  3.84486E-01  7.03086E-01 -4.32294E-01
    7723.289    -11.084   1.200  3.84699E-01  7.20507E-01 -4.45161E-01
    7723.755    -10.617   1.250  3.95521E-01  7.37196E-01 -4.43059E-01
    7724.241    -10.132   1.300  4.17305E-01  7.53886E-01 -4.27136E-01
    7724.746     -9.627   1.350  4.50224E-01  7.69606E-01 -3.97296E-01
    7725.270     -9.103   1.400  4.93593E-01  7.85326E-01 -3.55864E-01
    7725.813     -8.560   1.450  5.48007E-01  7.99822E-01 -3.01790E-01
    7726.375     -7.998   1.500  6.12072E-01  8.14317E-01 -2.38210E-01
    7726.956     -7.417   1.550  6.86032E-01  8.27381E-01 -1.63964E-01
    7727.556     -6.817   1.600  7.66412E-01  8.40446E-01 -8.45973E-02
    7728.175     -6.198   1.650  8.51193E-01  8.51907E-01 -8.05603E-04
    7728.813     -5.560   1.700  9.34265E-01  8.63368E-01  7.89839E-02
    7729.470     -4.902   1.750  1.01088E+00  8.73118E-01  1.51902E-01
    7730.147     -4.226   1.800  1.07446E+00  8.82867E-01  2.09121E-01
    7730.842     -3.531   1.850  1.11961E+00  8.90832E-01  2.47745E-01
    7731.556     -2.817   1.900  1.14360E+00  8.98796E-01  2.63034E-01
    7732.290     -2.083   1.950  1.14379E+00  9.04847E-01  2.55309E-01
    7733.042     -1.331   2.000  1.12463E+00  9.10897E-01  2.27095E-01
    7733.814     -0.559   2.050  1.08555E+00  9.13716E-01  1.82351E-01
    7734.604      0.231   2.100  1.03852E+00  9.16535E-01  1.29299E-01
    7735.414      1.041   2.150  9.91604E-01  9.19354E-01  7.64887E-02
    7736.243      1.870   2.200  9.51384E-01  9.22172E-01  3.08874E-02
    7737.090      2.717   2.250  9.25634E-01  9.26999E-01 -1.44005E-03
    7737.957      3.584   2.300  9.14169E-01  9.31825E-01 -1.85914E-02
    7738.843      4.470   2.350  9.13623E-01  9.36651E-01 -2.41974E-02
    7739.748      5.375   2.400  9.19297E-01  9.41477E-01 -2.32586E-02
    7740.672      6.299   2.450  9.25539E-01  9.48407E-01 -2.38608E-02
    7741.615      7.242   2.500  9.32394E-01  9.55336E-01 -2.38222E-02
    7742.577      8.204   2.550  9.39304E-01  9.62266E-01 -2.37268E-02
    7743.558      9.185   2.600  9.46291E-01  9.69196E-01 -2.35526E-02
    7744.558     10.185   2.650  9.48716E-01  9.72228E-01 -2.41142E-02
    7745.577     11.204   2.700  9.52622E-01  9.75259E-01 -2.31577E-02
    7746.615     12.242   2.750  9.57997E-01  9.78291E-01 -2.07068E-02
