# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.401 Rnm= 1.475 K  shell
# # Pot 1 Z=26 Rmt= 1.413 Rnm= 1.490
# # Pot 2 Z=14 Rmt= 1.368 Rnm= 1.434
# # Pot 3 Z=26 Rmt= 1.437 Rnm= 1.516
# # Pot 4 Z=57 Rmt= 1.945 Rnm= 1.970
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.434E+01 kf=1.920E+00 Vint=-2.024E+01 Rs_int= 1.889
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00410    100.00      1.00     2   2.4817
#           2       0.00269    578.40      7.00     2   2.4817
#           3       0.00415     39.97      8.00     3   3.7636
#           4       0.00307     68.65     16.00     3   3.7636
#           5       0.00317     18.84      6.00     3   3.8847
#           6       0.00527     52.93      2.00     2   3.9599
#           7       0.00352    175.40      6.00     2   3.9599
#           8       0.00396     18.80      2.00     3   4.4150
#           9       0.00500     16.48      4.00     3   4.4150
#          10       0.00349     38.79     10.00     3   4.4150
#          11       0.00556     15.38      2.00     3   4.5130
#          12       0.00408     14.18      2.00     3   4.5130
#          13       0.00503     15.20      4.00     3   4.5130
#          14       0.00352     47.55     16.00     3   4.5130
#          15       0.00505      5.51      2.00     3   4.5287
#          16       0.00351     10.63      4.00     3   4.5287
#          17       0.00509     12.53      4.00     3   4.6066
#          18       0.00351     34.92     12.00     3   4.6066
#          19       0.00516     15.16      1.00     2   4.8049
#          20       0.00345     89.39      5.00     2   4.8049
#          21       0.00349     55.55      2.00     3   4.8375
#          22       0.00515     22.28      2.00     3   4.8375
#          23       0.00345    105.40      8.00     3   4.8375
#          24       0.00369     40.92      1.00     4   4.8701
#          25       0.00659      4.88      1.00     4   4.8701
#          26       0.00524     11.38      1.00     4   4.8701
#          27       0.00355     49.49      4.00     4   4.8701
#          28       0.00471      6.59      5.00     4   4.8701
#          29       0.00343     41.77      4.00     3   4.9633
#          30       0.00343     35.22      4.00     4   4.9633
#          31       0.01640      6.50      1.00     4   4.9633
#          32       0.00608      5.29      4.00     4   4.9633
#          33       0.01077     33.55      7.00     4   4.9633
#          34       0.00452     17.20     12.00     4   4.9633
#          35       0.00472      4.72      4.00     4   4.9633
#          36       0.00799     12.14      8.00     4   4.9633
#          37       0.00624      9.91      6.00     4   4.9633
#          38       0.00660     27.67     16.00     4   4.9633
#          39       0.00241    104.00      4.00     2   4.9796
#          40       0.01124     16.45      4.00     4   5.0455
#          41       0.00838      7.16      4.00     4   5.0455
#          42       0.00692     31.83     16.00     4   5.0455
#          45       0.00506      6.55      8.00     4   5.0661
#          46       0.00743      8.76      6.00     4   5.2877
#          47       0.00373     13.42     16.00     3   5.3363
#          48       0.00381      5.87      4.00     3   5.3629
#          49       0.00302     38.75      4.00     3   5.3978
#          50       0.00259     61.55     20.00     3   5.3978
#          51       0.00447     14.16      6.00     3   5.6643
#          52       0.00368      6.21      8.00     3   5.6643
#          53       0.00367     11.78     14.00     3   5.7077
#          54       0.00505      9.14      1.00     2   5.7104
#          55       0.00336     78.00      7.00     2   5.7104
#          56       0.00367      4.95      6.00     3   5.7164
#          57       0.00368      7.19      4.00     4   5.7403
#          58       0.00364      7.74     10.00     4   5.7403
#          59       0.00336     44.81      4.00     2   5.7500
#          60       0.00361     14.14     14.00     3   5.7593
#          61       0.00347     23.39      2.00     3   5.7849
#          62       0.00506      6.58      2.00     3   5.7849
#          63       0.00339     44.35     12.00     3   5.7849
#          64       0.00360      8.14      8.00     3   5.7940
#          65       0.00557      9.97      2.00     4   5.8160
#          66       0.00387      5.42     10.00     4   5.8160
#          67       0.00396     14.18      1.00     4   5.8594
#          68       0.00364      7.92      6.00     4   5.8594
#          69       0.00630      6.31      8.00     4   5.8885
#          70       0.00367      5.20     10.00     3   5.9272
#          71       0.00383      5.55      4.00     4   5.9598
#          72       0.00379      4.13      6.00     4   5.9598
#    70/  72 paths used
#  xsedge+50, used to normalize mu           3.1511E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7119.147    -14.326   0.050  8.25950E-01  3.25288E-01  9.07511E-01
    7119.176    -14.297   0.100  8.19644E-01  3.30976E-01  8.83028E-01
    7119.224    -14.249   0.150  8.00635E-01  3.47876E-01  8.10657E-01
    7119.290    -14.183   0.200  7.76732E-01  3.64775E-01  7.30913E-01
    7119.376    -14.097   0.250  7.39049E-01  3.90833E-01  6.08790E-01
    7119.481    -13.992   0.300  6.97119E-01  4.16890E-01  4.82868E-01
    7119.605    -13.868   0.350  6.48116E-01  4.46682E-01  3.40422E-01
    7119.748    -13.725   0.400  5.99014E-01  4.76473E-01  2.03187E-01
    7119.909    -13.564   0.450  5.51791E-01  5.04895E-01  7.59865E-02
    7120.090    -13.383   0.500  5.11725E-01  5.33316E-01 -3.42041E-02
    7120.290    -13.183   0.550  4.77356E-01  5.59038E-01 -1.26138E-01
    7120.510    -12.963   0.600  4.54898E-01  5.84759E-01 -1.95613E-01
    7120.748    -12.725   0.650  4.37085E-01  6.08418E-01 -2.51277E-01
    7121.005    -12.468   0.700  4.33321E-01  6.32077E-01 -2.84007E-01
    7121.281    -12.192   0.750  4.34322E-01  6.54393E-01 -3.06148E-01
    7121.576    -11.897   0.800  4.53018E-01  6.76709E-01 -3.03167E-01
    7121.891    -11.582   0.850  4.81229E-01  6.97965E-01 -2.86238E-01
    7122.224    -11.249   0.900  5.22888E-01  7.19221E-01 -2.52833E-01
    7122.576    -10.897   0.950  5.65136E-01  7.39356E-01 -2.19013E-01
    7122.948    -10.525   1.000  6.10616E-01  7.59490E-01 -1.82798E-01
    7123.338    -10.135   1.050  6.49775E-01  7.78238E-01 -1.54340E-01
    7123.748     -9.725   1.100  6.83327E-01  7.96985E-01 -1.33675E-01
    7124.177     -9.296   1.150  7.06319E-01  8.14029E-01 -1.24300E-01
    7124.624     -8.849   1.200  7.20154E-01  8.31074E-01 -1.25644E-01
    7125.091     -8.382   1.250  7.24225E-01  8.46125E-01 -1.35893E-01
    7125.577     -7.896   1.300  7.21992E-01  8.61176E-01 -1.52740E-01
    7126.082     -7.391   1.350  7.15365E-01  8.74033E-01 -1.71885E-01
    7126.606     -6.867   1.400  7.09199E-01  8.86889E-01 -1.90053E-01
    7127.148     -6.325   1.450  7.05580E-01  8.97462E-01 -2.03197E-01
    7127.710     -5.763   1.500  7.09124E-01  9.08035E-01 -2.08572E-01
    7128.291     -5.182   1.550  7.19724E-01  9.16335E-01 -2.04687E-01
    7128.892     -4.582   1.600  7.40514E-01  9.24636E-01 -1.90322E-01
    7129.511     -3.962   1.650  7.67715E-01  9.30790E-01 -1.67780E-01
    7130.149     -3.324   1.700  8.03079E-01  9.36945E-01 -1.37088E-01
    7130.806     -2.667   1.750  8.37878E-01  9.41144E-01 -1.05489E-01
    7131.482     -1.991   1.800  8.78409E-01  9.45342E-01 -6.82051E-02
    7132.178     -1.295   1.850  9.15001E-01  9.47801E-01 -3.34019E-02
    7132.892     -0.581   1.900  9.45903E-01  9.50259E-01 -4.43346E-03
    7133.625      0.152   1.950  9.72584E-01  9.51104E-01  2.18792E-02
    7134.378      0.905   2.000  9.93259E-01  9.51949E-01  4.21151E-02
    7135.149      1.676   2.050  1.01042E+00  9.51066E-01  6.06857E-02
    7135.940      2.467   2.100  1.02261E+00  9.50182E-01  7.42763E-02
    7136.750      3.277   2.150  1.03114E+00  9.49299E-01  8.41738E-02
    7137.578      4.105   2.200  1.03672E+00  9.48416E-01  9.11007E-02
    7138.426      4.953   2.250  1.04036E+00  9.49679E-01  9.39379E-02
    7139.293      5.820   2.300  1.03888E+00  9.50941E-01  9.14747E-02
    7140.179      6.706   2.350  1.03138E+00  9.52204E-01  8.26965E-02
    7141.083      7.610   2.400  1.01828E+00  9.53467E-01  6.79775E-02
    7142.007      8.534   2.450  1.00429E+00  9.55637E-01  5.10380E-02
    7142.950      9.477   2.500  9.88007E-01  9.57808E-01  3.16836E-02
    7143.912     10.439   2.550  9.72617E-01  9.59978E-01  1.32623E-02
    7144.893     11.420   2.600  9.60251E-01  9.62149E-01 -1.99227E-03
    7145.894     12.421   2.650  9.47504E-01  9.63471E-01 -1.67335E-02
    7146.913     13.440   2.700  9.40009E-01  9.64794E-01 -2.59370E-02
    7147.951     14.478   2.750  9.38669E-01  9.66116E-01 -2.86815E-02
    7149.008     15.535   2.800  9.42985E-01  9.67439E-01 -2.55164E-02
    7150.085     16.612   2.850  9.48345E-01  9.68667E-01 -2.11575E-02
