# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.348 Rnm= 1.402 K  shell
# # Pot 1 Z=62 Rmt= 1.674 Rnm= 1.720
# # Pot 2 Z=27 Rmt= 1.362 Rnm= 1.420
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.659E+01 kf=2.006E+00 Vint=-2.462E+01 Rs_int= 1.808
# # PATH  Rmax= 7.920,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01095    100.00      6.00     2   2.4277
#           2       0.00941     50.51      3.00     2   2.8590
#           3       0.01287     35.55      3.00     2   2.8590
#           4       0.01241      8.15     12.00     3   3.6657
#           5       0.01525     11.50      2.00     2   3.9244
#           6       0.01548     56.40     12.00     2   4.2608
#           7       0.01528     16.12     24.00     3   4.5822
#           8       0.01554     14.85     12.00     3   4.7478
#           9       0.01546      8.48     24.00     3   4.7738
#          10       0.01546     10.70     24.00     3   4.7738
#          11       0.01117     32.72      6.00     2   4.8554
#          12       0.01567     20.22      6.00     2   4.8554
#          13       0.01567     48.57     12.00     3   4.8554
#          15       0.04379      5.46      6.00     4   4.8554
#          16       0.01567     40.04      6.00     4   4.8554
#          17       0.01569     19.20      6.00     2   4.9520
#          18       0.01147      7.48     12.00     3   5.0014
#          19       0.01421     12.61     24.00     3   5.1395
#          20       0.01161     15.94     24.00     3   5.2211
#          22       0.01503      9.50      8.00     3   5.3350
#          23       0.01589     28.77     12.00     2   5.5150
#          24       0.01137      7.18      2.00     2   5.7180
#          25       0.01600      6.51      3.00     2   5.7180
#          26       0.01137      9.60      6.00     3   5.7181
#          27       0.01600     32.07      6.00     3   5.7181
#          28       0.01137     12.87      4.00     3   5.7180
#          29       0.01137      5.28      6.00     4   5.7180
#          31       0.01600     39.33      3.00     4   5.7180
#          32       0.01137      8.66      2.00     4   5.7180
#          33       0.01551     31.53     24.00     3   5.7666
#          34       0.01704      8.53     12.00     4   6.0183
#          36       0.01638      4.48     24.00     3   6.2508
#          37       0.01653      8.35     24.00     3   6.5035
#          39       0.01683      5.12     24.00     3   6.8263
#          40       0.01212      5.44     24.00     3   6.8345
#          41       0.01218     10.94     24.00     3   6.9791
#          43       0.01694      7.14     24.00     3   7.1400
#          44       0.01694      6.88     24.00     4   7.1399
#          45       0.01731      4.08     24.00     4   7.1755
#          46       0.01731      6.17     24.00     5   7.1754
#    40/  45 paths used
#  xsedge+50, used to normalize mu           2.8876E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.742    -16.577   0.050  3.56918E-01  3.30590E-01  4.61356E-02
    7718.771    -16.549   0.100  3.59099E-01  3.35917E-01  4.05370E-02
    7718.819    -16.501   0.150  3.66129E-01  3.51666E-01  2.51357E-02
    7718.885    -16.434   0.200  3.73795E-01  3.67415E-01  1.10195E-02
    7718.971    -16.349   0.250  3.87723E-01  3.91843E-01 -7.04472E-03
    7719.076    -16.244   0.300  4.03640E-01  4.16271E-01 -2.13863E-02
    7719.200    -16.120   0.350  4.26521E-01  4.44476E-01 -2.99965E-02
    7719.342    -15.977   0.400  4.52709E-01  4.72680E-01 -3.29270E-02
    7719.504    -15.815   0.450  4.82510E-01  4.99492E-01 -2.75474E-02
    7719.685    -15.634   0.500  5.14795E-01  5.26304E-01 -1.83747E-02
    7719.885    -15.434   0.550  5.43161E-01  5.49882E-01 -1.05340E-02
    7720.104    -15.215   0.600  5.70819E-01  5.73459E-01 -4.06352E-03
    7720.343    -14.977   0.650  5.87525E-01  5.94333E-01 -1.02744E-02
    7720.600    -14.720   0.700  5.99937E-01  6.15206E-01 -2.26002E-02
    7720.876    -14.444   0.750  5.97840E-01  6.34310E-01 -5.28782E-02
    7721.171    -14.148   0.800  5.90454E-01  6.53413E-01 -8.94600E-02
    7721.486    -13.834   0.850  5.71024E-01  6.71373E-01 -1.39660E-01
    7721.819    -13.501   0.900  5.50422E-01  6.89333E-01 -1.89438E-01
    7722.171    -13.148   0.950  5.27384E-01  7.06433E-01 -2.39277E-01
    7722.543    -12.777   1.000  5.10631E-01  7.23533E-01 -2.78922E-01
    7722.933    -12.386   1.050  5.02572E-01  7.39784E-01 -3.04823E-01
    7723.343    -11.977   1.100  5.05020E-01  7.56035E-01 -3.16504E-01
    7723.772    -11.548   1.150  5.18324E-01  7.71359E-01 -3.13372E-01
    7724.219    -11.100   1.200  5.38882E-01  7.86684E-01 -3.01524E-01
    7724.686    -10.634   1.250  5.62441E-01  8.00903E-01 -2.85469E-01
    7725.172    -10.148   1.300  5.85926E-01  8.15123E-01 -2.70012E-01
    7725.677     -9.643   1.350  6.06017E-01  8.28080E-01 -2.57862E-01
    7726.200     -9.119   1.400  6.24397E-01  8.41036E-01 -2.48014E-01
    7726.743     -8.576   1.450  6.42602E-01  8.52601E-01 -2.37431E-01
    7727.305     -8.014   1.500  6.66169E-01  8.64166E-01 -2.21121E-01
    7727.886     -7.433   1.550  6.98066E-01  8.74227E-01 -1.94691E-01
    7728.486     -6.833   1.600  7.42259E-01  8.84288E-01 -1.55355E-01
    7729.106     -6.214   1.650  7.97574E-01  8.92805E-01 -1.03288E-01
    7729.744     -5.576   1.700  8.61794E-01  9.01322E-01 -4.25141E-02
    7730.401     -4.919   1.750  9.28525E-01  9.08308E-01  2.16016E-02
    7731.077     -4.242   1.800  9.90786E-01  9.15294E-01  8.01403E-02
    7731.773     -3.547   1.850  1.04130E+00  9.20782E-01  1.27325E-01
