# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.403 Rnm= 1.478 L3 shell
# # Pot 1 Z=26 Rmt= 1.437 Rnm= 1.516
# # Pot 2 Z=14 Rmt= 1.368 Rnm= 1.434
# # Pot 3 Z=57 Rmt= 1.925 Rnm= 1.946
# # Gam_ch=4.170E-01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.437E+01 kf=1.918E+00 Vint=-2.023E+01 Rs_int= 1.891
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00420    100.00      7.00     2   2.4817
#           2       0.00560     19.59      1.00     2   2.4817
#           3       0.00457     22.53     16.00     3   3.7636
#           4       0.00502     21.75      6.00     2   3.9599
#           5       0.00677      9.08      2.00     2   3.9599
#           6       0.00503      7.96     16.00     3   4.5130
#           7       0.00501     10.90     12.00     3   4.6066
#           8       0.00495     12.69      5.00     2   4.8049
#          10       0.00495     16.96      8.00     3   4.8375
#          12       0.00499      9.66      2.00     3   4.8375
#          13       0.00505     14.10      4.00     4   4.8701
#          14       0.00519      7.60      1.00     4   4.8701
#          15       0.00493      8.47      4.00     3   4.9633
#          16       0.00493     10.06      4.00     4   4.9633
#          17       0.01228     13.68      7.00     4   4.9633
#          18       0.00391     14.22      4.00     2   4.9796
#          19       0.00409     14.32     20.00     3   5.3978
#          20       0.00452      6.04      4.00     3   5.3978
#          21       0.00486     12.49      7.00     2   5.7104
#          22       0.00486      7.03      4.00     2   5.7500
#          23       0.00489      7.12     12.00     3   5.7849
#          24       0.00497      4.32      2.00     3   5.7849
#    22/  25 paths used
#  xsedge+50, used to normalize mu           9.0028E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
     712.618    -14.363   0.050  1.10208E+01  2.22243E+00  1.71455E+00
     712.646    -14.335   0.100  1.10331E+01  2.35083E+00  1.72166E+00
     712.694    -14.287   0.150  1.09141E+01  2.62707E+00  1.72229E+00
     712.761    -14.221   0.200  1.06067E+01  2.90331E+00  1.68189E+00
     712.846    -14.135   0.250  9.90179E+00  3.03175E+00  1.60619E+00
     712.951    -14.030   0.300  9.00830E+00  3.16019E+00  1.47152E+00
     713.075    -13.906   0.350  7.97949E+00  3.08286E+00  1.33509E+00
     713.218    -13.763   0.400  6.88627E+00  3.00552E+00  1.15462E+00
     713.380    -13.601   0.450  5.97597E+00  2.84224E+00  1.01372E+00
     713.561    -13.420   0.500  5.07967E+00  2.67895E+00  8.50850E-01
     713.761    -13.220   0.550  4.41654E+00  2.50752E+00  7.33593E-01
     713.980    -13.001   0.600  3.78351E+00  2.33609E+00  6.07386E-01
     714.218    -12.763   0.650  3.30698E+00  2.18650E+00  5.06464E-01
     714.475    -12.506   0.700  2.86193E+00  2.03692E+00  4.04082E-01
     714.751    -12.230   0.750  2.56731E+00  1.91626E+00  3.40534E-01
     715.047    -11.935   0.800  2.29393E+00  1.79560E+00  2.79651E-01
     715.361    -11.620   0.850  2.01928E+00  1.70185E+00  1.88459E-01
     715.694    -11.287   0.900  1.75583E+00  1.60810E+00  9.31024E-02
     716.047    -10.934   0.950  1.54835E+00  1.53670E+00  7.69874E-03
     716.418    -10.563   1.000  1.37734E+00  1.46529E+00 -6.10376E-02
     716.809    -10.172   1.050  1.25806E+00  1.41160E+00 -1.10715E-01
     717.218     -9.763   1.100  1.17550E+00  1.35791E+00 -1.36871E-01
     717.647     -9.334   1.150  1.13410E+00  1.31812E+00 -1.42311E-01
     718.095     -8.887   1.200  1.12006E+00  1.27832E+00 -1.26268E-01
     718.561     -8.420   1.250  1.12907E+00  1.24932E+00 -9.81811E-02
     719.047     -7.934   1.300  1.15639E+00  1.22032E+00 -5.34425E-02
     719.552     -7.429   1.350  1.18841E+00  1.19980E+00 -9.67490E-03
     720.076     -6.905   1.400  1.22300E+00  1.17927E+00  3.78085E-02
