# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.397 Rnm= 1.445 K  shell
# # Pot 1 Z=62 Rmt= 1.687 Rnm= 1.742
# # Pot 2 Z=27 Rmt= 1.391 Rnm= 1.451
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.600E+01 kf=1.936E+00 Vint=-2.333E+01 Rs_int= 1.873
# # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.5595
#           2       0.00000     57.10      3.00     2   2.8532
#           3       0.00000     39.98      3.00     2   2.8533
#           4       0.00000      9.39     12.00     3   3.7950
#           5       0.00000      7.65     12.00     3   3.9861
#           6       0.00000     10.59      2.00     2   4.2500
#           7       0.00000     60.55     12.00     2   4.3316
#           8       0.00000     10.30     24.00     3   4.3359
#           9       0.00000     14.76     24.00     3   4.6810
#          10       0.00000      6.69     12.00     3   4.6845
#          11       0.00000      8.50     24.00     3   4.8722
#          12       0.00000     10.09     24.00     3   4.8721
#          13       0.00000     21.41      6.00     2   4.9420
#          14       0.00000     14.62     12.00     3   5.0175
#          15       0.00000      7.41     12.00     3   5.0956
#          16       0.00000     32.44      6.00     2   5.1189
#          17       0.00000     19.47      6.00     2   5.1189
#          18       0.00000     44.34     12.00     3   5.1190
#          20       0.00000      4.85      6.00     4   5.1189
#          21       0.00000     35.59      6.00     4   5.1189
#          22       0.00000     11.25     20.00     3   5.2220
#          23       0.00000      4.90      6.00     3   5.3243
#          24       0.00000     16.40     12.00     3   5.3243
#          25       0.00000     14.18     24.00     3   5.4687
#          26       0.00000     30.91     12.00     2   5.5654
#          27       0.00000     12.24      3.00     2   5.7066
#          28       0.00000      4.80      2.00     2   5.7066
#          29       0.00000     11.15      6.00     3   5.7065
#          30       0.00000     11.93      2.00     3   5.7065
#          31       0.00000     23.86      4.00     3   5.7066
#          32       0.00000     21.28      6.00     3   5.7066
#          33       0.00000      5.81      6.00     4   5.7065
#          35       0.00000     14.50      1.00     4   5.7065
#          36       0.00000     28.99      2.00     4   5.7066
#          37       0.00000      5.57      6.00     4   5.7065
#          38       0.00000     14.63      3.00     4   5.7065
#          39       0.00000     31.37     24.00     3   5.8389
#          40       0.00000      5.90     12.00     3   6.1111
#          42       0.00000      7.42     12.00     4   6.1123
#          43       0.00000      4.54     24.00     3   6.4613
#          44       0.00000     19.65     12.00     2   6.5181
#          45       0.00000      9.76      6.00     2   6.5327
#          46       0.00000     19.18     12.00     2   6.5716
#          47       0.00000      5.08     12.00     3   6.6711
#          50       0.00000      6.22     24.00     3   6.6871
#    45/  50 paths used
#  xsedge+50, used to normalize mu           2.9118E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7717.915    -15.990   0.050  9.96998E-02  3.07969E-01 -3.95674E-01
    7717.944    -15.962   0.100  1.07171E-01  3.12906E-01 -3.89914E-01
    7717.991    -15.914   0.150  1.30189E-01  3.27503E-01 -3.71282E-01
    7718.058    -15.847   0.200  1.54902E-01  3.42099E-01 -3.49750E-01
    7718.144    -15.761   0.250  1.96643E-01  3.64826E-01 -3.10617E-01
    7718.249    -15.657   0.300  2.41659E-01  3.87552E-01 -2.66391E-01
    7718.372    -15.533   0.350  3.00070E-01  4.14005E-01 -2.04854E-01
    7718.515    -15.390   0.400  3.61257E-01  4.40459E-01 -1.40256E-01
    7718.677    -15.228   0.450  4.25636E-01  4.65948E-01 -7.00671E-02
    7718.858    -15.047   0.500  4.88812E-01  4.91437E-01 -4.47915E-03
    7719.058    -14.847   0.550  5.43209E-01  5.14292E-01  4.83229E-02
    7719.277    -14.628   0.600  5.89926E-01  5.37147E-01  8.63972E-02
    7719.515    -14.390   0.650  6.18474E-01  5.57808E-01  9.70845E-02
    7719.773    -14.133   0.700  6.33636E-01  5.78469E-01  8.63508E-02
    7720.049    -13.857   0.750  6.26819E-01  5.97763E-01  4.44261E-02
    7720.344    -13.561   0.800  6.06498E-01  6.17057E-01 -1.57791E-02
    7720.658    -13.247   0.850  5.69334E-01  6.35473E-01 -9.65390E-02
    7720.992    -12.914   0.900  5.26943E-01  6.53889E-01 -1.81091E-01
    7721.344    -12.561   0.950  4.81583E-01  6.71618E-01 -2.64955E-01
    7721.716    -12.190   1.000  4.43081E-01  6.89347E-01 -3.35759E-01
    7722.106    -11.799   1.050  4.17418E-01  7.06355E-01 -3.85473E-01
    7722.516    -11.390   1.100  4.04344E-01  7.23364E-01 -4.16653E-01
    7722.944    -10.961   1.150  4.09773E-01  7.39491E-01 -4.22051E-01
    7723.392    -10.513   1.200  4.32540E-01  7.55619E-01 -4.05476E-01
    7723.859    -10.047   1.250  4.69310E-01  7.70674E-01 -3.71420E-01
    7724.345     -9.561   1.300  5.16054E-01  7.85729E-01 -3.26491E-01
    7724.849     -9.056   1.350  5.67465E-01  7.99488E-01 -2.76441E-01
    7725.373     -8.532   1.400  6.17345E-01  8.13246E-01 -2.29753E-01
    7725.916     -7.989   1.450  6.60688E-01  8.25563E-01 -1.90722E-01
    7726.478     -7.427   1.500  6.95629E-01  8.37880E-01 -1.62333E-01
    7727.059     -6.846   1.550  7.21415E-01  8.48624E-01 -1.43511E-01
    7727.659     -6.246   1.600  7.44450E-01  8.59367E-01 -1.28182E-01
    7728.278     -5.627   1.650  7.69412E-01  8.68499E-01 -1.09509E-01
    7728.917     -4.989   1.700  8.05727E-01  8.77630E-01 -7.87431E-02
    7729.574     -4.332   1.750  8.57308E-01  8.85132E-01 -3.02552E-02
    7730.250     -3.655   1.800  9.26104E-01  8.92633E-01  3.61413E-02
    7730.945     -2.960   1.850  1.00679E+00  8.98546E-01  1.16280E-01
    7731.660     -2.246   1.900  1.08893E+00  9.04460E-01  1.97164E-01
    7732.393     -1.512   1.950  1.15871E+00  9.08757E-01  2.66258E-01
    7733.146     -0.760   2.000  1.20340E+00  9.13053E-01  3.08265E-01
