# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.356 Rnm= 1.412 K  shell
# # Pot 1 Z=62 Rmt= 1.698 Rnm= 1.747
# # Pot 2 Z=27 Rmt= 1.368 Rnm= 1.425
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.654E+01 kf=1.969E+00 Vint=-2.479E+01 Rs_int= 1.842
# # PATH  Rmax= 7.960,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01093    100.00      4.00     2   2.4399
#           2       0.01117     96.16      4.00     2   2.4885
#           3       0.01003     83.73      4.00     2   3.1752
#           4       0.01239     18.40     16.00     3   3.6842
#           5       0.01525     17.53      2.00     2   3.9442
#           6       0.01124     12.60     16.00     3   4.2443
#           7       0.01548     57.12      8.00     2   4.2824
#           8       0.01549     28.09      4.00     2   4.3102
#           9       0.01493      8.17      8.00     3   4.4120
#          10       0.01528     14.10     16.00     3   4.6054
#          11       0.01528     16.90     16.00     3   4.6054
#          13       0.01531      7.91      8.00     3   4.6436
#          14       0.01561     45.85      8.00     2   4.6636
#          15       0.01114     34.66      4.00     2   4.7399
#          16       0.01554     23.53     16.00     3   4.7717
#          17       0.01545     11.33     16.00     3   4.7979
#          18       0.01566     11.69      4.00     3   4.8799
#          19       0.01566     10.11      4.00     4   4.8799
#          20       0.04372      5.38      4.00     4   4.8799
#          21       0.01669      6.33      8.00     4   4.8799
#          22       0.01872      4.96     16.00     4   4.9284
#          23       0.02780      5.54     16.00     4   4.9284
#          24       0.01569     28.95      6.00     2   4.9770
#          25       0.01569     10.88      4.00     3   4.9770
#          26       0.01569     45.57      8.00     3   4.9770
#          27       0.01569      9.32      4.00     4   4.9770
#          28       0.04469      4.94      4.00     4   4.9770
#          29       0.01569     36.52      4.00     4   4.9770
#          30       0.01146     10.18      8.00     3   5.0267
#          31       0.01421     11.89     16.00     3   5.1655
#          32       0.01171      9.85     16.00     3   5.2018
#          33       0.01171     14.00     16.00     3   5.2018
#          34       0.01161     11.20     16.00     3   5.2475
#          35       0.01424      8.77     16.00     3   5.3303
#          36       0.01456     10.60     16.00     3   5.5070
#          37       0.01589     28.77      8.00     2   5.5429
#          39       0.01551     31.43     16.00     3   5.7957
#          40       0.01605     24.83      8.00     2   5.8425
#          41       0.01703      4.36      4.00     4   6.0486
#          42       0.01703      4.36      4.00     4   6.0487
#          43       0.01572     26.12     16.00     3   6.0964
#          44       0.01632      5.70      8.00     3   6.2362
#          45       0.00643     11.49      4.00     3   6.3504
#          46       0.00643      5.37      4.00     4   6.3504
#          48       0.01728      7.91      8.00     4   6.3504
#          49       0.01652      8.58     16.00     3   6.5363
#          50       0.01662     10.82     16.00     3   6.6683
#          51       0.01664      5.26      8.00     3   6.6913
#          52       0.01667      4.06     16.00     3   6.7512
#          56       0.01205     10.56     16.00     3   7.0507
#          57       0.01688     11.24     16.00     3   7.0679
#          58       0.01200      6.82      8.00     3   7.0750
#          59       0.01729      5.33     16.00     4   7.1035
#    53/  59 paths used
#  xsedge+50, used to normalize mu           2.8983E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.440    -16.527   0.050  4.14185E-01  3.15619E-01  1.81583E-01
    7718.469    -16.498   0.100  4.17176E-01  3.20632E-01  1.77488E-01
    7718.517    -16.451   0.150  4.25982E-01  3.35608E-01  1.65125E-01
    7718.583    -16.384   0.200  4.34821E-01  3.50584E-01  1.52972E-01
    7718.669    -16.298   0.250  4.48507E-01  3.73823E-01  1.34268E-01
    7718.774    -16.194   0.300  4.62630E-01  3.97063E-01  1.16713E-01
    7718.898    -16.070   0.350  4.81217E-01  4.23925E-01  1.00620E-01
    7719.040    -15.927   0.400  5.01135E-01  4.50787E-01  8.72590E-02
    7719.202    -15.765   0.450  5.22363E-01  4.76365E-01  7.84261E-02
    7719.383    -15.584   0.500  5.43823E-01  5.01943E-01  7.02639E-02
    7719.583    -15.384   0.550  5.55889E-01  5.24518E-01  5.16600E-02
    7719.802    -15.165   0.600  5.65193E-01  5.47094E-01  2.92644E-02
    7720.041    -14.927   0.650  5.56981E-01  5.67189E-01 -1.61728E-02
    7720.298    -14.670   0.700  5.45084E-01  5.87283E-01 -6.55437E-02
    7720.574    -14.393   0.750  5.17209E-01  6.05844E-01 -1.34769E-01
    7720.869    -14.098   0.800  4.89368E-01  6.24406E-01 -2.01087E-01
    7721.184    -13.784   0.850  4.56271E-01  6.42035E-01 -2.70713E-01
    7721.517    -13.450   0.900  4.31009E-01  6.59664E-01 -3.26246E-01
    7721.869    -13.098   0.950  4.14899E-01  6.76654E-01 -3.65571E-01
    7722.241    -12.726   1.000  4.12423E-01  6.93643E-01 -3.84620E-01
    7722.631    -12.336   1.050  4.26060E-01  7.10046E-01 -3.80459E-01
    7723.041    -11.926   1.100  4.49490E-01  7.26448E-01 -3.63607E-01
    7723.470    -11.498   1.150  4.81361E-01  7.42170E-01 -3.35788E-01
    7723.917    -11.050   1.200  5.12539E-01  7.57891E-01 -3.09899E-01
    7724.384    -10.583   1.250  5.39244E-01  7.72774E-01 -2.89697E-01
    7724.870    -10.098   1.300  5.60168E-01  7.87657E-01 -2.77248E-01
    7725.375     -9.593   1.350  5.74592E-01  8.01518E-01 -2.72088E-01
    7725.898     -9.069   1.400  5.89325E-01  8.15378E-01 -2.66727E-01
    7726.441     -8.526   1.450  6.07724E-01  8.28054E-01 -2.56254E-01
    7727.003     -7.964   1.500  6.37447E-01  8.40729E-01 -2.33093E-01
    7727.584     -7.383   1.550  6.80291E-01  8.52081E-01 -1.94546E-01
    7728.184     -6.783   1.600  7.37752E-01  8.63432E-01 -1.40590E-01
    7728.804     -6.164   1.650  8.05896E-01  8.73368E-01 -7.46893E-02
    7729.442     -5.526   1.700  8.78559E-01  8.83304E-01 -5.19905E-03
    7730.099     -4.868   1.750  9.47660E-01  8.91778E-01  6.07009E-02
    7730.775     -4.192   1.800  1.00494E+00  9.00252E-01  1.12758E-01
    7731.471     -3.497   1.850  1.04404E+00  9.07257E-01  1.46343E-01
    7732.185     -2.782   1.900  1.06232E+00  9.14262E-01  1.57358E-01
    7732.918     -2.049   1.950  1.05988E+00  9.19785E-01  1.48151E-01
    7733.671     -1.296   2.000  1.04351E+00  9.25308E-01  1.24370E-01
    7734.442     -0.525   2.050  1.01960E+00  9.28917E-01  9.51496E-02
    7735.233      0.266   2.100  9.94629E-01  9.32525E-01  6.49801E-02
    7736.042      1.075   2.150  9.73393E-01  9.36133E-01  3.88764E-02
    7736.871      1.904   2.200  9.58209E-01  9.39742E-01  1.92153E-02
    7737.719      2.752   2.250  9.47668E-01  9.41822E-01  6.08680E-03
