# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=25 Rmt= 1.341 Rnm= 1.412 K  shell
# # Pot 1 Z= 6 Rmt= 1.053 Rnm= 1.144
# # Pot 2 Z=31 Rmt= 1.530 Rnm= 1.561
# # Pot 3 Z=25 Rmt= 1.349 Rnm= 1.421
# # Gam_ch=1.193E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.311E+01 kf=2.149E+00 Vint=-2.210E+01 Rs_int= 1.688
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=  20.00  Debye_temp= 600.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00471    100.00      3.00     2   2.0522
#           2       0.00199     52.51      3.00     2   2.6899
#           3       0.00182     42.04      3.00     2   2.7848
#           4       0.00214     77.86      6.00     2   3.1000
#           5       0.00377     27.42     12.00     3   3.3971
#           6       0.00853     11.22      6.00     3   3.6022
#           7       0.00345     36.09     12.00     3   3.6022
#           8       0.00616     24.45      3.00     2   3.7177
#           9       0.00218     20.54      3.00     2   4.1043
#          10       0.00218     67.24      6.00     3   4.1043
#          11       0.01885     14.42      3.00     4   4.1043
#          12       0.00218     53.46      3.00     4   4.1043
#          13       0.00840     16.84      6.00     4   4.1043
#          14       0.00195      5.22      1.00     2   4.1415
#          15       0.00195     15.40      3.00     2   4.1671
#          16       0.00514      5.00     12.00     3   4.2245
#          17       0.00548      5.37      6.00     3   4.2299
#          18       0.00548     11.99      6.00     3   4.2299
#          19       0.00230      9.27     12.00     3   4.2399
#          20       0.00217      6.24      1.00     2   4.2670
#          21       0.00521      8.25     12.00     3   4.4349
#          22       0.00766     18.72     12.00     3   4.4349
#          23       0.00521     15.44     12.00     3   4.4349
#          24       0.00800      7.09     12.00     4   4.7420
#          25       0.00572      9.04      6.00     3   4.7985
#          26       0.00581      5.88      6.00     4   4.8370
#          27       0.00597     24.78      6.00     2   4.8406
#          28       0.00235      5.75     12.00     3   4.9471
#          29       0.00235      5.40     12.00     3   4.9471
#          30       0.01025      5.63     12.00     4   4.9471
#          31       0.00235     11.88     12.00     4   4.9471
#          32       0.00235     12.69     12.00     4   4.9471
#          33       0.00235      7.84     12.00     4   4.9471
#          34       0.00579     18.97     12.00     3   4.9964
#          35       0.00636     39.69     12.00     3   4.9964
#          36       0.00579     18.13     12.00     3   4.9964
#          37       0.00210     23.45      6.00     2   5.1435
#          38       0.00618      4.29     12.00     4   5.1522
#          39       0.00581     17.42     12.00     4   5.1522
#          40       0.02193     12.05      6.00     4   5.1522
#          41       0.00806     22.38      6.00     4   5.1522
#          42       0.00848      4.20     12.00     4   5.1522
#          44       0.00581     18.77     12.00     4   5.1522
#          46       0.00188     17.32      6.00     2   5.1732
#          47       0.00188     17.14      6.00     2   5.1938
#          48       0.00210     21.97      6.00     2   5.2742
#          49       0.00193      8.53     12.00     3   5.3239
#          50       0.00193      9.86     12.00     3   5.3239
#          51       0.00211     20.96      6.00     2   5.3694
#          53       0.00261      9.27     12.00     3   5.4187
#          54       0.00213      5.22     12.00     3   5.4219
#          55       0.00436      6.51     12.00     5   5.4492
#          56       0.00436     11.20     12.00     5   5.4492
#          57       0.00300     14.54     12.00     3   5.4567
#          58       0.00300     16.19     12.00     3   5.4567
#          59       0.00220      6.50     12.00     3   5.4667
#          60       0.00220      9.19     12.00     3   5.4667
#          61       0.00220      9.84     12.00     3   5.4667
#          64       0.00694      7.15     12.00     4   5.4985
#          65       0.00512      5.70     12.00     4   5.4985
#          66       0.00512     16.63     12.00     4   5.4985
#          69       0.00200      4.19     12.00     3   5.5393
#          70       0.00596      8.50      3.00     2   5.5666
#          71       0.00936      8.41      6.00     3   5.5696
#          72       0.00269      9.38      6.00     3   5.5696
#          73       0.00269      8.61      6.00     3   5.5696
#          74       0.00629     11.48     12.00     4   5.6543
#          76       0.00886      7.04     12.00     5   5.6543
#          77       0.00513      5.61     12.00     5   5.6543
#          78       0.00629     25.72     12.00     5   5.6543
#          81       0.01317      8.23     12.00     5   5.6543
#          83       0.00513      7.34     12.00     5   5.6543
#          86       0.00467      4.81      3.00     4   5.7699
#          87       0.00603      5.71      6.00     4   5.7699
#          93       0.00224      4.38     12.00     3   5.7847
#          94       0.00224     12.63     24.00     3   5.7847
#          97       0.00543      4.53     12.00     3   5.9499
#          99       0.01001      6.69     12.00     4   5.9849
#    78/  95 paths used
#  xsedge+50, used to normalize mu           3.5192E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    6544.616    -13.114   0.000 -4.97496E-02  3.14096E-01 -6.44798E-01
    6544.625    -13.104   0.050 -3.12277E-02  3.20248E-01 -6.21767E-01
    6544.654    -13.076   0.100 -1.28025E-02  3.26400E-01 -5.98989E-01
    6544.701    -13.028   0.150  4.04640E-02  3.44567E-01 -5.34208E-01
    6544.768    -12.961   0.200  9.27932E-02  3.62734E-01 -4.71736E-01
    6544.854    -12.875   0.250  1.71244E-01  3.89851E-01 -3.78782E-01
    6544.958    -12.771   0.300  2.46879E-01  4.16967E-01 -2.92231E-01
    6545.082    -12.647   0.350  3.33276E-01  4.46006E-01 -1.91473E-01
    6545.225    -12.504   0.400  4.13910E-01  4.75045E-01 -1.02666E-01
    6545.387    -12.342   0.450  4.91128E-01  5.00536E-01 -1.55783E-02
    6545.568    -12.161   0.500  5.58968E-01  5.26027E-01  5.38002E-02
    6545.768    -11.961   0.550  6.15806E-01  5.47357E-01  1.10008E-01
    6545.987    -11.742   0.600  6.59880E-01  5.68686E-01  1.44258E-01
    6546.225    -11.504   0.650  6.89633E-01  5.87209E-01  1.59186E-01
    6546.482    -11.247   0.700  7.04514E-01  6.05732E-01  1.50884E-01
    6546.759    -10.971   0.750  7.04240E-01  6.22676E-01  1.22278E-01
    6547.054    -10.675   0.800  6.89310E-01  6.39621E-01  7.31389E-02
    6547.368    -10.361   0.850  6.60554E-01  6.55728E-01  6.96927E-03
    6547.702    -10.028   0.900  6.20634E-01  6.71835E-01 -7.25503E-02
    6548.054     -9.675   0.950  5.71002E-01  6.87417E-01 -1.61814E-01
    6548.426     -9.304   1.000  5.16956E-01  7.03000E-01 -2.53760E-01
    6548.816     -8.913   1.050  4.60581E-01  7.18146E-01 -3.44741E-01
    6549.226     -8.504   1.100  4.08689E-01  7.33293E-01 -4.26489E-01
    6549.654     -8.075   1.150  3.63724E-01  7.47947E-01 -4.95734E-01
    6550.102     -7.627   1.200  3.32100E-01  7.62601E-01 -5.45621E-01
    6550.569     -7.161   1.250  3.16170E-01  7.76635E-01 -5.73691E-01
    6551.054     -6.675   1.300  3.19774E-01  7.90669E-01 -5.76893E-01
    6551.559     -6.170   1.350  3.44554E-01  8.03930E-01 -5.53939E-01
    6552.083     -5.646   1.400  3.90475E-01  8.17191E-01 -5.06597E-01
    6552.626     -5.103   1.450  4.57964E-01  8.29508E-01 -4.34812E-01
    6553.188     -4.541   1.500  5.42768E-01  8.41825E-01 -3.45065E-01
    6553.769     -3.960   1.550  6.43608E-01  8.53052E-01 -2.38602E-01
    6554.369     -3.360   1.600  7.52961E-01  8.64279E-01 -1.25228E-01
    6554.988     -2.741   1.650  8.67545E-01  8.74298E-01 -7.51329E-03
    6555.626     -2.103   1.700  9.78335E-01  8.84318E-01  1.03464E-01
    6556.284     -1.446   1.750  1.07998E+00  8.93037E-01  2.03821E-01
    6556.960     -0.769   1.800  1.16472E+00  9.01755E-01  2.84068E-01
    6557.655     -0.074   1.850  1.22677E+00  9.09102E-01  3.40561E-01
    6558.370      0.640   1.900  1.26266E+00  9.16449E-01  3.68388E-01
    6559.103      1.374   1.950  1.26812E+00  9.22353E-01  3.65764E-01
    6559.856      2.126   2.000  1.24723E+00  9.28257E-01  3.35464E-01
    6560.627      2.898   2.050  1.19990E+00  9.32208E-01  2.80582E-01
    6561.418      3.688   2.100  1.13966E+00  9.36160E-01  2.12576E-01
    6562.227      4.498   2.150  1.07622E+00  9.40112E-01  1.41699E-01
    6563.056      5.327   2.200  1.01877E+00  9.44064E-01  7.75112E-02
    6563.904      6.174   2.250  9.65327E-01  9.44501E-01  2.16258E-02
    6564.770      7.041   2.300  9.31424E-01  9.44938E-01 -1.40443E-02
    6565.656      7.927   2.350  9.18918E-01  9.45375E-01 -2.75162E-02
    6566.561      8.832   2.400  9.25791E-01  9.45812E-01 -2.08392E-02
    6567.485      9.756   2.450  9.49423E-01  9.46448E-01  3.09515E-03
    6568.428     10.699   2.500  9.77658E-01  9.47084E-01  3.17930E-02
    6569.390     11.661   2.550  1.00361E+00  9.47720E-01  5.80890E-02
    6570.371     12.642   2.600  1.02254E+00  9.48356E-01  7.70648E-02
    6571.371     13.642   2.650  1.03886E+00  9.53207E-01  8.86208E-02
    6572.390     14.661   2.700  1.04688E+00  9.58058E-01  9.15251E-02
    6573.429     15.699   2.750  1.04677E+00  9.62908E-01  8.60608E-02
    6574.486     16.757   2.800  1.04015E+00  9.67759E-01  7.39918E-02
    6575.562     17.833   2.850  1.02784E+00  9.70349E-01  5.86119E-02
    6576.658     18.928   2.900  1.01304E+00  9.72939E-01  4.07868E-02
    6577.772     20.043   2.950  9.98060E-01  9.75529E-01  2.28582E-02
    6578.905     21.176   3.000  9.84677E-01  9.78120E-01  6.63587E-03
