# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.353 Rnm= 1.399 K  shell
# # Pot 1 Z=62 Rmt= 1.665 Rnm= 1.689
# # Pot 2 Z=27 Rmt= 1.320 Rnm= 1.371
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.833E+01 kf=2.121E+00 Vint=-2.760E+01 Rs_int= 1.710
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01141    100.00      2.00     2   2.4058
#           2       0.01156     97.52      2.00     2   2.4365
#           3       0.01187     92.67      2.00     2   2.4993
#           4       0.01223     87.03      2.00     2   2.5777
#           5       0.01237     42.41      1.00     2   2.6101
#           6       0.01006     45.05      1.00     2   3.0261
#           7       0.01008     44.67      1.00     2   3.0396
#           8       0.01043     38.99      1.00     2   3.2579
#           9       0.01289      8.47      4.00     3   3.6241
#          10       0.01297      8.84      4.00     3   3.6435
#          11       0.01312      8.77      4.00     3   3.6827
#          12       0.01520     19.57      1.00     2   3.6978
#          13       0.01338      7.18      4.00     3   3.7567
#          14       0.01547     31.76      2.00     2   4.0346
#          15       0.01547     31.63      2.00     2   4.0415
#          16       0.01549     30.83      2.00     2   4.0837
#          17       0.01550     15.16      1.00     2   4.1123
#          18       0.01552     29.65      2.00     2   4.1492
#          19       0.01553     29.14      2.00     2   4.1787
#          20       0.01555     28.41      2.00     2   4.2217
#          21       0.01560     12.97      1.00     2   4.3787
#          22       0.01530      8.64      4.00     3   4.4112
#          23       0.01533      8.80      4.00     3   4.4357
#          24       0.01536      7.90      4.00     3   4.4689
#          25       0.01536      7.67      4.00     3   4.4759
#          26       0.01539      8.91      4.00     3   4.4805
#          28       0.01538      5.43      4.00     3   4.4886
#          29       0.01538      7.52      4.00     3   4.4886
#          30       0.01543      8.25      4.00     3   4.5258
#          31       0.01565     23.52      2.00     2   4.5520
#          32       0.01549      7.44      4.00     3   4.5914
#          33       0.01566     22.77      2.00     2   4.6102
#          34       0.01554      5.23      4.00     3   4.6341
#          35       0.01554      6.80      4.00     3   4.6341
#          36       0.01558      8.11      4.00     3   4.6886
#          37       0.01118     34.31      2.00     2   4.7044
#          38       0.01568     43.24      4.00     2   4.7040
#          39       0.01562     10.82      4.00     3   4.7558
#          40       0.01563      8.57      4.00     3   4.7626
#          41       0.01571     10.24      1.00     2   4.8026
#          42       0.01572     20.39      2.00     2   4.8117
#          43       0.01566      9.02      4.00     3   4.8122
#          44       0.01572     50.44      4.00     3   4.8117
#          45       0.01566      9.94      4.00     3   4.8121
#          46       0.04563      5.01      2.00     4   4.8117
#          47       0.01572     41.46      2.00     4   4.8117
#          48       0.01572     20.35      2.00     2   4.8154
#          49       0.01571     20.79      4.00     3   4.8288
#          50       0.01571     40.30      4.00     3   4.8288
#          51       0.01572     10.06      1.00     2   4.8371
#          52       0.01588     17.98      4.00     4   4.8423
#          53       0.01588     24.88      2.00     4   4.8423
#          54       0.01572     20.03      2.00     2   4.8446
#          55       0.01572     36.36      4.00     3   4.8629
#          56       0.04624      4.74      2.00     4   4.8729
#          57       0.01595     19.97      2.00     4   4.8811
#          58       0.01570      9.60      4.00     3   4.8905
#          59       0.01570      9.75      4.00     3   4.8905
#          60       0.01576      4.51      2.00     3   4.9840
#          62       0.04746      4.25      2.00     4   4.9985
#    60/  61 paths used
#  xsedge+50, used to normalize mu           2.9563E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.738    -18.332   0.000  2.71511E-01  2.69153E-01  5.04406E-03
    7718.748    -18.323   0.050  2.76991E-01  2.73464E-01  7.53235E-03
    7718.776    -18.294   0.100  2.82484E-01  2.77774E-01  1.00375E-02
    7718.824    -18.246   0.150  2.98692E-01  2.90624E-01  1.70932E-02
    7718.891    -18.180   0.200  3.14951E-01  3.03474E-01  2.41754E-02
    7718.976    -18.094   0.250  3.39738E-01  3.23414E-01  3.40638E-02
    7719.081    -17.989   0.300  3.64401E-01  3.43353E-01  4.35085E-02
    7719.205    -17.865   0.350  3.91883E-01  3.66379E-01  5.20472E-02
    7719.348    -17.723   0.400  4.18643E-01  3.89406E-01  5.89139E-02
    7719.510    -17.561   0.450  4.42197E-01  4.11341E-01  6.11974E-02
    7719.691    -17.380   0.500  4.64155E-01  4.33277E-01  6.02929E-02
    7719.891    -17.180   0.550  4.80804E-01  4.52685E-01  5.39065E-02
    7720.110    -16.961   0.600  4.94915E-01  4.72092E-01  4.29725E-02
    7720.348    -16.722   0.650  5.02739E-01  4.89526E-01  2.43745E-02
    7720.605    -16.465   0.700  5.07300E-01  5.06960E-01  6.14949E-04
    7720.881    -16.189   0.750  5.04592E-01  5.23303E-01 -3.30995E-02
    7721.177    -15.894   0.800  4.98534E-01  5.39646E-01 -7.11859E-02
    7721.491    -15.579   0.850  4.85608E-01  5.55530E-01 -1.18332E-01
    7721.824    -15.246   0.900  4.70412E-01  5.71415E-01 -1.67146E-01
    7722.177    -14.894   0.950  4.50584E-01  5.87190E-01 -2.20830E-01
    7722.548    -14.522   1.000  4.31203E-01  6.02966E-01 -2.71377E-01
    7722.939    -14.132   1.050  4.11526E-01  6.18734E-01 -3.19783E-01
    7723.348    -13.722   1.100  3.96448E-01  6.34502E-01 -3.59057E-01
    7723.777    -13.293   1.150  3.86786E-01  6.50268E-01 -3.88334E-01
    7724.225    -12.846   1.200  3.86030E-01  6.66034E-01 -4.03472E-01
    7724.691    -12.379   1.250  3.95394E-01  6.81687E-01 -4.03411E-01
    7725.177    -11.893   1.300  4.15966E-01  6.97340E-01 -3.87901E-01
    7725.682    -11.388   1.350  4.47841E-01  7.12720E-01 -3.57451E-01
    7726.206    -10.865   1.400  4.89654E-01  7.28100E-01 -3.15128E-01
    7726.749    -10.322   1.450  5.39786E-01  7.43023E-01 -2.63282E-01
    7727.311     -9.760   1.500  5.95381E-01  7.57946E-01 -2.06508E-01
    7727.892     -9.179   1.550  6.53813E-01  7.72197E-01 -1.47640E-01
    7728.492     -8.579   1.600  7.12081E-01  7.86447E-01 -9.10818E-02
    7729.111     -7.959   1.650  7.67887E-01  7.99846E-01 -3.84955E-02
    7729.749     -7.321   1.700  8.19026E-01  8.13245E-01  6.85020E-03
    7730.406     -6.664   1.750  8.64217E-01  8.25580E-01  4.51132E-02
    7731.083     -5.988   1.800  9.02541E-01  8.37915E-01  7.43703E-02
    7731.778     -5.293   1.850  9.33580E-01  8.49036E-01  9.60646E-02
    7732.492     -4.578   1.900  9.57632E-01  8.60156E-01  1.09378E-01
    7733.226     -3.845   1.950  9.74485E-01  8.69873E-01  1.16142E-01
    7733.978     -3.092   2.000  9.85458E-01  8.79591E-01  1.16306E-01
    7734.750     -2.321   2.050  9.90253E-01  8.86934E-01  1.12666E-01
    7735.540     -1.530   2.100  9.90425E-01  8.94278E-01  1.04075E-01
    7736.350     -0.721   2.150  9.86826E-01  9.01621E-01  9.15565E-02
    7737.179      0.108   2.200  9.80372E-01  9.08964E-01  7.61743E-02
    7738.026      0.956   2.250  9.66912E-01  9.12006E-01  5.84485E-02
    7738.893      1.823   2.300  9.51842E-01  9.15047E-01  3.90868E-02
    7739.779      2.708   2.350  9.36892E-01  9.18089E-01  1.99330E-02
    7740.684      3.613   2.400  9.23757E-01  9.21130E-01  2.77882E-03
