# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.331 Rnm= 1.373 K  shell
# # Pot 1 Z=62 Rmt= 1.658 Rnm= 1.681
# # Pot 2 Z=27 Rmt= 1.341 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.790E+01 kf=2.072E+00 Vint=-2.783E+01 Rs_int= 1.750
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00751    100.00      1.00     2   2.2947
#           2       0.00837    796.70      1.00     2   2.5425
#           3       0.00837     58.89      1.00     2   2.5425
#           4       0.00837    400.60      1.00     2   2.5425
#           5       0.00855    720.20      1.00     2   2.5970
#           6       0.00855     53.09      1.00     2   2.5970
#           7       0.00855    362.00      1.00     2   2.5970
#           8       0.00862    679.40      1.00     2   2.6210
#           9       0.00862    670.00      1.00     2   2.6210
#          10       0.00862     49.80      1.00     2   2.6210
#          11       0.00862     51.44      1.00     2   2.6210
#          12       0.00862    348.00      1.00     2   2.6210
#          13       0.00862    329.30      1.00     2   2.6210
#          14       0.00677     79.53      1.00     2   2.8707
#          15       0.00932    119.90      2.00     3   3.7667
#          16       0.00931     28.98      2.00     3   3.7667
#          17       0.00931     26.63      2.00     3   3.7667
#          18       0.00931     87.92      2.00     3   3.7667
#          19       0.00932     85.58      2.00     3   3.7667
#          20       0.00931     89.09      2.00     3   3.7667
#          21       0.00932     88.58      2.00     3   3.7667
#          22       0.00931     34.09      2.00     3   3.7667
#          23       0.00931     35.67      2.00     3   3.7667
#          24       0.00932     12.55      2.00     3   3.7668
#          25       0.00932     20.07      2.00     3   3.7667
#          26       0.00932     23.10      2.00     3   3.7668
#          27       0.00934     24.28      2.00     3   3.7746
#          28       0.00934     87.53      2.00     3   3.7746
#          29       0.00934     35.77      2.00     3   3.7746
#          30       0.00945     25.46      2.00     3   3.8239
#          31       0.00945     77.25      2.00     3   3.8239
#          32       0.00945     29.76      2.00     3   3.8239
#          33       0.01072      7.00      1.00     2   3.9604
#          34       0.01072    109.80      1.00     2   3.9604
#          35       0.01072     55.32      1.00     2   3.9604
#          36       0.01077      5.97      1.00     2   4.0917
#          37       0.01077     47.29      1.00     2   4.0917
#          38       0.01077     93.89      1.00     2   4.0917
#          39       0.01079      5.39      1.00     2   4.1584
#          40       0.01079    149.70      1.00     2   4.1584
#          41       0.01079     15.36      1.00     2   4.1584
#          42       0.01079    131.90      1.00     2   4.1584
#          43       0.01079     91.28      1.00     2   4.1584
#          44       0.01079     55.82      1.00     2   4.1584
#          45       0.01081    263.60      1.00     2   4.2006
#          46       0.01081    263.00      1.00     2   4.2006
#          47       0.01081     13.42      1.00     2   4.2006
#          48       0.01081     13.99      1.00     2   4.2006
#          49       0.01081    139.00      1.00     2   4.2006
#          50       0.01081    137.80      1.00     2   4.2006
#          51       0.01061     30.30      2.00     3   4.3988
#          52       0.01061     13.76      2.00     3   4.3988
#          53       0.01061      4.61      2.00     3   4.3988
#          54       0.01061     26.61      2.00     3   4.3988
#          55       0.01061     13.33      2.00     3   4.3988
#          57       0.01069     29.05      2.00     3   4.4917
#          58       0.01069     13.25      2.00     3   4.4917
#          59       0.01069      4.15      2.00     3   4.4917
#          60       0.01069     24.83      2.00     3   4.4917
#          61       0.01069     12.28      2.00     3   4.4917
#          63       0.01073     41.18      2.00     3   4.5354
#          64       0.01073     53.85      2.00     3   4.5354
#          66       0.01073     13.94      2.00     3   4.5354
#          67       0.01073     39.33      2.00     3   4.5354
#          68       0.01073     13.07      2.00     3   4.5354
#          69       0.01075     78.40      2.00     3   4.5684
#          70       0.01075     10.33      2.00     3   4.5685
#          71       0.01075     51.66      2.00     3   4.5684
#          72       0.01075     68.56      2.00     3   4.5685
#          73       0.01075     34.31      2.00     3   4.5685
#          74       0.01075     13.34      2.00     3   4.5684
#          75       0.03003      5.35      1.00     4   4.5894
#          76       0.00779    540.70      2.00     2   4.9197
#          77       0.00779     27.22      2.00     2   4.9197
#          78       0.00779    283.90      2.00     2   4.9197
#          79       0.01094      8.20      2.00     3   4.9591
#          80       0.01094     50.61      2.00     3   4.9591
#          81       0.01094     94.05      2.00     3   4.9591
#    78/  79 paths used
#  xsedge+50, used to normalize mu           2.9273E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.439    -17.889   0.050  2.42165E-01  3.13314E-01 -1.29205E-01
    7719.468    -17.860   0.100  2.52965E-01  3.18305E-01 -1.18462E-01
    7719.515    -17.813   0.150  2.84192E-01  3.33195E-01 -8.84130E-02
    7719.582    -17.746   0.200  3.14542E-01  3.48085E-01 -6.02273E-02
    7719.668    -17.660   0.250  3.60304E-01  3.71082E-01 -1.92019E-02
    7719.772    -17.556   0.300  4.03482E-01  3.94080E-01  1.66192E-02
    7719.896    -17.432   0.350  4.52338E-01  4.20392E-01  5.58680E-02
    7720.039    -17.289   0.400  4.95946E-01  4.46705E-01  8.52111E-02
    7720.201    -17.127   0.450  5.33339E-01  4.71327E-01  1.05918E-01
    7720.382    -16.946   0.500  5.62210E-01  4.95949E-01  1.11725E-01
    7720.582    -16.746   0.550  5.77332E-01  5.17143E-01  9.99641E-02
    7720.801    -16.527   0.600  5.81973E-01  5.38337E-01  7.14003E-02
    7721.039    -16.289   0.650  5.72619E-01  5.56722E-01  2.55819E-02
    7721.296    -16.032   0.700  5.53424E-01  5.75108E-01 -3.43274E-02
    7721.573    -15.755   0.750  5.22161E-01  5.91731E-01 -1.08196E-01
    7721.868    -15.460   0.800  4.83964E-01  6.08354E-01 -1.90104E-01
    7722.182    -15.146   0.850  4.37249E-01  6.23961E-01 -2.80144E-01
    7722.516    -14.812   0.900  3.89373E-01  6.39569E-01 -3.68668E-01
    7722.868    -14.460   0.950  3.40219E-01  6.54560E-01 -4.54628E-01
    7723.239    -14.088   1.000  2.98348E-01  6.69551E-01 -5.27128E-01
    7723.630    -13.698   1.050  2.65309E-01  6.84099E-01 -5.83827E-01
    7724.040    -13.288   1.100  2.48277E-01  6.98647E-01 -6.16578E-01
    7724.468    -12.860   1.150  2.48949E-01  7.12769E-01 -6.23716E-01
    7724.916    -12.412   1.200  2.70370E-01  7.26890E-01 -6.03190E-01
    7725.383    -11.945   1.250  3.12059E-01  7.40513E-01 -5.56498E-01
    7725.868    -11.460   1.300  3.71927E-01  7.54135E-01 -4.88148E-01
    7726.373    -10.955   1.350  4.46572E-01  7.67144E-01 -4.02924E-01
    7726.897    -10.431   1.400  5.30330E-01  7.80153E-01 -3.09089E-01
    7727.440     -9.888   1.450  6.18678E-01  7.92417E-01 -2.11806E-01
    7728.002     -9.326   1.500  7.05389E-01  8.04682E-01 -1.19299E-01
    7728.583     -8.745   1.550  7.87603E-01  8.16077E-01 -3.37579E-02
    7729.183     -8.145   1.600  8.60820E-01  8.27473E-01  3.90188E-02
    7729.802     -7.526   1.650  9.24957E-01  8.37883E-01  1.00686E-01
    7730.440     -6.888   1.700  9.78011E-01  8.48292E-01  1.48254E-01
    7731.098     -6.230   1.750  1.02162E+00  8.57622E-01  1.85522E-01
    7731.774     -5.554   1.800  1.05570E+00  8.66952E-01  2.11365E-01
    7732.469     -4.859   1.850  1.08159E+00  8.75136E-01  2.29193E-01
    7733.184     -4.144   1.900  1.10005E+00  8.83321E-01  2.38541E-01
    7733.917     -3.411   1.950  1.11096E+00  8.90267E-01  2.41185E-01
    7734.669     -2.658   2.000  1.11516E+00  8.97212E-01  2.36516E-01
    7735.441     -1.887   2.050  1.11062E+00  9.02396E-01  2.24858E-01
    7736.232     -1.096   2.100  1.09837E+00  9.07579E-01  2.05022E-01
    7737.041     -0.287   2.150  1.07865E+00  9.12763E-01  1.77389E-01
    7737.870      0.542   2.200  1.05223E+00  9.17947E-01  1.42901E-01
    7738.718      1.390   2.250  1.01393E+00  9.20249E-01  9.95832E-02
    7739.584      2.256   2.300  9.73191E-01  9.22551E-01  5.37713E-02
    7740.470      3.142   2.350  9.33471E-01  9.24853E-01  9.14078E-03
    7741.375      4.047   2.400  8.98235E-01  9.27155E-01 -3.06416E-02
    7742.299      4.971   2.450  8.73844E-01  9.32285E-01 -6.17741E-02
    7743.242      5.914   2.500  8.58628E-01  9.37415E-01 -8.30860E-02
    7744.204      6.876   2.550  8.53428E-01  9.42545E-01 -9.37602E-02
    7745.185      7.857   2.600  8.57752E-01  9.47675E-01 -9.43889E-02
    7746.185      8.857   2.650  8.63946E-01  9.52169E-01 -9.22470E-02
    7747.204      9.876   2.700  8.76658E-01  9.56662E-01 -8.33340E-02
    7748.243     10.915   2.750  8.94286E-01  9.61156E-01 -6.93864E-02
    7749.300     11.972   2.800  9.15004E-01  9.65650E-01 -5.23523E-02
    7750.376     13.048   2.850  9.33893E-01  9.68366E-01 -3.55277E-02
    7751.471     14.144   2.900  9.53814E-01  9.71082E-01 -1.77437E-02
    7752.586     15.258   2.950  9.73529E-01  9.73798E-01 -2.75572E-04
    7753.719     16.391   3.000  9.92050E-01  9.76514E-01  1.58693E-02
