# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.333 Rnm= 1.384 K  shell
# # Pot 1 Z=62 Rmt= 1.719 Rnm= 1.784
# # Pot 2 Z=27 Rmt= 1.353 Rnm= 1.409
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.715E+01 kf=2.011E+00 Vint=-2.483E+01 Rs_int= 1.804
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 331.00  Global_sig2= 0.00200
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00976    100.00      4.00     2   2.4133
#           2       0.00995     95.54      4.00     2   2.4686
#           3       0.01031     43.88      2.00     2   2.5745
#           4       0.00909     39.50      2.00     2   3.1586
#           5       0.01087     17.12     16.00     3   3.6752
#           6       0.01275     16.52      2.00     2   3.9912
#           7       0.01279     15.69      2.00     2   4.0755
#           8       0.01283     29.46      4.00     2   4.1800
#           9       0.01284     57.79      8.00     2   4.2121
#          11       0.01269      8.32      8.00     3   4.5033
#          12       0.01266      7.27      8.00     3   4.5063
#          13       0.01272     13.92     16.00     3   4.5470
#          14       0.01272     15.50     16.00     3   4.5470
#          15       0.01277      6.26      8.00     3   4.6314
#          16       0.00979     33.36      4.00     2   4.6503
#          17       0.01285     10.85     16.00     3   4.7337
#          18       0.01295     42.69      8.00     2   4.7364
#          19       0.01296     30.46      6.00     2   4.8267
#          20       0.01296     11.98      4.00     3   4.8267
#          21       0.01296     46.89      8.00     3   4.8266
#          22       0.01296     10.23      4.00     4   4.8267
#          23       0.03303      5.82      4.00     4   4.8267
#          24       0.01296     38.22      4.00     4   4.8267
#          25       0.01292     21.25     16.00     3   4.8368
#          26       0.01533      4.72     16.00     4   4.8819
#          27       0.02150      5.58     16.00     4   4.8819
#          28       0.01298     11.03      4.00     3   4.9371
#          29       0.01298      9.30      4.00     4   4.9371
#          30       0.03381      5.28      4.00     4   4.9371
#          31       0.01374      4.76      8.00     4   4.9371
#          32       0.01006      9.52      8.00     3   4.9527
#          33       0.01296      4.05      4.00     3   4.9878
#    32/  33 paths used
#  xsedge+50, used to normalize mu           2.8742E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.100    -17.146   0.000  2.92971E-01  3.35500E-01 -7.25168E-02
    7719.110    -17.136   0.050  2.97285E-01  3.40999E-01 -7.43756E-02
    7719.138    -17.108   0.100  3.01690E-01  3.46498E-01 -7.60714E-02
    7719.186    -17.060   0.150  3.14943E-01  3.62764E-01 -8.06619E-02
    7719.253    -16.993   0.200  3.28939E-01  3.79030E-01 -8.39482E-02
    7719.338    -16.908   0.250  3.50825E-01  4.04284E-01 -8.86673E-02
    7719.443    -16.803   0.300  3.74397E-01  4.29539E-01 -9.05205E-02
    7719.567    -16.679   0.350  4.01676E-01  4.58751E-01 -9.24017E-02
    7719.710    -16.536   0.400  4.31367E-01  4.87964E-01 -9.03785E-02
    7719.872    -16.374   0.450  4.60364E-01  5.15783E-01 -8.70283E-02
    7720.053    -16.193   0.500  4.91573E-01  5.43603E-01 -8.03720E-02
    7720.253    -15.993   0.550  5.18365E-01  5.68129E-01 -7.54333E-02
    7720.472    -15.774   0.600  5.45888E-01  5.92654E-01 -6.95890E-02
    7720.710    -15.536   0.650  5.65689E-01  6.14383E-01 -7.10043E-02
    7720.967    -15.279   0.700  5.84296E-01  6.36111E-01 -7.40718E-02
    7721.243    -15.003   0.750  5.93388E-01  6.55968E-01 -8.76183E-02
    7721.539    -14.707   0.800  5.99662E-01  6.75825E-01 -1.04482E-01
    7721.853    -14.393   0.850  5.95679E-01  6.94411E-01 -1.32660E-01
    7722.186    -14.060   0.900  5.88057E-01  7.12996E-01 -1.64493E-01
    7722.539    -13.707   0.950  5.70567E-01  7.30539E-01 -2.06438E-01
    7722.910    -13.336   1.000  5.50163E-01  7.48083E-01 -2.50437E-01
    7723.301    -12.945   1.050  5.22948E-01  7.64592E-01 -3.00058E-01
    7723.710    -12.536   1.100  4.96478E-01  7.81102E-01 -3.46953E-01
    7724.139    -12.107   1.150  4.70315E-01  7.96457E-01 -3.90776E-01
    7724.587    -11.659   1.200  4.51615E-01  8.11812E-01 -4.24337E-01
    7725.053    -11.193   1.250  4.42786E-01  8.25839E-01 -4.44377E-01
    7725.539    -10.707   1.300  4.48236E-01  8.39865E-01 -4.47498E-01
    7726.044    -10.202   1.350  4.69987E-01  8.52406E-01 -4.31206E-01
    7726.568     -9.678   1.400  5.08144E-01  8.64948E-01 -3.97081E-01
    7727.111     -9.135   1.450  5.61351E-01  8.75876E-01 -3.46137E-01
    7727.673     -8.573   1.500  6.26463E-01  8.86804E-01 -2.83355E-01
    7728.254     -7.992   1.550  6.98944E-01  8.96061E-01 -2.12601E-01
