# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.821 Rnm= 1.821 L3 shell
# # Pot 1 Z=57 Rmt= 1.891 Rnm= 1.891
# # Pot 2 Z=14 Rmt= 1.358 Rnm= 1.412
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.424
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.637E+01 kf=2.091E+00 Vint=-2.506E+01 Rs_int= 1.734
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp= 300.00  Debye_temp= 350.00  Global_sig2= 0.00250
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01529    100.00      3.00     2   3.3214
#           2       0.00963    582.00     21.00     2   3.3214
#           3       0.01400     11.14     12.00     3   4.5109
#           4       0.01052     34.46     36.00     3   4.5109
#           5       0.01429      8.90     12.00     3   4.5983
#           6       0.01071     23.56     36.00     3   4.5983
#           7       0.01433      4.36      6.00     3   4.6085
#           8       0.01073     11.31     18.00     3   4.6085
#           9       0.01020     81.01      8.00     2   4.9602
#          10       0.01158      9.80     18.00     3   5.0037
#          11       0.01613     21.88      3.00     2   5.2000
#          12       0.01023    185.00     21.00     2   5.2000
#          13       0.01197     11.14      6.00     3   5.3768
#          14       0.01058     38.30     42.00     3   5.3768
#          15       0.01219      8.22     18.00     3   5.3777
#          16       0.01678      6.12     12.00     3   5.4287
#          17       0.01225     15.78     36.00     3   5.4287
#          18       0.01170     13.07      6.00     3   5.5376
#          19       0.01589      4.97      6.00     3   5.5376
#          20       0.01057     37.40     36.00     3   5.5376
#          21       0.01174      8.34      4.00     3   5.5479
#          22       0.01174      4.17      2.00     3   5.5479
#          23       0.01589      4.84      6.00     3   5.5478
#          24       0.01058     33.44     34.00     3   5.5478
#          25       0.01712      5.90     12.00     3   5.5963
#          26       0.01244     14.34     36.00     3   5.5963
#          27       0.01713      5.89     12.00     3   5.6021
#          28       0.01245     14.32     36.00     3   5.6021
#          29       0.01221      7.78      6.00     3   5.6582
#          31       0.01075     23.75     36.00     3   5.6582
#          33       0.01971     15.98     36.00     4   5.7005
#          34       0.00691     47.22      6.00     2   5.7276
#          37       0.01411      6.41     21.00     4   5.7933
#          38       0.01063      5.07     36.00     4   5.7933
#          40       0.01634     14.04      3.00     2   5.8642
#          41       0.01037    127.40     21.00     2   5.8642
#          42       0.01040     51.54      6.00     3   5.8697
#          43       0.01633     31.10      6.00     3   5.8697
#          44       0.01038    238.90     36.00     3   5.8697
#          45       0.01050     36.97      3.00     4   5.8752
#          48       0.01638     19.51      3.00     4   5.8752
#          49       0.01043    160.00     18.00     4   5.8752
#          50       0.02072     12.92     36.00     4   5.8752
#          51       0.01350      5.99     18.00     4   5.8752
#          54       0.01052      5.14     30.00     4   5.8854
#          56       0.02084      6.31     18.00     4   5.8957
#          57       0.01360      5.70     18.00     4   5.8957
#          58       0.01285     21.38     42.00     3   5.9744
#    48/  52 paths used
#  xsedge+50, used to normalize mu           8.5142E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.864    -16.367   0.000  7.98764E-01  1.23266E+00 -1.61193E-01
    5487.873    -16.358   0.050  8.07119E-01  1.24277E+00 -1.60206E-01
    5487.902    -16.329   0.100  8.15820E-01  1.25287E+00 -1.59112E-01
    5487.949    -16.282   0.150  8.43801E-01  1.28365E+00 -1.55397E-01
    5488.016    -16.215   0.200  8.74906E-01  1.31444E+00 -1.50824E-01
    5488.102    -16.129   0.250  9.31070E-01  1.36564E+00 -1.42285E-01
    5488.207    -16.025   0.300  9.95355E-01  1.41684E+00 -1.31953E-01
    5488.330    -15.901   0.350  1.09014E+00  1.48601E+00 -1.17108E-01
    5488.473    -15.758   0.400  1.19733E+00  1.55518E+00 -1.00338E-01
    5488.635    -15.596   0.450  1.33339E+00  1.63579E+00 -8.04466E-02
    5488.816    -15.415   0.500  1.48005E+00  1.71639E+00 -5.98121E-02
    5489.016    -15.215   0.550  1.64120E+00  1.79783E+00 -3.84817E-02
    5489.235    -14.996   0.600  1.80287E+00  1.87927E+00 -1.82375E-02
    5489.473    -14.758   0.650  1.95374E+00  1.94922E+00  1.08560E-03
    5489.731    -14.501   0.700  2.09252E+00  2.01917E+00  1.77400E-02
    5490.007    -14.224   0.750  2.19594E+00  2.06654E+00  3.25729E-02
    5490.302    -13.929   0.800  2.28136E+00  2.11390E+00  4.39447E-02
    5490.616    -13.615   0.850  2.32394E+00  2.13139E+00  5.36708E-02
    5490.950    -13.281   0.900  2.35463E+00  2.14888E+00  6.11516E-02
    5491.302    -12.929   0.950  2.35314E+00  2.13494E+00  6.94781E-02
    5491.674    -12.558   1.000  2.34937E+00  2.12101E+00  7.83076E-02
    5492.064    -12.167   1.050  2.32372E+00  2.08035E+00  8.95660E-02
    5492.474    -11.757   1.100  2.29566E+00  2.03970E+00  1.01649E-01
    5492.902    -11.329   1.150  2.24671E+00  1.98111E+00  1.12987E-01
    5493.350    -10.881   1.200  2.18782E+00  1.92253E+00  1.21513E-01
    5493.817    -10.414   1.250  2.10794E+00  1.85555E+00  1.23362E-01
    5494.303     -9.929   1.300  2.01403E+00  1.78857E+00  1.18126E-01
    5494.807     -9.424   1.350  1.90654E+00  1.72101E+00  1.03190E-01
    5495.331     -8.900   1.400  1.78966E+00  1.65345E+00  8.07263E-02
    5495.874     -8.357   1.450  1.67277E+00  1.59047E+00  5.14738E-02
    5496.436     -7.795   1.500  1.55616E+00  1.52748E+00  1.89827E-02
    5497.017     -7.214   1.550  1.45150E+00  1.47173E+00 -1.40372E-02
    5497.617     -6.614   1.600  1.35483E+00  1.41597E+00 -4.45899E-02
    5498.236     -5.995   1.650  1.27588E+00  1.36843E+00 -7.02692E-02
    5498.875     -5.357   1.700  1.20770E+00  1.32089E+00 -8.96313E-02
    5499.532     -4.699   1.750  1.15730E+00  1.28154E+00 -1.01712E-01
    5500.208     -4.023   1.800  1.11627E+00  1.24219E+00 -1.06696E-01
    5500.903     -3.328   1.850  1.09056E+00  1.21184E+00 -1.05304E-01
    5501.618     -2.613   1.900  1.07071E+00  1.18150E+00 -9.86204E-02
    5502.351     -1.880   1.950  1.06482E+00  1.16118E+00 -8.73637E-02
    5503.104     -1.128   2.000  1.06103E+00  1.14085E+00 -7.37405E-02
    5503.875     -0.356   2.050  1.06355E+00  1.12592E+00 -5.87191E-02
    5504.666      0.435   2.100  1.06488E+00  1.11098E+00 -4.42528E-02
