# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.363 Rnm= 1.419 K  shell
# # Pot 1 Z=62 Rmt= 1.684 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.370 Rnm= 1.425
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.657E+01 kf=1.974E+00 Vint=-2.493E+01 Rs_int= 1.837
# # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4522
#           2       0.00000     96.17      4.00     2   2.5010
#           3       0.00000     84.19      4.00     2   3.1911
#           4       0.00000     18.20     16.00     3   3.7027
#           5       0.00000     17.50      2.00     2   3.9640
#           6       0.00000     12.68     16.00     3   4.2656
#           7       0.00000     57.01      8.00     2   4.3039
#           8       0.00000     28.04      4.00     2   4.3319
#           9       0.00000      8.21      8.00     3   4.4342
#          10       0.00000     13.91     16.00     3   4.6285
#          11       0.00000     17.09     16.00     3   4.6286
#          13       0.00000      8.00      8.00     3   4.6669
#          14       0.00000     45.76      8.00     2   4.6870
#          15       0.00000     34.81      4.00     2   4.7638
#          16       0.00000     23.78     16.00     3   4.7957
#          17       0.00000     11.57      4.00     3   4.9044
#          18       0.00000     10.16      4.00     4   4.9044
#          19       0.00000      5.22      4.00     4   4.9044
#          20       0.00000      6.02      8.00     4   4.9044
#          21       0.00000      4.92     16.00     4   4.9532
#          22       0.00000      5.53     16.00     4   4.9532
#          23       0.00000     28.89      6.00     2   5.0020
#          24       0.00000     10.77      4.00     3   5.0020
#          25       0.00000     45.56      8.00     3   5.0020
#          26       0.00000      9.35      4.00     4   5.0020
#          27       0.00000      4.80      4.00     4   5.0020
#          28       0.00000     36.24      4.00     4   5.0020
#          29       0.00000     10.46      8.00     3   5.0519
#          30       0.00000     11.58     16.00     3   5.1915
#          31       0.00000      9.78     16.00     3   5.2279
#          32       0.00000     14.38     16.00     3   5.2279
#          33       0.00000     11.12     16.00     3   5.2739
#          34       0.00000      8.48     16.00     3   5.3571
#          35       0.00000     10.37     16.00     3   5.5347
#          36       0.00000     28.71      8.00     2   5.5707
#          38       0.00000     31.21     16.00     3   5.8249
#          39       0.00000     24.78      8.00     2   5.8718
#          40       0.00000      8.40      8.00     4   6.0790
#          41       0.00000     11.02      4.00     2   6.1188
#          42       0.00000     25.91     16.00     3   6.1270
#          43       0.00000      5.64      8.00     3   6.2675
#          45       0.00000      4.07      8.00     3   6.2675
#          46       0.00000     29.29     12.00     2   6.3823
#          47       0.00000     11.61      4.00     3   6.3823
#          48       0.00000     43.72      8.00     3   6.3823
#          49       0.00000      5.56      4.00     4   6.3823
#          51       0.00000     49.24      4.00     4   6.3823
#          52       0.00000      7.67      8.00     4   6.3823
#          53       0.00000     15.77      4.00     2   6.4506
#          54       0.00000      4.25      8.00     3   6.5692
#          55       0.00000      4.25      8.00     3   6.5692
#          56       0.00000      5.86     16.00     3   6.5692
#          57       0.00000      6.84     16.00     3   6.5692
#          58       0.00000     17.72      8.00     2   6.5987
#    54/  58 paths used
#  xsedge+50, used to normalize mu           2.9089E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.296    -16.564   0.050  3.71758E-01  3.05875E-01  1.25579E-01
    7718.325    -16.535   0.100  3.75550E-01  3.10759E-01  1.23239E-01
    7718.372    -16.488   0.150  3.86289E-01  3.25250E-01  1.15385E-01
    7718.439    -16.421   0.200  3.97115E-01  3.39741E-01  1.07790E-01
    7718.525    -16.335   0.250  4.13603E-01  3.62221E-01  9.55667E-02
    7718.630    -16.231   0.300  4.30737E-01  3.84701E-01  8.47761E-02
    7718.753    -16.107   0.350  4.54557E-01  4.10705E-01  7.96684E-02
    7718.896    -15.964   0.400  4.80570E-01  4.36709E-01  7.86270E-02
    7719.058    -15.802   0.450  5.12735E-01  4.61508E-01  9.03240E-02
    7719.239    -15.621   0.500  5.45958E-01  4.86306E-01  1.03482E-01
    7719.439    -15.421   0.550  5.73101E-01  5.08246E-01  1.10402E-01
    7719.658    -15.202   0.600  5.96674E-01  5.30185E-01  1.11101E-01
    7719.896    -14.964   0.650  6.03251E-01  5.49807E-01  8.74835E-02
    7720.154    -14.707   0.700  6.02977E-01  5.69428E-01  5.38185E-02
    7720.430    -14.430   0.750  5.84673E-01  5.87634E-01 -4.64775E-03
    7720.725    -14.135   0.800  5.59669E-01  6.05841E-01 -7.09483E-02
    7721.039    -13.821   0.850  5.22046E-01  6.23250E-01 -1.52099E-01
    7721.373    -13.487   0.900  4.80910E-01  6.40659E-01 -2.34927E-01
    7721.725    -13.135   0.950  4.34744E-01  6.57563E-01 -3.20517E-01
    7722.097    -12.764   1.000  3.89827E-01  6.74467E-01 -4.00686E-01
    7722.487    -12.373   1.050  3.48066E-01  6.90918E-01 -4.72354E-01
    7722.897    -11.963   1.100  3.14210E-01  7.07368E-01 -5.30373E-01
    7723.325    -11.535   1.150  2.93104E-01  7.23287E-01 -5.68558E-01
    7723.773    -11.087   1.200  2.90207E-01  7.39205E-01 -5.81640E-01
    7724.240    -10.620   1.250  3.09409E-01  7.54425E-01 -5.65575E-01
    7724.725    -10.135   1.300  3.53527E-01  7.69645E-01 -5.19028E-01
    7725.230     -9.630   1.350  4.20489E-01  7.83986E-01 -4.45541E-01
    7725.754     -9.106   1.400  5.05216E-01  7.98326E-01 -3.53153E-01
    7726.297     -8.563   1.450  5.99623E-01  8.11610E-01 -2.51448E-01
    7726.859     -8.001   1.500  6.93897E-01  8.24893E-01 -1.53007E-01
    7727.440     -7.420   1.550  7.79902E-01  8.36950E-01 -6.57266E-02
    7728.040     -6.820   1.600  8.51127E-01  8.49007E-01  2.40964E-03
    7728.659     -6.201   1.650  9.05599E-01  8.59725E-01  5.15378E-02
    7729.297     -5.563   1.700  9.43843E-01  8.70442E-01  8.15152E-02
    7729.955     -4.905   1.750  9.69171E-01  8.79749E-01  9.83462E-02
    7730.631     -4.229   1.800  9.86312E-01  8.89057E-01  1.05936E-01
    7731.326     -3.534   1.850  9.97955E-01  8.96893E-01  1.09225E-01
    7732.041     -2.819   1.900  1.00772E+00  9.04730E-01  1.10454E-01
    7732.774     -2.086   1.950  1.01409E+00  9.11071E-01  1.09819E-01
    7733.527     -1.334   2.000  1.01868E+00  9.17411E-01  1.07306E-01
    7734.298     -0.562   2.050  1.02139E+00  9.21675E-01  1.05280E-01
    7735.089      0.229   2.100  1.01797E+00  9.25940E-01  9.68231E-02
    7735.898      1.038   2.150  1.00688E+00  9.30204E-01  8.03815E-02
    7736.727      1.867   2.200  9.89306E-01  9.34468E-01  5.72807E-02
    7737.575      2.715   2.250  9.65442E-01  9.36772E-01  2.99523E-02
    7738.441      3.581   2.300  9.44284E-01  9.39075E-01  5.44277E-03
