# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.384 Rnm= 1.441 K  shell
# # Pot 1 Z=62 Rmt= 1.686 Rnm= 1.742
# # Pot 2 Z=27 Rmt= 1.392 Rnm= 1.451
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.600E+01 kf=1.935E+00 Vint=-2.334E+01 Rs_int= 1.874
# # PATH  Rmax= 5.436,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4710
#           2       0.00000     93.12      4.00     2   2.5595
#           3       0.00000     83.15      4.00     2   3.2591
#           4       0.00000     15.51     16.00     3   3.7950
#           5       0.00000     14.80      2.00     2   4.2500
#           6       0.00000     29.08      4.00     2   4.2799
#           7       0.00000     56.40      8.00     2   4.3316
#           8       0.00000     14.02     16.00     3   4.3359
#          10       0.00000      7.66      8.00     3   4.6110
#          11       0.00000     12.65     16.00     3   4.6810
#          12       0.00000     13.69     16.00     3   4.6810
#          13       0.00000      6.25      8.00     3   4.6845
#          14       0.00000     35.85      4.00     2   4.7784
#          15       0.00000      9.72     16.00     3   4.8721
#          16       0.00000     40.47      8.00     2   4.9161
#          17       0.00000     29.93      6.00     2   4.9420
#          18       0.00000     11.28      4.00     3   4.9420
#          19       0.00000     46.82      8.00     3   4.9420
#          20       0.00000      9.52      4.00     4   4.9420
#          21       0.00000      5.14      4.00     4   4.9420
#          22       0.00000     38.44      4.00     4   4.9420
#          23       0.00000     18.52     16.00     3   5.0175
#          24       0.00000      4.24     16.00     4   5.0305
#          25       0.00000      4.96     16.00     4   5.0305
#          26       0.00000      9.38      8.00     3   5.0956
#          27       0.00000      9.90      4.00     3   5.1189
#          28       0.00000      8.20      4.00     4   5.1189
#          29       0.00000      4.43      4.00     4   5.1189
#          30       0.00000      4.61      8.00     4   5.1189
#          31       0.00000     11.97     16.00     3   5.2220
#          32       0.00000      9.96     16.00     3   5.2542
#          33       0.00000     13.08     16.00     3   5.2542
#          34       0.00000      7.31     16.00     3   5.3990
#    33/  34 paths used
#  xsedge+50, used to normalize mu           2.9058E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7709.271    -24.572  -1.500  1.98276E-02  2.17612E-02  1.10337E-01
    7709.833    -24.010  -1.450  2.18572E-02  2.31270E-02  2.11190E-01
    7710.376    -23.467  -1.400  2.38868E-02  2.44928E-02  3.33340E-01
    7710.899    -22.943  -1.350  2.52880E-02  2.62798E-02  2.91438E-01
    7711.404    -22.439  -1.300  2.66891E-02  2.80669E-02  2.58571E-01
    7711.890    -21.953  -1.250  2.81333E-02  2.99775E-02  2.53839E-01
    7712.357    -21.486  -1.200  2.97494E-02  3.23827E-02  3.23369E-01
    7712.804    -21.038  -1.150  3.13655E-02  3.47879E-02  3.81577E-01
    7713.233    -20.610  -1.100  3.33460E-02  3.75713E-02  4.42488E-01
    7713.643    -20.200  -1.050  3.58729E-02  4.09220E-02  5.34433E-01
    7714.033    -19.810  -1.000  3.83998E-02  4.42727E-02  6.08610E-01
    7714.405    -19.438  -0.950  4.18830E-02  4.85320E-02  6.99286E-01
    7714.757    -19.086  -0.900  4.60037E-02  5.33970E-02  7.89713E-01
    7715.090    -18.752  -0.850  5.01243E-02  5.82621E-02  8.59754E-01
    7715.405    -18.438  -0.800  5.63695E-02  6.51556E-02  9.00534E-01
    7715.700    -18.143  -0.750  6.31457E-02  7.25563E-02  8.86441E-01
    7715.976    -17.867  -0.700  6.99220E-02  7.99569E-02  8.31035E-01
    7716.233    -17.609  -0.650  8.11259E-02  9.16569E-02  7.06532E-01
    7716.471    -17.371  -0.600  9.23299E-02  1.03357E-01  6.81363E-01
    7716.691    -17.152  -0.550  1.04844E-01  1.16342E-01  7.04719E-01
    7716.891    -16.952  -0.500  1.22596E-01  1.34466E-01  6.66041E-01
    7717.072    -16.771  -0.450  1.40348E-01  1.52591E-01  5.44777E-01
    7717.233    -16.609  -0.400  1.60110E-01  1.72684E-01  3.98454E-01
    7717.376    -16.466  -0.350  1.82889E-01  1.95730E-01  2.79117E-01
    7717.500    -16.343  -0.300  2.04384E-01  2.17471E-01  1.70054E-01
    7717.605    -16.238  -0.250  2.17979E-01  2.31177E-01  1.35696E-01
    7717.691    -16.152  -0.200  2.31575E-01  2.44883E-01  1.06632E-01
    7717.757    -16.085  -0.150  2.45170E-01  2.58588E-01  7.52461E-02
    7717.805    -16.038  -0.100  2.58765E-01  2.72294E-01  3.92721E-02
    7717.834    -16.009  -0.050  2.72361E-01  2.85999E-01  3.17075E-03
    7717.843    -16.000   0.000  2.85878E-01  2.99626E-01 -2.66545E-02
    7717.853    -15.990   0.050  2.87198E-01  3.04451E-01 -3.33670E-02
