# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.407 Rnm= 1.475 K  shell
# # Pot 1 Z=26 Rmt= 1.419 Rnm= 1.490
# # Pot 2 Z=14 Rmt= 1.373 Rnm= 1.434
# # Pot 3 Z=26 Rmt= 1.405 Rnm= 1.465
# # Pot 4 Z=57 Rmt= 1.933 Rnm= 1.947
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.511E+01 kf=1.982E+00 Vint=-2.248E+01 Rs_int= 1.830
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.05000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.05420    100.00      1.00     2   2.4817
#           2       0.05276    629.00      7.00     2   2.4817
#           3       0.05425     33.66      8.00     3   3.7636
#           4       0.05315     68.60     16.00     3   3.7636
#           5       0.05325     18.13      6.00     3   3.8847
#           6       0.05527     52.81      2.00     2   3.9599
#           7       0.05353    195.90      6.00     2   3.9599
#           8       0.05400     17.17      2.00     3   4.4150
#           9       0.05504     16.38      4.00     3   4.4150
#          10       0.05352     47.04     10.00     3   4.4150
#          11       0.05561     12.00      2.00     3   4.5130
#          12       0.05412     12.69      2.00     3   4.5130
#          13       0.05507     15.43      4.00     3   4.5130
#          14       0.05355     58.41     16.00     3   4.5130
#          15       0.05508      5.20      2.00     3   4.5287
#          16       0.05353     12.09      4.00     3   4.5287
#          17       0.05510     12.08      4.00     3   4.6066
#          18       0.05353     39.35     12.00     3   4.6066
#          19       0.05514     14.96      1.00     2   4.8049
#          20       0.05343    100.40      5.00     2   4.8049
#          21       0.05347     54.13      2.00     3   4.8375
#          22       0.05513     24.61      2.00     3   4.8375
#          23       0.05343    120.90      8.00     3   4.8375
#          24       0.05369     34.31      1.00     4   4.8701
#          26       0.05523     12.38      1.00     4   4.8701
#          27       0.05354     51.54      4.00     4   4.8701
#          28       0.05481      6.82      5.00     4   4.8701
#          29       0.05341     46.21      4.00     3   4.9633
#          30       0.05341     38.63      4.00     4   4.9633
#          31       0.06680      4.64      1.00     4   4.9633
#          32       0.05616      4.30      4.00     4   4.9633
#          33       0.06106     36.36      7.00     4   4.9633
#          34       0.05459     18.74     12.00     4   4.9633
#          35       0.05480      5.34      4.00     4   4.9633
#          36       0.05819     10.90      8.00     4   4.9633
#          37       0.05641      9.85      6.00     4   4.9633
#          38       0.05678     29.16     16.00     4   4.9633
#          39       0.05240    113.30      4.00     2   4.9796
#          40       0.06151     11.49      4.00     4   5.0455
#          41       0.05859      6.47      4.00     4   5.0455
#          42       0.05709     34.63     16.00     4   5.0455
#          43       0.05517      5.55      8.00     4   5.0661
#          44       0.05760      9.68      6.00     4   5.2877
#          45       0.05374      6.62      8.00     3   5.2940
#          46       0.05374     13.57     16.00     3   5.3363
#          47       0.05382      6.76      4.00     3   5.3629
#          48       0.05303     33.92      4.00     3   5.3978
#          49       0.05259     74.60     20.00     3   5.3978
#          50       0.05447     12.76      6.00     3   5.6643
#          51       0.05368      7.64      8.00     3   5.6643
#          52       0.05367     14.51     14.00     3   5.7077
#          53       0.05505      8.93      1.00     2   5.7104
#          54       0.05336     88.09      7.00     2   5.7104
#          55       0.05367      6.08      6.00     3   5.7164
#          56       0.05368      7.17      4.00     4   5.7403
#          57       0.05364      9.28     10.00     4   5.7403
#          58       0.05337     48.00      4.00     2   5.7500
#          59       0.05361     16.18     14.00     3   5.7593
#          60       0.05348     22.68      2.00     3   5.7849
#          61       0.05506      7.70      2.00     3   5.7849
#          62       0.05340     57.05     12.00     3   5.7849
#          63       0.05360      9.36      8.00     3   5.7940
#          64       0.05564      7.20      2.00     4   5.8160
#          65       0.05391      8.07     10.00     4   5.8160
#          66       0.05398     11.41      1.00     4   5.8594
#          67       0.05366      9.39      6.00     4   5.8594
#          68       0.05637      5.11      8.00     4   5.8885
#          69       0.05528      6.19     16.00     4   5.8885
#          70       0.05367      5.62     10.00     3   5.9272
#          71       0.05383      5.39      4.00     4   5.9598
#          72       0.05380      4.59      6.00     4   5.9598
#    71/  72 paths used
#  xsedge+50, used to normalize mu           3.1853E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7119.138    -15.113   0.000  4.93384E-01  2.89845E-01  4.08090E-01
    7119.147    -15.104   0.050  4.86507E-01  2.94962E-01  3.83105E-01
    7119.176    -15.075   0.100  4.79608E-01  3.00080E-01  3.58196E-01
    7119.224    -15.028   0.150  4.61182E-01  3.15300E-01  2.88947E-01
    7119.290    -14.961   0.200  4.43132E-01  3.30520E-01  2.21439E-01
    7119.376    -14.875   0.250  4.19073E-01  3.53852E-01  1.26747E-01
    7119.481    -14.770   0.300  3.97926E-01  3.77184E-01  3.98435E-02
    7119.605    -14.647   0.350  3.76264E-01  4.03543E-01 -5.15750E-02
    7119.748    -14.504   0.400  3.61820E-01  4.29902E-01 -1.26731E-01
    7119.909    -14.342   0.450  3.50078E-01  4.54610E-01 -1.90881E-01
    7120.090    -14.161   0.500  3.48935E-01  4.79319E-01 -2.33640E-01
    7120.290    -13.961   0.550  3.51673E-01  5.01264E-01 -2.62267E-01
    7120.510    -13.742   0.600  3.65709E-01  5.23208E-01 -2.70293E-01
    7120.748    -13.504   0.650  3.82781E-01  5.43192E-01 -2.68845E-01
    7121.005    -13.246   0.700  4.09258E-01  5.63176E-01 -2.52060E-01
    7121.281    -12.970   0.750  4.36578E-01  5.82105E-01 -2.32486E-01
    7121.576    -12.675   0.800  4.70516E-01  6.01034E-01 -2.03526E-01
    7121.891    -12.361   0.850  5.06934E-01  6.19452E-01 -1.71108E-01
    7122.224    -12.027   0.900  5.47714E-01  6.37871E-01 -1.33785E-01
    7122.576    -11.675   0.950  5.86020E-01  6.55939E-01 -1.01208E-01
    7122.948    -11.303   1.000  6.19960E-01  6.74007E-01 -7.63617E-02
    7123.338    -10.913   1.050  6.45406E-01  6.91686E-01 -6.38426E-02
    7123.748    -10.503   1.100  6.63168E-01  7.09364E-01 -6.22573E-02
    7124.177    -10.075   1.150  6.73298E-01  7.26474E-01 -7.00664E-02
    7124.624     -9.627   1.200  6.77431E-01  7.43584E-01 -8.52641E-02
    7125.091     -9.160   1.250  6.77627E-01  7.59901E-01 -1.03857E-01
    7125.577     -8.674   1.300  6.76963E-01  7.76218E-01 -1.22762E-01
    7126.082     -8.170   1.350  6.77582E-01  7.91489E-01 -1.38262E-01
    7126.606     -7.646   1.400  6.82713E-01  8.06759E-01 -1.47817E-01
    7127.148     -7.103   1.450  6.92629E-01  8.20763E-01 -1.50177E-01
    7127.710     -6.541   1.500  7.09544E-01  8.34767E-01 -1.44391E-01
    7128.291     -5.960   1.550  7.31120E-01  8.47301E-01 -1.32067E-01
    7128.892     -5.360   1.600  7.58350E-01  8.59836E-01 -1.13751E-01
    7129.511     -4.741   1.650  7.87179E-01  8.70766E-01 -9.25778E-02
    7130.149     -4.103   1.700  8.17919E-01  8.81696E-01 -6.98093E-02
    7130.806     -3.445   1.750  8.46312E-01  8.90939E-01 -4.83819E-02
    7131.482     -2.769   1.800  8.73225E-01  9.00183E-01 -2.89496E-02
    7132.178     -2.074   1.850  8.95486E-01  9.07696E-01 -1.30154E-02
    7132.892     -1.359   1.900  9.15095E-01  9.15210E-01 -1.21607E-04
    7133.625     -0.626   1.950  9.30704E-01  9.20926E-01  1.02922E-02
    7134.378      0.127   2.000  9.43810E-01  9.26643E-01  1.79763E-02
    7135.149      0.898   2.050  9.54357E-01  9.29608E-01  2.58630E-02
    7135.940      1.689   2.100  9.63468E-01  9.32573E-01  3.22202E-02
    7136.750      2.498   2.150  9.71354E-01  9.35538E-01  3.72759E-02
    7137.578      3.327   2.200  9.77831E-01  9.38503E-01  4.08486E-02
    7138.426      4.175   2.250  9.81685E-01  9.40522E-01  4.27965E-02
    7139.293      5.041   2.300  9.82249E-01  9.42540E-01  4.13252E-02
    7140.179      5.927   2.350  9.79436E-01  9.44559E-01  3.63329E-02
    7141.083      6.832   2.400  9.73895E-01  9.46578E-01  2.84852E-02
    7142.007      7.756   2.450  9.71749E-01  9.52140E-01  2.03861E-02
    7142.950      8.699   2.500  9.68802E-01  9.57701E-01  1.15060E-02
    7143.912      9.661   2.550  9.66681E-01  9.63263E-01  3.53223E-03
    7144.893     10.642   2.600  9.66526E-01  9.68824E-01 -2.36806E-03
    7145.894     11.642   2.650  9.64166E-01  9.71581E-01 -7.61973E-03
    7146.913     12.661   2.700  9.63919E-01  9.74337E-01 -1.06785E-02
    7147.951     13.700   2.750  9.65966E-01  9.77093E-01 -1.13757E-02
    7149.008     14.757   2.800  9.69970E-01  9.79850E-01 -1.00746E-02
    7150.085     15.833   2.850  9.73205E-01  9.81333E-01 -8.27307E-03
    7151.180     16.929   2.900  9.77248E-01  9.82816E-01 -5.65645E-03
    7152.294     18.043   2.950  9.81575E-01  9.84299E-01 -2.76201E-03
    7153.428     19.176   3.000  9.85717E-01  9.85781E-01 -6.46882E-05
    7154.580     20.329   3.050  9.88028E-01  9.86266E-01  1.78119E-03
    7155.752     21.501   3.100  9.89577E-01  9.86751E-01  2.85194E-03
    7156.943     22.691   3.150  9.90442E-01  9.87236E-01  3.23179E-03
    7158.152     23.901   3.200  9.90868E-01  9.87721E-01  3.16742E-03
    7159.381     25.130   3.250  9.90689E-01  9.87996E-01  2.70925E-03
    7160.629     26.377   3.300  9.90587E-01  9.88271E-01  2.32817E-03
