# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.815 Rnm= 1.815 L3 shell
# # Pot 1 Z=57 Rmt= 1.885 Rnm= 1.885
# # Pot 2 Z=14 Rmt= 1.354 Rnm= 1.408
# # Pot 3 Z=26 Rmt= 1.364 Rnm= 1.419
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.676E+01 kf=2.099E+00 Vint=-2.550E+01 Rs_int= 1.728
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp= 300.00  Debye_temp= 350.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01429    100.00      3.00     2   3.3114
#           2       0.00863    583.30     21.00     2   3.3114
#           3       0.01300     11.22     12.00     3   4.4974
#           4       0.00952     34.88     36.00     3   4.4974
#           5       0.01329      7.49     10.00     3   4.5845
#           6       0.00971     23.86     36.00     3   4.5845
#           7       0.01333      4.40      6.00     3   4.5947
#           8       0.00973     11.46     18.00     3   4.5947
#           9       0.00920     81.30      8.00     2   4.9453
#          10       0.01058      9.94     18.00     3   4.9886
#          11       0.01513     21.93      3.00     2   5.1844
#          12       0.00923    185.70     21.00     2   5.1844
#          13       0.01097     11.05      6.00     3   5.3606
#          14       0.00958     38.76     42.00     3   5.3606
#          15       0.01119      8.33     18.00     3   5.3616
#          16       0.01578      6.13     12.00     3   5.4124
#          17       0.01125     15.98     36.00     3   5.4124
#          18       0.01070     12.96      6.00     3   5.5210
#          19       0.01489      4.99      6.00     3   5.5210
#          20       0.00957     37.86     36.00     3   5.5210
#          21       0.01074     12.41      6.00     3   5.5312
#          22       0.01489      4.86      6.00     3   5.5312
#          23       0.00958     35.83     36.00     3   5.5312
#          24       0.01612      5.91     12.00     3   5.5796
#          25       0.01144     14.49     36.00     3   5.5796
#          26       0.01613      5.90     12.00     3   5.5853
#          27       0.01145     14.47     36.00     3   5.5853
#          28       0.01121      7.73      6.00     3   5.6412
#          30       0.00975     24.03     36.00     3   5.6412
#          32       0.01871     16.25     36.00     4   5.6834
#          33       0.00591     47.29      6.00     2   5.7104
#          36       0.01311      6.57     21.00     4   5.7760
#          37       0.00963      5.20     36.00     4   5.7760
#          39       0.01534     14.08      3.00     2   5.8466
#          40       0.00937    127.90     21.00     2   5.8466
#          41       0.00940     51.32      6.00     3   5.8521
#          42       0.01533     31.36      6.00     3   5.8521
#          43       0.00938    240.90     36.00     3   5.8521
#          44       0.00950     36.57      3.00     4   5.8576
#          47       0.01538     19.73      3.00     4   5.8576
#          48       0.00943    161.50     18.00     4   5.8576
#          49       0.01973     12.04     33.00     4   5.8576
#          50       0.01250      6.14     18.00     4   5.8576
#          53       0.00952      5.26     30.00     4   5.8678
#          55       0.01984      6.41     18.00     4   5.8780
#          56       0.01260      5.83     18.00     4   5.8780
#          57       0.01185     21.59     42.00     3   5.9565
#    47/  52 paths used
#  xsedge+50, used to normalize mu           8.5169E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.913    -16.765   0.000  7.77581E-01  1.20996E+00 -1.74715E-01
    5487.922    -16.755   0.050  7.85186E-01  1.21991E+00 -1.73852E-01
    5487.951    -16.727   0.100  7.93130E-01  1.22985E+00 -1.72872E-01
    5487.998    -16.679   0.150  8.18813E-01  1.26022E+00 -1.69419E-01
    5488.065    -16.613   0.200  8.47582E-01  1.29058E+00 -1.65019E-01
    5488.151    -16.527   0.250  8.99958E-01  1.34127E+00 -1.56503E-01
    5488.256    -16.422   0.300  9.60584E-01  1.39195E+00 -1.45976E-01
    5488.379    -16.298   0.350  1.05073E+00  1.46083E+00 -1.30464E-01
    5488.522    -16.155   0.400  1.15409E+00  1.52970E+00 -1.12741E-01
    5488.684    -15.993   0.450  1.28667E+00  1.61088E+00 -9.14270E-02
    5488.865    -15.812   0.500  1.43168E+00  1.69207E+00 -6.92400E-02
    5489.065    -15.612   0.550  1.59347E+00  1.77565E+00 -4.63593E-02
    5489.284    -15.393   0.600  1.75783E+00  1.85924E+00 -2.47388E-02
    5489.522    -15.155   0.650  1.91487E+00  1.93329E+00 -4.45964E-03
    5489.780    -14.898   0.700  2.06087E+00  2.00735E+00  1.28523E-02
    5490.056    -14.622   0.750  2.17373E+00  2.06046E+00  2.80440E-02
    5490.351    -14.327   0.800  2.26817E+00  2.11358E+00  3.95008E-02
    5490.665    -14.012   0.850  2.31867E+00  2.13723E+00  4.90533E-02
    5490.999    -13.679   0.900  2.35601E+00  2.16089E+00  5.60099E-02
    5491.351    -13.326   0.950  2.35908E+00  2.15222E+00  6.35900E-02
    5491.723    -12.955   1.000  2.36005E+00  2.14355E+00  7.16336E-02
    5492.113    -12.564   1.050  2.33870E+00  2.10622E+00  8.26484E-02
    5492.523    -12.155   1.100  2.31661E+00  2.06889E+00  9.51540E-02
    5492.951    -11.726   1.150  2.27353E+00  2.01138E+00  1.08061E-01
    5493.399    -11.279   1.200  2.22148E+00  1.95387E+00  1.19015E-01
    5493.866    -10.812   1.250  2.14714E+00  1.88625E+00  1.24062E-01
    5494.352    -10.326   1.300  2.05779E+00  1.81862E+00  1.22195E-01
    5494.856     -9.821   1.350  1.95220E+00  1.74933E+00  1.10256E-01
    5495.380     -9.297   1.400  1.83510E+00  1.68004E+00  9.00144E-02
    5495.923     -8.754   1.450  1.71557E+00  1.61484E+00  6.18276E-02
    5496.485     -8.192   1.500  1.59463E+00  1.54964E+00  2.92901E-02
    5497.066     -7.611   1.550  1.48460E+00  1.49164E+00 -4.81287E-03
    5497.666     -7.011   1.600  1.38200E+00  1.43364E+00 -3.71788E-02
    5498.285     -6.392   1.650  1.29740E+00  1.38407E+00 -6.50855E-02
    5498.924     -5.754   1.700  1.22390E+00  1.33449E+00 -8.67808E-02
    5499.581     -5.097   1.750  1.16901E+00  1.29334E+00 -1.01010E-01
    5500.257     -4.421   1.800  1.12421E+00  1.25218E+00 -1.07781E-01
    5500.952     -3.725   1.850  1.09582E+00  1.22044E+00 -1.07680E-01
    5501.667     -3.011   1.900  1.07397E+00  1.18869E+00 -1.01771E-01
    5502.400     -2.277   1.950  1.06699E+00  1.16739E+00 -9.08446E-02
    5503.153     -1.525   2.000  1.06247E+00  1.14609E+00 -7.71952E-02
    5503.924     -0.754   2.050  1.06463E+00  1.13042E+00 -6.19491E-02
    5504.715      0.037   2.100  1.06564E+00  1.11474E+00 -4.71881E-02
    5505.524      0.847   2.150  1.06468E+00  1.09907E+00 -3.37421E-02
    5506.353      1.675   2.200  1.06157E+00  1.08339E+00 -2.18694E-02
    5507.201      2.523   2.250  1.05834E+00  1.06909E+00 -1.09632E-02
    5508.068      3.390   2.300  1.05357E+00  1.05480E+00 -1.27655E-03
    5508.953      4.276   2.350  1.04775E+00  1.04050E+00  7.65779E-03
    5509.858      5.181   2.400  1.04102E+00  1.02620E+00  1.59261E-02
    5510.782      6.104   2.450  1.03713E+00  1.01486E+00  2.42192E-02
    5511.725      7.047   2.500  1.03162E+00  1.00351E+00  3.09122E-02
    5512.687      8.009   2.550  1.02343E+00  9.92168E-01  3.47801E-02
    5513.668      8.991   2.600  1.01198E+00  9.80823E-01  3.50725E-02
    5514.668      9.991   2.650  1.00510E+00  9.74802E-01  3.41424E-02
    5515.687     11.010   2.700  9.95713E-01  9.68782E-01  3.03833E-02
    5516.726     12.048   2.750  9.84585E-01  9.62761E-01  2.46500E-02
    5517.783     13.105   2.800  9.72598E-01  9.56740E-01  1.79324E-02
    5518.859     14.182   2.850  9.64927E-01  9.57382E-01  8.48332E-03
    5519.955     15.277   2.900  9.58004E-01  9.58023E-01 -2.17368E-05
    5521.069     16.391   2.950  9.53645E-01  9.58665E-01 -5.57990E-03
    5522.203     17.525   3.000  9.52265E-01  9.59307E-01 -7.78332E-03
    5523.355     18.677   3.050  9.51798E-01  9.62318E-01 -1.15316E-02
    5524.527     19.849   3.100  9.54386E-01  9.65330E-01 -1.18966E-02
    5525.717     21.040   3.150  9.60377E-01  9.68342E-01 -8.58749E-03
    5526.927     22.249   3.200  9.69147E-01  9.71353E-01 -2.35929E-03
    5528.156     23.478   3.250  9.79449E-01  9.76061E-01  3.59126E-03
    5529.403     24.726   3.300  9.90520E-01  9.80768E-01  1.02418E-02
    5530.670     25.993   3.350  1.00116E+00  9.85475E-01  1.63301E-02
    5531.956     27.278   3.400  1.01023E+00  9.90183E-01  2.06806E-02
    5533.261     28.583   3.450  1.01572E+00  9.93900E-01  2.23414E-02
    5534.585     29.907   3.500  1.01846E+00  9.97617E-01  2.11852E-02
    5535.928     31.250   3.550  1.01846E+00  1.00133E+00  1.72786E-02
    5537.290     32.612   3.600  1.01616E+00  1.00505E+00  1.11266E-02
    5538.671     33.994   3.650  1.01048E+00  1.00689E+00  3.58433E-03
    5540.071     35.394   3.700  1.00428E+00  1.00873E+00 -4.41596E-03
    5541.491     36.813   3.750  9.98349E-01  1.01057E+00 -1.20914E-02
    5542.929     38.251   3.800  9.93272E-01  1.01240E+00 -1.88585E-02
    5544.386     39.709   3.850  9.86983E-01  1.01177E+00 -2.44324E-02
    5545.863     41.185   3.900  9.82116E-01  1.01114E+00 -2.86033E-02
    5547.358     42.680   3.950  9.78752E-01  1.01052E+00 -3.12909E-02
    5548.872     44.195   4.000  9.77000E-01  1.00989E+00 -3.23903E-02
    5550.406     45.728   4.050  9.75350E-01  1.00709E+00 -3.13525E-02
    5551.959     47.281   4.100  9.75963E-01  1.00430E+00 -2.80658E-02
    5553.530     48.852   4.150  9.79014E-01  1.00150E+00 -2.23394E-02
    5555.121     50.443   4.200  9.84476E-01  9.98706E-01 -1.41777E-02
    5556.731     52.053   4.250  9.91381E-01  9.94992E-01 -3.61436E-03
    5558.359     53.682   4.300  9.99325E-01  9.91279E-01  8.09127E-03
    5560.007     55.329   4.350  1.00716E+00  9.87565E-01  1.97914E-02
    5561.674     56.996   4.400  1.01360E+00  9.83852E-01  3.01939E-02
    5563.360     58.682   4.450  1.01714E+00  9.80172E-01  3.76974E-02
    5565.065     60.387   4.500  1.01711E+00  9.76492E-01  4.16109E-02
    5566.789     62.111   4.550  1.01325E+00  9.72812E-01  4.16153E-02
    5568.532     63.854   4.600  1.00582E+00  9.69132E-01  3.79304E-02
    5570.294     65.616   4.650  9.96290E-01  9.66414E-01  3.09959E-02
    5572.075     67.398   4.700  9.85143E-01  9.63696E-01  2.23279E-02
    5573.875     69.198   4.750  9.73434E-01  9.60978E-01  1.30131E-02
    5575.695     71.017   4.800  9.61996E-01  9.58259E-01  3.91743E-03
    5577.533     72.855   4.850  9.52701E-01  9.56832E-01 -4.33884E-03
    5579.390     74.713   4.900  9.44327E-01  9.55406E-01 -1.16544E-02
    5581.267     76.589   4.950  9.36637E-01  9.53979E-01 -1.82749E-02
    5583.162     78.485   5.000  9.29345E-01  9.52552E-01 -2.44999E-02
    5585.077     80.399   5.050  9.23686E-01  9.52404E-01 -3.03163E-02
    5587.010     82.333   5.100  9.18491E-01  9.52257E-01 -3.56429E-02
    5588.963     84.285   5.150  9.14393E-01  9.52110E-01 -3.98106E-02
    5590.935     86.257   5.200  9.12364E-01  9.51963E-01 -4.17937E-02
    5592.925     88.248   5.250  9.14507E-01  9.52773E-01 -4.03312E-02
    5594.935     90.257   5.300  9.20657E-01  9.53583E-01 -3.46559E-02
    5596.964     92.286   5.350  9.31103E-01  9.54394E-01 -2.44806E-02
    5599.012     94.334   5.400  9.45338E-01  9.55204E-01 -1.03558E-02
    5601.079     96.401   5.450  9.61809E-01  9.55672E-01  6.43133E-03
    5603.165     98.487   5.500  9.78584E-01  9.56140E-01  2.34865E-02
    5605.270    100.592   5.550  9.93311E-01  9.56609E-01  3.83507E-02
    5607.394    102.716   5.600  1.00384E+00  9.57077E-01  4.87904E-02
    5609.537    104.859   5.650  1.00884E+00  9.57829E-01  5.31367E-02
    5611.699    107.021   5.700  1.00768E+00  9.58580E-01  5.10561E-02
    5613.880    109.203   5.750  1.00100E+00  9.59332E-01  4.32516E-02
    5616.081    111.403   5.800  9.90349E-01  9.60084E-01  3.13636E-02
    5618.300    113.622   5.850  9.78350E-01  9.61341E-01  1.75771E-02
    5620.538    115.861   5.900  9.66622E-01  9.62599E-01  4.14542E-03
    5622.796    118.118   5.950  9.56785E-01  9.63857E-01 -7.26912E-03
    5625.072    120.394   6.000  9.49685E-01  9.65115E-01 -1.58164E-02
    5627.368    122.690   6.050  9.42355E-01  9.63354E-01 -2.15529E-02
    5629.682    125.005   6.100  9.37203E-01  9.61593E-01 -2.50665E-02
    5632.016    127.338   6.150  9.33247E-01  9.59831E-01 -2.73576E-02
    5634.369    129.691   6.200  9.29682E-01  9.58070E-01 -2.92524E-02
    5636.740    132.063   6.250  9.26225E-01  9.56309E-01 -3.10411E-02
    5639.131    134.453   6.300  9.23261E-01  9.54548E-01 -3.23255E-02
    5641.541    136.863   6.350  9.21733E-01  9.52787E-01 -3.21271E-02
    5643.970    139.292   6.400  9.22812E-01  9.51025E-01 -2.92277E-02
    5646.418    141.740   6.450  9.27440E-01  9.49264E-01 -2.26380E-02
    5648.885    144.207   6.500  9.35901E-01  9.47503E-01 -1.20508E-02
    5651.371    146.693   6.550  9.47470E-01  9.45686E-01  1.85763E-03
    5653.876    149.198   6.600  9.60514E-01  9.43868E-01  1.73705E-02
    5656.400    151.722   6.650  9.72742E-01  9.42051E-01  3.21008E-02
    5658.943    154.265   6.700  9.81691E-01  9.40233E-01  4.34631E-02
    5661.505    156.827   6.750  9.85313E-01  9.38416E-01  4.92809E-02
    5664.086    159.409   6.800  9.82484E-01  9.36598E-01  4.83308E-02
    5666.687    162.009   6.850  9.73307E-01  9.34781E-01  4.06740E-02
    5669.306    164.628   6.900  9.59120E-01  9.32963E-01  2.76801E-02
    5671.944    167.267   6.950  9.42205E-01  9.31146E-01  1.17309E-02
    5674.602    169.924   7.000  9.25264E-01  9.29328E-01 -4.32139E-03
    5677.278    172.601   7.050  9.11510E-01  9.28237E-01 -1.78145E-02
    5679.974    175.296   7.100  9.02002E-01  9.27146E-01 -2.68215E-02
    5682.689    178.011   7.150  8.97429E-01  9.26055E-01 -3.05856E-02
    5685.422    180.745   7.200  8.97349E-01  9.24964E-01 -2.95533E-02
    5688.175    183.497   7.250  9.00434E-01  9.23873E-01 -2.51251E-02
    5690.947    186.269   7.300  9.04919E-01  9.22782E-01 -1.91789E-02
    5693.738    189.060   7.350  9.09129E-01  9.21691E-01 -1.35096E-02
    5696.547    191.870   7.400  9.11928E-01  9.20599E-01 -9.34071E-03
    5699.376    194.699   7.450  9.12979E-01  9.19508E-01 -7.04445E-03
    5702.224    197.547   7.500  9.12740E-01  9.18417E-01 -6.13530E-03
    5705.091    200.414   7.550  9.12498E-01  9.17576E-01 -5.49263E-03
    5707.977    203.300   7.600  9.13207E-01  9.16735E-01 -3.81902E-03
