# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.825 Rnm= 1.825 L3 shell
# # Pot 1 Z=26 Rmt= 1.373 Rnm= 1.429
# # Pot 2 Z=14 Rmt= 1.361 Rnm= 1.415
# # Pot 3 Z=57 Rmt= 1.895 Rnm= 1.895
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.680E+01 kf=2.064E+00 Vint=-2.527E+01 Rs_int= 1.757
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     22.00     2   3.3344
#           2       0.00000      9.66      2.00     2   3.3344
#           3       0.00000      5.03     40.00     3   4.5286
#           5       0.00000     13.29      8.00     2   4.9796
#           6       0.00000     31.87     22.00     2   5.2204
#           7       0.00000      5.82     44.00     3   5.3978
#           8       0.00000      5.78     40.00     3   5.5593
#           9       0.00000      5.78     42.00     3   5.5696
#          11       0.00000      8.93      6.00     2   5.7500
#          12       0.00000     21.08     21.00     2   5.8871
#          13       0.00000     45.90     38.00     3   5.8927
#          14       0.00000      4.95      6.00     3   5.8927
#          15       0.00000      5.75      4.00     3   5.8927
#          16       0.00000     32.48     19.00     4   5.8982
#          18       0.00000      4.13      2.00     4   5.8982
#    15/  18 paths used
#  xsedge+50, used to normalize mu           8.5164E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.891    -16.801   0.000  8.12387E-01  1.23528E+00 -1.66507E-01
    5487.900    -16.791   0.050  8.25981E-01  1.24546E+00 -1.63334E-01
    5487.929    -16.763   0.100  8.39804E-01  1.25563E+00 -1.60142E-01
    5487.977    -16.715   0.150  8.81888E-01  1.28670E+00 -1.50805E-01
    5488.043    -16.648   0.200  9.25863E-01  1.31777E+00 -1.41377E-01
    5488.129    -16.563   0.250  9.99397E-01  1.36963E+00 -1.26653E-01
    5488.234    -16.458   0.300  1.07710E+00  1.42150E+00 -1.12022E-01
    5488.358    -16.334   0.350  1.18269E+00  1.49198E+00 -9.40954E-02
    5488.501    -16.191   0.400  1.29301E+00  1.56246E+00 -7.69964E-02
    5488.662    -16.029   0.450  1.42288E+00  1.64542E+00 -5.94838E-02
    5488.843    -15.848   0.500  1.55388E+00  1.72839E+00 -4.38105E-02
    5489.043    -15.648   0.550  1.68831E+00  1.81344E+00 -3.00498E-02
    5489.263    -15.429   0.600  1.81741E+00  1.89850E+00 -1.86602E-02
    5489.501    -15.191   0.650  1.93091E+00  1.97307E+00 -9.67698E-03
    5489.758    -14.934   0.700  2.03588E+00  2.04765E+00 -2.69398E-03
    5490.034    -14.658   0.750  2.11233E+00  2.09967E+00  3.01280E-03
    5490.329    -14.362   0.800  2.18519E+00  2.15169E+00  8.30257E-03
    5490.644    -14.048   0.850  2.23191E+00  2.17250E+00  1.56913E-02
    5490.977    -13.715   0.900  2.28576E+00  2.19331E+00  2.61375E-02
    5491.329    -13.362   0.950  2.32532E+00  2.18046E+00  4.40819E-02
    5491.701    -12.991   1.000  2.37491E+00  2.16760E+00  6.82919E-02
    5492.091    -12.600   1.050  2.40939E+00  2.12561E+00  1.00760E-01
    5492.501    -12.191   1.100  2.43784E+00  2.08361E+00  1.36395E-01
    5492.930    -11.762   1.150  2.43541E+00  2.02191E+00  1.71182E-01
    5493.377    -11.314   1.200  2.40538E+00  1.96021E+00  1.99268E-01
    5493.844    -10.848   1.250  2.33545E+00  1.88942E+00  2.13694E-01
    5494.330    -10.362   1.300  2.23092E+00  1.81863E+00  2.12467E-01
    5494.835     -9.857   1.350  2.09683E+00  1.74728E+00  1.91704E-01
    5495.359     -9.333   1.400  1.94056E+00  1.67593E+00  1.55093E-01
    5495.901     -8.790   1.450  1.77830E+00  1.60963E+00  1.04530E-01
    5496.463     -8.228   1.500  1.61442E+00  1.54333E+00  4.67378E-02
    5497.044     -7.647   1.550  1.46582E+00  1.48492E+00 -1.31797E-02
    5497.645     -7.047   1.600  1.33134E+00  1.42650E+00 -6.91569E-02
    5498.264     -6.428   1.650  1.22282E+00  1.37692E+00 -1.16747E-01
    5498.902     -5.790   1.700  1.13465E+00  1.32733E+00 -1.52454E-01
    5499.559     -5.133   1.750  1.07366E+00  1.28651E+00 -1.74252E-01
    5500.235     -4.456   1.800  1.03102E+00  1.24569E+00 -1.82056E-01
    5500.931     -3.761   1.850  1.01161E+00  1.21474E+00 -1.76548E-01
    5501.645     -3.047   1.900  1.00368E+00  1.18378E+00 -1.60523E-01
    5502.378     -2.313   1.950  1.01546E+00  1.16397E+00 -1.35064E-01
    5503.131     -1.561   2.000  1.03013E+00  1.14416E+00 -1.05865E-01
    5503.902     -0.789   2.050  1.04773E+00  1.12831E+00 -7.63222E-02
    5504.693      0.001   2.100  1.06037E+00  1.11245E+00 -5.03544E-02
    5505.503      0.811   2.150  1.06661E+00  1.09660E+00 -2.96068E-02
    5506.331      1.640   2.200  1.06661E+00  1.08075E+00 -1.42559E-02
    5507.179      2.487   2.250  1.06356E+00  1.06638E+00 -2.89369E-03
