# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.408 Rnm= 1.475 K  shell
# # Pot 1 Z=26 Rmt= 1.420 Rnm= 1.490
# # Pot 2 Z=14 Rmt= 1.374 Rnm= 1.434
# # Pot 3 Z=26 Rmt= 1.391 Rnm= 1.453
# # Pot 4 Z=57 Rmt= 1.955 Rnm= 1.970
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.605E+01 kf=2.008E+00 Vint=-2.359E+01 Rs_int= 1.806
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00422    100.00      1.00     2   2.4817
#           2       0.00278    647.70      7.00     2   2.4817
#           3       0.00426     33.47      8.00     3   3.7636
#           4       0.00316     66.67     16.00     3   3.7636
#           5       0.00326     17.98      6.00     3   3.8847
#           6       0.00527     52.75      2.00     2   3.9599
#           7       0.00353    201.60      6.00     2   3.9599
#           8       0.00400     16.18      2.00     3   4.4150
#           9       0.00504     15.61      4.00     3   4.4150
#          10       0.00352     45.47     10.00     3   4.4150
#          11       0.00562     11.04      2.00     3   4.5130
#          12       0.00413     11.85      2.00     3   4.5130
#          13       0.00507     14.78      4.00     3   4.5130
#          14       0.00356     56.63     16.00     3   4.5130
#          15       0.00508      4.96      2.00     3   4.5287
#          16       0.00354     12.54      4.00     3   4.5287
#          17       0.00510     11.70      4.00     3   4.6066
#          18       0.00353     41.05     12.00     3   4.6066
#          19       0.00514     14.92      1.00     2   4.8049
#          20       0.00343    103.30      5.00     2   4.8049
#          21       0.00347     52.91      2.00     3   4.8375
#          22       0.00512     24.34      2.00     3   4.8375
#          23       0.00343    122.00      8.00     3   4.8375
#          24       0.00369     31.95      1.00     4   4.8701
#          26       0.00523     12.04      1.00     4   4.8701
#          27       0.00354     52.60      4.00     4   4.8701
#          28       0.00482      5.76      5.00     4   4.8701
#          29       0.00341     47.10      4.00     3   4.9633
#          30       0.00341     41.89      4.00     4   4.9633
#          31       0.01686      4.10      1.00     4   4.9633
#          32       0.00618      4.15      4.00     4   4.9633
#          33       0.01110     35.42      7.00     4   4.9633
#          34       0.00460     19.19     12.00     4   4.9633
#          35       0.00823     11.01      8.00     4   4.9633
#          36       0.00644      9.89      6.00     4   4.9633
#          37       0.00680     29.98     16.00     4   4.9633
#          38       0.00240    111.20      4.00     2   4.9796
#          39       0.01154     10.15      4.00     4   5.0455
#          40       0.00862      6.22      4.00     4   5.0455
#          41       0.00712     32.36     16.00     4   5.0455
#          42       0.00519      5.05      8.00     4   5.0661
#          43       0.00762      9.03      6.00     4   5.2877
#          44       0.00374      6.74      8.00     3   5.2940
#          45       0.00374     13.81     16.00     3   5.3363
#          46       0.00383      6.66      4.00     3   5.3629
#          47       0.00303     29.71      4.00     3   5.3978
#          48       0.00259     65.74     20.00     3   5.3978
#          49       0.00447     12.11      6.00     3   5.6643
#          50       0.00368      7.45      8.00     3   5.6643
#          51       0.00367     14.03     14.00     3   5.7077
#          52       0.00505      8.86      1.00     2   5.7104
#          53       0.00336     90.63      7.00     2   5.7104
#          54       0.00367      5.88      6.00     3   5.7164
#          55       0.00368      6.36      4.00     4   5.7403
#          56       0.00364      8.64     10.00     4   5.7403
#          57       0.00337     47.53      4.00     2   5.7500
#          58       0.00361     16.35     14.00     3   5.7593
#          59       0.00348     21.90      2.00     3   5.7849
#          60       0.00506      7.38      2.00     3   5.7849
#          61       0.00340     56.32     12.00     3   5.7849
#          62       0.00360      9.47      8.00     3   5.7940
#          63       0.00565      6.06      2.00     4   5.8160
#          64       0.00392      6.05     10.00     4   5.8160
#          65       0.00398     10.31      1.00     4   5.8594
#          66       0.00366      9.29      6.00     4   5.8594
#          67       0.00638      4.64      8.00     4   5.8885
#          68       0.00529      5.78     16.00     4   5.8885
#          69       0.00367      5.54     10.00     3   5.9272
#          70       0.00383      4.97      4.00     4   5.9598
#          71       0.00380      4.45      6.00     4   5.9598
#    70/  71 paths used
#  xsedge+50, used to normalize mu           3.2039E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7119.147    -16.044   0.050  3.68725E-01  2.69867E-01  2.21118E-01
    7119.176    -16.016   0.100  3.63526E-01  2.74541E-01  1.98535E-01
    7119.224    -15.968   0.150  3.50167E-01  2.88358E-01  1.36873E-01
    7119.290    -15.901   0.200  3.37972E-01  3.02175E-01  7.86825E-02
    7119.376    -15.816   0.250  3.22462E-01  3.23390E-01 -2.01545E-03
    7119.481    -15.711   0.300  3.10536E-01  3.44605E-01 -7.30991E-02
    7119.605    -15.587   0.350  2.98603E-01  3.68652E-01 -1.47854E-01
    7119.748    -15.444   0.400  2.93311E-01  3.92699E-01 -2.06420E-01
    7119.909    -15.282   0.450  2.89234E-01  4.15390E-01 -2.56821E-01
    7120.090    -15.101   0.500  2.94007E-01  4.38081E-01 -2.87596E-01
    7120.290    -14.901   0.550  3.00708E-01  4.58442E-01 -3.07694E-01
    7120.510    -14.682   0.600  3.16725E-01  4.78804E-01 -3.09130E-01
    7120.748    -14.444   0.650  3.34690E-01  4.97627E-01 -3.03028E-01
    7121.005    -14.187   0.700  3.60604E-01  5.16451E-01 -2.82799E-01
    7121.281    -13.911   0.750  3.87459E-01  5.34614E-01 -2.59974E-01
    7121.576    -13.615   0.800  4.19931E-01  5.52777E-01 -2.28656E-01
    7121.891    -13.301   0.850  4.55104E-01  5.70801E-01 -1.93721E-01
    7122.224    -12.968   0.900  4.94033E-01  5.88824E-01 -1.54513E-01
    7122.576    -12.615   0.950  5.30800E-01  6.06920E-01 -1.20689E-01
    7122.948    -12.244   1.000  5.63408E-01  6.25016E-01 -9.50833E-02
    7123.338    -11.853   1.050  5.87891E-01  6.43164E-01 -8.30087E-02
    7123.748    -11.444   1.100  6.04154E-01  6.61311E-01 -8.35869E-02
    7124.177    -11.015   1.150  6.11483E-01  6.79382E-01 -9.67135E-02
    7124.624    -10.567   1.200  6.11189E-01  6.97453E-01 -1.19756E-01
    7125.091    -10.101   1.250  6.05285E-01  7.15204E-01 -1.48834E-01
    7125.577     -9.615   1.300  5.97541E-01  7.32955E-01 -1.78942E-01
    7126.082     -9.110   1.350  5.91462E-01  7.50116E-01 -2.04846E-01
    7126.606     -8.586   1.400  5.91069E-01  7.67277E-01 -2.22411E-01
    7127.148     -8.043   1.450  5.98149E-01  7.83559E-01 -2.29124E-01
    7127.710     -7.481   1.500  6.15143E-01  7.99842E-01 -2.23562E-01
    7128.291     -6.900   1.550  6.40356E-01  8.14985E-01 -2.07417E-01
    7128.891     -6.300   1.600  6.74455E-01  8.30128E-01 -1.81504E-01
    7129.511     -5.681   1.650  7.12933E-01  8.43860E-01 -1.50162E-01
    7130.149     -5.043   1.700  7.55333E-01  8.57592E-01 -1.15401E-01
    7130.806     -4.386   1.750  7.96114E-01  8.69710E-01 -8.19083E-02
    7131.482     -3.709   1.800  8.35665E-01  8.81828E-01 -5.06782E-02
    7132.178     -3.014   1.850  8.70439E-01  8.92146E-01 -2.35629E-02
    7132.892     -2.300   1.900  9.01091E-01  9.02465E-01 -1.47525E-03
    7133.625     -1.566   1.950  9.27166E-01  9.10795E-01  1.74204E-02
    7134.378     -0.814   2.000  9.49268E-01  9.19126E-01  3.17982E-02
    7135.149     -0.042   2.050  9.68593E-01  9.23846E-01  4.70011E-02
    7135.940      0.748   2.100  9.85384E-01  9.28566E-01  5.94219E-02
    7136.750      1.558   2.150  9.99973E-01  9.33287E-01  6.94425E-02
    7137.578      2.387   2.200  1.01220E+00  9.38007E-01  7.69266E-02
    7138.426      3.234   2.250  1.01902E+00  9.40369E-01  8.14641E-02
    7139.293      4.101   2.300  1.01957E+00  9.42732E-01  7.95069E-02
    7140.179      4.987   2.350  1.01391E+00  9.45095E-01  7.11204E-02
    7141.083      5.892   2.400  1.00301E+00  9.47457E-01  5.73601E-02
    7142.007      6.816   2.450  9.94433E-01  9.55192E-01  4.03023E-02
    7142.950      7.759   2.500  9.83391E-01  9.62928E-01  2.09080E-02
    7143.912      8.721   2.550  9.73781E-01  9.70663E-01  3.16928E-03
    7144.893      9.702   2.600  9.68523E-01  9.78398E-01 -9.98525E-03
    7145.894     10.702   2.650  9.60179E-01  9.81925E-01 -2.19212E-02
    7146.913     11.721   2.700  9.56743E-01  9.85451E-01 -2.88517E-02
    7147.951     12.759   2.750  9.58966E-01  9.88978E-01 -3.00697E-02
    7149.008     13.817   2.800  9.66309E-01  9.92504E-01 -2.61659E-02
    7150.085     14.893   2.850  9.72933E-01  9.93908E-01 -2.09282E-02
