# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.319 Rnm= 1.366 K  shell
# # Pot 1 Z=57 Rmt= 1.882 Rnm= 1.882
# # Pot 2 Z=14 Rmt= 1.348 Rnm= 1.400
# # Pot 3 Z=26 Rmt= 1.370 Rnm= 1.423
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.722E+01 kf=2.091E+00 Vint=-2.562E+01 Rs_int= 1.734
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00250
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00533    100.00      3.00     2   2.4521
#           2       0.00533     99.79      3.00     2   2.4548
#           3       0.00536     97.74      3.00     2   2.4808
#           4       0.00538     96.45      3.00     2   2.4976
#           5       0.00573      8.57      6.00     3   3.7308
#           6       0.00573      8.47      6.00     3   3.7345
#           7       0.00574      8.52      6.00     3   3.7459
#           8       0.00574      8.77      6.00     3   3.7472
#           9       0.00575      8.26      6.00     3   3.7636
#          10       0.00602     37.60      3.00     2   3.8723
#          11       0.00602     37.41      3.00     2   3.8807
#          12       0.00602     37.30      3.00     2   3.8855
#          13       0.00777     29.20      3.00     2   3.8973
#          14       0.00605      9.79      6.00     3   4.3800
#          15       0.00606      9.36      6.00     3   4.3879
#          16       0.00606      9.23      6.00     3   4.3933
#          17       0.00606      9.30      6.00     3   4.3953
#          18       0.00606      9.33      6.00     3   4.3983
#          19       0.00606      9.15      6.00     3   4.4025
#          20       0.00757      8.74      6.00     3   4.4031
#          21       0.00607      8.76      6.00     3   4.4123
#          22       0.00607      8.81      6.00     3   4.4159
#          23       0.00605      6.72      6.00     3   4.5341
#          24       0.00605      6.88      6.00     3   4.5359
#          25       0.00604      7.28      6.00     3   4.5450
#          26       0.00603      7.40      6.00     3   4.5488
#          27       0.00604      6.97      6.00     3   4.5747
#          28       0.00604      7.29      6.00     3   4.5794
#          29       0.00604      7.12      6.00     3   4.5867
#          30       0.00603      7.37      6.00     3   4.5897
#          31       0.00604      7.00      6.00     3   4.6164
#          32       0.00604      7.02      6.00     3   4.6179
#          33       0.00590     21.31      3.00     2   4.8582
#          34       0.00760     15.18      3.00     2   4.8618
#          35       0.00590     21.26      3.00     2   4.8625
#          36       0.00590     39.46      6.00     3   4.8820
#          37       0.00591     36.69      6.00     3   4.8829
#          38       0.00759     26.27      6.00     3   4.8929
#          39       0.00597     21.66      3.00     4   4.9015
#          40       0.01382      6.81      3.00     4   4.9043
#          41       0.00589     25.34      6.00     3   4.9068
#          42       0.00590     21.62      6.00     4   4.9069
#          43       0.00599     18.10      3.00     4   4.9077
#          44       0.00589     20.74      3.00     2   4.9091
#          45       0.01383      6.78      3.00     4   4.9096
#          46       0.00770      8.68      2.00     4   4.9240
#          47       0.00489     10.23      1.00     2   4.9342
#          48       0.00489     30.62      3.00     2   4.9378
#          49       0.00590     31.13      6.00     3   4.9426
#          50       0.00489     30.36      3.00     2   4.9546
#          51       0.01395      6.48      3.00     4   4.9617
#          52       0.00602     12.72      3.00     4   4.9761
#          53       0.00589     24.08      6.00     3   4.9783
#          54       0.00589     20.47      6.00     4   4.9784
#          55       0.00489      9.96      1.00     2   4.9847
#          56       0.01402      6.30      3.00     4   4.9951
#          57       0.00587     14.17      3.00     2   5.6516
#          58       0.00587     14.06      3.00     2   5.6684
#          59       0.00587     13.85      3.00     2   5.6995
#          60       0.00587     13.83      3.00     2   5.7016
#          61       0.00587     13.75      3.00     2   5.7140
#          62       0.00587     13.64      3.00     2   5.7309
#          63       0.00591     10.15      6.00     3   5.7347
#          64       0.00591     10.06      6.00     3   5.7515
#          65       0.00592      8.27      6.00     3   5.8007
#          66       0.00591      8.91      6.00     3   5.8056
#    66/  66 paths used
#  xsedge+50, used to normalize mu           3.1119E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7122.003    -17.224   0.000  7.52823E-02  3.84517E-01 -4.42350E-01
    7122.013    -17.214   0.050  7.80850E-02  3.91445E-01 -4.47514E-01
    7122.041    -17.186   0.100  8.11316E-02  3.98373E-01 -4.52314E-01
    7122.089    -17.138   0.150  9.15060E-02  4.18952E-01 -4.64586E-01
    7122.156    -17.072   0.200  1.03878E-01  4.39532E-01 -4.73918E-01
    7122.241    -16.986   0.250  1.25644E-01  4.70787E-01 -4.83489E-01
    7122.346    -16.881   0.300  1.52049E-01  5.02042E-01 -4.86462E-01
    7122.470    -16.757   0.350  1.86090E-01  5.36511E-01 -4.81988E-01
    7122.613    -16.614   0.400  2.27043E-01  5.70980E-01 -4.68196E-01
    7122.775    -16.452   0.450  2.72251E-01  6.01877E-01 -4.43122E-01
    7122.956    -16.271   0.500  3.24916E-01  6.32773E-01 -4.08763E-01
    7123.156    -16.071   0.550  3.79703E-01  6.58409E-01 -3.64919E-01
    7123.375    -15.852   0.600  4.40019E-01  6.84044E-01 -3.15134E-01
    7123.613    -15.614   0.650  5.00429E-01  7.05567E-01 -2.61006E-01
    7123.870    -15.357   0.700  5.61817E-01  7.27090E-01 -2.07225E-01
    7124.146    -15.081   0.750  6.20168E-01  7.45807E-01 -1.55169E-01
    7124.442    -14.786   0.800  6.73075E-01  7.64523E-01 -1.11275E-01
    7124.756    -14.471   0.850  7.17528E-01  7.81260E-01 -7.64103E-02
    7125.089    -14.138   0.900  7.45262E-01  7.97997E-01 -6.23105E-02
    7125.442    -13.785   0.950  7.32480E-01  8.13131E-01 -9.39680E-02
    7125.813    -13.414   1.000  6.97204E-01  8.28265E-01 -1.50603E-01
    7126.204    -13.023   1.050  6.49380E-01  8.41900E-01 -2.18395E-01
    7126.613    -12.614   1.100  6.02157E-01  8.55536E-01 -2.83801E-01
    7127.042    -12.185   1.150  5.59723E-01  8.67663E-01 -3.40993E-01
    7127.490    -11.738   1.200  5.30380E-01  8.79791E-01 -3.82566E-01
    7127.956    -11.271   1.250  5.15833E-01  8.90360E-01 -4.06051E-01
    7128.442    -10.785   1.300  5.22613E-01  9.00929E-01 -4.06182E-01
    7128.947    -10.280   1.350  5.49617E-01  9.09882E-01 -3.83677E-01
    7129.471     -9.756   1.400  5.95023E-01  9.18835E-01 -3.42093E-01
    7130.014     -9.213   1.450  6.52344E-01  9.26171E-01 -2.87441E-01
    7130.576     -8.651   1.500  7.16036E-01  9.33506E-01 -2.26836E-01
    7131.157     -8.070   1.550  7.78477E-01  9.39271E-01 -1.66925E-01
    7131.757     -7.470   1.600  8.35632E-01  9.45037E-01 -1.13040E-01
    7132.376     -6.851   1.650  8.83141E-01  9.49303E-01 -6.81430E-02
    7133.014     -6.213   1.700  9.20453E-01  9.53569E-01 -3.39995E-02
    7133.671     -5.556   1.750  9.46650E-01  9.56476E-01 -1.00694E-02
    7134.348     -4.880   1.800  9.65166E-01  9.59383E-01  5.91588E-03
    7135.043     -4.184   1.850  9.78112E-01  9.61070E-01  1.74228E-02
    7135.757     -3.470   1.900  9.89753E-01  9.62757E-01  2.75823E-02
    7136.491     -2.736   1.950  1.00330E+00  9.63340E-01  4.08384E-02
    7137.243     -1.984   2.000  1.01944E+00  9.63924E-01  5.67635E-02
    7138.015     -1.212   2.050  1.04135E+00  9.63440E-01  7.97829E-02
    7138.805     -0.422   2.100  1.06443E+00  9.62956E-01  1.04070E-01
    7139.615      0.388   2.150  1.08594E+00  9.62472E-01  1.26821E-01
    7140.444      1.216   2.200  1.10237E+00  9.61988E-01  1.44410E-01
    7141.291      2.064   2.250  1.10955E+00  9.60423E-01  1.53811E-01
    7142.158      2.931   2.300  1.10084E+00  9.58857E-01  1.46829E-01
    7143.044      3.817   2.350  1.07687E+00  9.57292E-01  1.23994E-01
    7143.949      4.722   2.400  1.04108E+00  9.55726E-01  8.87394E-02
    7144.873      5.646   2.450  9.98229E-01  9.56664E-01  4.33516E-02
    7145.816      6.588   2.500  9.55629E-01  9.57602E-01 -2.06406E-03
    7146.778      7.550   2.550  9.21176E-01  9.58540E-01 -3.92168E-02
    7147.759      8.532   2.600  8.99487E-01  9.59478E-01 -6.31659E-02
    7148.759      9.532   2.650  8.83535E-01  9.60417E-01 -8.09668E-02
    7149.778     10.551   2.700  8.78415E-01  9.61355E-01 -8.73658E-02
    7150.816     11.589   2.750  8.83626E-01  9.62294E-01 -8.28831E-02
    7151.874     12.646   2.800  8.96955E-01  9.63232E-01 -6.98431E-02
    7152.950     13.723   2.850  9.12109E-01  9.64464E-01 -5.50518E-02
    7154.045     14.818   2.900  9.30516E-01  9.65696E-01 -3.69121E-02
    7155.160     15.932   2.950  9.49767E-01  9.66928E-01 -1.79669E-02
    7156.293     17.066   3.000  9.67836E-01  9.68160E-01 -3.38519E-04
    7157.446     18.218   3.050  9.81911E-01  9.69680E-01  1.27348E-02
    7158.617     19.390   3.100  9.92840E-01  9.71200E-01  2.24583E-02
    7159.808     20.581   3.150  1.00092E+00  9.72720E-01  2.91730E-02
    7161.018     21.790   3.200  1.00711E+00  9.74240E-01  3.38887E-02
    7162.246     23.019   3.250  1.01230E+00  9.75986E-01  3.73088E-02
    7163.494     24.267   3.300  1.01794E+00  9.77731E-01  4.11559E-02
    7164.761     25.534   3.350  1.02506E+00  9.79477E-01  4.64883E-02
    7166.047     26.819   3.400  1.03422E+00  9.81222E-01  5.38470E-02
    7167.352     28.124   3.450  1.04498E+00  9.83405E-01  6.23417E-02
