# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.825 Rnm= 1.825 L3 shell
# # Pot 1 Z=26 Rmt= 1.375 Rnm= 1.431
# # Pot 2 Z=14 Rmt= 1.361 Rnm= 1.414
# # Pot 3 Z=57 Rmt= 1.839 Rnm= 1.839
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.659E+01 kf=2.075E+00 Vint=-2.510E+01 Rs_int= 1.748
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     22.00     2   3.3344
#           2       0.00000      9.33      2.00     2   3.3344
#           3       0.00000      4.83     40.00     3   4.5286
#           5       0.00000     13.26      8.00     2   4.9796
#           6       0.00000     31.79     22.00     2   5.2204
#           7       0.00000      5.57     44.00     3   5.3978
#           8       0.00000      5.65     40.00     3   5.5593
#           9       0.00000      5.62     42.00     3   5.5696
#          11       0.00000      9.88      6.00     2   5.7500
#          12       0.00000     21.08     21.00     2   5.8871
#          13       0.00000     47.09     38.00     3   5.8927
#          14       0.00000      4.98      6.00     3   5.8927
#          15       0.00000      5.78      4.00     3   5.8927
#          16       0.00000     33.91     19.00     4   5.8982
#          18       0.00000      4.17      2.00     4   5.8982
#          21       0.00000      4.26     20.00     3   6.6375
#          22       0.00000      6.09     20.00     4   6.6687
#          26       0.00000     10.24     19.00     2   7.1269
#          28       0.00000     10.30     21.00     2   7.3282
#          32       0.00000      8.62     22.00     2   7.8172
#          33       0.00000      9.00     40.00     3   7.8597
#    21/  29 paths used
#  xsedge+50, used to normalize mu           8.5143E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.891    -16.588   0.000  9.29789E-01  1.24577E+00 -1.17540E-01
    5487.900    -16.579   0.050  9.43297E-01  1.25609E+00 -1.15091E-01
    5487.929    -16.550   0.100  9.56897E-01  1.26641E+00 -1.12660E-01
    5487.977    -16.502   0.150  9.97465E-01  1.29762E+00 -1.05805E-01
    5488.043    -16.436   0.200  1.03867E+00  1.32883E+00 -9.91520E-02
    5488.129    -16.350   0.250  1.10506E+00  1.38080E+00 -8.95804E-02
    5488.234    -16.245   0.300  1.17226E+00  1.43277E+00 -8.06585E-02
    5488.358    -16.121   0.350  1.25849E+00  1.50306E+00 -7.11861E-02
    5488.501    -15.979   0.400  1.34423E+00  1.57335E+00 -6.29219E-02
    5488.662    -15.817   0.450  1.43764E+00  1.65542E+00 -5.64290E-02
    5488.843    -15.636   0.500  1.52867E+00  1.73749E+00 -5.12154E-02
    5489.043    -15.436   0.550  1.61542E+00  1.82054E+00 -4.86694E-02
    5489.263    -15.217   0.600  1.70209E+00  1.90359E+00 -4.63026E-02
    5489.501    -14.978   0.650  1.78070E+00  1.97498E+00 -4.49617E-02
    5489.758    -14.721   0.700  1.86998E+00  2.04636E+00 -4.11163E-02
    5490.034    -14.445   0.750  1.95610E+00  2.09441E+00 -3.36749E-02
    5490.329    -14.150   0.800  2.06441E+00  2.14246E+00 -1.98878E-02
    5490.644    -13.835   0.850  2.17247E+00  2.15940E+00  3.55184E-03
    5490.977    -13.502   0.900  2.29689E+00  2.17633E+00  3.50964E-02
    5491.329    -13.150   0.950  2.40645E+00  2.16068E+00  7.69187E-02
    5491.701    -12.778   1.000  2.50380E+00  2.14503E+00  1.21389E-01
    5492.091    -12.388   1.050  2.55572E+00  2.10182E+00  1.65247E-01
    5492.501    -11.978   1.100  2.56629E+00  2.05862E+00  2.00021E-01
    5492.930    -11.549   1.150  2.51725E+00  1.99725E+00  2.19891E-01
    5493.377    -11.102   1.200  2.42621E+00  1.93588E+00  2.23732E-01
    5493.844    -10.635   1.250  2.29623E+00  1.86640E+00  2.09558E-01
