# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.8500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.322 Rnm= 1.376 K  shell
# # Pot 1 Z=62 Rmt= 1.655 Rnm= 1.704
# # Pot 2 Z=27 Rmt= 1.335 Rnm= 1.390
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.742E+01 kf=2.039E+00 Vint=-2.659E+01 Rs_int= 1.778
# # PATH  Rmax= 9.700,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01092    100.00      4.00     2   2.3786
#           2       0.01117     96.18      4.00     2   2.4260
#           3       0.01003     83.55      4.00     2   3.0954
#           4       0.01238     18.53     16.00     3   3.5916
#           5       0.01524     17.49      2.00     2   3.8451
#           6       0.01124     13.24     16.00     3   4.1376
#           7       0.01548     57.31      8.00     2   4.1748
#           8       0.01549     28.20      4.00     2   4.2019
#           9       0.01493      9.00      8.00     3   4.3012
#          10       0.01527     14.33     16.00     3   4.4897
#          11       0.01527     18.92     16.00     3   4.4897
#          13       0.01531      8.88      8.00     3   4.5269
#          14       0.01561     46.31      8.00     2   4.5464
#          15       0.01114     34.75      4.00     2   4.6208
#          16       0.01554     27.56     16.00     3   4.6518
#          17       0.01545     12.51     16.00     3   4.6773
#          18       0.01566     11.80      4.00     3   4.7573
#          19       0.01566     10.93      4.00     4   4.7573
#          20       0.04370      5.61      4.00     4   4.7573
#          21       0.01669      6.98      8.00     4   4.7573
#          22       0.01872      5.17     16.00     4   4.8046
#          23       0.02778      5.96     16.00     4   4.8046
#          24       0.01569     29.39      6.00     2   4.8519
#          25       0.01569     11.00      4.00     3   4.8519
#          26       0.01569     48.10      8.00     3   4.8519
#          27       0.01569     10.06      4.00     4   4.8519
#          28       0.04467      5.15      4.00     4   4.8519
#          29       0.01569     38.78      4.00     4   4.8519
#          30       0.01146     11.56      8.00     3   4.9004
#          31       0.01420     11.64     16.00     3   5.0357
#          32       0.01171      9.98     16.00     3   5.0711
#          33       0.01171     15.94     16.00     3   5.0711
#          34       0.01161     11.28     16.00     3   5.1156
#          35       0.01423      8.48     16.00     3   5.1963
#          36       0.01456     10.54     16.00     3   5.3686
#          37       0.01623      7.74     16.00     3   5.3777
#          38       0.01589     29.45      8.00     2   5.4036
#          39       0.02675      4.34     16.00     4   5.4740
#          40       0.01551     32.54     16.00     3   5.6501
#          41       0.01605     25.52      8.00     2   5.6957
#          42       0.01629      4.62     16.00     4   5.7027
#          43       0.01703      8.80      8.00     4   5.8966
#          44       0.01572     27.04     16.00     3   5.9432
#          45       0.01632      5.83      8.00     3   6.0795
#          46       0.01637      5.21     16.00     3   6.1245
#          47       0.00642     11.58      4.00     3   6.1908
#          48       0.00642      5.96      4.00     4   6.1908
#          50       0.01728      8.03      8.00     4   6.1908
#          51       0.01652      8.82     16.00     3   6.3721
#    49/  51 paths used
#  xsedge+50, used to normalize mu           2.8990E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.228    -17.416   0.000  3.27679E-01  3.19405E-01  1.45989E-02
    7719.238    -17.407   0.050  3.32519E-01  3.24581E-01  1.39802E-02
    7719.266    -17.378   0.100  3.37392E-01  3.29758E-01  1.34223E-02
    7719.314    -17.331   0.150  3.50949E-01  3.45201E-01  1.00527E-02
    7719.381    -17.264   0.200  3.64674E-01  3.60644E-01  7.01028E-03
    7719.466    -17.178   0.250  3.82207E-01  3.84531E-01 -4.00858E-03
    7719.571    -17.073   0.300  3.99654E-01  4.08418E-01 -1.49902E-02
    7719.695    -16.950   0.350  4.13626E-01  4.35828E-01 -3.75365E-02
    7719.838    -16.807   0.400  4.28150E-01  4.63238E-01 -5.86491E-02
    7720.000    -16.645   0.450  4.44488E-01  4.89020E-01 -7.33942E-02
    7720.181    -16.464   0.500  4.65799E-01  5.14802E-01 -7.96477E-02
    7720.381    -16.264   0.550  4.95741E-01  5.37137E-01 -6.62065E-02
    7720.600    -16.045   0.600  5.28649E-01  5.59471E-01 -4.85197E-02
    7720.838    -15.807   0.650  5.52169E-01  5.78962E-01 -4.14391E-02
    7721.095    -15.549   0.700  5.72428E-01  5.98454E-01 -3.95607E-02
    7721.371    -15.273   0.750  5.75603E-01  6.16132E-01 -6.04686E-02
    7721.667    -14.978   0.800  5.74242E-01  6.33811E-01 -8.72657E-02
    7721.981    -14.664   0.850  5.62160E-01  6.50394E-01 -1.26814E-01
    7722.314    -14.330   0.900  5.48051E-01  6.66977E-01 -1.67754E-01
    7722.667    -13.978   0.950  5.32111E-01  6.82825E-01 -2.08585E-01
    7723.038    -13.606   1.000  5.17147E-01  6.98674E-01 -2.46579E-01
    7723.429    -13.216   1.050  5.05807E-01  7.13926E-01 -2.77499E-01
    7723.838    -12.806   1.100  4.96417E-01  7.29178E-01 -3.04749E-01
    7724.267    -12.378   1.150  4.91036E-01  7.43787E-01 -3.25107E-01
    7724.715    -11.930   1.200  4.88095E-01  7.58396E-01 -3.41678E-01
    7725.181    -11.463   1.250  4.88419E-01  7.72282E-01 -3.52928E-01
    7725.667    -10.977   1.300  4.94485E-01  7.86169E-01 -3.56791E-01
    7726.172    -10.473   1.350  5.06315E-01  7.99183E-01 -3.52835E-01
    7726.696     -9.949   1.400  5.28540E-01  8.12197E-01 -3.36660E-01
    7727.239     -9.406   1.450  5.60433E-01  8.24203E-01 -3.08809E-01
    7727.801     -8.844   1.500  6.04273E-01  8.36209E-01 -2.67904E-01
    7728.382     -8.263   1.550  6.57695E-01  8.47086E-01 -2.16152E-01
    7728.982     -7.663   1.600  7.18917E-01  8.57964E-01 -1.56823E-01
    7729.601     -7.044   1.650  7.84187E-01  8.67635E-01 -9.31511E-02
    7730.239     -6.405   1.700  8.49116E-01  8.77307E-01 -3.11482E-02
    7730.896     -5.748   1.750  9.09779E-01  8.85713E-01  2.63616E-02
    7731.572     -5.072   1.800  9.61910E-01  8.94120E-01  7.36240E-02
    7732.268     -4.377   1.850  1.00268E+00  9.01238E-01  1.09408E-01
    7732.982     -3.662   1.900  1.03022E+00  9.08355E-01  1.30518E-01
    7733.716     -2.929   1.950  1.04328E+00  9.14140E-01  1.37550E-01
    7734.468     -2.176   2.000  1.04371E+00  9.19925E-01  1.31130E-01
    7735.240     -1.405   2.050  1.03388E+00  9.23983E-01  1.16021E-01
