# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.8500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.321 Rnm= 1.374 K  shell
# # Pot 1 Z=62 Rmt= 1.640 Rnm= 1.685
# # Pot 2 Z=27 Rmt= 1.335 Rnm= 1.392
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.738E+01 kf=2.061E+00 Vint=-2.605E+01 Rs_int= 1.760
# # PATH  Rmax= 9.700,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01094    100.00      6.00     2   2.3786
#           2       0.00941     50.76      3.00     2   2.8012
#           3       0.01287     35.72      3.00     2   2.8012
#           4       0.01240      8.25     12.00     3   3.5916
#           5       0.01317      8.24     12.00     3   3.7793
#           6       0.01525     11.62      2.00     2   3.8451
#           7       0.01548     57.07     12.00     2   4.1747
#           8       0.01494      8.52     12.00     3   4.3012
#           9       0.01528     17.58     24.00     3   4.4897
#          10       0.01554      5.04      4.00     3   4.6518
#          11       0.01554     10.07      8.00     3   4.6519
#          12       0.01546      8.82     24.00     3   4.6774
#          13       0.01546     11.57     24.00     3   4.6773
#          14       0.01116     32.72      6.00     2   4.7573
#          15       0.01567     20.51      6.00     2   4.7573
#          16       0.01567     50.50     12.00     3   4.7573
#          18       0.04377      5.73      6.00     4   4.7573
#          19       0.01567     41.99      6.00     4   4.7573
#          20       0.01569     19.49      6.00     2   4.8519
#          21       0.01147      7.55     12.00     3   4.9004
#          22       0.01421     12.75     24.00     3   5.0357
#          23       0.01161     17.56     24.00     3   5.1156
#          24       0.00732      4.27      6.00     3   5.2273
#          25       0.01503     14.87     12.00     3   5.2272
#          26       0.01589     29.27     12.00     2   5.4036
#          27       0.01137      7.23      2.00     2   5.6025
#          28       0.01600      4.42      2.00     2   5.6026
#          29       0.01137      9.79      6.00     3   5.6026
#          30       0.01600     10.78      2.00     3   5.6025
#          31       0.01600     21.55      4.00     3   5.6026
#          32       0.01137     13.23      4.00     3   5.6025
#          33       0.01137      5.73      6.00     4   5.6025
#          35       0.01600     13.12      1.00     4   5.6025
#          36       0.01600     26.25      2.00     4   5.6026
#          37       0.01137      8.77      2.00     4   5.6025
#          38       0.01551     32.82     24.00     3   5.6501
#          39       0.01629      4.38     24.00     4   5.6553
#          40       0.01704      8.85     12.00     4   5.8967
#          41       0.01632      5.71     12.00     3   6.0795
#          42       0.01638      4.69     24.00     3   6.1245
#          43       0.01653      8.63     24.00     3   6.3721
#    41/  42 paths used
#  xsedge+50, used to normalize mu           2.8884E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.391    -17.377   0.000  2.58377E-01  3.32240E-01 -1.25308E-01
    7719.401    -17.367   0.050  2.64190E-01  3.37697E-01 -1.24474E-01
    7719.430    -17.339   0.100  2.70032E-01  3.43155E-01 -1.23593E-01
    7719.477    -17.291   0.150  2.86576E-01  3.59267E-01 -1.22191E-01
    7719.544    -17.225   0.200  3.03298E-01  3.75379E-01 -1.20507E-01
    7719.630    -17.139   0.250  3.27239E-01  4.00318E-01 -1.21099E-01
    7719.734    -17.034   0.300  3.51631E-01  4.25258E-01 -1.20942E-01
    7719.858    -16.910   0.350  3.79311E-01  4.53886E-01 -1.21053E-01
    7720.001    -16.767   0.400  4.08968E-01  4.82514E-01 -1.17992E-01
    7720.163    -16.605   0.450  4.44215E-01  5.09462E-01 -1.03180E-01
    7720.344    -16.424   0.500  4.82717E-01  5.36410E-01 -8.37129E-02
    7720.544    -16.224   0.550  5.24303E-01  5.59767E-01 -5.43940E-02
    7720.763    -16.005   0.600  5.66407E-01  5.83125E-01 -2.52308E-02
    7721.001    -15.767   0.650  6.02322E-01  6.03472E-01 -1.70479E-03
    7721.258    -15.510   0.700  6.34725E-01  6.23819E-01  1.58923E-02
    7721.535    -15.234   0.750  6.56175E-01  6.42175E-01  2.00257E-02
    7721.830    -14.939   0.800  6.71279E-01  6.60530E-01  1.50971E-02
    7722.144    -14.624   0.850  6.74656E-01  6.77617E-01 -4.08128E-03
    7722.477    -14.291   0.900  6.70731E-01  6.94704E-01 -3.24433E-02
    7722.830    -13.938   0.950  6.56703E-01  7.10847E-01 -7.19356E-02
    7723.201    -13.567   1.000  6.37020E-01  7.26989E-01 -1.17390E-01
    7723.592    -13.176   1.050  6.11884E-01  7.42293E-01 -1.67169E-01
    7724.001    -12.767   1.100  5.85681E-01  7.57597E-01 -2.16574E-01
    7724.430    -12.338   1.150  5.60592E-01  7.72017E-01 -2.61966E-01
    7724.878    -11.891   1.200  5.41151E-01  7.86438E-01 -2.99003E-01
    7725.345    -11.424   1.250  5.28667E-01  7.99850E-01 -3.25582E-01
    7725.830    -10.938   1.300  5.27355E-01  8.13262E-01 -3.38158E-01
    7726.335    -10.433   1.350  5.36280E-01  8.25546E-01 -3.37507E-01
    7726.859     -9.909   1.400  5.57966E-01  8.37830E-01 -3.22185E-01
    7727.402     -9.366   1.450  5.89823E-01  8.48870E-01 -2.94696E-01
    7727.964     -8.804   1.500  6.32253E-01  8.59910E-01 -2.55961E-01
    7728.545     -8.223   1.550  6.81778E-01  8.69620E-01 -2.09069E-01
    7729.145     -7.623   1.600  7.37181E-01  8.79330E-01 -1.56634E-01
    7729.764     -7.004   1.650  7.94904E-01  8.87662E-01 -1.01358E-01
    7730.402     -6.366   1.700  8.52758E-01  8.95994E-01 -4.68540E-02
    7731.059     -5.709   1.750  9.07753E-01  9.02940E-01  5.18151E-03
    7731.736     -5.033   1.800  9.57459E-01  9.09885E-01  5.08724E-02
    7732.431     -4.337   1.850  9.99597E-01  9.15490E-01  8.94849E-02
    7733.145     -3.623   1.900  1.03247E+00  9.21096E-01  1.17905E-01
    7733.879     -2.889   1.950  1.05452E+00  9.25339E-01  1.36265E-01
    7734.631     -2.137   2.000  1.06594E+00  9.29582E-01  1.43315E-01
    7735.403     -1.365   2.050  1.06653E+00  9.32156E-01  1.40982E-01
    7736.193     -0.575   2.100  1.05902E+00  9.34731E-01  1.30187E-01
    7737.003      0.235   2.150  1.04570E+00  9.37306E-01  1.13340E-01
    7737.832      1.063   2.200  1.02887E+00  9.39880E-01  9.28912E-02
    7738.679      1.911   2.250  1.00745E+00  9.40046E-01  7.04492E-02
    7739.546      2.778   2.300  9.86317E-01  9.40211E-01  4.82520E-02
    7740.432      3.664   2.350  9.67231E-01  9.40376E-01  2.81410E-02
    7741.337      4.569   2.400  9.50892E-01  9.40542E-01  1.08597E-02
    7742.261      5.492   2.450  9.42036E-01  9.44464E-01 -2.54626E-03
    7743.204      6.435   2.500  9.34681E-01  9.48385E-01 -1.43706E-02
    7744.166      7.397   2.550  9.28424E-01  9.52307E-01 -2.50375E-02
    7745.147      8.379   2.600  9.23373E-01  9.56229E-01 -3.44340E-02
    7746.147      9.379   2.650  9.18388E-01  9.59338E-01 -4.28210E-02
    7747.166     10.398   2.700  9.16088E-01  9.62448E-01 -4.83692E-02
    7748.204     11.436   2.750  9.17113E-01  9.65557E-01 -5.04313E-02
    7749.262     12.493   2.800  9.21869E-01  9.68666E-01 -4.86087E-02
    7750.338     13.570   2.850  9.27195E-01  9.70514E-01 -4.48889E-02
    7751.433     14.665   2.900  9.35426E-01  9.72362E-01 -3.81850E-02
    7752.548     15.779   2.950  9.46231E-01  9.74210E-01 -2.88564E-02
    7753.681     16.913   3.000  9.58944E-01  9.76058E-01 -1.76095E-02
    7754.834     18.065   3.050  9.70568E-01  9.77695E-01 -7.31596E-03
    7756.005     19.237   3.100  9.82514E-01  9.79333E-01  3.25712E-03
    7757.196     20.428   3.150  9.94242E-01  9.80971E-01  1.35555E-02
    7758.406     21.637   3.200  1.00524E+00  9.82608E-01  2.30585E-02
    7759.634     22.866   3.250  1.01350E+00  9.83644E-01  3.03492E-02
    7760.882     24.114   3.300  1.02087E+00  9.84680E-01  3.66905E-02
    7762.149     25.381   3.350  1.02701E+00  9.85716E-01  4.17716E-02
    7763.435     26.666   3.400  1.03166E+00  9.86752E-01  4.53125E-02
    7764.740     27.971   3.450  1.03523E+00  9.88006E-01  4.75586E-02
    7766.064     29.295   3.500  1.03735E+00  9.89260E-01  4.83288E-02
    7767.407     30.638   3.550  1.03767E+00  9.90514E-01  4.72958E-02
    7768.769     32.000   3.600  1.03603E+00  9.91768E-01  4.43026E-02
    7770.150     33.382   3.650  1.03237E+00  9.92625E-01  3.97002E-02
    7771.550     34.782   3.700  1.02714E+00  9.93481E-01  3.35508E-02
    7772.969     36.201   3.750  1.02062E+00  9.94338E-01  2.61447E-02
    7774.408     37.639   3.800  1.01322E+00  9.95194E-01  1.78871E-02
    7775.865     39.097   3.850  1.00556E+00  9.96440E-01  9.03620E-03
    7777.341     40.573   3.900  9.97907E-01  9.97686E-01  2.18706E-04
    7778.837     42.068   3.950  9.90702E-01  9.98932E-01 -8.12171E-03
    7780.351     43.583   4.000  9.84354E-01  1.00018E+00 -1.55858E-02
    7781.885     45.116   4.050  9.78813E-01  1.00122E+00 -2.20337E-02
    7783.437     46.669   4.100  9.74691E-01  1.00227E+00 -2.70646E-02
    7785.009     48.240   4.150  9.72093E-01  1.00331E+00 -3.05854E-02
    7786.600     49.831   4.200  9.70977E-01  1.00436E+00 -3.26442E-02
    7788.209     51.441   4.250  9.71194E-01  1.00541E+00 -3.34064E-02
    7789.838     53.070   4.300  9.72526E-01  1.00645E+00 -3.30802E-02
    7791.486     54.717   4.350  9.74602E-01  1.00750E+00 -3.20301E-02
    7793.153     56.384   4.400  9.77008E-01  1.00855E+00 -3.06625E-02
    7794.839     58.070   4.450  9.79602E-01  1.00949E+00 -2.90243E-02
    7796.544     59.775   4.500  9.82078E-01  1.01043E+00 -2.75036E-02
    7798.268     61.499   4.550  9.84328E-01  1.01137E+00 -2.62055E-02
    7800.011     63.242   4.600  9.86472E-01  1.01231E+00 -2.50131E-02
    7801.773     65.004   4.650  9.88801E-01  1.01284E+00 -2.32568E-02
    7803.554     66.786   4.700  9.91778E-01  1.01337E+00 -2.08760E-02
    7805.354     68.586   4.750  9.95829E-01  1.01390E+00 -1.74609E-02
    7807.173     70.405   4.800  1.00131E+00  1.01443E+00 -1.26714E-02
    7809.012     72.243   4.850  1.00807E+00  1.01469E+00 -6.38641E-03
    7810.869     74.101   4.900  1.01613E+00  1.01494E+00  1.14025E-03
    7812.746     75.977   4.950  1.02502E+00  1.01520E+00  9.47980E-03
    7814.641     77.873   5.000  1.03406E+00  1.01546E+00  1.79521E-02
    7816.556     79.787   5.050  1.04185E+00  1.01533E+00  2.56088E-02
    7818.489     81.721   5.100  1.04804E+00  1.01519E+00  3.17243E-02
    7820.442     83.673   5.150  1.05199E+00  1.01506E+00  3.56811E-02
    7822.413     85.645   5.200  1.05338E+00  1.01492E+00  3.71650E-02
    7824.404     87.636   5.250  1.05178E+00  1.01442E+00  3.61309E-02
    7826.414     89.645   5.300  1.04816E+00  1.01392E+00  3.31407E-02
    7828.443     91.674   5.350  1.04326E+00  1.01342E+00  2.89086E-02
    7830.491     93.722   5.400  1.03793E+00  1.01292E+00  2.42461E-02
    7832.557     95.789   5.450  1.03253E+00  1.01214E+00  1.97928E-02
    7834.643     97.875   5.500  1.02793E+00  1.01135E+00  1.61023E-02
    7836.748     99.980   5.550  1.02422E+00  1.01057E+00  1.32761E-02
    7838.873    102.104   5.600  1.02114E+00  1.00978E+00  1.10602E-02
    7841.016    104.247   5.650  1.01787E+00  1.00877E+00  8.87519E-03
    7843.178    106.409   5.700  1.01411E+00  1.00775E+00  6.20280E-03
    7845.359    108.591   5.750  1.00934E+00  1.00674E+00  2.54732E-03
    7847.559    110.791   5.800  1.00334E+00  1.00572E+00 -2.32436E-03
    7849.779    113.010   5.850  9.96227E-01  1.00465E+00 -8.25374E-03
    7852.017    115.249   5.900  9.88529E-01  1.00359E+00 -1.47704E-02
    7854.274    117.506   5.950  9.80963E-01  1.00252E+00 -2.11756E-02
    7856.551    119.782   6.000  9.74311E-01  1.00145E+00 -2.66974E-02
    7858.846    122.078   6.050  9.69395E-01  1.00042E+00 -3.05544E-02
    7861.161    124.393   6.100  9.66471E-01  9.99389E-01 -3.24564E-02
    7863.495    126.726   6.150  9.65592E-01  9.98356E-01 -3.23442E-02
    7865.847    129.079   6.200  9.66498E-01  9.97323E-01 -3.04671E-02
    7868.219    131.451   6.250  9.68712E-01  9.96290E-01 -2.72916E-02
    7870.610    133.841   6.300  9.71676E-01  9.95257E-01 -2.33643E-02
    7873.019    136.251   6.350  9.74901E-01  9.94224E-01 -1.91690E-02
    7875.448    138.680   6.400  9.78073E-01  9.93191E-01 -1.50161E-02
    7877.896    141.128   6.450  9.81103E-01  9.92158E-01 -1.09938E-02
    7880.363    143.595   6.500  9.84107E-01  9.91125E-01 -6.98823E-03
    7882.849    146.081   6.550  9.87570E-01  9.90344E-01 -2.76434E-03
    7885.354    148.586   6.600  9.91519E-01  9.89562E-01  1.95295E-03
    7887.878    151.110   6.650  9.96075E-01  9.88780E-01  7.28443E-03
    7890.422    153.653   6.700  1.00116E+00  9.87998E-01  1.31522E-02
    7892.984    156.215   6.750  1.00646E+00  9.87217E-01  1.92508E-02
    7895.565    158.797   6.800  1.01147E+00  9.86435E-01  2.50748E-02
    7898.165    161.397   6.850  1.01558E+00  9.85653E-01  2.99970E-02
    7900.785    164.016   6.900  1.01814E+00  9.84871E-01  3.33778E-02
    7903.423    166.655   6.950  1.01862E+00  9.84090E-01  3.46834E-02
    7906.081    169.312   7.000  1.01672E+00  9.83308E-01  3.35897E-02
    7908.757    171.989   7.050  1.01260E+00  9.82639E-01  3.01505E-02
    7911.453    174.684   7.100  1.00628E+00  9.81970E-01  2.44817E-02
    7914.167    177.399   7.150  9.98269E-01  9.81301E-01  1.71078E-02
    7916.901    180.133   7.200  9.89317E-01  9.80632E-01  8.76485E-03
    7919.654    182.885   7.250  9.80256E-01  9.79963E-01  2.96072E-04
    7922.425    185.657   7.300  9.71904E-01  9.79294E-01 -7.47184E-03
    7925.216    188.448   7.350  9.64941E-01  9.78625E-01 -1.38502E-02
    7928.026    191.258   7.400  9.59807E-01  9.77956E-01 -1.83865E-02
    7930.855    194.087   7.450  9.56657E-01  9.77287E-01 -2.09212E-02
    7933.703    196.935   7.500  9.55348E-01  9.76618E-01 -2.15905E-02
    7936.570    199.802   7.550  9.55202E-01  9.75751E-01 -2.08869E-02
    7939.456    202.688   7.600  9.55982E-01  9.74883E-01 -1.92374E-02
    7942.361    205.593   7.650  9.57145E-01  9.74016E-01 -1.71941E-02
    7945.285    208.517   7.700  9.58237E-01  9.73148E-01 -1.52176E-02
    7948.229    211.460   7.750  9.58992E-01  9.72281E-01 -1.35798E-02
    7951.191    214.422   7.800  9.59377E-01  9.71414E-01 -1.23167E-02
    7954.172    217.404   7.850  9.59575E-01  9.70546E-01 -1.12418E-02
    7957.173    220.404   7.900  9.59914E-01  9.69679E-01 -1.00192E-02
    7960.192    223.424   7.950  9.60757E-01  9.68811E-01 -8.27579E-03
    7963.230    226.462   8.000  9.62380E-01  9.67944E-01 -5.72447E-03
    7966.288    229.520   8.050  9.64615E-01  9.66830E-01 -2.28237E-03
    7969.364    232.596   8.100  9.67641E-01  9.65715E-01  1.98744E-03
    7972.460    235.692   8.150  9.71121E-01  9.64601E-01  6.73879E-03
    7975.575    238.806   8.200  9.74550E-01  9.63487E-01  1.14532E-02
    7978.708    241.940   8.250  9.77364E-01  9.62373E-01  1.55447E-02
    7981.861    245.093   8.300  9.79055E-01  9.61258E-01  1.84819E-02
    7985.033    248.265   8.350  9.79274E-01  9.60144E-01  1.98976E-02
    7988.224    251.456   8.400  9.77900E-01  9.59030E-01  1.96581E-02
    7991.434    254.665   8.450  9.75050E-01  9.57916E-01  1.78777E-02
    7994.663    257.894   8.500  9.71038E-01  9.56801E-01  1.48780E-02
    7997.911    261.142   8.550  9.66311E-01  9.55613E-01  1.11962E-02
    8001.178    264.409   8.600  9.61269E-01  9.54424E-01  7.17367E-03
    8004.464    267.696   8.650  9.56296E-01  9.53236E-01  3.21150E-03
    8007.769    271.001   8.700  9.51668E-01  9.52047E-01 -3.98569E-04
    8011.093    274.325   8.750  9.47539E-01  9.50858E-01 -3.49347E-03
    8014.437    277.668   8.800  9.43955E-01  9.49670E-01 -6.02209E-03
    8017.799    281.031   8.850  9.40897E-01  9.48481E-01 -8.00410E-03
    8021.180    284.412   8.900  9.38321E-01  9.47293E-01 -9.48148E-03
    8024.581    287.812   8.950  9.36201E-01  9.46104E-01 -1.04796E-02
    8028.000    291.232   9.000  9.34546E-01  9.44915E-01 -1.09893E-02
    8031.439    294.670   9.050  9.33403E-01  9.43844E-01 -1.10754E-02
    8034.896    298.128   9.100  9.32804E-01  9.42772E-01 -1.05856E-02
    8038.373    301.604   9.150  9.32775E-01  9.41700E-01 -9.48733E-03
    8041.868    305.100   9.200  9.33287E-01  9.40628E-01 -7.81223E-03
    8045.383    308.615   9.250  9.34231E-01  9.39557E-01 -5.67319E-03
    8048.917    312.149   9.300  9.35429E-01  9.38485E-01 -3.25809E-03
    8052.470    315.701   9.350  9.36661E-01  9.37413E-01 -8.02357E-04
