# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.397 Rnm= 1.445 K  shell
# # Pot 1 Z=62 Rmt= 1.687 Rnm= 1.742
# # Pot 2 Z=27 Rmt= 1.391 Rnm= 1.451
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.601E+01 kf=1.936E+00 Vint=-2.332E+01 Rs_int= 1.874
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.5595
#           2       0.00000     54.35      3.00     2   2.8532
#           3       0.00000     39.96      3.00     2   2.8533
#           4       0.00000     10.61      2.00     2   4.2500
#           5       0.00000     60.63     12.00     2   4.3316
#           6       0.00000     21.46      6.00     2   4.9420
#           7       0.00000     30.56      6.00     2   5.1190
#           8       0.00000     19.50      6.00     2   5.1190
#           9       0.00000     30.94     12.00     2   5.5654
#          10       0.00000     11.49      3.00     2   5.7065
#          11       0.00000      4.80      2.00     2   5.7066
#    11/  11 paths used
#  xsedge+50, used to normalize mu           2.9123E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7717.915    -15.997   0.050  4.23997E-01  3.04223E-01  2.31186E-01
    7717.944    -15.969   0.100  4.28294E-01  3.09064E-01  2.29574E-01
    7717.991    -15.921   0.150  4.41253E-01  3.23467E-01  2.25163E-01
    7718.058    -15.854   0.200  4.54100E-01  3.37869E-01  2.20604E-01
    7718.144    -15.769   0.250  4.74507E-01  3.60307E-01  2.14230E-01
    7718.249    -15.664   0.300  4.94577E-01  3.82744E-01  2.07378E-01
    7718.372    -15.540   0.350  5.18530E-01  4.08874E-01  2.00193E-01
    7718.515    -15.397   0.400  5.41699E-01  4.35004E-01  1.91817E-01
    7718.677    -15.235   0.450  5.63516E-01  4.60226E-01  1.82220E-01
    7718.858    -15.054   0.500  5.83684E-01  4.85449E-01  1.70119E-01
    7719.058    -14.854   0.550  5.97523E-01  5.08113E-01  1.51564E-01
    7719.277    -14.635   0.600  6.08144E-01  5.30777E-01  1.28436E-01
    7719.515    -14.397   0.650  6.07767E-01  5.51341E-01  9.15401E-02
    7719.773    -14.140   0.700  6.02310E-01  5.71905E-01  4.82288E-02
    7720.049    -13.864   0.750  5.82135E-01  5.91157E-01 -1.39745E-02
    7720.344    -13.568   0.800  5.56556E-01  6.10410E-01 -8.14899E-02
    7720.658    -13.254   0.850  5.16810E-01  6.28856E-01 -1.65529E-01
    7720.992    -12.921   0.900  4.75444E-01  6.47302E-01 -2.48016E-01
    7721.344    -12.568   0.950  4.27695E-01  6.65126E-01 -3.34728E-01
    7721.716    -12.197   1.000  3.86478E-01  6.82950E-01 -4.08521E-01
    7722.106    -11.806   1.050  3.51709E-01  7.00107E-01 -4.69509E-01
    7722.516    -11.397   1.100  3.31506E-01  7.17264E-01 -5.08663E-01
    7722.944    -10.968   1.150  3.26810E-01  7.33606E-01 -5.25437E-01
    7723.392    -10.520   1.200  3.38633E-01  7.49949E-01 -5.20630E-01
    7723.859    -10.054   1.250  3.65799E-01  7.65255E-01 -4.96226E-01
    7724.345     -9.568   1.300  4.05044E-01  7.80562E-01 -4.57981E-01
    7724.849     -9.063   1.350  4.54119E-01  7.94628E-01 -4.08443E-01
    7725.373     -8.539   1.400  5.09774E-01  8.08694E-01 -3.52744E-01
    7725.916     -7.996   1.450  5.71173E-01  8.21334E-01 -2.91008E-01
    7726.478     -7.434   1.500  6.36553E-01  8.33974E-01 -2.26436E-01
    7727.059     -6.853   1.550  7.06445E-01  8.45067E-01 -1.57099E-01
    7727.659     -6.253   1.600  7.79066E-01  8.56160E-01 -8.63401E-02
    7728.278     -5.634   1.650  8.53969E-01  8.65634E-01 -1.29371E-02
    7728.917     -4.996   1.700  9.27601E-01  8.75108E-01  5.76601E-02
    7729.574     -4.339   1.750  9.97013E-01  8.82946E-01  1.24353E-01
    7730.250     -3.662   1.800  1.05729E+00  8.90783E-01  1.80168E-01
    7730.945     -2.967   1.850  1.10394E+00  8.97004E-01  2.22678E-01
    7731.660     -2.253   1.900  1.13377E+00  9.03224E-01  2.46722E-01
    7732.393     -1.519   1.950  1.14366E+00  9.07794E-01  2.51490E-01
    7733.146     -0.767   2.000  1.13564E+00  9.12365E-01  2.37189E-01
    7733.917      0.005   2.050  1.10912E+00  9.14420E-01  2.06760E-01
    7734.708      0.795   2.100  1.07190E+00  9.16476E-01  1.64986E-01
    7735.517      1.605   2.150  1.03053E+00  9.18532E-01  1.18847E-01
    7736.346      2.433   2.200  9.91048E-01  9.20588E-01  7.47376E-02
    7737.194      3.281   2.250  9.61568E-01  9.24967E-01  3.88091E-02
    7738.060      4.148   2.300  9.42098E-01  9.29346E-01  1.35167E-02
    7738.946      5.034   2.350  9.31073E-01  9.33725E-01 -2.81108E-03
    7739.851      5.939   2.400  9.25630E-01  9.38105E-01 -1.32138E-02
    7740.775      6.863   2.450  9.21195E-01  9.43570E-01 -2.36194E-02
    7741.718      7.806   2.500  9.19049E-01  9.49035E-01 -3.15461E-02
    7742.680      8.768   2.550  9.19088E-01  9.54501E-01 -3.71284E-02
    7743.661      9.749   2.600  9.21427E-01  9.59966E-01 -4.02693E-02
    7744.661     10.749   2.650  9.21387E-01  9.62679E-01 -4.30327E-02
    7745.680     11.768   2.700  9.24556E-01  9.65392E-01 -4.24472E-02
    7746.719     12.806   2.750  9.30745E-01  9.68105E-01 -3.87338E-02
    7747.776     13.863   2.800  9.39483E-01  9.70818E-01 -3.24037E-02
    7748.852     14.940   2.850  9.47170E-01  9.72788E-01 -2.64252E-02
    7749.948     16.035   2.900  9.56974E-01  9.74757E-01 -1.82982E-02
    7751.062     17.150   2.950  9.68279E-01  9.76726E-01 -8.67032E-03
    7752.196     18.283   3.000  9.80292E-01  9.78695E-01  1.63479E-03
    7753.348     19.436   3.050  9.89869E-01  9.79720E-01  1.03685E-02
    7754.520     20.607   3.100  9.99945E-01  9.80745E-01  1.95702E-02
    7755.710     21.798   3.150  1.00993E+00  9.81770E-01  2.86398E-02
    7756.920     23.007   3.200  1.01914E+00  9.82795E-01  3.68771E-02
    7758.149     24.236   3.250  1.02673E+00  9.83760E-01  4.35264E-02
    7759.396     25.484   3.300  1.03324E+00  9.84725E-01  4.90653E-02
    7760.663     26.751   3.350  1.03802E+00  9.85690E-01  5.28323E-02
    7761.949     28.037   3.400  1.04037E+00  9.86655E-01  5.41351E-02
    7763.254     29.342   3.450  1.04047E+00  9.87379E-01  5.34085E-02
    7764.578     30.665   3.500  1.03756E+00  9.88103E-01  4.96656E-02
    7765.921     32.008   3.550  1.03109E+00  9.88827E-01  4.23699E-02
    7767.283     33.371   3.600  1.02074E+00  9.89550E-01  3.12157E-02
    7768.664     34.752   3.650  1.00756E+00  9.90470E-01  1.70707E-02
    7770.064     36.152   3.700  9.91014E-01  9.91390E-01 -3.74852E-04
    7771.484     37.571   3.750  9.71948E-01  9.92309E-01 -2.02814E-02
    7772.922     39.009   3.800  9.51742E-01  9.93229E-01 -4.12610E-02
    7774.379     40.467   3.850  9.32248E-01  9.94064E-01 -6.13814E-02
    7775.856     41.943   3.900  9.15326E-01  9.94899E-01 -7.88883E-02
    7777.351     43.438   3.950  9.03065E-01  9.95734E-01 -9.17256E-02
    7778.865     44.953   4.000  8.97275E-01  9.96569E-01 -9.81275E-02
    7780.399     46.486   4.050  8.99077E-01  9.97454E-01 -9.70932E-02
    7781.951     48.039   4.100  9.08927E-01  9.98338E-01 -8.81286E-02
    7783.523     49.611   4.150  9.26068E-01  9.99222E-01 -7.20102E-02
    7785.114     51.201   4.200  9.48635E-01  1.00011E+00 -5.06004E-02
    7786.724     52.811   4.250  9.74434E-01  1.00094E+00 -2.60306E-02
    7788.352     54.440   4.300  9.99750E-01  1.00177E+00 -1.98402E-03
    7790.000     56.088   4.350  1.02140E+00  1.00261E+00  1.84213E-02
    7791.667     57.754   4.400  1.03692E+00  1.00344E+00  3.27828E-02
    7793.353     59.440   4.450  1.04512E+00  1.00416E+00  4.00854E-02
    7795.058     61.145   4.500  1.04604E+00  1.00488E+00  4.02556E-02
    7796.782     62.869   4.550  1.04153E+00  1.00560E+00  3.51183E-02
    7798.525     64.612   4.600  1.03462E+00  1.00632E+00  2.76442E-02
    7800.287     66.375   4.650  1.02819E+00  1.00653E+00  2.11496E-02
    7802.068     68.156   4.700  1.02612E+00  1.00675E+00  1.89091E-02
    7803.868     69.956   4.750  1.03057E+00  1.00696E+00  2.30295E-02
    7805.688     71.775   4.800  1.04196E+00  1.00718E+00  3.39295E-02
    7807.526     73.614   4.850  1.05846E+00  1.00717E+00  5.00373E-02
    7809.383     75.471   4.900  1.07698E+00  1.00715E+00  6.81245E-02
    7811.260     77.347   4.950  1.09307E+00  1.00714E+00  8.38479E-02
    7813.155     79.243   5.000  1.10211E+00  1.00712E+00  9.26963E-02
    7815.070     81.157   5.050  1.09984E+00  1.00686E+00  9.07834E-02
    7817.003     83.091   5.100  1.08474E+00  1.00659E+00  7.63457E-02
    7818.956     85.043   5.150  1.05728E+00  1.00633E+00  4.98005E-02
    7820.928     87.015   5.200  1.02031E+00  1.00606E+00  1.39400E-02
    7822.918     89.006   5.250  9.77993E-01  1.00532E+00 -2.67449E-02
