# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.363 Rnm= 1.419 K  shell
# # Pot 1 Z=62 Rmt= 1.684 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.370 Rnm= 1.425
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.659E+01 kf=1.974E+00 Vint=-2.493E+01 Rs_int= 1.837
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4522
#           2       0.00000     96.17      4.00     2   2.5010
#           3       0.00000     80.65      4.00     2   3.1911
#           4       0.00000     18.80     16.00     3   3.7027
#           5       0.00000     17.51      2.00     2   3.9640
#           6       0.00000     13.20     16.00     3   4.2656
#           7       0.00000     57.10      8.00     2   4.3039
#           8       0.00000     28.09      4.00     2   4.3319
#           9       0.00000      8.44      8.00     3   4.4342
#          10       0.00000     14.31     16.00     3   4.6285
#          11       0.00000     17.40     16.00     3   4.6286
#          13       0.00000      8.16      8.00     3   4.6669
#          14       0.00000     45.85      8.00     2   4.6870
#          15       0.00000     32.86      4.00     2   4.7638
#          16       0.00000     24.09     16.00     3   4.7957
#          17       0.00000     11.96      4.00     3   4.9044
#          18       0.00000     10.40      4.00     4   4.9044
#          19       0.00000      5.41      4.00     4   4.9044
#          20       0.00000      5.27      8.00     4   4.9044
#          21       0.00000      5.16     16.00     4   4.9532
#          22       0.00000      5.79     16.00     4   4.9532
#          23       0.00000     28.94      6.00     2   5.0020
#          24       0.00000     11.14      4.00     3   5.0020
#          25       0.00000     44.20      8.00     3   5.0020
#          26       0.00000      9.59      4.00     4   5.0020
#          27       0.00000      4.98      4.00     4   5.0020
#          28       0.00000     34.28      4.00     4   5.0020
#          29       0.00000     10.42      8.00     3   5.0519
#          30       0.00000     11.96     16.00     3   5.1915
#          31       0.00000     10.00     16.00     3   5.2279
#          32       0.00000     14.64     16.00     3   5.2279
#          33       0.00000     11.29     16.00     3   5.2739
#          34       0.00000      8.72     16.00     3   5.3571
#          35       0.00000     10.73     16.00     3   5.5347
#          36       0.00000     28.74      8.00     2   5.5707
#          37       0.00000      4.14     16.00     4   5.6433
#          38       0.00000     31.95     16.00     3   5.8249
#          39       0.00000     24.78      8.00     2   5.8718
#    38/  39 paths used
#  xsedge+50, used to normalize mu           2.9084E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.296    -16.577   0.050  3.12216E-01  3.04929E-01  1.39412E-02
    7718.325    -16.549   0.100  3.15394E-01  3.09789E-01  1.07006E-02
    7718.372    -16.501   0.150  3.24667E-01  3.24225E-01  8.37445E-04
    7718.439    -16.435   0.200  3.34352E-01  3.38662E-01 -8.12779E-03
    7718.525    -16.349   0.250  3.49907E-01  3.61072E-01 -2.08403E-02
    7718.630    -16.244   0.300  3.66941E-01  3.83481E-01 -3.05691E-02
    7718.753    -16.120   0.350  3.91490E-01  4.09400E-01 -3.26527E-02
    7718.896    -15.977   0.400  4.19436E-01  4.35318E-01 -2.85711E-02
    7719.058    -15.815   0.450  4.54170E-01  4.60053E-01 -1.04081E-02
    7719.239    -15.634   0.500  4.91429E-01  4.84787E-01  1.15618E-02
    7719.439    -15.434   0.550  5.24423E-01  5.06681E-01  3.03023E-02
    7719.658    -15.215   0.600  5.55556E-01  5.28575E-01  4.52333E-02
    7719.896    -14.977   0.650  5.72539E-01  5.48166E-01  4.00250E-02
    7720.154    -14.720   0.700  5.83570E-01  5.67758E-01  2.54456E-02
    7720.430    -14.444   0.750  5.77852E-01  5.85945E-01 -1.27421E-02
    7720.725    -14.149   0.800  5.64308E-01  6.04132E-01 -6.13802E-02
    7721.039    -13.834   0.850  5.36562E-01  6.21531E-01 -1.28076E-01
    7721.373    -13.501   0.900  5.02777E-01  6.38929E-01 -2.00803E-01
    7721.725    -13.148   0.950  4.61209E-01  6.55830E-01 -2.80736E-01
    7722.097    -12.777   1.000  4.19615E-01  6.72731E-01 -3.57272E-01
    7722.487    -12.386   1.050  3.79828E-01  6.89192E-01 -4.27345E-01
    7722.897    -11.977   1.100  3.48429E-01  7.05654E-01 -4.83142E-01
    7723.325    -11.548   1.150  3.28589E-01  7.21587E-01 -5.20713E-01
    7723.773    -11.101   1.200  3.24436E-01  7.37521E-01 -5.36416E-01
    7724.240    -10.634   1.250  3.37807E-01  7.52759E-01 -5.28599E-01
    7724.725    -10.148   1.300  3.69657E-01  7.67998E-01 -4.97973E-01
    7725.230     -9.643   1.350  4.19045E-01  7.82370E-01 -4.46304E-01
    7725.754     -9.119   1.400  4.83814E-01  7.96742E-01 -3.77830E-01
    7726.297     -8.577   1.450  5.60403E-01  8.10051E-01 -2.96727E-01
    7726.859     -8.015   1.500  6.44151E-01  8.23360E-01 -2.09734E-01
    7727.440     -7.434   1.550  7.30191E-01  8.35464E-01 -1.21519E-01
    7728.040     -6.833   1.600  8.12639E-01  8.47567E-01 -3.97747E-02
    7728.659     -6.214   1.650  8.86961E-01  8.58324E-01  3.22290E-02
    7729.297     -5.576   1.700  9.48430E-01  8.69082E-01  8.82680E-02
    7729.955     -4.919   1.750  9.94330E-01  8.78430E-01  1.27670E-01
