# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.402 Rnm= 1.478 L3 shell
# # Pot 1 Z=26 Rmt= 1.436 Rnm= 1.523
# # Pot 2 Z=14 Rmt= 1.367 Rnm= 1.434
# # Pot 3 Z=57 Rmt= 1.943 Rnm= 1.970
# # Gam_ch=4.170E-01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.421E+01 kf=1.897E+00 Vint=-1.992E+01 Rs_int= 1.912
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00418    100.00      7.00     2   2.4817
#           2       0.00558     20.41      1.00     2   2.4817
#           3       0.00455     21.28     16.00     3   3.7636
#           4       0.00502     22.07      6.00     2   3.9599
#           5       0.00677      9.36      2.00     2   3.9599
#           6       0.00499      5.87     10.00     3   4.4150
#           7       0.00502      7.55     16.00     3   4.5130
#           8       0.00501     10.68     12.00     3   4.6066
#           9       0.00495     12.80      5.00     2   4.8049
#          11       0.00495     16.62      8.00     3   4.8375
#          13       0.00499      9.89      2.00     3   4.8375
#          14       0.00505     12.84      4.00     4   4.8701
#          15       0.00519      7.87      1.00     4   4.8701
#          16       0.00493      8.24      4.00     3   4.9633
#          17       0.00493      9.65      4.00     4   4.9633
#          18       0.01222     13.03      7.00     4   4.9633
#          19       0.00391     14.06      4.00     2   4.9796
#          20       0.00409     13.41     20.00     3   5.3978
#          21       0.00452      6.08      4.00     3   5.3978
#          22       0.00486     12.56      7.00     2   5.7104
#          23       0.00486      7.07      4.00     2   5.7500
#          24       0.00489      6.91     12.00     3   5.7849
#          25       0.00497      4.41      2.00     3   5.7849
#    23/  26 paths used
#  xsedge+50, used to normalize mu           8.9862E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
     712.618    -14.204   0.050  1.10305E+01  2.17739E+00  1.76436E+00
     712.646    -14.176   0.100  1.09380E+01  2.30224E+00  1.75117E+00
     712.694    -14.128   0.150  1.06048E+01  2.57247E+00  1.70730E+00
     712.761    -14.062   0.200  1.01680E+01  2.84269E+00  1.63586E+00
     712.846    -13.976   0.250  9.37889E+00  2.96821E+00  1.53308E+00
     712.951    -13.871   0.300  8.49654E+00  3.09373E+00  1.39062E+00
     713.075    -13.747   0.350  7.51088E+00  3.01820E+00  1.25280E+00
     713.218    -13.604   0.400  6.50806E+00  2.94267E+00  1.08468E+00
     713.380    -13.442   0.450  5.66790E+00  2.78356E+00  9.53632E-01
     713.561    -13.261   0.500  4.85304E+00  2.62445E+00  8.06839E-01
     713.761    -13.061   0.550  4.24199E+00  2.45783E+00  6.99894E-01
     713.980    -12.842   0.600  3.66102E+00  2.29121E+00  5.86329E-01
     714.218    -12.604   0.650  3.22060E+00  2.14632E+00  4.94847E-01
     714.475    -12.347   0.700  2.81797E+00  2.00143E+00  4.07127E-01
     714.751    -12.071   0.750  2.56645E+00  1.88478E+00  3.62557E-01
     715.047    -11.776   0.800  2.30390E+00  1.76814E+00  3.05331E-01
     715.361    -11.461   0.850  2.04254E+00  1.67772E+00  2.19701E-01
     715.694    -11.128   0.900  1.79495E+00  1.58729E+00  1.32570E-01
     716.047    -10.775   0.950  1.59461E+00  1.51865E+00  5.07692E-02
     716.418    -10.404   1.000  1.42526E+00  1.45001E+00 -1.73508E-02
     716.809    -10.013   1.050  1.29603E+00  1.39869E+00 -7.46856E-02
     717.218     -9.604   1.100  1.20956E+00  1.34737E+00 -1.04179E-01
     717.647     -9.175   1.150  1.15482E+00  1.30955E+00 -1.20405E-01
     718.095     -8.728   1.200  1.13625E+00  1.27174E+00 -1.08620E-01
     718.561     -8.261   1.250  1.13652E+00  1.24442E+00 -8.84020E-02
     719.047     -7.775   1.300  1.15763E+00  1.21710E+00 -4.98125E-02
     719.552     -7.270   1.350  1.18406E+00  1.19803E+00 -1.18859E-02
     720.076     -6.746   1.400  1.21725E+00  1.17896E+00  3.30988E-02
     720.619     -6.203   1.450  1.24275E+00  1.16632E+00  6.67262E-02
     721.181     -5.642   1.500  1.26718E+00  1.15368E+00  1.00107E-01
     721.762     -5.060   1.550  1.27907E+00  1.14605E+00  1.18001E-01
     722.362     -4.460   1.600  1.28025E+00  1.13841E+00  1.26546E-01
