# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.411 Rnm= 1.470 K  shell
# # Pot 1 Z=62 Rmt= 1.665 Rnm= 1.719
# # Pot 2 Z=27 Rmt= 1.420 Rnm= 1.480
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.545E+01 kf=1.874E+00 Vint=-2.270E+01 Rs_int= 1.936
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   2.3800
#           2       0.00000    485.20      6.00     2   2.6420
#           3       0.00000     85.08      1.00     2   3.0600
#           4       0.00000    348.60      6.00     2   3.0915
#           5       0.00000    176.70      6.00     2   4.1347
#           6       0.00000    171.50      6.00     2   4.1839
#           7       0.00000    152.60      6.00     2   4.3809
#           8       0.00000    164.60      6.00     2   5.0834
#           9       0.00000     46.34      3.00     2   5.2841
#          10       0.00000     86.67      6.00     2   5.4136
#          11       0.00000     22.99      1.00     2   5.4400
#          12       0.00000     73.38      6.00     2   5.7437
#          13       0.00000     57.80      3.00     2   5.8128
#          14       0.00000     70.35      6.00     2   5.8294
#    14/  14 paths used
#  xsedge+50, used to normalize mu           2.9173E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7717.382    -15.441   0.050  1.82258E-01  2.91724E-01 -2.23733E-01
    7717.410    -15.412   0.100  1.87694E-01  2.96328E-01 -2.21469E-01
    7717.458    -15.365   0.150  2.04344E-01  3.10088E-01 -2.13954E-01
    7717.525    -15.298   0.200  2.21408E-01  3.23848E-01 -2.05723E-01
    7717.610    -15.212   0.250  2.49197E-01  3.45307E-01 -1.90654E-01
    7717.715    -15.107   0.300  2.77750E-01  3.66765E-01 -1.74452E-01
    7717.839    -14.984   0.350  3.13176E-01  3.91833E-01 -1.51636E-01
    7717.982    -14.841   0.400  3.49184E-01  4.16901E-01 -1.28449E-01
    7718.144    -14.679   0.450  3.86373E-01  4.41259E-01 -1.02057E-01
    7718.325    -14.498   0.500  4.23052E-01  4.65617E-01 -7.76154E-02
    7718.525    -14.298   0.550  4.56122E-01  4.87719E-01 -5.63242E-02
    7718.744    -14.079   0.600  4.86570E-01  5.09820E-01 -4.05385E-02
    7718.982    -13.841   0.650  5.09094E-01  5.30100E-01 -3.57392E-02
    7719.239    -13.583   0.700  5.26466E-01  5.50380E-01 -3.97258E-02
    7719.515    -13.307   0.750  5.32485E-01  5.69617E-01 -6.01244E-02
    7719.811    -13.012   0.800  5.32212E-01  5.88853E-01 -8.94556E-02
    7720.125    -12.698   0.850  5.20697E-01  6.07527E-01 -1.33636E-01
    7720.458    -12.364   0.900  5.05086E-01  6.26201E-01 -1.81765E-01
    7720.811    -12.012   0.950  4.83411E-01  6.44494E-01 -2.35679E-01
    7721.182    -11.640   1.000  4.62834E-01  6.62786E-01 -2.85386E-01
    7721.573    -11.250   1.050  4.43315E-01  6.80628E-01 -3.30534E-01
    7721.982    -10.840   1.100  4.29981E-01  6.98469E-01 -3.65144E-01
    7722.411    -10.412   1.150  4.22767E-01  7.15698E-01 -3.89364E-01
    7722.859     -9.964   1.200  4.24575E-01  7.32926E-01 -4.00786E-01
    7723.325     -9.497   1.250  4.34855E-01  7.49304E-01 -4.00216E-01
    7723.811     -9.011   1.300  4.55774E-01  7.65681E-01 -3.86403E-01
    7724.316     -8.507   1.350  4.87653E-01  7.80957E-01 -3.58876E-01
    7724.840     -7.983   1.400  5.31997E-01  7.96233E-01 -3.17385E-01
    7725.383     -7.440   1.450  5.90107E-01  8.10177E-01 -2.60017E-01
    7725.945     -6.878   1.500  6.60770E-01  8.24122E-01 -1.89900E-01
    7726.526     -6.297   1.550  7.43992E-01  8.36562E-01 -1.06115E-01
    7727.126     -5.697   1.600  8.33926E-01  8.49001E-01 -1.70433E-02
    7727.745     -5.078   1.650  9.27055E-01  8.59800E-01  7.51597E-02
    7728.383     -4.439   1.700  1.01401E+00  8.70599E-01  1.58446E-01
    7729.040     -3.782   1.750  1.08857E+00  8.79694E-01  2.28654E-01
    7729.717     -3.106   1.800  1.14263E+00  8.88789E-01  2.75348E-01
    7730.412     -2.411   1.850  1.17102E+00  8.96136E-01  2.96101E-01
    7731.126     -1.696   1.900  1.17270E+00  9.03482E-01  2.87985E-01
    7731.860     -0.963   1.950  1.14716E+00  9.08943E-01  2.53581E-01
    7732.612     -0.210   2.000  1.10259E+00  9.14404E-01  1.99357E-01
    7733.384      0.561   2.050  1.03897E+00  9.17279E-01  1.28780E-01
    7734.174      1.352   2.100  9.74233E-01  9.20154E-01  5.71742E-02
    7734.984      2.161   2.150  9.18196E-01  9.23029E-01 -5.10450E-03
    7735.813      2.990   2.200  8.77270E-01  9.25904E-01 -5.13153E-02
    7736.660      3.838   2.250  8.62542E-01  9.31827E-01 -7.29955E-02
    7737.527      4.705   2.300  8.63241E-01  9.37750E-01 -7.83815E-02
    7738.413      5.590   2.350  8.74371E-01  9.43673E-01 -7.27951E-02
    7739.318      6.495   2.400  8.91151E-01  9.49596E-01 -6.12990E-02
    7740.242      7.419   2.450  9.03666E-01  9.54296E-01 -5.29157E-02
    7741.185      8.362   2.500  9.18630E-01  9.58997E-01 -4.20401E-02
    7742.147      9.324   2.550  9.34958E-01  9.63697E-01 -2.98255E-02
    7743.128     10.305   2.600  9.51689E-01  9.68398E-01 -1.72798E-02
    7744.128     11.305   2.650  9.65184E-01  9.70843E-01 -5.83730E-03
    7745.147     12.325   2.700  9.78047E-01  9.73289E-01  4.89539E-03
    7746.185     13.363   2.750  9.89518E-01  9.75734E-01  1.41452E-02
    7747.243     14.420   2.800  9.98915E-01  9.78179E-01  2.12228E-02
    7748.319     15.496   2.850  1.00484E+00  9.79885E-01  2.54919E-02
    7749.414     16.592   2.900  1.00811E+00  9.81591E-01  2.70364E-02
    7750.529     17.706   2.950  1.00874E+00  9.83297E-01  2.58901E-02
    7751.662     18.840   3.000  1.00704E+00  9.85003E-01  2.23800E-02
    7752.815     19.992   3.050  1.00150E+00  9.85465E-01  1.62587E-02
    7753.986     21.164   3.100  9.95360E-01  9.85926E-01  9.54907E-03
    7755.177     22.354   3.150  9.89689E-01  9.86388E-01  3.33597E-03
    7756.387     23.564   3.200  9.85394E-01  9.86850E-01 -1.46913E-03
    7757.615     24.793   3.250  9.82466E-01  9.87316E-01 -4.88915E-03
    7758.863     26.040   3.300  9.82286E-01  9.87783E-01 -5.53457E-03
    7760.130     27.307   3.350  9.84856E-01  9.88249E-01 -3.41277E-03
    7761.416     28.593   3.400  9.89629E-01  9.88716E-01  9.18125E-04
    7762.721     29.898   3.450  9.95474E-01  9.88970E-01  6.52850E-03
    7764.045     31.222   3.500  1.00183E+00  9.89224E-01  1.26423E-02
    7765.388     32.565   3.550  1.00729E+00  9.89478E-01  1.78397E-02
    7766.750     33.927   3.600  1.01047E+00  9.89732E-01  2.07424E-02
    7768.131     35.308   3.650  1.01094E+00  9.90242E-01  2.06872E-02
    7769.531     36.708   3.700  1.00775E+00  9.90752E-01  1.69767E-02
    7770.950     38.128   3.750  1.00085E+00  9.91262E-01  9.56651E-03
    7772.388     39.566   3.800  9.90858E-01  9.91772E-01 -9.10893E-04
    7773.846     41.023   3.850  9.79248E-01  9.92228E-01 -1.29210E-02
    7775.322     42.500   3.900  9.67264E-01  9.92684E-01 -2.52753E-02
    7776.818     43.995   3.950  9.56589E-01  9.93140E-01 -3.63018E-02
    7778.332     45.509   4.000  9.48767E-01  9.93596E-01 -4.44720E-02
    7779.866     47.043   4.050  9.45124E-01  9.94205E-01 -4.86404E-02
    7781.418     48.596   4.100  9.46039E-01  9.94814E-01 -4.82868E-02
    7782.990     50.167   4.150  9.51414E-01  9.95423E-01 -4.35247E-02
    7784.580     51.758   4.200  9.60493E-01  9.96031E-01 -3.51119E-02
    7786.190     53.368   4.250  9.72352E-01  9.96715E-01 -2.40486E-02
    7787.819     54.996   4.300  9.85159E-01  9.97399E-01 -1.20706E-02
    7789.467     56.644   4.350  9.97391E-01  9.98082E-01 -6.80779E-04
    7791.134     58.311   4.400  1.00781E+00  9.98766E-01  8.90680E-03
    7792.820     59.997   4.450  1.01567E+00  9.99458E-01  1.59457E-02
    7794.524     61.702   4.500  1.02060E+00  1.00015E+00  2.01017E-02
    7796.249     63.426   4.550  1.02294E+00  1.00084E+00  2.17083E-02
    7797.992     65.169   4.600  1.02343E+00  1.00153E+00  2.14939E-02
    7799.754     66.931   4.650  1.02248E+00  1.00184E+00  2.02540E-02
    7801.535     68.712   4.700  1.02161E+00  1.00214E+00  1.91030E-02
    7803.335     70.512   4.750  1.02166E+00  1.00244E+00  1.88457E-02
    7805.154     72.332   4.800  1.02314E+00  1.00274E+00  1.99844E-02
    7806.993     74.170   4.850  1.02600E+00  1.00290E+00  2.26261E-02
    7808.850     76.027   4.900  1.03022E+00  1.00307E+00  2.65918E-02
    7810.726     77.904   4.950  1.03522E+00  1.00323E+00  3.13293E-02
    7812.622     79.799   5.000  1.04019E+00  1.00339E+00  3.60247E-02
    7814.536     81.714   5.050  1.04380E+00  1.00336E+00  3.96031E-02
    7816.470     83.647   5.100  1.04516E+00  1.00332E+00  4.09790E-02
    7818.423     85.600   5.150  1.04313E+00  1.00329E+00  3.90303E-02
    7820.394     87.572   5.200  1.03671E+00  1.00325E+00  3.27815E-02
    7822.385     89.562   5.250  1.02466E+00  1.00277E+00  2.14595E-02
    7824.395     91.572   5.300  1.00752E+00  1.00228E+00  5.14398E-03
    7826.424     93.601   5.350  9.85992E-01  1.00179E+00 -1.54985E-02
    7828.471     95.649   5.400  9.61592E-01  1.00130E+00 -3.89718E-02
    7830.538     97.716   5.450  9.36642E-01  1.00071E+00 -6.29210E-02
    7832.624     99.802   5.500  9.14253E-01  1.00012E+00 -8.43872E-02
    7834.729    101.907   5.550  8.97595E-01  9.99535E-01 -1.00246E-01
    7836.853    104.031   5.600  8.89533E-01  9.98946E-01 -1.07668E-01
    7838.997    106.174   5.650  8.92191E-01  9.98203E-01 -1.04413E-01
    7841.159    108.336   5.700  9.06112E-01  9.97459E-01 -9.00487E-02
    7843.340    110.517   5.750  9.30305E-01  9.96716E-01 -6.55251E-02
    7845.540    112.718   5.800  9.62214E-01  9.95973E-01 -3.33383E-02
    7847.759    114.937   5.850  9.98015E-01  9.95068E-01  2.91378E-03
    7849.998    117.175   5.900  1.03312E+00  9.94162E-01  3.85419E-02
    7852.255    119.433   5.950  1.06325E+00  9.93257E-01  6.93195E-02
    7854.532    121.709   6.000  1.08506E+00  9.92351E-01  9.19111E-02
    7856.827    124.005   6.050  1.09637E+00  9.91479E-01  1.04096E-01
    7859.142    126.319   6.100  1.09722E+00  9.90606E-01  1.05928E-01
    7861.475    128.653   6.150  1.08910E+00  9.89734E-01  9.88338E-02
    7863.828    131.006   6.200  1.07453E+00  9.88861E-01  8.53010E-02
    7866.200    133.377   6.250  1.05641E+00  9.87989E-01  6.81966E-02
    7868.591    135.768   6.300  1.03730E+00  9.87116E-01  5.00715E-02
    7871.000    138.178   6.350  1.01890E+00  9.86244E-01  3.26215E-02
    7873.429    140.607   6.400  1.00182E+00  9.85371E-01  1.64470E-02
    7875.877    143.055   6.450  9.85661E-01  9.84499E-01  1.16368E-03
    7878.344    145.522   6.500  9.69482E-01  9.83627E-01 -1.41754E-02
    7880.830    148.008   6.550  9.52451E-01  9.82829E-01 -3.04781E-02
    7883.335    150.513   6.600  9.34254E-01  9.82032E-01 -4.79886E-02
    7885.859    153.037   6.650  9.15687E-01  9.81235E-01 -6.59095E-02
    7888.403    155.580   6.700  8.98647E-01  9.80438E-01 -8.23336E-02
    7890.965    158.142   6.750  8.85786E-01  9.79641E-01 -9.45816E-02
    7893.546    160.723   6.800  8.79876E-01  9.78843E-01 -9.98456E-02
    7896.146    163.324   6.850  8.83028E-01  9.78046E-01 -9.59682E-02
    7898.766    165.943   6.900  8.96012E-01  9.77249E-01 -8.21406E-02
    7901.404    168.581   6.950  9.17858E-01  9.76452E-01 -5.93122E-02
    7904.062    171.239   7.000  9.45876E-01  9.75655E-01 -3.01769E-02
    7906.738    173.915   7.050  9.76249E-01  9.74824E-01  1.44602E-03
    7909.434    176.611   7.100  1.00435E+00  9.73993E-01  3.08367E-02
    7912.148    179.326   7.150  1.02623E+00  9.73162E-01  5.39834E-02
    7914.882    182.059   7.200  1.03937E+00  9.72331E-01  6.82737E-02
    7917.635    184.812   7.250  1.04312E+00  9.71501E-01  7.30358E-02
    7920.406    187.584   7.300  1.03883E+00  9.70670E-01  6.95922E-02
    7923.197    190.375   7.350  1.02932E+00  9.69839E-01  6.08082E-02
    7926.007    193.184   7.400  1.01810E+00  9.69008E-01  5.02539E-02
    7928.836    196.013   7.450  1.00838E+00  9.68177E-01  4.12025E-02
    7931.684    198.861   7.500  1.00217E+00  9.67347E-01  3.57366E-02
    7934.551    201.728   7.550  9.99682E-01  9.66390E-01  3.42119E-02
    7937.437    204.614   7.600  9.99667E-01  9.65434E-01  3.52303E-02
    7940.342    207.520   7.650  9.99411E-01  9.64477E-01  3.60029E-02
    7943.266    210.444   7.700  9.95767E-01  9.63521E-01  3.32798E-02
    7946.209    213.387   7.750  9.86155E-01  9.62565E-01  2.43824E-02
    7949.172    216.349   7.800  9.69438E-01  9.61608E-01  8.10459E-03
    7952.153    219.330   7.850  9.46405E-01  9.60652E-01 -1.47680E-02
    7955.153    222.331   7.900  9.19745E-01  9.59696E-01 -4.14706E-02
    7958.173    225.350   7.950  8.93509E-01  9.58739E-01 -6.78099E-02
    7961.211    228.389   8.000  8.72186E-01  9.57783E-01 -8.91103E-02
    7964.269    231.446   8.050  8.59495E-01  9.56654E-01 -1.01295E-01
    7967.345    234.523   8.100  8.57968E-01  9.55526E-01 -1.01859E-01
    7970.441    237.618   8.150  8.67882E-01  9.54397E-01 -9.04613E-02
    7973.556    240.733   8.200  8.87400E-01  9.53268E-01 -6.89740E-02
    7976.689    243.867   8.250  9.13035E-01  9.52139E-01 -4.10082E-02
    7979.842    247.020   8.300  9.40494E-01  9.51011E-01 -1.10449E-02
    7983.014    250.191   8.350  9.65654E-01  9.49882E-01  1.65882E-02
    7986.205    253.382   8.400  9.85421E-01  9.48753E-01  3.86225E-02
    7989.415    256.592   8.450  9.98259E-01  9.47625E-01  5.34125E-02
    7992.644    259.821   8.500  1.00427E+00  9.46496E-01  6.10317E-02
    7995.892    263.069   8.550  1.00498E+00  9.45452E-01  6.29595E-02
    7999.159    266.336   8.600  1.00223E+00  9.44408E-01  6.12301E-02
    8002.445    269.622   8.650  9.97907E-01  9.43365E-01  5.78291E-02
    8005.750    272.927   8.700  9.93206E-01  9.42321E-01  5.40162E-02
    8009.074    276.252   8.750  9.88322E-01  9.41277E-01  5.00007E-02
    8012.417    279.595   8.800  9.82533E-01  9.40234E-01  4.50112E-02
    8015.780    282.957   8.850  9.74595E-01  9.39190E-01  3.77207E-02
    8019.161    286.339   8.900  9.63346E-01  9.38146E-01  2.68811E-02
    8022.562    289.739   8.950  9.48303E-01  9.37102E-01  1.19619E-02
    8025.981    293.158   9.000  9.30060E-01  9.36059E-01 -6.41473E-03
    8029.420    296.597   9.050  9.10421E-01  9.35079E-01 -2.63908E-02
    8032.877    300.055   9.100  8.91932E-01  9.34099E-01 -4.51737E-02
    8036.354    303.531   9.150  8.77469E-01  9.33119E-01 -5.96734E-02
    8039.849    307.027   9.200  8.69481E-01  9.32140E-01 -6.72516E-02
    8043.364    310.541   9.250  8.69340E-01  9.31160E-01 -6.64142E-02
    8046.898    314.075   9.300  8.76944E-01  9.30180E-01 -5.72461E-02
    8050.451    317.628   9.350  8.90677E-01  9.29201E-01 -4.14642E-02
    8054.023    321.200   9.400  9.07739E-01  9.28221E-01 -2.20659E-02
    8057.613    324.791   9.450  9.24773E-01  9.27241E-01 -2.66156E-03
    8061.223    328.401   9.500  9.38619E-01  9.26261E-01  1.33388E-02
    8064.852    332.030   9.550  9.47051E-01  9.25322E-01  2.34760E-02
    8068.500    335.678   9.600  9.49139E-01  9.24382E-01  2.67720E-02
    8072.168    339.345   9.650  9.45440E-01  9.23442E-01  2.38106E-02
    8075.854    343.031   9.700  9.37747E-01  9.22502E-01  1.65157E-02
    8079.559    346.736   9.750  9.28569E-01  9.21563E-01  7.59743E-03
    8083.283    350.461   9.800  9.20480E-01  9.20623E-01 -1.55532E-04
    8087.027    354.204   9.850  9.15494E-01  9.19683E-01 -4.55155E-03
    8090.789    357.966   9.900  9.14627E-01  9.18743E-01 -4.47629E-03
    8094.570    361.748   9.950  9.17737E-01  9.17804E-01 -7.24251E-05
    8098.371    365.548  10.000  9.23657E-01  9.16864E-01  7.40138E-03
    8102.190    369.368  10.050  9.30429E-01  9.15747E-01  1.60128E-02
    8106.029    373.206  10.100  9.36214E-01  9.14631E-01  2.35675E-02
    8109.886    377.064  10.150  9.39356E-01  9.13515E-01  2.82502E-02
    8113.763    380.940  10.200  9.38871E-01  9.12398E-01  2.89739E-02
    8117.659    384.836  10.250  9.34597E-01  9.11282E-01  2.55477E-02
    8121.574    388.751  10.300  9.27134E-01  9.10165E-01  1.86153E-02
    8125.507    392.685  10.350  9.17619E-01  9.09049E-01  9.41267E-03
    8129.460    396.638  10.400  9.07415E-01  9.07933E-01 -5.69077E-04
    8133.432    400.610  10.450  8.97809E-01  9.06816E-01 -9.91548E-03
    8137.423    404.600  10.500  8.89789E-01  9.05700E-01 -1.75354E-02
    8141.433    408.610  10.550  8.83939E-01  9.04583E-01 -2.27797E-02
    8145.462    412.640  10.600  8.80444E-01  9.03467E-01 -2.54341E-02
    8149.510    416.688  10.650  8.79184E-01  9.02351E-01 -2.56225E-02
    8153.577    420.755  10.700  8.79850E-01  9.01234E-01 -2.36779E-02
    8157.664    424.841  10.750  8.82049E-01  9.00118E-01 -2.00312E-02
    8161.769    428.946  10.800  8.85352E-01  8.99001E-01 -1.51492E-02
    8165.893    433.071  10.850  8.89313E-01  8.97885E-01 -9.52495E-03
    8170.037    437.214  10.900  8.93447E-01  8.96769E-01 -3.69549E-03
    8174.199    441.376  10.950  8.97221E-01  8.95652E-01  1.74740E-03
    8178.380    445.558  11.000  9.00083E-01  8.94536E-01  6.18598E-03
    8182.581    449.758  11.050  9.01480E-01  8.93335E-01  9.09477E-03
    8186.800    453.978  11.100  9.01162E-01  8.92134E-01  1.00938E-02
    8191.039    458.216  11.150  8.99032E-01  8.90933E-01  9.06691E-03
    8195.297    462.474  11.200  8.95332E-01  8.89732E-01  6.27732E-03
    8199.573    466.751  11.250  8.90649E-01  8.88531E-01  2.37705E-03
    8203.869    471.047  11.300  8.85830E-01  8.87330E-01 -1.68600E-03
