# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=24 Rmt= 1.350 Rnm= 1.398 K  shell
# # Pot 1 Z=24 Rmt= 1.360 Rnm= 1.409
# # Gam_ch=1.087E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.949E+01 kf=2.159E+00 Vint=-3.044E+01 Rs_int= 1.680
# # PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4890
#           2       0.00000     55.94      6.00     2   2.8740
#           3       0.00000      8.40     24.00     3   3.9260
#           4       0.00000     34.82     48.00     3   3.9260
#           5       0.00000     51.34     12.00     2   4.0645
#           6       0.00000     10.63     24.00     3   4.5212
#           7       0.00000     42.59     48.00     3   4.5212
#           8       0.00000     69.70     24.00     2   4.7660
#           9       0.00000     16.05     48.00     3   4.9063
#          10       0.00000     20.83      8.00     2   4.9780
#          11       0.00000     13.49      8.00     3   4.9780
#          12       0.00000     62.31     16.00     3   4.9780
#          13       0.00000     15.52      8.00     4   4.9780
#          14       0.00000      6.98      8.00     4   4.9780
#          15       0.00000     51.62      8.00     4   4.9780
#          16       0.00000      7.43     24.00     4   4.9780
#          17       0.00000      7.01     24.00     4   4.9780
#          18       0.00000     20.66     48.00     3   5.0645
#          19       0.00000     40.00     48.00     3   5.0645
#          20       0.00000     43.37     48.00     3   5.0645
#          21       0.00000      9.56     48.00     4   5.3630
#          22       0.00000     10.98     24.00     4   5.3630
#          23       0.00000     13.10     24.00     4   5.3630
#          24       0.00000     11.51     48.00     4   5.3630
#          25       0.00000     13.23     96.00     3   5.6598
#          26       0.00000     23.45     96.00     3   5.6598
#          27       0.00000     22.18     96.00     3   5.6598
#          28       0.00000     10.76      6.00     2   5.7481
#          29       0.00000      6.16      6.00     3   5.7481
#          30       0.00000     29.15     12.00     3   5.7481
#          31       0.00000      6.42      6.00     4   5.7481
#          33       0.00000     21.74      6.00     4   5.7481
#          34       0.00000      8.44     48.00     3   5.9582
#          35       0.00000      7.20     48.00     3   5.9582
#          36       0.00000     13.06     96.00     4   5.9582
#          37       0.00000     10.78     48.00     4   5.9582
#          38       0.00000     13.30     48.00     4   5.9582
#          39       0.00000      5.06     48.00     3   6.1165
#          40       0.00000     13.13     48.00     3   6.1165
#          41       0.00000     15.61     48.00     4   6.1165
#          42       0.00000      6.57     48.00     4   6.1165
#          43       0.00000     10.71     48.00     4   6.1165
#          44       0.00000      5.36     96.00     3   6.2030
#          45       0.00000     10.24     48.00     3   6.2030
#          46       0.00000     34.19     24.00     2   6.2638
#          47       0.00000     19.91     48.00     3   6.4086
#          48       0.00000     26.65     48.00     3   6.4086
#          49       0.00000     25.53     48.00     3   6.4086
#    48/  49 paths used
#  xsedge+50, used to normalize mu           3.9057E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    6000.241    -19.485   0.000 -1.50353E+00  3.11582E-01 -3.15379E+00
    6000.250    -19.476   0.050 -1.46612E+00  3.18371E-01 -3.09651E+00
    6000.279    -19.447   0.100 -1.42712E+00  3.25160E-01 -3.03660E+00
    6000.326    -19.400   0.150 -1.30282E+00  3.44901E-01 -2.84430E+00
    6000.393    -19.333   0.200 -1.16658E+00  3.64641E-01 -2.63296E+00
    6000.479    -19.247   0.250 -9.30330E-01  3.93295E-01 -2.26151E+00
    6000.584    -19.142   0.300 -6.74440E-01  4.21949E-01 -1.86141E+00
    6000.707    -19.019   0.350 -3.32015E-01  4.51030E-01 -1.31797E+00
    6000.850    -18.876   0.400  1.61766E-02  4.80112E-01 -7.74192E-01
    6001.012    -18.714   0.450  3.95212E-01  5.04190E-01 -1.79927E-01
    6001.193    -18.533   0.500  7.40328E-01  5.28268E-01  3.46443E-01
    6001.393    -18.333   0.550  1.04676E+00  5.47450E-01  8.05645E-01
    6001.612    -18.114   0.600  1.27607E+00  5.66631E-01  1.13073E+00
    6001.850    -17.876   0.650  1.42335E+00  5.82718E-01  1.32147E+00
    6002.108    -17.618   0.700  1.47492E+00  5.98804E-01  1.35863E+00
    6002.384    -17.342   0.750  1.44503E+00  6.13189E-01  1.27093E+00
    6002.679    -17.047   0.800  1.33450E+00  6.27573E-01  1.06436E+00
    6002.993    -16.733   0.850  1.17348E+00  6.41097E-01  7.89148E-01
    6003.327    -16.399   0.900  9.70159E-01  6.54621E-01  4.60589E-01
    6003.679    -16.047   0.950  7.56699E-01  6.67684E-01  1.27873E-01
    6004.051    -15.675   1.000  5.45647E-01  6.80746E-01 -1.91043E-01
    6004.441    -15.285   1.050  3.59688E-01  6.93530E-01 -4.64546E-01
    6004.851    -14.875   1.100  2.12380E-01  7.06313E-01 -6.76517E-01
    6005.279    -14.447   1.150  1.12238E-01  7.18861E-01 -8.17759E-01
    6005.727    -13.999   1.200  6.86912E-02  7.31409E-01 -8.79505E-01
    6006.194    -13.532   1.250  7.68966E-02  7.43666E-01 -8.71293E-01
    6006.680    -13.046   1.300  1.37692E-01  7.55924E-01 -7.95648E-01
    6007.184    -12.542   1.350  2.37120E-01  7.67801E-01 -6.72929E-01
    6007.708    -12.018   1.400  3.66760E-01  7.79678E-01 -5.16011E-01
    6008.251    -11.475   1.450  5.09618E-01  7.91068E-01 -3.46841E-01
    6008.813    -10.913   1.500  6.52591E-01  8.02458E-01 -1.82161E-01
    6009.394    -10.332   1.550  7.82178E-01  8.13254E-01 -3.72855E-02
    6009.994     -9.732   1.600  8.88091E-01  8.24050E-01  7.58584E-02
    6010.613     -9.113   1.650  9.65010E-01  8.34124E-01  1.53211E-01
    6011.252     -8.474   1.700  1.01128E+00  8.44197E-01  1.93304E-01
    6011.909     -7.817   1.750  1.03073E+00  8.53448E-01  2.02942E-01
    6012.585     -7.141   1.800  1.03004E+00  8.62698E-01  1.89561E-01
    6013.280     -6.446   1.850  1.01807E+00  8.71026E-01  1.65018E-01
    6013.995     -5.731   1.900  1.00358E+00  8.79354E-01  1.38125E-01
    6014.728     -4.998   1.950  9.93803E-01  8.86674E-01  1.18168E-01
    6015.481     -4.245   2.000  9.91988E-01  8.93995E-01  1.07238E-01
