# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=31 Rmt= 1.464 Rnm= 1.496 K  shell
# # Pot 1 Z=24 Rmt= 1.322 Rnm= 1.384
# # Pot 2 Z=31 Rmt= 1.444 Rnm= 1.473
# # Pot 3 Z= 8 Rmt= 0.953 Rnm= 1.006
# # Gam_ch=2.082E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.274E+01 kf=2.271E+00 Vint=-2.506E+01 Rs_int= 1.597
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.6544
#           2       0.00000     69.35      6.00     2   2.8725
#           3       0.00000     42.43      6.00     2   3.5448
#           4       0.00000     39.48      6.00     2   3.9112
#           5       0.00000     40.70     24.00     3   4.0839
#           6       0.00000      8.40     24.00     3   4.0907
#           7       0.00000     11.00      2.00     2   4.1934
#           8       0.00000     21.07      6.00     2   4.5626
#           9       0.00000     51.76     12.00     3   4.5928
#          10       0.00000     32.56      6.00     4   4.6229
#          11       0.00000     11.55     24.00     3   4.7191
#          12       0.00000      7.32     24.00     3   4.7191
#          13       0.00000     44.68     12.00     2   4.8527
#          14       0.00000     16.66      6.00     2   4.9754
#          15       0.00000     39.32     12.00     2   5.0829
#          16       0.00000     11.90     12.00     3   5.1760
#          17       0.00000      7.42     24.00     3   5.1899
#          18       0.00000     19.52     24.00     3   5.1899
#          19       0.00000      5.52     24.00     3   5.1899
#          20       0.00000     32.14     24.00     3   5.2148
#          21       0.00000     21.06     24.00     3   5.2981
#          24       0.00000      5.74     12.00     4   5.3467
#          26       0.00000     25.81     12.00     2   5.3916
#          27       0.00000     20.73     24.00     4   5.4300
#          28       0.00000      6.36     24.00     3   5.4900
#          29       0.00000      4.75     12.00     4   5.5134
#          30       0.00000      6.83     12.00     4   5.5133
#          31       0.00000      9.98     24.00     4   5.5202
#          33       0.00000      4.51     12.00     4   5.5270
#          34       0.00000     16.58     24.00     3   5.6356
#          35       0.00000      5.85     24.00     4   5.7221
#          36       0.00000     11.00      6.00     2   5.7451
#          38       0.00000     24.67     12.00     3   5.7451
#          39       0.00000      5.26      6.00     4   5.7451
#          40       0.00000     20.49      6.00     4   5.7451
#          41       0.00000     10.74     24.00     3   5.7642
#          42       0.00000      6.90     24.00     3   5.8313
#          43       0.00000      7.11     24.00     3   5.8372
#          44       0.00000      7.30     24.00     4   5.8372
#          46       0.00000      5.22     24.00     4   5.8958
#          47       0.00000      9.27     24.00     3   5.9045
#          48       0.00000      4.63     24.00     4   5.9389
#          49       0.00000      7.86     24.00     5   5.9691
#          50       0.00000      5.72     24.00     4   6.0082
#          51       0.00000      5.58     24.00     4   6.0524
#          52       0.00000      7.69     24.00     5   6.0524
#          54       0.00000      8.32     12.00     3   6.1859
#          56       0.00000      4.49     12.00     4   6.1993
#          58       0.00000     20.83     12.00     2   6.3287
#          59       0.00000      7.65      6.00     2   6.4817
#          60       0.00000     19.15     12.00     2   6.5068
#          61       0.00000     16.90     12.00     3   6.5190
#          62       0.00000      7.92     12.00     3   6.5207
#          63       0.00000      8.12      6.00     4   6.5311
#          64       0.00000     16.34     12.00     3   6.5491
#          65       0.00000     20.15     12.00     4   6.5491
#          66       0.00000     13.90     12.00     3   6.5552
#          67       0.00000      5.29     24.00     3   6.5562
#          69       0.00000     10.86     24.00     3   6.5562
#          70       0.00000     14.85     12.00     4   6.5613
#          71       0.00000     20.16     12.00     5   6.5613
#          72       0.00000      5.11     24.00     5   6.5613
#          73       0.00000      5.98     12.00     5   6.5613
#          74       0.00000      6.24     24.00     5   6.5613
#          75       0.00000      4.35     12.00     4   6.5656
#          76       0.00000      7.23      6.00     4   6.5914
#          77       0.00000     18.81     12.00     5   6.5914
#          78       0.00000      4.40      6.00     6   6.5914
#          79       0.00000     12.86      6.00     6   6.5914
#          81       0.00000      5.30      6.00     4   6.6035
#          82       0.00000      4.43     12.00     3   6.6647
#    71/  81 paths used
#  xsedge+50, used to normalize mu           2.0192E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   10379.319    -12.739   0.000 -8.61200E-02  6.44860E-01 -5.74726E-01
   10379.328    -12.729   0.050 -5.80964E-02  6.52373E-01 -5.58089E-01
   10379.357    -12.701   0.100 -3.00292E-02  6.59886E-01 -5.41449E-01
   10379.405    -12.653   0.150  5.42584E-02  6.82369E-01 -4.91626E-01
   10379.471    -12.586   0.200  1.38388E-01  7.04853E-01 -4.42192E-01
   10379.557    -12.501   0.250  2.74959E-01  7.40883E-01 -3.62168E-01
   10379.662    -12.396   0.300  4.08750E-01  7.76913E-01 -2.84971E-01
   10379.786    -12.272   0.350  5.79559E-01  8.21689E-01 -1.86381E-01
   10379.929    -12.129   0.400  7.40088E-01  8.66465E-01 -9.67448E-02
   10380.090    -11.967   0.450  9.09653E-01  9.12404E-01 -2.09239E-03
   10380.271    -11.786   0.500  1.05669E+00  9.58342E-01  7.43264E-02
   10380.471    -11.586   0.550  1.18388E+00  9.99307E-01  1.38543E-01
   10380.691    -11.367   0.600  1.27767E+00  1.04027E+00  1.76984E-01
   10380.929    -11.129   0.650  1.33571E+00  1.07406E+00  1.93744E-01
   10381.186    -10.872   0.700  1.35880E+00  1.10785E+00  1.84566E-01
   10381.462    -10.596   0.750  1.34803E+00  1.13483E+00  1.55824E-01
   10381.757    -10.300   0.800  1.31319E+00  1.16182E+00  1.09951E-01
   10382.072     -9.986   0.850  1.25947E+00  1.18305E+00  5.52259E-02
   10382.405     -9.653   0.900  1.20108E+00  1.20427E+00 -2.29644E-03
   10382.757     -9.300   0.950  1.14325E+00  1.22061E+00 -5.53996E-02
   10383.129     -8.929   1.000  1.10077E+00  1.23695E+00 -9.71577E-02
   10383.519     -8.538   1.050  1.07474E+00  1.24899E+00 -1.24066E-01
   10383.929     -8.129   1.100  1.07669E+00  1.26103E+00 -1.30978E-01
   10384.358     -7.700   1.150  1.10188E+00  1.26913E+00 -1.18836E-01
   10384.805     -7.252   1.200  1.15567E+00  1.27723E+00 -8.63702E-02
   10385.272     -6.786   1.250  1.22833E+00  1.28167E+00 -3.79795E-02
   10385.758     -6.300   1.300  1.31808E+00  1.28611E+00  2.28120E-02
   10386.263     -5.795   1.350  1.41283E+00  1.28717E+00  9.00464E-02
   10386.787     -5.271   1.400  1.50577E+00  1.28823E+00  1.56549E-01
   10387.329     -4.728   1.450  1.58588E+00  1.28623E+00  2.17007E-01
   10387.891     -4.166   1.500  1.64584E+00  1.28422E+00  2.63553E-01
   10388.472     -3.585   1.550  1.67914E+00  1.27952E+00  2.93626E-01
   10389.073     -2.985   1.600  1.68253E+00  1.27483E+00  3.02043E-01
   10389.692     -2.366   1.650  1.65558E+00  1.26789E+00  2.90023E-01
   10390.330     -1.728   1.700  1.60162E+00  1.26096E+00  2.57356E-01
   10390.987     -1.071   1.750  1.52512E+00  1.25226E+00  2.08417E-01
   10391.663     -0.394   1.800  1.43473E+00  1.24355E+00  1.47661E-01
   10392.359      0.301   1.850  1.33606E+00  1.23354E+00  8.01322E-02
   10393.073      1.015   1.900  1.23928E+00  1.22352E+00  1.24684E-02
   10393.806      1.749   1.950  1.14690E+00  1.21253E+00 -5.25622E-02
   10394.559      2.501   2.000  1.06673E+00  1.20154E+00 -1.09311E-01
   10395.330      3.273   2.050  9.96281E-01  1.19078E+00 -1.59617E-01
   10396.121      4.063   2.100  9.41303E-01  1.18003E+00 -1.98292E-01
   10396.931      4.873   2.150  9.01261E-01  1.16928E+00 -2.25360E-01
   10397.759      5.702   2.200  8.75385E-01  1.15853E+00 -2.41043E-01
   10398.607      6.549   2.250  8.66333E-01  1.15144E+00 -2.45605E-01
   10399.474      7.416   2.300  8.74964E-01  1.14435E+00 -2.34859E-01
   10400.360      8.302   2.350  9.02130E-01  1.13726E+00 -2.07494E-01
   10401.264      9.207   2.400  9.47711E-01  1.13017E+00 -1.63002E-01
   10402.188     10.131   2.450  1.01290E+00  1.12594E+00 -1.02173E-01
   10403.131     11.074   2.500  1.08781E+00  1.12171E+00 -3.09980E-02
   10404.093     12.036   2.550  1.16628E+00  1.11747E+00  4.51783E-02
   10405.074     13.017   2.600  1.23830E+00  1.11324E+00  1.17164E-01
   10406.075     14.017   2.650  1.28615E+00  1.10515E+00  1.71242E-01
   10407.094     15.036   2.700  1.31129E+00  1.09705E+00  2.04696E-01
   10408.132     16.074   2.750  1.30945E+00  1.08896E+00  2.12787E-01
   10409.189     17.132   2.800  1.28174E+00  1.08086E+00  1.95821E-01
