# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=62 Rmt= 1.663 Rnm= 1.705 L3 shell
# # Pot 1 Z=62 Rmt= 1.667 Rnm= 1.709
# # Pot 2 Z=27 Rmt= 1.356 Rnm= 1.410
# # Pot 3 Z=27 Rmt= 1.357 Rnm= 1.413
# # Gam_ch=3.655E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.687E+01 kf=2.018E+00 Vint=-2.530E+01 Rs_int= 1.797
# # PATH  Rmax= 7.920,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00945    100.00      6.00     2   2.8590
#           2       0.01007    157.70     12.00     2   3.1592
#           3       0.00599     20.77      2.00     2   3.9244
#           4       0.01130      4.50     16.00     3   4.2229
#           5       0.01130      9.00     32.00     3   4.2230
#           6       0.01159      5.80     24.00     3   4.3972
#           7       0.01115     57.95     12.00     2   4.7161
#           8       0.01117     53.86     12.00     2   4.8554
#           9       0.00615     36.10      6.00     2   4.9520
#          10       0.01148     13.57     24.00     3   5.0014
#          12       0.01424     10.69     48.00     3   5.1395
#          13       0.01173     14.58     48.00     3   5.1757
#          14       0.01163     16.78     48.00     3   5.2211
#          15       0.00733      7.06     16.00     3   5.3350
#          16       0.01139     16.60      6.00     2   5.7180
#          17       0.01602      6.81      6.00     3   5.7181
#          18       0.01139     43.80     12.00     3   5.7181
#          19       0.01602     16.63      6.00     4   5.7181
#          21       0.01139     34.25      6.00     4   5.7181
#          22       0.01553      8.26     32.00     3   5.7667
#          23       0.01553      4.13     16.00     3   5.7666
#          24       0.01036      5.20     24.00     3   5.8194
#          26       0.01707      5.24     32.00     4   6.0183
#          28       0.01952      7.12     48.00     4   6.0183
#          30       0.01575      4.90     24.00     3   6.0658
#          31       0.00644     36.05     12.00     2   6.3184
#          32       0.01643      8.76     12.00     3   6.3184
#          33       0.00644     85.73     24.00     3   6.3184
#          34       0.01643     20.77     12.00     4   6.3184
#          37       0.00644     61.67     12.00     4   6.3184
#          39       0.01167     23.19     12.00     2   6.3861
#          44       0.01145     11.09     24.00     3   6.7348
#          46       0.01213      4.74     48.00     3   6.8345
#          47       0.01187     37.01     24.00     2   6.8384
#          48       0.01191     17.81     12.00     2   6.9352
#          49       0.01219     10.28     48.00     3   6.9791
#          50       0.01207     10.84     48.00     3   7.0153
#          52       0.01202      7.49     24.00     3   7.0395
#          53       0.01590      4.04     48.00     3   7.0539
#          56       0.01253      5.64     48.00     3   7.1431
#          57       0.01244      6.53     48.00     3   7.1776
#          58       0.01202     14.94     12.00     2   7.2831
#          59       0.01202     36.61     24.00     3   7.2831
#          60       0.01202     26.58     12.00     4   7.2831
#          62       0.01134      6.83     48.00     3   7.4748
#          64       0.01697      5.60     24.00     3   7.4935
#          66       0.01258      4.98     48.00     3   7.5412
#          67       0.01258      5.31     48.00     4   7.5412
#          68       0.01209     13.21     12.00     2   7.5642
#          69       0.01741      4.17     24.00     4   7.5751
#          70       0.01211     12.41     12.00     2   7.6828
#          71       0.01196      5.24     24.00     3   7.6876
#          73       0.01196     16.37     24.00     3   7.6876
#          74       0.01702      7.84     48.00     3   7.7559
#          76       0.01256      5.02      8.00     4   7.8110
#          77       0.00675     12.18      4.00     3   7.8487
#          79       0.00675     12.38      2.00     4   7.8487
#          80       0.01767      4.86     48.00     4   7.8753
#          84       0.01193      9.71     24.00     3   7.8970
#          85       0.01709      8.27     48.00     3   7.9193
#    60/  71 paths used
#  xsedge+50, used to normalize mu           6.6238E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    6716.005    -16.858   0.050  1.04942E+00  1.38150E+00 -8.34934E-02
    6716.034    -16.829   0.100  1.05965E+00  1.39110E+00 -8.23059E-02
    6716.081    -16.781   0.150  1.09058E+00  1.42032E+00 -7.89535E-02
    6716.148    -16.715   0.200  1.12317E+00  1.44954E+00 -7.54499E-02
    6716.234    -16.629   0.250  1.17735E+00  1.49797E+00 -7.02938E-02
    6716.339    -16.524   0.300  1.23571E+00  1.54640E+00 -6.47741E-02
    6716.462    -16.400   0.350  1.31637E+00  1.61152E+00 -5.84092E-02
    6716.605    -16.258   0.400  1.40263E+00  1.67664E+00 -5.16059E-02
    6716.767    -16.096   0.450  1.50909E+00  1.75214E+00 -4.46828E-02
    6716.948    -15.915   0.500  1.62062E+00  1.82764E+00 -3.71716E-02
    6717.148    -15.715   0.550  1.74207E+00  1.90303E+00 -2.95567E-02
    6717.367    -15.496   0.600  1.86513E+00  1.97842E+00 -2.12850E-02
    6717.605    -15.257   0.650  1.97866E+00  2.04146E+00 -1.25358E-02
    6717.863    -15.000   0.700  2.08605E+00  2.10450E+00 -3.92670E-03
    6718.139    -14.724   0.750  2.16244E+00  2.14434E+00  4.16101E-03
    6718.434    -14.429   0.800  2.22579E+00  2.18419E+00  1.03957E-02
    6718.748    -14.114   0.850  2.24683E+00  2.19474E+00  1.40861E-02
    6719.082    -13.781   0.900  2.25742E+00  2.20529E+00  1.53589E-02
    6719.434    -13.429   0.950  2.23382E+00  2.18643E+00  1.50545E-02
    6719.806    -13.057   1.000  2.21133E+00  2.16758E+00  1.50783E-02
    6720.196    -12.667   1.050  2.17428E+00  2.12487E+00  1.82721E-02
    6720.606    -12.257   1.100  2.14716E+00  2.08216E+00  2.59256E-02
    6721.034    -11.828   1.150  2.11866E+00  2.02408E+00  4.02581E-02
    6721.482    -11.381   1.200  2.09622E+00  1.96599E+00  5.94198E-02
    6721.949    -10.914   1.250  2.07098E+00  1.90121E+00  8.22045E-02
    6722.435    -10.428   1.300  2.03942E+00  1.83642E+00  1.04701E-01
    6722.939     -9.923   1.350  1.99795E+00  1.77174E+00  1.23098E-01
    6723.463     -9.400   1.400  1.94141E+00  1.70706E+00  1.34967E-01
    6724.006     -8.857   1.450  1.87334E+00  1.64681E+00  1.36851E-01
    6724.568     -8.295   1.500  1.79077E+00  1.58656E+00  1.29709E-01
    6725.149     -7.714   1.550  1.70221E+00  1.53298E+00  1.12099E-01
    6725.749     -7.114   1.600  1.60574E+00  1.47940E+00  8.74428E-02
    6726.368     -6.494   1.650  1.51164E+00  1.43334E+00  5.61829E-02
    6727.007     -5.856   1.700  1.41742E+00  1.38729E+00  2.24467E-02
    6727.664     -5.199   1.750  1.33294E+00  1.34864E+00 -1.20533E-02
    6728.340     -4.523   1.800  1.25525E+00  1.30999E+00 -4.33747E-02
    6729.035     -3.827   1.850  1.19326E+00  1.27830E+00 -6.90864E-02
    6729.750     -3.113   1.900  1.14314E+00  1.24662E+00 -8.62308E-02
    6730.483     -2.380   1.950  1.11209E+00  1.22171E+00 -9.30833E-02
    6731.236     -1.627   2.000  1.09377E+00  1.19680E+00 -8.91725E-02
    6732.007     -0.856   2.050  1.09630E+00  1.18144E+00 -7.46147E-02
    6732.798     -0.065   2.100  1.10655E+00  1.16608E+00 -5.28368E-02
    6733.607      0.745   2.150  1.11891E+00  1.15072E+00 -2.86008E-02
    6734.436      1.573   2.200  1.12774E+00  1.13536E+00 -6.93806E-03
    6735.284      2.421   2.250  1.13649E+00  1.12554E+00  1.01056E-02
    6736.150      3.288   2.300  1.13345E+00  1.11572E+00  1.65784E-02
    6737.036      4.173   2.350  1.11964E+00  1.10590E+00  1.30241E-02
    6737.941      5.078   2.400  1.09892E+00  1.09609E+00  2.72492E-03
    6738.865      6.002   2.450  1.07503E+00  1.08438E+00 -9.08960E-03
    6739.808      6.945   2.500  1.05330E+00  1.07268E+00 -1.90323E-02
