# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.363 Rnm= 1.419 K  shell
# # Pot 1 Z=62 Rmt= 1.684 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.370 Rnm= 1.425
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.659E+01 kf=1.974E+00 Vint=-2.493E+01 Rs_int= 1.837
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4522
#           2       0.00000     96.17      4.00     2   2.5010
#           3       0.00000     80.65      4.00     2   3.1911
#           4       0.00000     17.51      2.00     2   3.9640
#           5       0.00000     57.10      8.00     2   4.3039
#           6       0.00000     28.09      4.00     2   4.3319
#           7       0.00000     45.85      8.00     2   4.6870
#           8       0.00000     32.86      4.00     2   4.7638
#           9       0.00000     28.94      6.00     2   5.0020
#          10       0.00000     28.74      8.00     2   5.5707
#          11       0.00000     24.78      8.00     2   5.8718
#    11/  11 paths used
#  xsedge+50, used to normalize mu           2.9084E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.296    -16.577   0.050  4.82324E-01  3.04929E-01  3.39385E-01
    7718.325    -16.549   0.100  4.85782E-01  3.09789E-01  3.35997E-01
    7718.372    -16.501   0.150  4.96226E-01  3.24225E-01  3.26338E-01
    7718.439    -16.435   0.200  5.06622E-01  3.38662E-01  3.16709E-01
    7718.525    -16.349   0.250  5.22839E-01  3.61072E-01  3.01968E-01
    7718.630    -16.244   0.300  5.38909E-01  3.83481E-01  2.87249E-01
    7718.753    -16.120   0.350  5.57167E-01  4.09400E-01  2.69402E-01
    7718.896    -15.977   0.400  5.74992E-01  4.35318E-01  2.51252E-01
    7719.058    -15.815   0.450  5.90560E-01  4.60053E-01  2.30907E-01
    7719.239    -15.634   0.500  6.04866E-01  4.84787E-01  2.09024E-01
    7719.439    -15.434   0.550  6.12860E-01  5.06681E-01  1.81354E-01
    7719.658    -15.215   0.600  6.18075E-01  5.28575E-01  1.50046E-01
    7719.896    -14.977   0.650  6.13140E-01  5.48166E-01  1.06699E-01
    7720.154    -14.720   0.700  6.03487E-01  5.67758E-01  5.74974E-02
    7720.430    -14.444   0.750  5.80216E-01  5.85945E-01 -9.02043E-03
    7720.725    -14.149   0.800  5.50912E-01  6.04132E-01 -8.20258E-02
    7721.039    -13.834   0.850  5.06283E-01  6.21531E-01 -1.73715E-01
    7721.373    -13.501   0.900  4.56946E-01  6.38929E-01 -2.68397E-01
    7721.725    -13.148   0.950  3.95859E-01  6.55830E-01 -3.75001E-01
    7722.097    -12.777   1.000  3.36365E-01  6.72731E-01 -4.74780E-01
    7722.487    -12.386   1.050  2.76095E-01  6.89192E-01 -5.70637E-01
    7722.897    -11.977   1.100  2.28708E-01  7.05654E-01 -6.45064E-01
    7723.325    -11.548   1.150  1.96309E-01  7.21587E-01 -6.95981E-01
    7723.773    -11.101   1.200  1.88621E-01  7.37521E-01 -7.12781E-01
    7724.240    -10.634   1.250  2.08354E-01  7.52759E-01 -6.93506E-01
    7724.725    -10.148   1.300  2.57807E-01  7.67998E-01 -6.37798E-01
    7725.230     -9.643   1.350  3.36109E-01  7.82370E-01 -5.48182E-01
    7725.754     -9.119   1.400  4.37446E-01  7.96742E-01 -4.33815E-01
    7726.297     -8.577   1.450  5.56204E-01  8.10051E-01 -3.01717E-01
    7726.859     -8.015   1.500  6.80981E-01  8.23360E-01 -1.66631E-01
    7727.440     -7.434   1.550  8.03932E-01  8.35464E-01 -3.63974E-02
    7728.040     -6.833   1.600  9.12666E-01  8.47567E-01  7.41328E-02
    7728.659     -6.214   1.650  1.00107E+00  8.58324E-01  1.60648E-01
    7729.297     -5.576   1.700  1.06127E+00  8.69082E-01  2.13792E-01
