# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.324 Rnm= 1.366 K  shell
# # Pot 1 Z=62 Rmt= 1.649 Rnm= 1.673
# # Pot 2 Z=27 Rmt= 1.334 Rnm= 1.375
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.810E+01 kf=2.086E+00 Vint=-2.824E+01 Rs_int= 1.738
# # PATH  Rmax= 4.950,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00751    100.00      1.00     2   2.2832
#           2       0.00837    245.20      3.00     2   2.5297
#           3       0.00855    234.90      3.00     2   2.5840
#           4       0.00862    461.00      6.00     2   2.6079
#           5       0.00677     90.56      1.00     2   2.8563
#           6       0.00932     50.56     12.00     3   3.7478
#           7       0.00931     48.69     12.00     3   3.7477
#           8       0.00933     32.47     12.00     3   3.7495
#           9       0.00934     27.82      6.00     3   3.7556
#          10       0.00945     23.69      6.00     3   3.8047
#          11       0.00952     41.48     12.00     3   3.8330
#          12       0.01072     91.51      3.00     2   3.9405
#          13       0.01077     84.55      3.00     2   4.0711
#          14       0.01079    162.50      6.00     2   4.1375
#          15       0.01081    158.50      6.00     2   4.1795
#          16       0.00825     12.21      6.00     3   4.2180
#          17       0.00822     10.47      6.00     3   4.2470
#          18       0.01061     16.33      6.00     3   4.3767
#          19       0.01061     24.35      6.00     3   4.3767
#          20       0.01067     40.85     12.00     3   4.4532
#          21       0.01069     16.30      6.00     3   4.4691
#          22       0.01069     23.23      6.00     3   4.4691
#          23       0.01074     22.99     12.00     3   4.5068
#          24       0.01073     46.82     12.00     3   4.5126
#          25       0.01075     46.30     12.00     3   4.5455
#          26       0.03003      6.06      1.00     4   4.5664
#          27       0.01079     37.63     12.00     3   4.5766
#          28       0.01078     41.99     12.00     3   4.5878
#          29       0.01079     13.16      6.00     3   4.5909
#          30       0.01082     22.26     12.00     3   4.5931
#          31       0.01083     36.26     12.00     3   4.6367
#          32       0.01084     11.67      6.00     3   4.6378
#          33       0.01085     22.02     12.00     3   4.6385
#          34       0.01086     35.72     12.00     3   4.6696
#          35       0.01396      5.64      6.00     4   4.8671
#          36       0.01942      9.19      6.00     4   4.8878
#          37       0.01384      8.59      6.00     4   4.8878
#          38       0.01942      8.80      6.00     4   4.8910
#          39       0.01942     14.89     12.00     4   4.8911
#          40       0.00779    166.30      6.00     2   4.8950
#          41       0.01950      9.36      6.00     4   4.9034
#          42       0.01969      9.02      6.00     4   4.9115
#          43       0.01381      8.57      6.00     4   4.9115
#          44       0.01094     24.97      6.00     3   4.9341
#    44/  44 paths used
#  xsedge+50, used to normalize mu           2.9276E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.616    -18.088   0.050  1.53027E-01  3.14596E-01 -2.91402E-01
    7719.644    -18.059   0.100  1.63598E-01  3.19618E-01 -2.80947E-01
    7719.692    -18.012   0.150  1.94973E-01  3.34575E-01 -2.50207E-01
    7719.759    -17.945   0.200  2.26620E-01  3.49533E-01 -2.19269E-01
    7719.844    -17.859   0.250  2.76811E-01  3.72615E-01 -1.69605E-01
    7719.949    -17.755   0.300  3.27075E-01  3.95697E-01 -1.20565E-01
    7720.073    -17.631   0.350  3.88927E-01  4.22085E-01 -5.76558E-02
    7720.216    -17.488   0.400  4.49050E-01  4.48473E-01  9.92795E-04
    7720.378    -17.326   0.450  5.08643E-01  4.73112E-01  6.03803E-02
    7720.559    -17.145   0.500  5.61911E-01  4.97751E-01  1.07672E-01
    7720.759    -16.945   0.550  6.02654E-01  5.18891E-01  1.38518E-01
    7720.978    -16.726   0.600  6.32899E-01  5.40030E-01  1.51365E-01
    7721.216    -16.488   0.650  6.48746E-01  5.58314E-01  1.45016E-01
    7721.473    -16.231   0.700  6.53206E-01  5.76598E-01  1.20897E-01
    7721.749    -15.954   0.750  6.44875E-01  5.93068E-01  8.03528E-02
    7722.045    -15.659   0.800  6.26059E-01  6.09538E-01  2.51915E-02
    7722.359    -15.345   0.850  5.96002E-01  6.24961E-01 -4.33698E-02
    7722.692    -15.011   0.900  5.58931E-01  6.40384E-01 -1.19848E-01
    7723.045    -14.659   0.950  5.15258E-01  6.55186E-01 -2.02163E-01
    7723.416    -14.287   1.000  4.71090E-01  6.69987E-01 -2.82255E-01
    7723.807    -13.897   1.050  4.28199E-01  6.84339E-01 -3.56975E-01
    7724.216    -13.487   1.100  3.93012E-01  6.98692E-01 -4.18514E-01
    7724.645    -13.059   1.150  3.67638E-01  7.12617E-01 -4.64062E-01
    7725.093    -12.611   1.200  3.56781E-01  7.26542E-01 -4.88851E-01
    7725.559    -12.144   1.250  3.61194E-01  7.39991E-01 -4.92436E-01
    7726.045    -11.659   1.300  3.82469E-01  7.53440E-01 -4.74343E-01
    7726.550    -11.154   1.350  4.18943E-01  7.66304E-01 -4.37175E-01
    7727.074    -10.630   1.400  4.69371E-01  7.79167E-01 -3.83866E-01
    7727.617    -10.087   1.450  5.30447E-01  7.91307E-01 -3.18538E-01
    7728.179     -9.525   1.500  5.99318E-01  8.03448E-01 -2.45697E-01
    7728.760     -8.944   1.550  6.72779E-01  8.14760E-01 -1.68644E-01
    7729.360     -8.344   1.600  7.47525E-01  8.26073E-01 -9.20860E-02
    7729.979     -7.725   1.650  8.21437E-01  8.36425E-01 -1.73665E-02
    7730.617     -7.087   1.700  8.91409E-01  8.46778E-01  5.11122E-02
    7731.274     -6.429   1.750  9.56241E-01  8.56093E-01  1.13517E-01
    7731.951     -5.753   1.800  1.01321E+00  8.65409E-01  1.65833E-01
    7732.646     -5.058   1.850  1.06116E+00  8.73615E-01  2.08601E-01
    7733.360     -4.343   1.900  1.09806E+00  8.81821E-01  2.38453E-01
    7734.094     -3.610   1.950  1.12267E+00  8.88824E-01  2.56016E-01
    7734.846     -2.858   2.000  1.13414E+00  8.95828E-01  2.59043E-01
    7735.618     -2.086   2.050  1.13126E+00  9.01129E-01  2.48893E-01
    7736.408     -1.295   2.100  1.11515E+00  9.06430E-01  2.24605E-01
    7737.218     -0.486   2.150  1.08774E+00  9.11732E-01  1.88461E-01
    7738.047      0.343   2.200  1.05194E+00  9.17033E-01  1.43733E-01
    7738.894      1.191   2.250  1.00533E+00  9.19537E-01  9.12900E-02
    7739.761      2.057   2.300  9.58037E-01  9.22041E-01  3.82496E-02
    7740.647      2.943   2.350  9.15129E-01  9.24545E-01 -9.99146E-03
    7741.552      3.848   2.400  8.80765E-01  9.27049E-01 -4.90514E-02
    7742.476      4.772   2.450  8.60112E-01  9.31936E-01 -7.59516E-02
    7743.419      5.715   2.500  8.51247E-01  9.36824E-01 -9.02959E-02
    7744.381      6.677   2.550  8.53265E-01  9.41712E-01 -9.31192E-02
    7745.362      7.658   2.600  8.63744E-01  9.46599E-01 -8.70414E-02
    7746.362      8.658   2.650  8.75067E-01  9.51184E-01 -7.96521E-02
    7747.381      9.677   2.700  8.91038E-01  9.55769E-01 -6.74747E-02
    7748.419     10.716   2.750  9.09232E-01  9.60354E-01 -5.30834E-02
    7749.477     11.773   2.800  9.27734E-01  9.64939E-01 -3.84836E-02
    7750.553     12.849   2.850  9.43820E-01  9.67713E-01 -2.46406E-02
    7751.648     13.945   2.900  9.59191E-01  9.70488E-01 -1.16147E-02
    7752.763     15.059   2.950  9.73371E-01  9.73263E-01  1.10614E-04
    7753.896     16.192   3.000  9.86352E-01  9.76037E-01  1.05408E-02
    7755.049     17.345   3.050  9.96694E-01  9.78068E-01  1.89897E-02
    7756.220     18.517   3.100  1.00664E+00  9.80098E-01  2.69931E-02
    7757.411     19.707   3.150  1.01649E+00  9.82128E-01  3.48618E-02
    7758.621     20.917   3.200  1.02626E+00  9.84159E-01  4.26125E-02
    7759.849     22.146   3.250  1.03382E+00  9.85029E-01  4.92978E-02
    7761.097     23.393   3.300  1.04114E+00  9.85900E-01  5.57109E-02
    7762.364     24.660   3.350  1.04746E+00  9.86771E-01  6.10910E-02
    7763.650     25.946   3.400  1.05172E+00  9.87642E-01  6.43873E-02
    7764.955     27.251   3.450  1.05313E+00  9.88411E-01  6.49562E-02
    7766.279     28.575   3.500  1.05079E+00  9.89181E-01  6.17725E-02
    7767.622     29.918   3.550  1.04392E+00  9.89950E-01  5.40514E-02
    7768.984     31.280   3.600  1.03212E+00  9.90720E-01  4.14209E-02
    7770.365     32.661   3.650  1.01542E+00  9.90827E-01  2.45780E-02
    7771.765     34.061   3.700  9.95132E-01  9.90934E-01  4.19046E-03
    7773.184     35.480   3.750  9.72482E-01  9.91042E-01 -1.85120E-02
    7774.623     36.919   3.800  9.49108E-01  9.91149E-01 -4.18913E-02
    7776.080     38.376   3.850  9.27533E-01  9.91559E-01 -6.37499E-02
    7777.556     39.852   3.900  9.09133E-01  9.91969E-01 -8.24183E-02
    7779.052     41.348   3.950  8.95563E-01  9.92379E-01 -9.62571E-02
    7780.566     42.862   4.000  8.88106E-01  9.92789E-01 -1.04001E-01
    7782.100     44.396   4.050  8.87821E-01  9.92975E-01 -1.04393E-01
    7783.652     45.948   4.100  8.94485E-01  9.93161E-01 -9.78905E-02
    7785.224     47.520   4.150  9.07554E-01  9.93347E-01 -8.50475E-02
    7786.814     49.111   4.200  9.25940E-01  9.93533E-01 -6.69567E-02
    7788.424     50.720   4.250  9.48727E-01  9.93849E-01 -4.46701E-02
    7790.053     52.349   4.300  9.73428E-01  9.94165E-01 -2.05169E-02
    7791.701     53.997   4.350  9.98126E-01  9.94481E-01  3.60380E-03
    7793.368     55.664   4.400  1.02102E+00  9.94797E-01  2.59090E-02
    7795.054     57.350   4.450  1.04077E+00  9.95178E-01  4.50362E-02
    7796.759     59.055   4.500  1.05583E+00  9.95559E-01  5.95030E-02
    7798.483     60.779   4.550  1.06557E+00  9.95940E-01  6.87122E-02
    7800.226     62.522   4.600  1.06995E+00  9.96321E-01  7.26231E-02
    7801.988     64.284   4.650  1.06880E+00  9.96503E-01  7.12847E-02
