# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=41 Rmt= 1.522 Rnm= 1.592 K  shell
# # Pot 1 Z=41 Rmt= 1.542 Rnm= 1.613
# # Pot 2 Z=50 Rmt= 1.592 Rnm= 1.636
# # Gam_ch=5.191E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-8.332E+00 kf=1.975E+00 Vint=-1.819E+01 Rs_int= 1.836
# # PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   2.6450
#           2       0.00000    169.00      4.00     2   2.9572
#           3       0.00000    245.10      8.00     2   3.2395
#           4       0.00000      6.57      8.00     3   4.2797
#           5       0.00000      9.91     16.00     3   4.5620
#           6       0.00000     14.75      8.00     3   4.5620
#           7       0.00000     20.25     32.00     3   4.5769
#           8       0.00000     43.13      4.00     2   4.7683
#           9       0.00000      5.59      8.00     3   4.8592
#          10       0.00000    143.40     16.00     2   4.9483
#          11       0.00000      5.99      8.00     3   5.1853
#          12       0.00000     14.35      8.00     3   5.1853
#          13       0.00000     43.53      6.00     2   5.2900
#          14       0.00000      8.23      2.00     3   5.2900
#          15       0.00000     66.84      4.00     3   5.2900
#          16       0.00000     15.66      2.00     4   5.2900
#          18       0.00000     77.30      2.00     4   5.2900
#          19       0.00000     10.36     16.00     3   5.4164
#          20       0.00000     25.16     16.00     3   5.4164
#          21       0.00000     28.09     16.00     3   5.4164
#          22       0.00000     29.20     32.00     3   5.4314
#          23       0.00000     10.51     16.00     3   5.4825
#          24       0.00000      8.48      8.00     3   5.6022
#          26       0.00000     17.52     32.00     3   5.7136
#          27       0.00000     12.22     16.00     3   5.8845
#          28       0.00000      6.51     16.00     4   5.8845
#          29       0.00000      6.35     16.00     4   5.8845
#          30       0.00000     40.33      8.00     2   5.9144
#          31       0.00000     66.63      8.00     3   5.9144
#          32       0.00000      4.18      4.00     4   5.9144
#          33       0.00000     70.54      4.00     4   5.9144
#          34       0.00000      4.97     16.00     4   5.9144
#          36       0.00000     38.81      8.00     2   6.0605
#          37       0.00000     23.89     16.00     3   6.1286
#          38       0.00000     62.43     16.00     3   6.1286
#          39       0.00000      5.17      8.00     3   6.1966
#          40       0.00000     20.93     16.00     3   6.1966
#          41       0.00000     20.69     16.00     4   6.1966
#          43       0.00000     33.70      8.00     4   6.1966
#          44       0.00000      7.43     32.00     4   6.1966
#          45       0.00000     34.37      8.00     2   6.2031
#          46       0.00000      8.36      8.00     3   6.3410
#          47       0.00000     39.38     16.00     3   6.3410
#          48       0.00000      5.75      8.00     4   6.4789
#          50       0.00000      5.79      8.00     4   6.4789
#          51       0.00000     11.57      8.00     4   6.4789
#          55       0.00000      8.75     24.00     3   6.5681
#          56       0.00000      9.86     32.00     3   6.7389
#          57       0.00000     12.32     16.00     4   6.7389
#          58       0.00000      6.45     16.00     4   6.7389
#          59       0.00000      7.21     32.00     3   6.9830
#    51/  58 paths used
#  xsedge+50, used to normalize mu           1.1421E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   19002.840     -8.323   0.050  2.61583E-01  3.74274E-01 -1.76940E-01
   19002.869     -8.294   0.100  2.62921E-01  3.75984E-01 -1.77324E-01
   19002.916     -8.247   0.150  2.67126E-01  3.81090E-01 -1.78142E-01
   19002.983     -8.180   0.200  2.71597E-01  3.86197E-01 -1.78543E-01
   19003.069     -8.094   0.250  2.79705E-01  3.94703E-01 -1.78189E-01
   19003.174     -7.989   0.300  2.88498E-01  4.03209E-01 -1.76785E-01
   19003.297     -7.866   0.350  3.01886E-01  4.14982E-01 -1.73010E-01
   19003.440     -7.723   0.400  3.16378E-01  4.26756E-01 -1.67614E-01
   19003.602     -7.561   0.450  3.36003E-01  4.41400E-01 -1.58593E-01
   19003.783     -7.380   0.500  3.56744E-01  4.56045E-01 -1.48071E-01
   19003.983     -7.180   0.550  3.81841E-01  4.72843E-01 -1.34259E-01
   19004.202     -6.961   0.600  4.07115E-01  4.89641E-01 -1.20478E-01
   19004.440     -6.723   0.650  4.33970E-01  5.07638E-01 -1.06280E-01
   19004.698     -6.465   0.700  4.58895E-01  5.25636E-01 -9.51650E-02
   19004.974     -6.189   0.750  4.81140E-01  5.43898E-01 -8.83492E-02
   19005.269     -5.894   0.800  4.99008E-01  5.62160E-01 -8.77902E-02
   19005.583     -5.580   0.850  5.10556E-01  5.79995E-01 -9.52465E-02
   19005.917     -5.246   0.900  5.16925E-01  5.97830E-01 -1.09519E-01
   19006.269     -4.894   0.950  5.16880E-01  6.14868E-01 -1.30837E-01
   19006.641     -4.522   1.000  5.14441E-01  6.31905E-01 -1.54739E-01
   19007.031     -4.132   1.050  5.10427E-01  6.48012E-01 -1.78768E-01
   19007.441     -3.722   1.100  5.10298E-01  6.64118E-01 -1.97170E-01
   19007.869     -3.294   1.150  5.16416E-01  6.79276E-01 -2.05954E-01
   19008.317     -2.846   1.200  5.33170E-01  6.94435E-01 -2.01231E-01
   19008.784     -2.379   1.250  5.62166E-01  7.08676E-01 -1.80446E-01
   19009.270     -1.893   1.300  6.04811E-01  7.22918E-01 -1.43599E-01
   19009.774     -1.389   1.350  6.59453E-01  7.36263E-01 -9.22373E-02
   19010.298     -0.865   1.400  7.22553E-01  7.49608E-01 -3.20930E-02
   19010.841     -0.322   1.450  7.90029E-01  7.62059E-01  3.27976E-02
   19011.403      0.240   1.500  8.54584E-01  7.74510E-01  9.28271E-02
   19011.984      0.821   1.550  9.11275E-01  7.86044E-01  1.43655E-01
   19012.584      1.421   1.600  9.53693E-01  7.97578E-01  1.77225E-01
   19013.203      2.040   1.650  9.78587E-01  8.08170E-01  1.91641E-01
   19013.842      2.679   1.700  9.84911E-01  8.18763E-01  1.85100E-01
   19014.499      3.336   1.750  9.73364E-01  8.28332E-01  1.60262E-01
   19015.175      4.012   1.800  9.49665E-01  8.37902E-01  1.22505E-01
   19015.870      4.707   1.850  9.17879E-01  8.46450E-01  7.77609E-02
   19016.585      5.422   1.900  8.87167E-01  8.54998E-01  3.47837E-02
   19017.318      6.155   1.950  8.60914E-01  8.62483E-01 -1.68643E-03
   19018.071      6.908   2.000  8.45325E-01  8.69968E-01 -2.63533E-02
   19018.842      7.679   2.050  8.38343E-01  8.75447E-01 -3.95485E-02
   19019.633      8.470   2.100  8.40278E-01  8.80926E-01 -4.31848E-02
   19020.442      9.279   2.150  8.46800E-01  8.86405E-01 -4.19385E-02
   19021.271     10.108   2.200  8.53934E-01  8.91884E-01 -4.00554E-02
