# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.349 Rnm= 1.405 K  shell
# # Pot 1 Z=62 Rmt= 1.689 Rnm= 1.738
# # Pot 2 Z=27 Rmt= 1.362 Rnm= 1.418
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.660E+01 kf=1.982E+00 Vint=-2.511E+01 Rs_int= 1.829
# # PATH  Rmax= 7.920,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01093    100.00      2.00     2   2.4277
#           2       0.01093      8.02      2.00     2   2.4277
#           3       0.01117     52.00      2.00     2   2.4760
#           4       0.01117     10.15      2.00     2   2.4760
#           5       0.01003      4.67      2.00     2   3.1592
#           6       0.01003     46.16      2.00     2   3.1592
#           8       0.01239     11.48      4.00     3   3.6657
#           9       0.01239      5.88      4.00     3   3.6657
#          12       0.01525     17.97      2.00     2   3.9244
#          13       0.01548     26.46      2.00     2   4.2609
#          16       0.01548      7.98      2.00     2   4.2608
#          18       0.01549     10.64      2.00     2   4.2885
#          19       0.01493      5.91      4.00     3   4.3899
#          22       0.01528      4.02      4.00     3   4.5822
#          23       0.01528      7.31      4.00     3   4.5822
#          27       0.01528      7.45      4.00     3   4.5823
#          32       0.01561     22.76      2.00     2   4.6402
#          33       0.01561     14.66      2.00     2   4.6402
#          36       0.01114     26.26      2.00     2   4.7161
#          38       0.01554      7.10      4.00     3   4.7478
#          39       0.01554     12.81      4.00     3   4.7478
#          43       0.01566      9.90      2.00     3   4.8554
#          45       0.01566      8.86      2.00     4   4.8554
#          46       0.04372      4.42      2.00     4   4.8554
#          52       0.01569      9.91      2.00     2   4.9520
#          53       0.01569      4.49      4.00     2   4.9520
#          55       0.01569      5.37      2.00     3   4.9520
#          56       0.01569     23.14      4.00     3   4.9520
#          57       0.01569      6.16      4.00     3   4.9520
#          59       0.01569      4.69      2.00     4   4.9520
#          62       0.01569     18.57      2.00     4   4.9520
#          63       0.01569      4.94      2.00     4   4.9520
#          64       0.01146      8.59      4.00     3   5.0014
#          66       0.01421      5.72      4.00     3   5.1396
#          76       0.01161      5.09      4.00     3   5.2211
#          79       0.01589      7.86      2.00     2   5.5150
#          85       0.01551      9.07      4.00     3   5.7666
#          86       0.01605     11.16      2.00     2   5.8131
#          88       0.01605      5.68      4.00     2   5.8131
#          93       0.01572     11.01      4.00     3   6.0658
#          95       0.01572      4.16      4.00     3   6.0658
#          98       0.01632      4.62      4.00     3   6.2048
#          99       0.00643      5.87      2.00     3   6.3184
#         112       0.01652      4.85      4.00     3   6.5035
#         115       0.01662      4.14      4.00     3   6.6348
#         125       0.01688      4.35      4.00     3   7.0323
#         128       0.01688      5.37      4.00     3   7.0323
#         130       0.01200      6.17      4.00     3   7.0395
#    48/  64 paths used
#  xsedge+50, used to normalize mu           2.8975E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.583    -16.596   0.000  4.62102E-01  3.14566E-01  2.67260E-01
    7718.593    -16.586   0.050  4.65497E-01  3.19679E-01  2.63629E-01
    7718.621    -16.557   0.100  4.68840E-01  3.24792E-01  2.59920E-01
    7718.669    -16.510   0.150  4.78081E-01  3.39979E-01  2.47726E-01
    7718.736    -16.443   0.200  4.86871E-01  3.55165E-01  2.34870E-01
    7718.821    -16.357   0.250  4.98242E-01  3.78710E-01  2.11139E-01
    7718.926    -16.253   0.300  5.08734E-01  4.02256E-01  1.86315E-01
    7719.050    -16.129   0.350  5.17706E-01  4.29392E-01  1.52564E-01
    7719.193    -15.986   0.400  5.26309E-01  4.56529E-01  1.19032E-01
    7719.355    -15.824   0.450  5.31076E-01  4.82267E-01  8.19711E-02
    7719.536    -15.643   0.500  5.36046E-01  5.08005E-01  4.63755E-02
    7719.736    -15.443   0.550  5.33128E-01  5.30583E-01  4.13391E-03
    7719.955    -15.224   0.600  5.30099E-01  5.53162E-01 -3.68176E-02
    7720.193    -14.986   0.650  5.16157E-01  5.73119E-01 -8.91885E-02
    7720.450    -14.729   0.700  5.02577E-01  5.93077E-01 -1.39029E-01
    7720.726    -14.452   0.750  4.80121E-01  6.11399E-01 -1.97610E-01
    7721.022    -14.157   0.800  4.60358E-01  6.29722E-01 -2.49902E-01
    7721.336    -13.843   0.850  4.37639E-01  6.47036E-01 -3.02637E-01
    7721.669    -13.509   0.900  4.20822E-01  6.64351E-01 -3.44896E-01
    7722.022    -13.157   0.950  4.07394E-01  6.80987E-01 -3.79599E-01
    7722.393    -12.786   1.000  4.01372E-01  6.97623E-01 -4.02848E-01
    7722.784    -12.395   1.050  4.01310E-01  7.13642E-01 -4.16351E-01
    7723.193    -11.985   1.100  4.07189E-01  7.29660E-01 -4.21567E-01
    7723.622    -11.557   1.150  4.17824E-01  7.44988E-01 -4.19728E-01
    7724.070    -11.109   1.200  4.32973E-01  7.60316E-01 -4.12274E-01
    7724.536    -10.642   1.250  4.52531E-01  7.74834E-01 -3.98912E-01
    7725.022    -10.157   1.300  4.78470E-01  7.89352E-01 -3.78241E-01
    7725.527     -9.652   1.350  5.10954E-01  8.02866E-01 -3.49597E-01
    7726.051     -9.128   1.400  5.52445E-01  8.16381E-01 -3.11217E-01
    7726.594     -8.585   1.450  6.01446E-01  8.28763E-01 -2.64306E-01
    7727.156     -8.023   1.500  6.58238E-01  8.41145E-01 -2.09749E-01
    7727.737     -7.442   1.550  7.19107E-01  8.52242E-01 -1.50829E-01
    7728.337     -6.842   1.600  7.81515E-01  8.63340E-01 -9.15932E-02
    7728.956     -6.223   1.650  8.41167E-01  8.73083E-01 -3.53614E-02
    7729.594     -5.585   1.700  8.94304E-01  8.82826E-01  1.25890E-02
    7730.251     -4.927   1.750  9.38102E-01  8.91167E-01  5.10452E-02
    7730.928     -4.251   1.800  9.70624E-01  8.99508E-01  7.67013E-02
    7731.623     -3.556   1.850  9.91475E-01  9.06432E-01  9.11159E-02
    7732.337     -2.841   1.900  1.00256E+00  9.13355E-01  9.49445E-02
    7733.071     -2.108   1.950  1.00529E+00  9.18837E-01  9.15544E-02
    7733.823     -1.356   2.000  1.00465E+00  9.24319E-01  8.46527E-02
    7734.595     -0.584   2.050  1.00323E+00  9.27951E-01  7.90919E-02
