# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.372 Rnm= 1.424 K  shell
# # Pot 1 Z=62 Rmt= 1.670 Rnm= 1.719
# # Pot 2 Z=27 Rmt= 1.386 Rnm= 1.441
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.662E+01 kf=1.963E+00 Vint=-2.402E+01 Rs_int= 1.848
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4711
#           2       0.00000     93.14      4.00     2   2.5595
#           3       0.00000     43.66      2.00     2   2.6420
#           4       0.00000     40.76      2.00     2   3.2591
#           5       0.00000     15.90      2.00     2   4.1347
#           6       0.00000     14.84      2.00     2   4.2500
#           7       0.00000     29.15      4.00     2   4.2800
#           8       0.00000     56.56      8.00     2   4.3317
#           9       0.00000     34.48      4.00     2   4.7785
#          10       0.00000     40.60      8.00     2   4.9162
#          11       0.00000     30.02      6.00     2   4.9421
#          12       0.00000     28.88      8.00     2   5.5656
#          13       0.00000      6.60      2.00     2   5.7437
#    13/  13 paths used
#  xsedge+50, used to normalize mu           2.9083E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.247    -16.613   0.050  3.82742E-01  3.07768E-01  1.42637E-01
    7718.276    -16.584   0.100  3.86300E-01  3.12643E-01  1.39799E-01
    7718.323    -16.536   0.150  3.97231E-01  3.27230E-01  1.31918E-01
    7718.390    -16.470   0.200  4.08125E-01  3.41817E-01  1.24078E-01
    7718.476    -16.384   0.250  4.25545E-01  3.64514E-01  1.12903E-01
    7718.581    -16.279   0.300  4.42897E-01  3.87211E-01  1.01854E-01
    7718.704    -16.155   0.350  4.63112E-01  4.13623E-01  8.91398E-02
    7718.847    -16.012   0.400  4.83145E-01  4.40035E-01  7.64846E-02
    7719.009    -15.851   0.450  5.00979E-01  4.65489E-01  6.18090E-02
    7719.190    -15.670   0.500  5.18264E-01  4.90943E-01  4.67232E-02
    7719.390    -15.470   0.550  5.29802E-01  5.13748E-01  2.68853E-02
    7719.609    -15.250   0.600  5.40074E-01  5.36552E-01  5.77916E-03
    7719.847    -15.012   0.650  5.42388E-01  5.57184E-01 -2.37313E-02
    7720.105    -14.755   0.700  5.42304E-01  5.77816E-01 -5.57119E-02
    7720.381    -14.479   0.750  5.31940E-01  5.97089E-01 -9.98372E-02
    7720.676    -14.184   0.800  5.17967E-01  6.16362E-01 -1.47369E-01
    7720.990    -13.869   0.850  4.92050E-01  6.34786E-01 -2.08806E-01
    7721.324    -13.536   0.900  4.62695E-01  6.53211E-01 -2.72365E-01
    7721.676    -13.184   0.950  4.23072E-01  6.70991E-01 -3.46376E-01
    7722.048    -12.812   1.000  3.83681E-01  6.88772E-01 -4.16783E-01
    7722.438    -12.422   1.050  3.41738E-01  7.05859E-01 -4.86668E-01
    7722.848    -12.012   1.100  3.07831E-01  7.22946E-01 -5.43081E-01
    7723.276    -11.583   1.150  2.83014E-01  7.39208E-01 -5.84826E-01
    7723.724    -11.136   1.200  2.74976E-01  7.55469E-01 -6.03840E-01
    7724.191    -10.669   1.250  2.85645E-01  7.70688E-01 -5.98437E-01
    7724.677    -10.183   1.300  3.17580E-01  7.85906E-01 -5.67461E-01
    7725.181     -9.678   1.350  3.70670E-01  7.99883E-01 -5.11648E-01
