# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.314 Rnm= 1.359 K  shell
# # Pot 1 Z=26 Rmt= 1.359 Rnm= 1.413
# # Pot 2 Z=14 Rmt= 1.352 Rnm= 1.404
# # Pot 3 Z=57 Rmt= 1.863 Rnm= 1.863
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.697E+01 kf=2.098E+00 Vint=-2.579E+01 Rs_int= 1.728
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     11.00     2   2.4601
#           2       0.00000      9.69      1.00     2   2.4601
#           3       0.00000     16.02     40.00     3   3.7309
#           4       0.00000     29.91      9.00     2   3.9254
#           5       0.00000      7.68      3.00     2   3.9254
#           6       0.00000     13.64     34.00     3   4.4737
#           7       0.00000     13.18     40.00     3   4.5665
#           8       0.00000     22.55     11.00     2   4.7631
#           9       0.00000     32.47     20.00     3   4.7954
#          10       0.00000      4.78      2.00     3   4.7954
#          11       0.00000     13.41     10.00     4   4.8278
#          13       0.00000     11.40     10.00     3   4.9202
#          14       0.00000     10.04     10.00     4   4.9202
#          15       0.00000      6.70     11.00     4   4.9202
#          16       0.00000      5.34     40.00     4   4.9202
#          17       0.00000      6.63     40.00     4   4.9202
#          18       0.00000     22.45      8.00     2   4.9363
#          19       0.00000     17.84     44.00     3   5.3509
#          20       0.00000     11.61      9.00     2   5.6607
#          21       0.00000      7.59      6.00     2   5.7000
#          22       0.00000      8.89     16.00     3   5.7346
#    21/  21 paths used
#  xsedge+50, used to normalize mu           3.1186E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7121.757    -16.965   0.050  1.65579E-01  3.87698E-01 -3.18882E-01
    7121.786    -16.936   0.100  1.68852E-01  3.94587E-01 -3.23568E-01
    7121.833    -16.888   0.150  1.79124E-01  4.14967E-01 -3.36517E-01
    7121.900    -16.822   0.200  1.90135E-01  4.35346E-01 -3.48298E-01
    7121.986    -16.736   0.250  2.07871E-01  4.66257E-01 -3.64325E-01
    7122.090    -16.631   0.300  2.27780E-01  4.97168E-01 -3.77076E-01
    7122.214    -16.507   0.350  2.51198E-01  5.31168E-01 -3.88073E-01
    7122.357    -16.365   0.400  2.78708E-01  5.65167E-01 -3.93239E-01
    7122.519    -16.203   0.450  3.06979E-01  5.95512E-01 -3.91460E-01
    7122.700    -16.022   0.500  3.40823E-01  6.25857E-01 -3.82248E-01
    7122.900    -15.822   0.550  3.76211E-01  6.50881E-01 -3.63511E-01
    7123.119    -15.603   0.600  4.17158E-01  6.75905E-01 -3.37999E-01
    7123.357    -15.364   0.650  4.59649E-01  6.96787E-01 -3.05441E-01
    7123.614    -15.107   0.700  5.05808E-01  7.17670E-01 -2.69121E-01
    7123.891    -14.831   0.750  5.52518E-01  7.35753E-01 -2.29427E-01
    7124.186    -14.536   0.800  6.01011E-01  7.53837E-01 -1.88651E-01
    7124.500    -14.221   0.850  6.62189E-01  7.69977E-01 -1.31174E-01
    7124.834    -13.888   0.900  7.23010E-01  7.86117E-01 -7.57269E-02
    7125.186    -13.536   0.950  7.70039E-01  8.00748E-01 -3.63524E-02
    7125.557    -13.164   1.000  7.76968E-01  8.15380E-01 -4.48626E-02
    7125.948    -12.774   1.050  7.30891E-01  8.28626E-01 -1.12714E-01
    7126.358    -12.364   1.100  6.56557E-01  8.41873E-01 -2.11062E-01
    7126.786    -11.935   1.150  5.71467E-01  8.53761E-01 -3.17870E-01
    7127.234    -11.488   1.200  4.86446E-01  8.65650E-01 -4.22206E-01
    7127.701    -11.021   1.250  4.11683E-01  8.76127E-01 -5.11986E-01
    7128.186    -10.535   1.300  3.62600E-01  8.86605E-01 -5.71972E-01
    7128.691    -10.030   1.350  3.44364E-01  8.95624E-01 -5.96689E-01
    7129.215     -9.507   1.400  3.65036E-01  9.04644E-01 -5.79232E-01
    7129.758     -8.964   1.450  4.19786E-01  9.12200E-01 -5.24968E-01
    7130.320     -8.402   1.500  5.04945E-01  9.19756E-01 -4.39238E-01
    7130.901     -7.821   1.550  6.07069E-01  9.25864E-01 -3.35789E-01
    7131.501     -7.221   1.600  7.16534E-01  9.31972E-01 -2.25733E-01
    7132.120     -6.601   1.650  8.19810E-01  9.36699E-01 -1.22008E-01
    7132.758     -5.963   1.700  9.09091E-01  9.41426E-01 -3.36223E-02
    7133.416     -5.306   1.750  9.77890E-01  9.44867E-01  3.42532E-02
    7134.092     -4.630   1.800  1.02440E+00  9.48307E-01  7.87316E-02
    7134.787     -3.934   1.850  1.05145E+00  9.50587E-01  1.04219E-01
    7135.502     -3.220   1.900  1.06272E+00  9.52867E-01  1.13362E-01
    7136.235     -2.487   1.950  1.06904E+00  9.54070E-01  1.18608E-01
    7136.987     -1.734   2.000  1.07267E+00  9.55273E-01  1.21069E-01
    7137.759     -0.963   2.050  1.08271E+00  9.55395E-01  1.31406E-01
    7138.550     -0.172   2.100  1.09616E+00  9.55518E-01  1.45277E-01
    7139.359      0.638   2.150  1.11263E+00  9.55640E-01  1.62296E-01
    7140.188      1.466   2.200  1.12917E+00  9.55763E-01  1.79412E-01
    7141.036      2.314   2.250  1.14042E+00  9.54766E-01  1.92469E-01
    7141.902      3.181   2.300  1.13822E+00  9.53769E-01  1.91614E-01
    7142.788      4.066   2.350  1.12011E+00  9.52772E-01  1.74183E-01
    7143.693      4.971   2.400  1.08649E+00  9.51775E-01  1.40518E-01
    7144.617      5.895   2.450  1.03823E+00  9.52979E-01  8.91603E-02
    7145.560      6.838   2.500  9.86826E-01  9.54183E-01  3.42346E-02
    7146.522      7.800   2.550  9.41425E-01  9.55387E-01 -1.46828E-02
    7147.503      8.781   2.600  9.08558E-01  9.56590E-01 -5.06512E-02
    7148.503      9.781   2.650  8.81623E-01  9.57844E-01 -8.03773E-02
    7149.522     10.801   2.700  8.68004E-01  9.59098E-01 -9.60608E-02
    7150.561     11.839   2.750  8.68161E-01  9.60352E-01 -9.72164E-02
    7151.618     12.896   2.800  8.79643E-01  9.61605E-01 -8.64310E-02
    7152.694     13.972   2.850  8.94140E-01  9.63024E-01 -7.24702E-02
    7153.789     15.068   2.900  9.14162E-01  9.64443E-01 -5.27762E-02
    7154.904     16.182   2.950  9.36259E-01  9.65862E-01 -3.09991E-02
    7156.037     17.316   3.000  9.57275E-01  9.67280E-01 -1.04533E-02
    7157.190     18.468   3.050  9.72996E-01  9.68893E-01  4.27152E-03
    7158.361     19.640   3.100  9.84924E-01  9.70506E-01  1.49608E-02
    7159.552     20.830   3.150  9.93541E-01  9.72119E-01  2.21541E-02
    7160.762     22.040   3.200  1.00026E+00  9.73732E-01  2.73407E-02
    7161.990     23.269   3.250  1.00559E+00  9.75541E-01  3.08538E-02
    7163.238     24.517   3.300  1.01235E+00  9.77349E-01  3.58111E-02
    7164.505     25.783   3.350  1.02208E+00  9.79158E-01  4.37584E-02
    7165.791     27.069   3.400  1.03552E+00  9.80966E-01  5.54157E-02
    7167.096     28.374   3.450  1.05173E+00  9.83138E-01  6.94292E-02
    7168.420     29.698   3.500  1.07013E+00  9.85311E-01  8.55488E-02
    7169.763     31.041   3.550  1.08876E+00  9.87483E-01  1.01792E-01
    7171.125     32.403   3.600  1.10503E+00  9.89655E-01  1.15555E-01
    7172.506     33.784   3.650  1.11541E+00  9.91681E-01  1.23478E-01
    7173.906     35.185   3.700  1.11848E+00  9.93707E-01  1.24082E-01
    7175.325     36.604   3.750  1.11228E+00  9.95733E-01  1.15485E-01
    7176.764     38.042   3.800  1.09582E+00  9.97759E-01  9.68302E-02
    7178.221     39.499   3.850  1.06871E+00  1.00006E+00  6.75547E-02
    7179.697     40.976   3.900  1.03310E+00  1.00236E+00  3.01469E-02
    7181.193     42.471   3.950  9.91956E-01  1.00467E+00 -1.24254E-02
    7182.707     43.986   4.000  9.49067E-01  1.00697E+00 -5.64137E-02
    7184.241     45.519   4.050  9.08122E-01  1.00906E+00 -9.80541E-02
    7185.793     47.072   4.100  8.74240E-01  1.01116E+00 -1.32607E-01
    7187.365     48.643   4.150  8.50460E-01  1.01325E+00 -1.57201E-01
    7188.956     50.234   4.200  8.38447E-01  1.01534E+00 -1.70320E-01
    7190.565     51.844   4.250  8.39283E-01  1.01708E+00 -1.70781E-01
    7192.194     53.472   4.300  8.51094E-01  1.01882E+00 -1.60722E-01
    7193.842     55.120   4.350  8.71309E-01  1.02056E+00 -1.42678E-01
    7195.509     56.787   4.400  8.96831E-01  1.02230E+00 -1.19657E-01
    7197.195     58.473   4.450  9.25074E-01  1.02370E+00 -9.39129E-02
    7198.900     60.178   4.500  9.52896E-01  1.02510E+00 -6.86480E-02
    7200.624     61.902   4.550  9.78506E-01  1.02650E+00 -4.55603E-02
    7202.367     63.645   4.600  1.00114E+00  1.02790E+00 -2.53687E-02
    7204.129     65.407   4.650  1.02085E+00  1.02860E+00 -7.33509E-03
    7205.910     67.188   4.700  1.03830E+00  1.02929E+00  8.52724E-03
    7207.710     68.989   4.750  1.05460E+00  1.02999E+00  2.32807E-02
    7209.530     70.808   4.800  1.07091E+00  1.03068E+00  3.80242E-02
    7211.368     72.646   4.850  1.08724E+00  1.03076E+00  5.34090E-02
    7213.225     74.504   4.900  1.10457E+00  1.03084E+00  6.97402E-02
    7215.102     76.380   4.950  1.12282E+00  1.03092E+00  8.69418E-02
    7216.997     78.275   5.000  1.14128E+00  1.03100E+00  1.04360E-01
    7218.912     80.190   5.050  1.15756E+00  1.03043E+00  1.20425E-01
    7220.845     82.124   5.100  1.17113E+00  1.02986E+00  1.33944E-01
    7222.798     84.076   5.150  1.18012E+00  1.02930E+00  1.43143E-01
    7224.769     86.048   5.200  1.18264E+00  1.02873E+00  1.46215E-01
    7226.760     88.039   5.250  1.17605E+00  1.02763E+00  1.41246E-01
    7228.770     90.048   5.300  1.16048E+00  1.02653E+00  1.27688E-01
    7230.799     92.077   5.350  1.13581E+00  1.02543E+00  1.05396E-01
    7232.847     94.125   5.400  1.10294E+00  1.02433E+00  7.51925E-02
    7234.914     96.192   5.450  1.06338E+00  1.02285E+00  3.88404E-02
    7237.000     98.278   5.500  1.02068E+00  1.02138E+00 -6.72523E-04
    7239.105    100.383   5.550  9.78238E-01  1.01990E+00 -4.00993E-02
    7241.229    102.507   5.600  9.39521E-01  1.01843E+00 -7.60987E-02
    7243.372    104.650   5.650  9.07815E-01  1.01672E+00 -1.05262E-01
    7245.534    106.812   5.700  8.84927E-01  1.01501E+00 -1.26011E-01
    7247.715    108.993   5.750  8.71487E-01  1.01330E+00 -1.37679E-01
    7249.915    111.194   5.800  8.66854E-01  1.01160E+00 -1.40830E-01
    7252.135    113.413   5.850  8.69675E-01  1.00994E+00 -1.36768E-01
    7254.373    115.651   5.900  8.76898E-01  1.00828E+00 -1.28387E-01
    7256.630    117.909   5.950  8.86074E-01  1.00662E+00 -1.18056E-01
    7258.907    120.185   6.000  8.95356E-01  1.00496E+00 -1.07576E-01
    7261.202    122.481   6.050  9.04507E-01  1.00362E+00 -9.74423E-02
