# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.274 Rnm= 1.318 K  shell
# # Pot 1 Z=57 Rmt= 1.776 Rnm= 1.776
# # Pot 2 Z=14 Rmt= 1.323 Rnm= 1.375
# # Pot 3 Z=26 Rmt= 1.325 Rnm= 1.378
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.740E+01 kf=2.178E+00 Vint=-2.738E+01 Rs_int= 1.665
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp= 300.00  Debye_temp= 350.00  Global_sig2= 0.00250
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01461    100.00      3.00     2   2.3978
#           2       0.01029    285.30      9.00     2   2.3978
#           3       0.01469     27.80     24.00     3   3.6364
#           4       0.01137     32.51     24.00     3   3.6364
#           5       0.01524      5.71      6.00     3   3.7534
#           6       0.01169      5.39      6.00     3   3.7534
#           7       0.01299    137.10     12.00     2   3.8261
#           8       0.01426     14.51      6.00     3   4.2658
#           9       0.01282     33.16     18.00     3   4.2658
#          10       0.01461     20.81     12.00     3   4.3605
#          11       0.01290     52.99     36.00     3   4.3605
#          12       0.01772      4.75      6.00     3   4.3757
#          13       0.01294      6.46      6.00     3   4.3757
#          14       0.02250      5.94      6.00     3   4.4509
#          15       0.01793     11.24     12.00     3   4.4509
#          16       0.01301     34.82     30.00     3   4.4509
#          17       0.01322     84.92     12.00     2   4.6425
#          18       0.01332     48.06      6.00     3   4.6741
#          19       0.01320    103.40     18.00     3   4.6741
#          20       0.01391     25.85      3.00     4   4.7056
#          21       0.01346     42.91      9.00     4   4.7056
#          22       0.01876     16.47      6.00     3   4.7956
#          23       0.01324     23.72      6.00     3   4.7956
#          24       0.01876     17.06      6.00     4   4.7956
#          25       0.01324     23.51      6.00     4   4.7956
#          26       0.05092      4.32      3.00     4   4.7956
#          28       0.03368     19.07      9.00     4   4.7956
#          29       0.01577     14.36     30.00     4   4.7956
#          30       0.02586     10.49     24.00     4   4.7956
#          31       0.02160     14.48     24.00     4   4.7956
#          32       0.01020     80.25      8.00     2   4.8114
#          33       0.03577      8.28     12.00     4   4.8750
#          34       0.02700      6.52     12.00     4   4.8750
#          35       0.02252     17.42     24.00     4   4.8750
#          36       0.02404      4.00      6.00     4   4.8949
#          37       0.01722      6.35     18.00     4   4.8949
#          38       0.01361      4.22     18.00     3   5.1151
#          40       0.01362      8.80     36.00     3   5.1560
#          41       0.01378      7.99     12.00     3   5.1817
#          42       0.01199     27.92     12.00     3   5.2155
#          43       0.01059     57.08     36.00     3   5.2155
#          44       0.01369     19.75     48.00     3   5.4729
#          45       0.01355      7.01     12.00     4   5.5045
#          46       0.01342     14.41     36.00     4   5.5045
#          47       0.01624      6.44     12.00     3   5.5149
#          48       0.01368     15.79     36.00     3   5.5149
#          49       0.01907      9.16      3.00     2   5.5175
#          50       0.01346     40.48      9.00     2   5.5175
#          51       0.01369      7.72     18.00     3   5.5233
#          52       0.01370      7.08     12.00     4   5.5464
#          53       0.01358      9.99     24.00     4   5.5464
#          54       0.01347     26.49      6.00     2   5.5557
#          56       0.01364     14.60     36.00     3   5.5647
#          57       0.01374     20.34      6.00     3   5.5895
#          58       0.01904      9.70      6.00     3   5.5895
#          59       0.01349     25.47     12.00     3   5.5895
#          60       0.01364      7.45     18.00     3   5.5982
#          61       0.01960      4.66      6.00     4   5.6195
#          62       0.01415      9.07     18.00     4   5.6195
#          63       0.01513      7.93      3.00     4   5.6615
#          65       0.01415      5.43      6.00     4   5.6615
#          66       0.01776      4.89     24.00     4   5.6896
#          67       0.01376      9.13     36.00     4   5.6896
#          69       0.01375      8.03     36.00     3   5.7269
#          71       0.01419      5.46     12.00     4   5.7584
#          72       0.01409      7.73     24.00     4   5.7584
#          74       0.01363     16.68     18.00     3   5.8257
#          75       0.01415      6.17     24.00     3   5.8661
#          76       0.01475      6.55      6.00     3   5.8898
#          77       0.01367     12.68     18.00     3   5.8898
#          78       0.01367     19.49     24.00     3   5.8898
#          79       0.01478      4.99     18.00     4   5.8977
#          80       0.01315      6.89     12.00     4   5.8977
#          81       0.01174     19.94     48.00     3   5.9296
#    74/  79 paths used
#  xsedge+50, used to normalize mu           3.1063E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7121.953    -17.391   0.050  6.42617E-02  3.75212E-01 -4.50151E-01
    7121.982    -17.362   0.100  6.20994E-02  3.81839E-01 -4.62243E-01
    7122.029    -17.314   0.150  5.77055E-02  4.01521E-01 -4.95022E-01
    7122.096    -17.248   0.200  5.55940E-02  4.21204E-01 -5.24262E-01
    7122.182    -17.162   0.250  5.52092E-02  4.51000E-01 -5.63780E-01
    7122.286    -17.057   0.300  6.06085E-02  4.80796E-01 -5.94592E-01
    7122.410    -16.933   0.350  6.86500E-02  5.13497E-01 -6.23916E-01
    7122.553    -16.791   0.400  8.62041E-02  5.46198E-01 -6.39501E-01
    7122.715    -16.629   0.450  1.05698E-01  5.75267E-01 -6.45788E-01
    7122.896    -16.448   0.500  1.37033E-01  6.04336E-01 -6.35831E-01
    7123.096    -16.248   0.550  1.70614E-01  6.28218E-01 -6.15011E-01
    7123.315    -16.029   0.600  2.15743E-01  6.52100E-01 -5.79362E-01
    7123.553    -15.790   0.650  2.62309E-01  6.72012E-01 -5.36735E-01
    7123.810    -15.533   0.700  3.17525E-01  6.91923E-01 -4.84043E-01
    7124.087    -15.257   0.750  3.70551E-01  7.09262E-01 -4.31830E-01
    7124.382    -14.962   0.800  4.28968E-01  7.26600E-01 -3.74266E-01
    7124.696    -14.647   0.850  4.92383E-01  7.42271E-01 -3.09808E-01
    7125.030    -14.314   0.900  5.61101E-01  7.57941E-01 -2.40653E-01
    7125.382    -13.962   0.950  6.40966E-01  7.72420E-01 -1.58489E-01
    7125.753    -13.590   1.000  7.04629E-01  7.86899E-01 -9.78358E-02
    7126.144    -13.200   1.050  7.30899E-01  8.00363E-01 -8.15105E-02
    7126.554    -12.790   1.100  7.30825E-01  8.13827E-01 -9.61204E-02
    7126.982    -12.361   1.150  7.16089E-01  8.26311E-01 -1.26056E-01
    7127.430    -11.914   1.200  6.90895E-01  8.38796E-01 -1.67072E-01
    7127.897    -11.447   1.250  6.65140E-01  8.50260E-01 -2.06743E-01
    7128.382    -10.961   1.300  6.42133E-01  8.61724E-01 -2.42490E-01
    7128.887    -10.456   1.350  6.26843E-01  8.72088E-01 -2.68084E-01
    7129.411     -9.933   1.400  6.23196E-01  8.82453E-01 -2.80568E-01
    7129.954     -9.390   1.450  6.31195E-01  8.91642E-01 -2.79388E-01
    7130.516     -8.828   1.500  6.53120E-01  9.00832E-01 -2.63421E-01
    7131.097     -8.247   1.550  6.84829E-01  9.08793E-01 -2.36419E-01
    7131.697     -7.647   1.600  7.26649E-01  9.16755E-01 -1.99216E-01
    7132.316     -7.028   1.650  7.72626E-01  9.23483E-01 -1.57147E-01
    7132.954     -6.389   1.700  8.21855E-01  9.30212E-01 -1.12209E-01
    7133.612     -5.732   1.750  8.69355E-01  9.35702E-01 -6.83909E-02
    7134.288     -5.056   1.800  9.13106E-01  9.41193E-01 -2.88197E-02
    7134.983     -4.361   1.850  9.51371E-01  9.45505E-01  5.99883E-03
    7135.697     -3.646   1.900  9.81798E-01  9.49818E-01  3.26011E-02
    7136.431     -2.913   1.950  1.00527E+00  9.52951E-01  5.32233E-02
    7137.183     -2.160   2.000  1.02103E+00  9.56083E-01  6.59377E-02
    7137.955     -1.389   2.050  1.03435E+00  9.57863E-01  7.76109E-02
    7138.745     -0.598   2.100  1.04201E+00  9.59644E-01  8.35257E-02
    7139.555      0.211   2.150  1.04569E+00  9.61424E-01  8.54059E-02
    7140.384      1.040   2.200  1.04701E+00  9.63204E-01  8.48885E-02
    7141.231      1.888   2.250  1.04691E+00  9.63356E-01  8.47191E-02
    7142.098      2.755   2.300  1.04324E+00  9.63509E-01  8.09290E-02
    7142.984      3.640   2.350  1.03726E+00  9.63661E-01  7.47829E-02
    7143.889      4.545   2.400  1.03000E+00  9.63814E-01  6.73174E-02
    7144.813      5.469   2.450  1.01756E+00  9.63816E-01  5.48236E-02
    7145.756      6.412   2.500  1.00576E+00  9.63818E-01  4.29074E-02
    7146.718      7.374   2.550  9.96698E-01  9.63820E-01  3.37365E-02
    7147.699      8.355   2.600  9.90655E-01  9.63822E-01  2.76152E-02
    7148.699      9.355   2.650  9.84367E-01  9.65900E-01  1.90290E-02
    7149.718     10.375   2.700  9.78591E-01  9.67978E-01  1.09495E-02
    7150.756     11.413   2.750  9.76094E-01  9.70056E-01  6.23726E-03
    7151.814     12.470   2.800  9.77546E-01  9.72134E-01  5.59767E-03
    7152.890     13.546   2.850  9.77732E-01  9.73370E-01  4.50688E-03
    7153.985     14.642   2.900  9.79552E-01  9.74605E-01  5.10411E-03
    7155.100     15.756   2.950  9.82242E-01  9.75841E-01  6.59768E-03
