# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=50 Rmt= 1.596 Rnm= 1.641 K  shell
# # Pot 1 Z=41 Rmt= 1.539 Rnm= 1.611
# # Pot 2 Z=50 Rmt= 1.591 Rnm= 1.635
# # Gam_ch=1.050E+01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-8.347E+00 kf=1.971E+00 Vint=-1.822E+01 Rs_int= 1.840
# # PATH  Rmax= 7.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00     12.00     2   2.9572
#           3       0.00000     19.05      8.00     2   4.5813
#           4       0.00000     21.31     12.00     2   4.7683
#           5       0.00000      5.70     24.00     3   5.1853
#           6       0.00000      8.55      6.00     2   5.2900
#           7       0.00000      5.56     24.00     3   5.6022
#           9       0.00000      7.42     12.00     4   5.9144
#          10       0.00000     18.33     24.00     2   6.0605
#          11       0.00000     21.04     48.00     3   6.1286
#          12       0.00000     11.46     24.00     4   6.1966
#    10/  12 paths used
#  xsedge+50, used to normalize mu           6.7480E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   29234.654     -8.337   0.050  4.76160E-01  6.22256E-01 -1.01933E-01
   29234.683     -8.309   0.100  4.77697E-01  6.23632E-01 -1.01907E-01
   29234.731     -8.261   0.150  4.82463E-01  6.27860E-01 -1.01784E-01
   29234.797     -8.194   0.200  4.87324E-01  6.32089E-01 -1.01594E-01
   29234.883     -8.109   0.250  4.95710E-01  6.39151E-01 -1.01074E-01
   29234.988     -8.004   0.300  5.04359E-01  6.46214E-01 -1.00363E-01
   29235.112     -7.880   0.350  5.16880E-01  6.56013E-01 -9.89787E-02
   29235.255     -7.737   0.400  5.29908E-01  6.65813E-01 -9.72155E-02
   29235.416     -7.575   0.450  5.47208E-01  6.78141E-01 -9.42919E-02
   29235.597     -7.394   0.500  5.65310E-01  6.90469E-01 -9.07467E-02
   29235.797     -7.194   0.550  5.88010E-01  7.04973E-01 -8.54692E-02
   29236.017     -6.975   0.600  6.11791E-01  7.19478E-01 -7.93118E-02
   29236.255     -6.737   0.650  6.40194E-01  7.35591E-01 -7.08720E-02
   29236.512     -6.480   0.700  6.69822E-01  7.51704E-01 -6.13662E-02
   29236.788     -6.204   0.750  7.03592E-01  7.68675E-01 -4.92342E-02
   29237.083     -5.908   0.800  7.38421E-01  7.85645E-01 -3.60636E-02
   29237.398     -5.594   0.850  7.76188E-01  8.02602E-01 -2.03713E-02
   29237.731     -5.261   0.900  8.14366E-01  8.19560E-01 -4.04585E-03
   29238.083     -4.908   0.950  8.53473E-01  8.35637E-01  1.40348E-02
   29238.455     -4.537   1.000  8.91794E-01  8.51715E-01  3.18641E-02
   29238.845     -4.146   1.050  9.28484E-01  8.66206E-01  5.00259E-02
   29239.255     -3.737   1.100  9.62808E-01  8.80698E-01  6.66477E-02
   29239.684     -3.308   1.150  9.92688E-01  8.93124E-01  8.16533E-02
   29240.131     -2.861   1.200  1.01872E+00  9.05550E-01  9.37835E-02
   29240.598     -2.394   1.250  1.03823E+00  9.15696E-01  1.02576E-01
   29241.084     -1.908   1.300  1.05305E+00  9.25841E-01  1.07594E-01
   29241.589     -1.403   1.350  1.06051E+00  9.33745E-01  1.08279E-01
   29242.112     -0.879   1.400  1.06357E+00  9.41649E-01  1.05182E-01
   29242.655     -0.336   1.450  1.05994E+00  9.47505E-01  9.79119E-02
   29243.217      0.226   1.500  1.05331E+00  9.53362E-01  8.78646E-02
