# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.363 Rnm= 1.419 K  shell
# # Pot 1 Z=62 Rmt= 1.684 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.370 Rnm= 1.425
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.657E+01 kf=1.974E+00 Vint=-2.493E+01 Rs_int= 1.837
# # PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4522
#           2       0.00000     96.17      4.00     2   2.5010
#           3       0.00000     84.19      4.00     2   3.1911
#           4       0.00000     18.20     16.00     3   3.7027
#           5       0.00000     17.50      2.00     2   3.9640
#           6       0.00000     12.68     16.00     3   4.2656
#           7       0.00000     57.01      8.00     2   4.3039
#           8       0.00000     28.04      4.00     2   4.3319
#           9       0.00000      8.21      8.00     3   4.4342
#          10       0.00000     13.91     16.00     3   4.6285
#          11       0.00000     17.09     16.00     3   4.6286
#          13       0.00000      8.00      8.00     3   4.6669
#          14       0.00000     45.76      8.00     2   4.6870
#          15       0.00000     34.81      4.00     2   4.7638
#          16       0.00000     23.78     16.00     3   4.7957
#          17       0.00000     11.57      4.00     3   4.9044
#          18       0.00000     10.16      4.00     4   4.9044
#          19       0.00000      5.22      4.00     4   4.9044
#          20       0.00000      6.02      8.00     4   4.9044
#          21       0.00000      4.92     16.00     4   4.9532
#          22       0.00000      5.53     16.00     4   4.9532
#          23       0.00000     28.89      6.00     2   5.0020
#          24       0.00000     10.77      4.00     3   5.0020
#          25       0.00000     45.56      8.00     3   5.0020
#          26       0.00000      9.35      4.00     4   5.0020
#          27       0.00000      4.80      4.00     4   5.0020
#          28       0.00000     36.24      4.00     4   5.0020
#          29       0.00000     10.46      8.00     3   5.0519
#          30       0.00000     11.58     16.00     3   5.1915
#          31       0.00000      9.78     16.00     3   5.2279
#          32       0.00000     14.38     16.00     3   5.2279
#          33       0.00000     11.12     16.00     3   5.2739
#          34       0.00000      8.48     16.00     3   5.3571
#          35       0.00000     10.37     16.00     3   5.5347
#          36       0.00000     28.71      8.00     2   5.5707
#          38       0.00000     31.21     16.00     3   5.8249
#          39       0.00000     24.78      8.00     2   5.8718
#          40       0.00000      8.40      8.00     4   6.0790
#          41       0.00000     11.02      4.00     2   6.1188
#          42       0.00000     25.91     16.00     3   6.1270
#          43       0.00000      5.64      8.00     3   6.2675
#          45       0.00000      4.07      8.00     3   6.2675
#          46       0.00000     29.29     12.00     2   6.3823
#          47       0.00000     11.61      4.00     3   6.3823
#          48       0.00000     43.72      8.00     3   6.3823
#          49       0.00000      5.56      4.00     4   6.3823
#          51       0.00000     49.24      4.00     4   6.3823
#          52       0.00000      7.67      8.00     4   6.3823
#          53       0.00000     15.77      4.00     2   6.4506
#          54       0.00000      4.25      8.00     3   6.5692
#          55       0.00000      4.25      8.00     3   6.5692
#          56       0.00000      5.86     16.00     3   6.5692
#          57       0.00000      6.84     16.00     3   6.5692
#          58       0.00000     17.72      8.00     2   6.5987
#          59       0.00000     17.58      8.00     2   6.6170
#          60       0.00000     10.71     16.00     3   6.7018
#          61       0.00000      8.39     16.00     3   6.7018
#    57/  61 paths used
#  xsedge+50, used to normalize mu           2.9089E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.296    -16.564   0.050  4.07693E-01  3.05873E-01  1.94079E-01
    7718.325    -16.535   0.100  4.11512E-01  3.10759E-01  1.91641E-01
    7718.372    -16.488   0.150  4.22243E-01  3.25250E-01  1.83349E-01
    7718.439    -16.421   0.200  4.32829E-01  3.39741E-01  1.74887E-01
    7718.525    -16.335   0.250  4.48543E-01  3.62221E-01  1.60554E-01
    7718.630    -16.231   0.300  4.64313E-01  3.84701E-01  1.46607E-01
    7718.753    -16.107   0.350  4.85150E-01  4.10705E-01  1.35246E-01
    7718.896    -15.964   0.400  5.07187E-01  4.36709E-01  1.26339E-01
    7719.058    -15.802   0.450  5.32971E-01  4.61508E-01  1.26006E-01
    7719.239    -15.621   0.500  5.58951E-01  4.86306E-01  1.26022E-01
    7719.439    -15.421   0.550  5.77545E-01  5.08246E-01  1.17966E-01
    7719.658    -15.202   0.600  5.92632E-01  5.30185E-01  1.04347E-01
    7719.896    -14.964   0.650  5.91217E-01  5.49807E-01  6.77836E-02
    7720.154    -14.707   0.700  5.84348E-01  5.69428E-01  2.39347E-02
    7720.430    -14.430   0.750  5.61490E-01  5.87634E-01 -4.10392E-02
    7720.725    -14.135   0.800  5.34699E-01  6.05841E-01 -1.09318E-01
    7721.039    -13.821   0.850  4.98615E-01  6.23250E-01 -1.87313E-01
    7721.373    -13.487   0.900  4.62672E-01  6.40659E-01 -2.61748E-01
    7721.725    -13.135   0.950  4.25638E-01  6.57563E-01 -3.33616E-01
    7722.097    -12.764   1.000  3.93147E-01  6.74467E-01 -3.96012E-01
    7722.487    -12.373   1.050  3.66727E-01  6.90918E-01 -4.46645E-01
    7722.897    -11.963   1.100  3.49140E-01  7.07368E-01 -4.83251E-01
    7723.325    -11.535   1.150  3.43901E-01  7.23287E-01 -5.01422E-01
    7723.773    -11.087   1.200  3.53537E-01  7.39205E-01 -4.99601E-01
    7724.240    -10.620   1.250  3.80339E-01  7.54425E-01 -4.75429E-01
    7724.725    -10.135   1.300  4.25059E-01  7.69645E-01 -4.29806E-01
    7725.230     -9.630   1.350  4.85203E-01  7.83986E-01 -3.66221E-01
    7725.754     -9.106   1.400  5.56481E-01  7.98326E-01 -2.91386E-01
    7726.297     -8.563   1.450  6.32395E-01  8.11610E-01 -2.12576E-01
    7726.859     -8.001   1.500  7.06609E-01  8.24893E-01 -1.38159E-01
    7727.440     -7.420   1.550  7.73644E-01  8.36950E-01 -7.29367E-02
    7728.040     -6.820   1.600  8.30621E-01  8.49006E-01 -2.08977E-02
    7728.659     -6.201   1.650  8.77065E-01  8.59724E-01  1.94819E-02
    7729.297     -5.563   1.700  9.14455E-01  8.70442E-01  4.88780E-02
    7729.955     -4.905   1.750  9.45033E-01  8.79750E-01  7.17980E-02
    7730.631     -4.229   1.800  9.71179E-01  8.89057E-01  8.94522E-02
    7731.326     -3.534   1.850  9.92907E-01  8.96893E-01  1.03769E-01
    7732.041     -2.819   1.900  1.01057E+00  9.04729E-01  1.13510E-01
    7732.774     -2.086   1.950  1.02096E+00  9.11070E-01  1.17136E-01
    7733.527     -1.334   2.000  1.02463E+00  9.17411E-01  1.13614E-01
    7734.298     -0.562   2.050  1.02188E+00  9.21675E-01  1.05801E-01
    7735.089      0.229   2.100  1.01115E+00  9.25940E-01  8.96463E-02
    7735.898      1.038   2.150  9.93886E-01  9.30204E-01  6.67559E-02
    7736.727      1.867   2.200  9.73512E-01  9.34468E-01  4.07833E-02
    7737.575      2.715   2.250  9.51445E-01  9.36772E-01  1.53294E-02
    7738.441      3.581   2.300  9.36123E-01  9.39076E-01 -3.08535E-03
    7739.327      4.467   2.350  9.29683E-01  9.41379E-01 -1.22233E-02
