# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.368 Rnm= 1.437 K  shell
# # Pot 1 Z=62 Rmt= 1.949 Rnm= 2.051
# # Pot 2 Z=27 Rmt= 1.431 Rnm= 1.561
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.289E+01 kf=1.654E+00 Vint=-1.672E+01 Rs_int= 2.192
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00962    100.00      4.00     2   2.4522
#           2       0.00986     95.21      4.00     2   2.5010
#           3       0.00936     72.81      4.00     2   3.1911
#           4       0.01091     29.12     16.00     3   3.7027
#           5       0.01471     15.17      2.00     2   3.9640
#           6       0.01028     19.47     16.00     3   4.2656
#           7       0.01409      6.31      8.00     3   4.4342
#           8       0.01061     13.42     16.00     3   4.4416
#           9       0.01469     13.91     16.00     3   4.6285
#          10       0.01553     11.03      4.00     3   4.9044
#          11       0.01553     14.46      4.00     4   4.9044
#          12       0.03847      7.48      4.00     4   4.9044
#          13       0.01727      8.69     16.00     4   4.9532
#          14       0.02451     10.73     16.00     4   4.9532
#    14/  14 paths used
#  xsedge+50, used to normalize mu           2.7511E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.000    -12.876   0.050  1.18081E-01  4.56172E-01 -4.69073E-01
    7718.028    -12.847   0.100  1.25108E-01  4.63623E-01 -4.67073E-01
    7718.076    -12.800   0.150  1.45681E-01  4.85895E-01 -4.61922E-01
    7718.142    -12.733   0.200  1.67323E-01  5.08166E-01 -4.55503E-01
    7718.228    -12.647   0.250  1.99798E-01  5.43590E-01 -4.48009E-01
    7718.333    -12.542   0.300  2.34340E-01  5.79015E-01 -4.38250E-01
    7718.457    -12.419   0.350  2.72043E-01  6.21999E-01 -4.30982E-01
    7718.600    -12.276   0.400  3.12802E-01  6.64984E-01 -4.20509E-01
    7718.762    -12.114   0.450  3.50330E-01  7.09053E-01 -4.13288E-01
    7718.943    -11.933   0.500  3.92560E-01  7.53121E-01 -4.01322E-01
    7719.143    -11.733   0.550  4.29735E-01  7.95061E-01 -3.92072E-01
    7719.362    -11.514   0.600  4.72998E-01  8.37001E-01 -3.77153E-01
    7719.600    -11.276   0.650  5.12994E-01  8.75895E-01 -3.63332E-01
    7719.857    -11.018   0.700  5.59218E-01  9.14788E-01 -3.44382E-01
    7720.133    -10.742   0.750  6.02486E-01  9.49914E-01 -3.26596E-01
    7720.428    -10.447   0.800  6.50518E-01  9.85039E-01 -3.05476E-01
    7720.743    -10.133   0.850  6.93125E-01  1.01534E+00 -2.87311E-01
    7721.076     -9.799   0.900  7.36962E-01  1.04564E+00 -2.68911E-01
    7721.429     -9.447   0.950  7.72239E-01  1.07004E+00 -2.55045E-01
    7721.800     -9.075   1.000  8.05122E-01  1.09444E+00 -2.43656E-01
    7722.191     -8.685   1.050  8.28152E-01  1.11223E+00 -2.36805E-01
