# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.827 Rnm= 1.827 L3 shell
# # Pot 1 Z=57 Rmt= 1.837 Rnm= 1.837
# # Pot 2 Z=14 Rmt= 1.346 Rnm= 1.398
# # Pot 3 Z=26 Rmt= 1.365 Rnm= 1.417
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.654E+01 kf=2.102E+00 Vint=-2.557E+01 Rs_int= 1.725
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   3.2913
#           2       0.00000     49.24      3.00     2   3.3148
#           3       0.00000     48.83      3.00     2   3.3275
#           4       0.00000     48.71      3.00     2   3.3314
#           5       0.00000     48.88      3.00     2   3.3553
#           6       0.00000     47.75      3.00     2   3.3620
#           7       0.00000     46.18      3.00     2   3.4140
#           8       0.00000      6.31      1.00     2   4.8706
#           9       0.00000     18.12      3.00     2   4.9470
#          10       0.00000      6.02      1.00     2   4.9534
#          11       0.00000     17.84      3.00     2   4.9741
#          12       0.00000     12.85      3.00     2   5.0555
#          13       0.00000     16.70      3.00     2   5.0899
#          14       0.00000     16.62      3.00     2   5.0984
#          15       0.00000     16.40      3.00     2   5.1222
#          16       0.00000     16.25      3.00     2   5.1383
#          17       0.00000     16.02      3.00     2   5.1634
#          18       0.00000     15.96      3.00     2   5.1703
#          19       0.00000     15.60      3.00     2   5.2110
#          20       0.00000      5.79      6.00     3   5.3692
#          21       0.00000      6.56      6.00     3   5.4443
#          24       0.00000      5.44      6.00     3   5.4784
#          27       0.00000      4.56      6.00     3   5.5585
#          28       0.00000     18.15      3.00     2   5.6973
#          29       0.00000     17.86      3.00     2   5.7305
#          30       0.00000     11.24      3.00     2   5.8099
#          31       0.00000     27.58      6.00     3   5.8168
#          32       0.00000     19.23      3.00     4   5.8236
#          33       0.00000     10.96      3.00     2   5.8571
#          34       0.00000     10.95      3.00     2   5.8600
#          35       0.00000     28.87      6.00     3   5.8614
#          36       0.00000     27.23      6.00     3   5.8626
#          37       0.00000     22.26      3.00     4   5.8628
#          38       0.00000     19.37      3.00     4   5.8681
#          39       0.00000     10.67      3.00     2   5.9084
#          40       0.00000     27.19      6.00     3   5.9119
#          41       0.00000     10.64      3.00     2   5.9133
#          42       0.00000     32.16      6.00     3   5.9138
#          43       0.00000     24.64      3.00     4   5.9144
#          44       0.00000     20.08      3.00     4   5.9153
#          45       0.00000     10.62      3.00     2   5.9170
#          46       0.00000      7.34      3.00     2   5.9194
#          47       0.00000     18.15      6.00     3   5.9225
#          48       0.00000     26.05      6.00     3   5.9228
#          49       0.00000     12.50      3.00     4   5.9256
#          50       0.00000     10.56      3.00     2   5.9276
#          51       0.00000     18.28      3.00     4   5.9287
#          52       0.00000     27.05      6.00     3   5.9304
#          53       0.00000     20.10      3.00     4   5.9332
#          56       0.00000      4.62      6.00     3   6.5448
#          58       0.00000      5.89      6.00     4   6.5828
#          63       0.00000      4.43      6.00     3   6.6075
#          66       0.00000      5.58      6.00     4   6.6462
#          69       0.00000      4.14      6.00     3   6.7011
#          72       0.00000      5.08      6.00     4   6.7415
#          74       0.00000      6.19      3.00     2   6.9923
#          76       0.00000      6.03      3.00     2   7.0489
#          77       0.00000      6.02      3.00     2   7.0521
#          78       0.00000      5.95      3.00     2   7.0770
#          79       0.00000      5.92      3.00     2   7.0875
#          80       0.00000      5.89      3.00     2   7.0975
#          81       0.00000      5.83      3.00     2   7.1182
#          82       0.00000      5.68      3.00     2   7.1743
#          84       0.00000      5.50      3.00     2   7.2408
#          85       0.00000      5.50      3.00     2   7.2415
#          86       0.00000      5.39      3.00     2   7.2846
#          87       0.00000      5.37      3.00     2   7.2944
#          89       0.00000      5.35      3.00     2   7.3027
#          92       0.00000      5.28      3.00     2   7.3314
#    69/  83 paths used
#  xsedge+50, used to normalize mu           8.5457E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.823    -16.539   0.000  9.50946E-01  1.24277E+00 -1.06581E-01
    5487.832    -16.529   0.050  9.55909E-01  1.25293E+00 -1.07424E-01
    5487.861    -16.501   0.100  9.60884E-01  1.26310E+00 -1.08248E-01
    5487.909    -16.453   0.150  9.75637E-01  1.29412E+00 -1.10812E-01
    5487.975    -16.386   0.200  9.90601E-01  1.32513E+00 -1.13162E-01
    5488.061    -16.301   0.250  1.01396E+00  1.37676E+00 -1.17288E-01
    5488.166    -16.196   0.300  1.03858E+00  1.42839E+00 -1.20673E-01
    5488.290    -16.072   0.350  1.06913E+00  1.49801E+00 -1.25690E-01
    5488.433    -15.929   0.400  1.10417E+00  1.56764E+00 -1.28948E-01
    5488.594    -15.767   0.450  1.14423E+00  1.64866E+00 -1.33329E-01
    5488.775    -15.586   0.500  1.19587E+00  1.72967E+00 -1.34375E-01
    5488.975    -15.386   0.550  1.25789E+00  1.81139E+00 -1.35253E-01
    5489.195    -15.167   0.600  1.34333E+00  1.89310E+00 -1.30520E-01
    5489.433    -14.929   0.650  1.45162E+00  1.96315E+00 -1.22081E-01
    5489.690    -14.672   0.700  1.59680E+00  2.03320E+00 -1.04702E-01
    5489.966    -14.396   0.750  1.77185E+00  2.08043E+00 -7.69534E-02
    5490.261    -14.100   0.800  1.98457E+00  2.12765E+00 -3.71470E-02
    5490.576    -13.786   0.850  2.21084E+00  2.14479E+00  1.82048E-02
    5490.909    -13.453   0.900  2.44460E+00  2.16193E+00  8.30392E-02
    5491.261    -13.100   0.950  2.64524E+00  2.14737E+00  1.56753E-01
    5491.633    -12.729   1.000  2.79952E+00  2.13281E+00  2.26147E-01
    5492.023    -12.338   1.050  2.86763E+00  2.09126E+00  2.82893E-01
    5492.433    -11.929   1.100  2.85322E+00  2.04970E+00  3.16261E-01
    5492.862    -11.500   1.150  2.74262E+00  1.98995E+00  3.17745E-01
    5493.309    -11.052   1.200  2.56507E+00  1.93021E+00  2.88982E-01
    5493.776    -10.586   1.250  2.33631E+00  1.86194E+00  2.30728E-01
    5494.262    -10.100   1.300  2.09229E+00  1.79367E+00  1.55930E-01
    5494.767     -9.595   1.350  1.85750E+00  1.72476E+00  7.36854E-02
    5495.290     -9.071   1.400  1.65199E+00  1.65585E+00 -2.29021E-03
    5495.833     -8.528   1.450  1.48956E+00  1.59162E+00 -6.38954E-02
    5496.395     -7.966   1.500  1.36701E+00  1.52738E+00 -1.06430E-01
    5496.976     -7.385   1.550  1.28444E+00  1.47049E+00 -1.29605E-01
    5497.576     -6.785   1.600  1.22518E+00  1.41359E+00 -1.38108E-01
    5498.196     -6.166   1.650  1.18564E+00  1.36514E+00 -1.37147E-01
    5498.834     -5.528   1.700  1.14985E+00  1.31669E+00 -1.33106E-01
    5499.491     -4.871   1.750  1.11982E+00  1.27662E+00 -1.29441E-01
    5500.167     -4.194   1.800  1.08752E+00  1.23656E+00 -1.27448E-01
    5500.863     -3.499   1.850  1.06299E+00  1.20623E+00 -1.25527E-01
    5501.577     -2.785   1.900  1.04152E+00  1.17590E+00 -1.20749E-01
    5502.310     -2.051   1.950  1.03776E+00  1.15653E+00 -1.08923E-01
    5503.063     -1.299   2.000  1.04055E+00  1.13715E+00 -9.04691E-02
    5503.834     -0.527   2.050  1.05208E+00  1.12103E+00 -6.58817E-02
    5504.625      0.263   2.100  1.06342E+00  1.10490E+00 -4.04671E-02
    5505.435      1.073   2.150  1.06993E+00  1.08877E+00 -1.87699E-02
    5506.263      1.901   2.200  1.06884E+00  1.07264E+00 -3.86524E-03
    5507.111      2.749   2.250  1.06221E+00  1.05829E+00  4.05620E-03
    5507.978      3.616   2.300  1.04945E+00  1.04395E+00  5.79831E-03
    5508.864      4.502   2.350  1.03582E+00  1.02960E+00  6.66037E-03
    5509.768      5.407   2.400  1.02592E+00  1.01526E+00  1.16361E-02
    5510.692      6.331   2.450  1.02741E+00  1.00439E+00  2.53874E-02
    5511.635      7.274   2.500  1.03300E+00  9.93516E-01  4.40146E-02
    5512.597      8.236   2.550  1.03617E+00  9.82645E-01  6.03163E-02
    5513.578      9.217   2.600  1.03118E+00  9.71775E-01  6.76953E-02
    5514.579     10.217   2.650  1.02583E+00  9.66267E-01  6.79198E-02
    5515.598     11.236   2.700  1.01411E+00  9.60759E-01  6.08754E-02
    5516.636     12.274   2.750  9.97755E-01  9.55251E-01  4.85256E-02
