# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.322 Rnm= 1.373 K  shell
# # Pot 1 Z=62 Rmt= 1.700 Rnm= 1.721
# # Pot 2 Z=27 Rmt= 1.330 Rnm= 1.382
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.784E+01 kf=2.092E+00 Vint=-2.713E+01 Rs_int= 1.734
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 331.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00756    100.00      1.00     2   2.3071
#           2       0.00779    137.50      1.00     2   2.3700
#           3       0.00779     54.71      1.00     2   2.3700
#           4       0.00792     21.50      1.00     2   2.4057
#           5       0.00820    187.00      1.00     2   2.4868
#           6       0.00820     27.13      1.00     2   2.4868
#           7       0.00846    207.50      1.00     2   2.5648
#           8       0.00846     14.49      1.00     2   2.5648
#           9       0.00864    160.20      1.00     2   2.6210
#          10       0.00864     12.75      1.00     2   2.6210
#          11       0.00692     16.25      1.00     2   2.9629
#          12       0.00699     89.12      1.00     2   3.0085
#          15       0.01051     36.95      1.00     2   3.5734
#          16       0.00896     18.40      2.00     3   3.6253
#          17       0.00896     10.63      2.00     3   3.6253
#          18       0.00907     28.14      2.00     3   3.6643
#          20       0.00925     14.55      2.00     3   3.7379
#          21       0.00925      4.78      2.00     3   3.7379
#          22       0.00935      8.53      2.00     3   3.7684
#          23       0.01075     77.96      1.00     2   3.8955
#          26       0.01080     20.66      1.00     2   4.0145
#          28       0.01080     36.89      1.00     2   4.0213
#          30       0.01082     26.99      1.00     2   4.0633
#          31       0.01083     36.87      1.00     2   4.0817
#          32       0.01083      7.04      1.00     2   4.0817
#          33       0.01083     51.93      1.00     2   4.0840
#          34       0.01083     24.29      1.00     2   4.0840
#          35       0.01085     67.41      1.00     2   4.1584
#          37       0.01056     12.82      2.00     3   4.2863
#          38       0.01056     11.01      2.00     3   4.2863
#          39       0.01056     20.30      2.00     3   4.2863
#          41       0.01065      9.16      2.00     3   4.3790
#          42       0.01066      4.16      2.00     3   4.3891
#          43       0.01066      6.00      2.00     3   4.3891
#          46       0.01068     12.11      2.00     3   4.3973
#          47       0.01069     16.40      2.00     3   4.4120
#          48       0.01069      7.50      2.00     3   4.4120
#          50       0.01069      9.72      2.00     3   4.4135
#          51       0.01070     12.69      2.00     3   4.4466
#          53       0.01070      5.91      2.00     3   4.4535
#          55       0.01093     50.65      1.00     2   4.5191
#          56       0.01093      4.13      1.00     2   4.5191
#          57       0.01078     17.43      2.00     3   4.5354
#          60       0.01094     31.82      1.00     2   4.5871
#          61       0.03025      5.92      1.00     4   4.6142
#          62       0.00780     68.32      1.00     2   4.6581
#          63       0.00780      6.11      1.00     2   4.6581
#          64       0.01086      8.91      2.00     3   4.6651
#          65       0.01096     18.53      1.00     2   4.7128
#          67       0.01090     15.29      2.00     3   4.7320
#          68       0.01090     24.69      2.00     3   4.7388
#          70       0.01097     26.34      1.00     2   4.7399
#          71       0.01097     11.85      1.00     2   4.7399
#          72       0.01097     62.00      2.00     3   4.7399
#          73       0.01097     29.70      2.00     3   4.7399
#          74       0.03117      7.01      1.00     4   4.7399
#          76       0.01097     50.00      1.00     4   4.7399
#          77       0.01097     24.02      1.00     4   4.7399
#          78       0.01093     17.16      2.00     3   4.7881
#          81       0.01098     31.72      2.00     3   4.8385
#          82       0.01098     10.08      2.00     3   4.8385
#          83       0.01113     23.91      2.00     4   4.8567
#          84       0.01113      8.20      2.00     4   4.8567
#          86       0.01096     25.32      2.00     3   4.8660
#          89       0.00813      5.13      2.00     3   4.9687
#          91       0.03281      8.19      1.00     4   4.9735
#    66/  74 paths used
#  xsedge+50, used to normalize mu           2.9127E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.382    -17.828   0.050  2.10326E-01  3.17336E-01 -1.92999E-01
    7719.410    -17.799   0.100  2.18534E-01  3.22416E-01 -1.87028E-01
    7719.458    -17.752   0.150  2.42590E-01  3.37508E-01 -1.69991E-01
    7719.525    -17.685   0.200  2.66611E-01  3.52600E-01 -1.53194E-01
    7719.610    -17.599   0.250  3.03679E-01  3.75933E-01 -1.27630E-01
    7719.715    -17.494   0.300  3.40388E-01  3.99265E-01 -1.03127E-01
    7719.839    -17.371   0.350  3.83689E-01  4.26032E-01 -7.33175E-02
    7719.982    -17.228   0.400  4.25817E-01  4.52799E-01 -4.61913E-02
    7720.144    -17.066   0.450  4.67261E-01  4.77987E-01 -1.81056E-02
    7720.325    -16.885   0.500  5.05984E-01  5.03174E-01  4.67655E-03
    7720.525    -16.685   0.550  5.38808E-01  5.25025E-01  2.25765E-02
    7720.744    -16.466   0.600  5.67021E-01  5.46876E-01  3.24780E-02
    7720.982    -16.228   0.650  5.86911E-01  5.65976E-01  3.31592E-02
    7721.239    -15.971   0.700  6.00913E-01  5.85076E-01  2.46514E-02
    7721.515    -15.694   0.750  6.05755E-01  6.02442E-01  5.06083E-03
    7721.811    -15.399   0.800  6.04267E-01  6.19809E-01 -2.33080E-02
    7722.125    -15.085   0.850  5.93477E-01  6.36156E-01 -6.27820E-02
    7722.458    -14.751   0.900  5.77129E-01  6.52503E-01 -1.08796E-01
    7722.811    -14.399   0.950  5.52682E-01  6.68203E-01 -1.63547E-01
    7723.182    -14.027   1.000  5.25508E-01  6.83903E-01 -2.20027E-01
    7723.573    -13.637   1.050  4.94093E-01  6.99083E-01 -2.79395E-01
    7723.982    -13.227   1.100  4.65211E-01  7.14263E-01 -3.33184E-01
    7724.411    -12.799   1.150  4.38925E-01  7.28914E-01 -3.80932E-01
    7724.859    -12.351   1.200  4.21821E-01  7.43564E-01 -4.15137E-01
    7725.325    -11.884   1.250  4.14827E-01  7.57571E-01 -4.34695E-01
    7725.811    -11.399   1.300  4.22135E-01  7.71578E-01 -4.35763E-01
    7726.316    -10.894   1.350  4.43678E-01  7.84806E-01 -4.18691E-01
    7726.840    -10.370   1.400  4.80048E-01  7.98035E-01 -3.84232E-01
    7727.383     -9.827   1.450  5.29034E-01  8.10356E-01 -3.35064E-01
    7727.945     -9.265   1.500  5.88265E-01  8.22677E-01 -2.75252E-01
    7728.526     -8.684   1.550  6.54073E-01  8.33946E-01 -2.08522E-01
    7729.126     -8.084   1.600  7.22799E-01  8.45216E-01 -1.40130E-01
    7729.745     -7.465   1.650  7.90984E-01  8.55338E-01 -7.28506E-02
    7730.383     -6.827   1.700  8.55151E-01  8.65460E-01 -1.15423E-02
    7731.040     -6.169   1.750  9.13117E-01  8.74346E-01  4.30028E-02
    7731.717     -5.493   1.800  9.62570E-01  8.83233E-01  8.71780E-02
    7732.412     -4.798   1.850  1.00254E+00  8.90839E-01  1.21796E-01
    7733.126     -4.083   1.900  1.03241E+00  8.98445E-01  1.44953E-01
    7733.860     -3.350   1.950  1.05223E+00  9.04717E-01  1.58631E-01
    7734.612     -2.597   2.000  1.06297E+00  9.10989E-01  1.62449E-01
    7735.384     -1.826   2.050  1.06518E+00  9.15435E-01  1.59433E-01
    7736.174     -1.035   2.100  1.06003E+00  9.19881E-01  1.48644E-01
    7736.984     -0.226   2.150  1.04918E+00  9.24327E-01  1.31912E-01
    7737.813      0.603   2.200  1.03427E+00  9.28773E-01  1.11032E-01
    7738.660      1.451   2.250  1.01222E+00  9.30275E-01  8.62313E-02
    7739.527      2.317   2.300  9.88588E-01  9.31778E-01  5.97758E-02
    7740.413      3.203   2.350  9.65529E-01  9.33280E-01  3.39275E-02
    7741.318      4.108   2.400  9.44848E-01  9.34783E-01  1.05878E-02
    7742.242      5.032   2.450  9.31653E-01  9.39107E-01 -7.82879E-03
    7743.185      5.975   2.500  9.22470E-01  9.43430E-01 -2.19804E-02
    7744.147      6.937   2.550  9.17618E-01  9.47754E-01 -3.15530E-02
    7745.128      7.918   2.600  9.17042E-01  9.52078E-01 -3.66269E-02
    7746.128      8.918   2.650  9.17146E-01  9.56325E-01 -4.08214E-02
