# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.384 Rnm= 1.441 K  shell
# # Pot 1 Z=62 Rmt= 1.686 Rnm= 1.742
# # Pot 2 Z=27 Rmt= 1.392 Rnm= 1.451
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.601E+01 kf=1.935E+00 Vint=-2.333E+01 Rs_int= 1.875
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4710
#           2       0.00000     93.11      4.00     2   2.5595
#           3       0.00000     80.10      4.00     2   3.2591
#           4       0.00000     14.82      2.00     2   4.2500
#           5       0.00000     29.12      4.00     2   4.2799
#           6       0.00000     56.48      8.00     2   4.3316
#           7       0.00000     33.90      4.00     2   4.7784
#           8       0.00000     40.54      8.00     2   4.9161
#           9       0.00000     29.98      6.00     2   4.9420
#          10       0.00000     28.83      8.00     2   5.5654
#    10/  10 paths used
#  xsedge+50, used to normalize mu           2.9063E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7717.843    -16.005   0.000  4.67365E-01  2.97620E-01  3.32074E-01
    7717.853    -15.996   0.050  4.70788E-01  3.02420E-01  3.28573E-01
    7717.881    -15.967   0.100  4.74185E-01  3.07221E-01  3.25041E-01
    7717.929    -15.920   0.150  4.84577E-01  3.21523E-01  3.15106E-01
    7717.995    -15.853   0.200  4.94765E-01  3.35825E-01  3.04925E-01
    7718.081    -15.767   0.250  5.10960E-01  3.58112E-01  2.89795E-01
    7718.186    -15.663   0.300  5.26659E-01  3.80400E-01  2.74085E-01
    7718.310    -15.539   0.350  5.44490E-01  4.06373E-01  2.54761E-01
    7718.453    -15.396   0.400  5.61412E-01  4.32347E-01  2.34382E-01
    7718.615    -15.234   0.450  5.74954E-01  4.57470E-01  2.09304E-01
    7718.796    -15.053   0.500  5.86960E-01  4.82592E-01  1.82474E-01
    7718.996    -14.853   0.550  5.91459E-01  5.05222E-01  1.47535E-01
    7719.215    -14.634   0.600  5.93545E-01  5.27853E-01  1.10024E-01
    7719.453    -14.396   0.650  5.85421E-01  5.48456E-01  6.04751E-02
    7719.710    -14.139   0.700  5.73892E-01  5.69060E-01  7.72681E-03
    7719.986    -13.862   0.750  5.49960E-01  5.88419E-01 -6.00168E-02
    7720.281    -13.567   0.800  5.22185E-01  6.07778E-01 -1.30433E-01
    7720.596    -13.253   0.850  4.81726E-01  6.26410E-01 -2.15144E-01
    7720.929    -12.919   0.900  4.39220E-01  6.45042E-01 -2.98824E-01
    7721.282    -12.567   0.950  3.88395E-01  6.63128E-01 -3.89410E-01
    7721.653    -12.195   1.000  3.41340E-01  6.81215E-01 -4.70577E-01
    7722.044    -11.805   1.050  2.96679E-01  6.98706E-01 -5.44036E-01
    7722.453    -11.395   1.100  2.65102E-01  7.16198E-01 -5.96930E-01
    7722.882    -10.967   1.150  2.48624E-01  7.32935E-01 -6.27343E-01
    7723.329    -10.519   1.200  2.53411E-01  7.49673E-01 -6.29524E-01
    7723.796    -10.052   1.250  2.80810E-01  7.65427E-01 -6.02909E-01
    7724.282     -9.567   1.300  3.31053E-01  7.81181E-01 -5.49418E-01
    7724.787     -9.062   1.350  4.02095E-01  7.95732E-01 -4.72227E-01
    7725.311     -8.538   1.400  4.89160E-01  8.10284E-01 -3.78741E-01
    7725.854     -7.995   1.450  5.87444E-01  8.23438E-01 -2.74192E-01
    7726.416     -7.433   1.500  6.89287E-01  8.36593E-01 -1.68638E-01
    7726.997     -6.852   1.550  7.89479E-01  8.48213E-01 -6.63921E-02
    7727.597     -6.252   1.600  8.80037E-01  8.59833E-01  2.25535E-02
    7728.216     -5.633   1.650  9.57403E-01  8.69830E-01  9.67529E-02
    7728.854     -4.995   1.700  1.01595E+00  8.79827E-01  1.48854E-01
    7729.511     -4.337   1.750  1.05479E+00  8.88159E-01  1.80743E-01
    7730.187     -3.661   1.800  1.07285E+00  8.96491E-01  1.89750E-01
    7730.883     -2.966   1.850  1.07176E+00  9.03185E-01  1.80262E-01
    7731.597     -2.251   1.900  1.05581E+00  9.09879E-01  1.55104E-01
    7732.331     -1.518   1.950  1.02892E+00  9.14905E-01  1.20672E-01
    7733.083     -0.766   2.000  9.98701E-01  9.19931E-01  8.30183E-02
    7733.855      0.006   2.050  9.67683E-01  9.22615E-01  4.74372E-02
    7734.645      0.797   2.100  9.42842E-01  9.25299E-01  1.84421E-02
    7735.455      1.606   2.150  9.27333E-01  9.27983E-01 -6.81961E-04
    7736.283      2.435   2.200  9.22038E-01  9.30667E-01 -9.04726E-03
    7737.131      3.283   2.250  9.26706E-01  9.34675E-01 -8.35996E-03
    7737.998      4.149   2.300  9.38098E-01  9.38682E-01 -6.13539E-04
    7738.884      5.035   2.350  9.52018E-01  9.42690E-01  9.79719E-03
    7739.789      5.940   2.400  9.64815E-01  9.46697E-01  1.90379E-02
    7740.713      6.864   2.450  9.75946E-01  9.51229E-01  2.59117E-02
    7741.655      7.807   2.500  9.84138E-01  9.55760E-01  2.96777E-02
    7742.617      8.769   2.550  9.89413E-01  9.60291E-01  3.03831E-02
    7743.599      9.750   2.600  9.92381E-01  9.64822E-01  2.86842E-02
    7744.599     10.750   2.650  9.90869E-01  9.67209E-01  2.45687E-02
    7745.618     11.769   2.700  9.88344E-01  9.69597E-01  1.94215E-02
    7746.656     12.808   2.750  9.85644E-01  9.71984E-01  1.41191E-02
    7747.713     13.865   2.800  9.83397E-01  9.74371E-01  9.30767E-03
    7748.790     14.941   2.850  9.78403E-01  9.76091E-01  2.37859E-03
    7749.885     16.036   2.900  9.74748E-01  9.77811E-01 -3.14354E-03
    7750.999     17.151   2.950  9.72867E-01  9.79531E-01 -6.82368E-03
    7752.133     18.284   3.000  9.72851E-01  9.81250E-01 -8.58134E-03
    7753.285     19.437   3.050  9.71218E-01  9.82136E-01 -1.11319E-02
    7754.457     20.608   3.100  9.71821E-01  9.83022E-01 -1.13969E-02
    7755.648     21.799   3.150  9.74763E-01  9.83908E-01 -9.28582E-03
    7756.857     23.009   3.200  9.79903E-01  9.84794E-01 -4.95597E-03
    7758.086     24.237   3.250  9.85587E-01  9.85633E-01 -4.63968E-05
    7759.334     25.485   3.300  9.93206E-01  9.86471E-01  6.80309E-03
    7760.601     26.752   3.350  1.00228E+00  9.87310E-01  1.50998E-02
    7761.886     28.038   3.400  1.01203E+00  9.88148E-01  2.40549E-02
    7763.191     29.343   3.450  1.02094E+00  9.88761E-01  3.23547E-02
    7764.515     30.667   3.500  1.02898E+00  9.89373E-01  3.97619E-02
    7765.858     32.010   3.550  1.03497E+00  9.89986E-01  4.50866E-02
