# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.397 Rnm= 1.445 K  shell
# # Pot 1 Z=62 Rmt= 1.687 Rnm= 1.742
# # Pot 2 Z=27 Rmt= 1.391 Rnm= 1.451
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.600E+01 kf=1.936E+00 Vint=-2.333E+01 Rs_int= 1.873
# # PATH  Rmax= 5.631,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.5595
#           2       0.00000     57.10      3.00     2   2.8532
#           3       0.00000     39.98      3.00     2   2.8533
#           4       0.00000      9.39     12.00     3   3.7950
#           5       0.00000      7.65     12.00     3   3.9861
#           6       0.00000     10.59      2.00     2   4.2500
#           7       0.00000     60.55     12.00     2   4.3316
#           8       0.00000     10.30     24.00     3   4.3359
#           9       0.00000     14.76     24.00     3   4.6810
#          10       0.00000      6.69     12.00     3   4.6845
#          11       0.00000      8.50     24.00     3   4.8721
#          12       0.00000     10.09     24.00     3   4.8721
#          13       0.00000     21.41      6.00     2   4.9420
#          14       0.00000     14.62     12.00     3   5.0175
#          15       0.00000      7.41     12.00     3   5.0956
#          16       0.00000     32.44      6.00     2   5.1190
#          17       0.00000     19.47      6.00     2   5.1189
#          18       0.00000     44.34     12.00     3   5.1189
#          20       0.00000      4.85      6.00     4   5.1189
#          21       0.00000     35.59      6.00     4   5.1189
#          22       0.00000     11.25     20.00     3   5.2220
#          23       0.00000      4.90      6.00     3   5.3243
#          24       0.00000     16.40     12.00     3   5.3243
#          25       0.00000     14.18     24.00     3   5.4687
#          26       0.00000     30.91     12.00     2   5.5654
#    25/  26 paths used
#  xsedge+50, used to normalize mu           2.9118E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7709.333    -24.572  -1.500 -1.70004E-02  2.17907E-02  7.76450E-02
    7709.895    -24.010  -1.450 -2.32800E-03  2.31636E-02  1.48691E-01
    7710.438    -23.467  -1.400  1.23444E-02  2.45365E-02  2.30557E-01
    7710.962    -22.943  -1.350  6.49472E-03  2.63347E-02  1.81143E-01
    7711.467    -22.438  -1.300  6.44964E-04  2.81329E-02  1.57989E-01
    7711.953    -21.953  -1.250 -6.72419E-03  3.00560E-02  1.66184E-01
    7712.419    -21.486  -1.200 -2.01711E-02  3.24790E-02  2.05134E-01
    7712.867    -21.038  -1.150 -3.36179E-02  3.49021E-02  2.38192E-01
    7713.296    -20.610  -1.100 -4.69636E-02  3.77077E-02  2.66869E-01
    7713.705    -20.200  -1.050 -6.01574E-02  4.10873E-02  3.14205E-01
    7714.096    -19.810  -1.000 -7.33513E-02  4.44669E-02  3.54591E-01
    7714.467    -19.438  -0.950 -8.46428E-02  4.87667E-02  4.13501E-01
    7714.820    -19.086  -0.900 -9.46660E-02  5.36800E-02  4.86491E-01
    7715.153    -18.752  -0.850 -1.04689E-01  5.85933E-02  5.65243E-01
    7715.467    -18.438  -0.800 -1.10693E-01  6.55626E-02  6.43944E-01
    7715.763    -18.143  -0.750 -1.15692E-01  7.30459E-02  7.23353E-01
    7716.039    -17.867  -0.700 -1.20691E-01  8.05292E-02  8.33668E-01
    7716.296    -17.609  -0.650 -1.18714E-01  9.23730E-02  9.23155E-01
    7716.534    -17.371  -0.600 -1.16737E-01  1.04217E-01  1.01401E+00
    7716.753    -17.152  -0.550 -1.12959E-01  1.17365E-01  9.45329E-01
    7716.953    -16.952  -0.500 -1.01978E-01  1.35728E-01  6.74798E-01
    7717.134    -16.771  -0.450 -9.09966E-02  1.54091E-01  3.37905E-01
    7717.296    -16.609  -0.400 -7.71825E-02  1.74453E-01  3.81567E-02
    7717.439    -16.466  -0.350 -5.91186E-02  1.97813E-01 -1.61073E-01
    7717.563    -16.343  -0.300 -4.19468E-02  2.19844E-01 -3.12905E-01
    7717.668    -16.238  -0.250 -3.02669E-02  2.33692E-01 -3.63736E-01
    7717.753    -16.152  -0.200 -1.85869E-02  2.47541E-01 -4.08605E-01
    7717.820    -16.085  -0.150 -6.90698E-03  2.61389E-01 -4.47174E-01
    7717.868    -16.038  -0.100  4.77297E-03  2.75237E-01 -4.79215E-01
    7717.896    -16.009  -0.050  1.64529E-02  2.89086E-01 -5.04615E-01
    7717.906    -16.000   0.000  2.81329E-02  3.02934E-01 -5.23375E-01
    7717.915    -15.990   0.050  3.02053E-02  3.07969E-01 -5.27701E-01
    7717.944    -15.962   0.100  3.25002E-02  3.12906E-01 -5.31432E-01
    7717.991    -15.914   0.150  4.07686E-02  3.27503E-01 -5.39544E-01
    7718.058    -15.847   0.200  5.12767E-02  3.42099E-01 -5.43358E-01
    7718.144    -15.761   0.250  7.13898E-02  3.64826E-01 -5.41946E-01
    7718.249    -15.657   0.300  9.65656E-02  3.87552E-01 -5.31322E-01
    7718.372    -15.533   0.350  1.30739E-01  4.14005E-01 -5.09305E-01
    7718.515    -15.390   0.400  1.71919E-01  4.40459E-01 -4.75546E-01
    7718.677    -15.228   0.450  2.17216E-01  4.65948E-01 -4.32331E-01
    7718.858    -15.047   0.500  2.69609E-01  4.91437E-01 -3.78575E-01
    7719.058    -14.847   0.550  3.22346E-01  5.14292E-01 -3.20752E-01
    7719.277    -14.628   0.600  3.80200E-01  5.37147E-01 -2.56916E-01
    7719.515    -14.390   0.650  4.36306E-01  5.57808E-01 -1.94439E-01
    7719.773    -14.133   0.700  4.93109E-01  5.78469E-01 -1.33608E-01
    7720.049    -13.857   0.750  5.44667E-01  5.97763E-01 -8.11816E-02
    7720.344    -13.561   0.800  5.90146E-01  6.17057E-01 -4.02132E-02
    7720.658    -13.247   0.850  6.24098E-01  6.35473E-01 -1.66037E-02
    7720.992    -12.914   0.900  6.45033E-01  6.53889E-01 -1.26328E-02
    7721.344    -12.561   0.950  6.49057E-01  6.71618E-01 -3.14555E-02
    7721.716    -12.190   1.000  6.37811E-01  6.89347E-01 -7.02640E-02
    7722.106    -11.799   1.050  6.11662E-01  7.06355E-01 -1.26330E-01
