# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.903 Rnm= 1.936 L3 shell
# # Pot 1 Z=26 Rmt= 1.473 Rnm= 1.604
# # Pot 2 Z=14 Rmt= 1.380 Rnm= 1.494
# # Pot 3 Z=57 Rmt= 1.945 Rnm= 1.987
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.330E+01 kf=1.708E+00 Vint=-1.754E+01 Rs_int= 2.123
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00384    100.00     15.00     2   3.3344
#           2       0.00554     17.69      2.00     2   3.3344
#           3       0.00414      6.58     20.00     3   4.5286
#           4       0.00420      4.67     18.00     3   4.6163
#           5       0.00393      8.69      4.00     2   4.9796
#           6       0.00391     20.60     11.00     2   5.2204
#           8       0.00286      6.93      4.00     2   5.7500
#           9       0.00387     10.09      8.00     2   5.8871
#          10       0.00388     18.66     14.00     3   5.8927
#          11       0.00559      4.19      4.00     3   5.8927
#          12       0.00388      4.73      2.00     3   5.8927
#          13       0.00389     14.32      7.00     4   5.8982
#          15       0.00392      4.28      1.00     4   5.8982
#    13/  15 paths used
#  xsedge+50, used to normalize mu           8.3771E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.126    -13.303   0.000  1.20893E+00  2.06659E+00 -2.38173E-01
    5487.136    -13.294   0.050  1.22870E+00  2.08234E+00 -2.30818E-01
    5487.164    -13.265   0.100  1.25000E+00  2.09810E+00 -2.23436E-01
    5487.212    -13.218   0.150  1.31236E+00  2.14557E+00 -2.03119E-01
    5487.279    -13.151   0.200  1.38717E+00  2.19304E+00 -1.82802E-01
    5487.364    -13.065   0.250  1.50381E+00  2.26813E+00 -1.56042E-01
    5487.469    -12.960   0.300  1.64348E+00  2.34323E+00 -1.29873E-01
    5487.593    -12.837   0.350  1.82564E+00  2.43312E+00 -1.07230E-01
    5487.736    -12.694   0.400  2.01888E+00  2.52301E+00 -8.48333E-02
    5487.898    -12.532   0.450  2.23282E+00  2.60277E+00 -6.65963E-02
    5488.079    -12.351   0.500  2.44598E+00  2.68253E+00 -4.57746E-02
    5488.279    -12.151   0.550  2.62477E+00  2.72065E+00 -2.08317E-02
    5488.498    -11.932   0.600  2.78546E+00  2.75877E+00  6.60798E-03
    5488.736    -11.694   0.650  2.86088E+00  2.73496E+00  3.48774E-02
    5488.993    -11.436   0.700  2.90600E+00  2.71114E+00  6.12197E-02
    5489.269    -11.160   0.750  2.85738E+00  2.62904E+00  7.91930E-02
    5489.565    -10.865   0.800  2.78665E+00  2.54695E+00  9.27792E-02
    5489.879    -10.551   0.850  2.65939E+00  2.42985E+00  9.68963E-02
    5490.212    -10.217   0.900  2.52745E+00  2.31274E+00  9.96636E-02
    5490.565     -9.865   0.950  2.38875E+00  2.18743E+00  1.00797E-01
    5490.936     -9.493   1.000  2.25576E+00  2.06211E+00  1.05224E-01
    5491.327     -9.103   1.050  2.14489E+00  1.94686E+00  1.14828E-01
    5491.736     -8.693   1.100  2.03772E+00  1.83162E+00  1.28118E-01
    5492.165     -8.265   1.150  1.95584E+00  1.73445E+00  1.45374E-01
    5492.613     -7.817   1.200  1.86935E+00  1.63728E+00  1.61485E-01
    5493.079     -7.350   1.250  1.79863E+00  1.55946E+00  1.74096E-01
    5493.565     -6.864   1.300  1.71666E+00  1.48165E+00  1.79348E-01
    5494.070     -6.360   1.350  1.64134E+00  1.42127E+00  1.74103E-01
    5494.594     -5.836   1.400  1.55401E+00  1.36088E+00  1.58599E-01
    5495.137     -5.293   1.450  1.47034E+00  1.31523E+00  1.30940E-01
    5495.699     -4.731   1.500  1.37986E+00  1.26957E+00  9.57790E-02
    5496.280     -4.150   1.550  1.29583E+00  1.23603E+00  5.29625E-02
    5496.880     -3.550   1.600  1.21347E+00  1.20250E+00  9.91511E-03
    5497.499     -2.931   1.650  1.14308E+00  1.17892E+00 -3.28006E-02
    5498.137     -2.293   1.700  1.08198E+00  1.15535E+00 -6.79740E-02
    5498.794     -1.635   1.750  1.04152E+00  1.14467E+00 -9.57801E-02
    5499.471     -0.959   1.800  1.01333E+00  1.13399E+00 -1.12302E-01
    5500.166     -0.264   1.850  1.00987E+00  1.13680E+00 -1.18266E-01
    5500.880      0.451   1.900  1.01723E+00  1.13961E+00 -1.14152E-01
    5501.614      1.184   1.950  1.02423E+00  1.13304E+00 -1.02212E-01
    5502.366      1.937   2.000  1.03554E+00  1.12648E+00 -8.60186E-02
    5503.138      2.708   2.050  1.03809E+00  1.10945E+00 -6.81753E-02
    5503.928      3.499   2.100  1.03781E+00  1.09243E+00 -5.27065E-02
    5504.738      4.308   2.150  1.03444E+00  1.07541E+00 -3.99348E-02
    5505.567      5.137   2.200  1.02863E+00  1.05839E+00 -2.92994E-02
    5506.414      5.985   2.250  1.02669E+00  1.04731E+00 -2.03927E-02
    5507.281      6.851   2.300  1.02461E+00  1.03623E+00 -1.15513E-02
    5508.167      7.737   2.350  1.02225E+00  1.02515E+00 -2.89181E-03
    5509.072      8.642   2.400  1.01935E+00  1.01407E+00  5.29229E-03
    5509.996      9.566   2.450  1.02396E+00  1.01101E+00  1.29860E-02
    5510.939     10.509   2.500  1.02722E+00  1.00795E+00  1.93240E-02
    5511.901     11.471   2.550  1.02876E+00  1.00489E+00  2.39416E-02
    5512.882     12.452   2.600  1.02833E+00  1.00183E+00  2.65758E-02
    5513.882     13.452   2.650  1.02874E+00  1.00125E+00  2.75381E-02
    5514.901     14.471   2.700  1.02707E+00  1.00066E+00  2.64147E-02
    5515.939     15.510   2.750  1.02350E+00  1.00008E+00  2.33936E-02
    5516.997     16.567   2.800  1.01840E+00  9.99495E-01  1.88644E-02
    5518.073     17.643   2.850  1.01479E+00  1.00140E+00  1.33441E-02
    5519.168     18.739   2.900  1.01051E+00  1.00330E+00  7.17929E-03
    5520.283     19.853   2.950  1.00665E+00  1.00520E+00  1.44405E-03
    5521.416     20.986   3.000  1.00405E+00  1.00710E+00 -3.03038E-03
    5522.569     22.139   3.050  9.99069E-01  1.00803E+00 -8.88877E-03
    5523.740     23.311   3.100  9.96347E-01  1.00896E+00 -1.25026E-02
    5524.931     24.501   3.150  9.98566E-01  1.00988E+00 -1.12170E-02
    5526.141     25.711   3.200  1.00516E+00  1.01081E+00 -5.59566E-03
    5527.369     26.940   3.250  1.00989E+00  1.01137E+00 -1.46708E-03
    5528.617     28.187   3.300  1.01616E+00  1.01192E+00  4.20171E-03
    5529.884     29.454   3.350  1.02301E+00  1.01248E+00  1.04538E-02
    5531.170     30.740   3.400  1.02925E+00  1.01304E+00  1.60982E-02
    5532.475     32.045   3.450  1.03196E+00  1.01212E+00  1.97246E-02
    5533.799     33.369   3.500  1.03224E+00  1.01121E+00  2.09442E-02
    5535.142     34.712   3.550  1.02961E+00  1.01030E+00  1.92662E-02
    5536.504     36.074   3.600  1.02406E+00  1.00939E+00  1.46610E-02
    5537.885     37.455   3.650  1.01536E+00  1.00779E+00  7.57240E-03
    5539.285     38.855   3.700  1.00527E+00  1.00619E+00 -9.29262E-04
    5540.704     40.275   3.750  9.94808E-01  1.00460E+00 -9.83304E-03
    5542.142     41.713   3.800  9.85029E-01  1.00300E+00 -1.80847E-02
    5543.600     43.170   3.850  9.76700E-01  1.00115E+00 -2.46498E-02
    5545.076     44.646   3.900  9.70637E-01  9.99303E-01 -2.89501E-02
    5546.572     46.142   3.950  9.67154E-01  9.97455E-01 -3.06540E-02
    5548.086     47.656   4.000  9.66259E-01  9.95608E-01 -2.97409E-02
    5549.620     49.190   4.050  9.68254E-01  9.94084E-01 -2.62058E-02
    5551.172     50.742   4.100  9.72205E-01  9.92560E-01 -2.06745E-02
    5552.744     52.314   4.150  9.77569E-01  9.91036E-01 -1.36942E-02
    5554.334     53.905   4.200  9.83772E-01  9.89512E-01 -5.84436E-03
    5555.944     55.514   4.250  9.90933E-01  9.88524E-01  2.45368E-03
    5557.573     57.143   4.300  9.97796E-01  9.87535E-01  1.04539E-02
    5559.221     58.791   4.350  1.00389E+00  9.86546E-01  1.76792E-02
    5560.888     60.458   4.400  1.00884E+00  9.85557E-01  2.37341E-02
    5562.574     62.144   4.450  1.01284E+00  9.85178E-01  2.81918E-02
    5564.278     63.849   4.500  1.01506E+00  9.84798E-01  3.08386E-02
    5566.002     65.573   4.550  1.01539E+00  9.84418E-01  3.15508E-02
    5567.746     67.316   4.600  1.01378E+00  9.84039E-01  3.02905E-02
    5569.508     69.078   4.650  1.01048E+00  9.84040E-01  2.69068E-02
    5571.289     70.859   4.700  1.00538E+00  9.84042E-01  2.17116E-02
    5573.089     72.659   4.750  9.98696E-01  9.84044E-01  1.49004E-02
    5574.908     74.479   4.800  9.90653E-01  9.84046E-01  6.71618E-03
    5576.747     76.317   4.850  9.81669E-01  9.84145E-01 -2.51584E-03
    5578.604     78.174   4.900  9.72138E-01  9.84244E-01 -1.22970E-02
    5580.480     80.051   4.950  9.62594E-01  9.84344E-01 -2.20835E-02
    5582.376     81.946   5.000  9.53735E-01  9.84443E-01 -3.11673E-02
    5584.290     83.861   5.050  9.46347E-01  9.84314E-01 -3.85331E-02
    5586.224     85.794   5.100  9.41478E-01  9.84184E-01 -4.33415E-02
    5588.177     87.747   5.150  9.40014E-01  9.84055E-01 -4.46954E-02
    5590.148     89.719   5.200  9.42634E-01  9.83926E-01 -4.19034E-02
    5592.139     91.709   5.250  9.49354E-01  9.83358E-01 -3.45161E-02
    5594.149     93.719   5.300  9.60096E-01  9.82790E-01 -2.30417E-02
    5596.178     95.748   5.350  9.73933E-01  9.82223E-01 -8.41888E-03
    5598.225     97.796   5.400  9.89371E-01  9.81655E-01  7.83823E-03
    5600.292     99.863   5.450  1.00392E+00  9.80560E-01  2.37416E-02
    5602.378    101.949   5.500  1.01607E+00  9.79464E-01  3.72208E-02
    5604.483    104.054   5.550  1.02415E+00  9.78369E-01  4.65711E-02
    5606.607    106.178   5.600  1.02707E+00  9.77274E-01  5.06832E-02
    5608.751    108.321   5.650  1.02429E+00  9.76133E-01  4.90581E-02
    5610.913    110.483   5.700  1.01661E+00  9.74993E-01  4.24321E-02
    5613.094    112.664   5.750  1.00531E+00  9.73852E-01  3.21031E-02
    5615.294    114.864   5.800  9.92066E-01  9.72711E-01  1.97675E-02
    5617.513    117.084   5.850  9.78523E-01  9.71516E-01  7.16092E-03
