# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=26 Rmt= 1.347 Rnm= 1.395 K  shell
# # Pot 1 Z=26 Rmt= 1.356 Rnm= 1.405
# # Gam_ch=1.309E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.840E+01 kf=2.079E+00 Vint=-2.770E+01 Rs_int= 1.744
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      8.00     2   2.4825
#           2       0.00000     55.88      6.00     2   2.8665
#           3       0.00000     26.30     48.00     3   3.9157
#           4       0.00000     50.97     12.00     2   4.0538
#           5       0.00000      9.07     24.00     3   4.5094
#           6       0.00000     28.88     48.00     3   4.5094
#           7       0.00000     68.68     24.00     2   4.7536
#           8       0.00000     11.64     48.00     3   4.8934
#           9       0.00000     20.47      8.00     2   4.9649
#          10       0.00000     11.35      8.00     3   4.9649
#          11       0.00000     52.52     16.00     3   4.9649
#          12       0.00000     11.56      8.00     4   4.9649
#          13       0.00000      5.45      8.00     4   4.9649
#          14       0.00000     42.46      8.00     4   4.9649
#          15       0.00000     18.59     48.00     3   5.0513
#          16       0.00000     25.92     48.00     3   5.0513
#          17       0.00000     27.43     48.00     3   5.0513
#          18       0.00000      6.29     48.00     4   5.3490
#          19       0.00000      4.65     24.00     4   5.3490
#          20       0.00000      5.38     24.00     4   5.3490
#          21       0.00000      6.79     48.00     4   5.3490
#          22       0.00000     10.65     96.00     3   5.6449
#          23       0.00000     15.64     96.00     3   5.6449
#          24       0.00000     15.83     96.00     3   5.6449
#          25       0.00000     10.47      6.00     2   5.7330
#          26       0.00000      5.09      6.00     3   5.7330
#          27       0.00000     24.13     12.00     3   5.7330
#          28       0.00000      4.65      6.00     4   5.7330
#          30       0.00000     17.49      6.00     4   5.7330
#          31       0.00000      5.72     48.00     3   5.9426
#          32       0.00000      6.11     48.00     4   5.9426
#          33       0.00000      7.12     48.00     4   5.9426
#          34       0.00000      8.84     48.00     3   6.1005
#          35       0.00000      7.87     48.00     4   6.1005
#          36       0.00000     33.03     24.00     2   6.2474
#          37       0.00000     16.76     48.00     3   6.3918
#          38       0.00000     15.85     48.00     3   6.3918
#          39       0.00000     15.86     48.00     3   6.3918
#    38/  38 paths used
#  xsedge+50, used to normalize mu           3.2105E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7121.260    -18.396   0.000 -6.10464E-01  2.96891E-01 -1.71841E+00
    7121.270    -18.386   0.050 -5.83628E-01  3.02161E-01 -1.67462E+00
    7121.299    -18.358   0.100 -5.56456E-01  3.07431E-01 -1.63034E+00
    7121.346    -18.310   0.150 -4.76235E-01  3.23083E-01 -1.50055E+00
    7121.413    -18.243   0.200 -3.94027E-01  3.38735E-01 -1.36841E+00
    7121.499    -18.158   0.250 -2.65136E-01  3.62555E-01 -1.16218E+00
    7121.603    -18.053   0.300 -1.35226E-01  3.86375E-01 -9.57582E-01
    7121.727    -17.929   0.350  2.30044E-02  4.12843E-01 -7.07413E-01
    7121.870    -17.786   0.400  1.75075E-01  4.39310E-01 -4.74010E-01
    7122.032    -17.624   0.450  3.30926E-01  4.63410E-01 -2.34304E-01
    7122.213    -17.443   0.500  4.68721E-01  4.87510E-01 -3.27660E-02
    7122.413    -17.243   0.550  5.90608E-01  5.08087E-01  1.41569E-01
    7122.632    -17.024   0.600  6.83410E-01  5.28664E-01  2.61223E-01
    7122.870    -16.786   0.650  7.50008E-01  5.46659E-01  3.37117E-01
    7123.127    -16.529   0.700  7.82566E-01  5.64654E-01  3.54901E-01
    7123.404    -16.253   0.750  7.87436E-01  5.81167E-01  3.29537E-01
    7123.699    -15.957   0.800  7.61798E-01  5.97679E-01  2.57294E-01
    7124.013    -15.643   0.850  7.14429E-01  6.13427E-01  1.55217E-01
    7124.347    -15.310   0.900  6.48004E-01  6.29175E-01  2.83760E-02
    7124.699    -14.957   0.950  5.71285E-01  6.44499E-01 -1.08132E-01
    7125.070    -14.586   1.000  4.92281E-01  6.59823E-01 -2.42604E-01
    7125.461    -14.195   1.050  4.17826E-01  6.74847E-01 -3.64824E-01
    7125.871    -13.786   1.100  3.58417E-01  6.89870E-01 -4.61367E-01
    7126.299    -13.357   1.150  3.17516E-01  7.04561E-01 -5.28405E-01
    7126.747    -12.909   1.200  3.03536E-01  7.19252E-01 -5.56856E-01
    7127.214    -12.443   1.250  3.15611E-01  7.33504E-01 -5.49535E-01
    7127.699    -11.957   1.300  3.55913E-01  7.47757E-01 -5.06025E-01
    7128.204    -11.452   1.350  4.19099E-01  7.61422E-01 -4.34482E-01
    7128.728    -10.928   1.400  5.00118E-01  7.75088E-01 -3.43102E-01
    7129.271    -10.385   1.450  5.90877E-01  7.88026E-01 -2.42108E-01
    7129.833     -9.823   1.500  6.82262E-01  8.00964E-01 -1.43501E-01
    7130.414     -9.242   1.550  7.66797E-01  8.13002E-01 -5.50587E-02
    7131.014     -8.642   1.600  8.37284E-01  8.25040E-01  1.43841E-02
    7131.633     -8.023   1.650  8.90607E-01  8.36056E-01  6.32750E-02
