# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.349 Rnm= 1.405 K  shell
# # Pot 1 Z=62 Rmt= 1.689 Rnm= 1.738
# # Pot 2 Z=27 Rmt= 1.362 Rnm= 1.418
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.660E+01 kf=1.982E+00 Vint=-2.511E+01 Rs_int= 1.829
# # PATH  Rmax= 7.920,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01093    100.00      4.00     2   2.4277
#           2       0.01117     96.13      4.00     2   2.4760
#           3       0.01003     82.96      4.00     2   3.1592
#           4       0.01239     18.20     16.00     3   3.6657
#           5       0.01525     17.32      2.00     2   3.9244
#           6       0.01124     12.73     16.00     3   4.2229
#           7       0.01548     56.66      8.00     2   4.2608
#           8       0.01549     27.88      4.00     2   4.2885
#           9       0.01493      8.44      8.00     3   4.3899
#          10       0.01528     13.94     16.00     3   4.5822
#          11       0.01528     17.48     16.00     3   4.5823
#          13       0.01531      8.21      8.00     3   4.6203
#          14       0.01561     45.70      8.00     2   4.6402
#          15       0.01114     34.40      4.00     2   4.7161
#          16       0.01554     25.15     16.00     3   4.7478
#          17       0.01545     11.68     16.00     3   4.7738
#          18       0.01566     11.55      4.00     3   4.8554
#          19       0.01566     10.18      4.00     4   4.8554
#          20       0.04372      5.37      4.00     4   4.8554
#          23       0.01872      4.92     16.00     4   4.9037
#          24       0.02780      5.56     16.00     4   4.9037
#          25       0.01569     28.95      6.00     2   4.9520
#          26       0.01569     10.76      4.00     3   4.9520
#          27       0.01569     46.24      8.00     3   4.9520
#          28       0.01569      9.38      4.00     4   4.9520
#          29       0.04469      4.94      4.00     4   4.9520
#          30       0.01569     36.97      4.00     4   4.9520
#          31       0.01146     10.56      8.00     3   5.0014
#          32       0.01421     11.84     16.00     3   5.1395
#          33       0.01171      9.71     16.00     3   5.1757
#          34       0.01171     14.60     16.00     3   5.1757
#          35       0.01161     11.02     16.00     3   5.2211
#          36       0.01424      8.73     16.00     3   5.3035
#          37       0.01456     10.62     16.00     3   5.4793
#          38       0.01589     28.94      8.00     2   5.5150
#          40       0.01551     31.41     16.00     3   5.7666
#          41       0.01605     25.04      8.00     2   5.8131
#          42       0.01629      4.19     16.00     4   5.8202
#          43       0.01703      8.68      8.00     4   6.0183
#          44       0.01572     26.11     16.00     3   6.0658
#          45       0.01632      5.66      8.00     3   6.2048
#          46       0.00643     11.34      4.00     3   6.3184
#          47       0.00643      5.46      4.00     4   6.3184
#          49       0.01728      7.89      8.00     4   6.3184
#          50       0.01652      8.53     16.00     3   6.5035
#          51       0.01662     10.76     16.00     3   6.6348
#          52       0.01664      5.23      8.00     3   6.6577
#          54       0.01666      4.05     16.00     3   6.7173
#          58       0.01205     10.45     16.00     3   7.0153
#          59       0.01688      5.61      8.00     3   7.0323
#          60       0.01688      5.61      8.00     3   7.0323
#          61       0.01200      6.74      8.00     3   7.0395
#    52/  60 paths used
#  xsedge+50, used to normalize mu           2.8975E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.583    -16.596   0.000  3.40378E-01  3.14566E-01  4.67579E-02
    7718.593    -16.586   0.050  3.45227E-01  3.19679E-01  4.61889E-02
    7718.621    -16.557   0.100  3.50094E-01  3.24792E-01  4.56546E-02
    7718.669    -16.510   0.150  3.64070E-01  3.39979E-01  4.32143E-02
    7718.736    -16.443   0.200  3.78156E-01  3.55165E-01  4.10006E-02
    7718.821    -16.357   0.250  3.99539E-01  3.78710E-01  3.67907E-02
    7718.926    -16.253   0.300  4.21300E-01  4.02256E-01  3.33242E-02
    7719.050    -16.129   0.350  4.48825E-01  4.29392E-01  3.35697E-02
    7719.193    -15.986   0.400  4.77232E-01  4.56529E-01  3.53161E-02
    7719.355    -15.824   0.450  5.07281E-01  4.82267E-01  4.20093E-02
    7719.536    -15.643   0.500  5.36521E-01  5.08005E-01  4.71613E-02
    7719.736    -15.443   0.550  5.55795E-01  5.30583E-01  4.09590E-02
    7719.955    -15.224   0.600  5.70868E-01  5.53162E-01  2.82663E-02
    7720.193    -14.986   0.650  5.68001E-01  5.73119E-01 -8.01378E-03
    7720.450    -14.729   0.700  5.60136E-01  5.93077E-01 -5.06050E-02
    7720.726    -14.452   0.750  5.36698E-01  6.11399E-01 -1.12446E-01
    7721.022    -14.157   0.800  5.12157E-01  6.29722E-01 -1.73471E-01
    7721.336    -13.843   0.850  4.82784E-01  6.47036E-01 -2.37391E-01
    7721.669    -13.509   0.900  4.59703E-01  6.64351E-01 -2.89832E-01
    7722.022    -13.157   0.950  4.44960E-01  6.80987E-01 -3.27477E-01
    7722.393    -12.786   1.000  4.41544E-01  6.97623E-01 -3.48221E-01
    7722.784    -12.395   1.050  4.52007E-01  7.13642E-01 -3.48769E-01
    7723.193    -11.985   1.100  4.70169E-01  7.29660E-01 -3.39233E-01
    7723.622    -11.557   1.150  4.94861E-01  7.44988E-01 -3.20895E-01
    7724.070    -11.109   1.200  5.18428E-01  7.60316E-01 -3.04646E-01
    7724.536    -10.642   1.250  5.37626E-01  7.74834E-01 -2.93591E-01
    7725.022    -10.157   1.300  5.52512E-01  7.89352E-01 -2.88156E-01
    7725.527     -9.652   1.350  5.62680E-01  8.02866E-01 -2.87649E-01
    7726.051     -9.128   1.400  5.75380E-01  8.16381E-01 -2.84174E-01
    7726.594     -8.585   1.450  5.93715E-01  8.28763E-01 -2.73295E-01
    7727.156     -8.023   1.500  6.24889E-01  8.41145E-01 -2.47993E-01
    7727.737     -7.442   1.550  6.70189E-01  8.52242E-01 -2.06248E-01
    7728.337     -6.842   1.600  7.30377E-01  8.63340E-01 -1.48836E-01
    7728.956     -6.223   1.650  8.01237E-01  8.73083E-01 -7.96015E-02
    7729.594     -5.585   1.700  8.76128E-01  8.82826E-01 -7.34610E-03
    7730.251     -4.927   1.750  9.47185E-01  8.91167E-01  6.09232E-02
    7730.928     -4.251   1.800  1.00594E+00  8.99508E-01  1.14791E-01
    7731.623     -3.556   1.850  1.04629E+00  9.06432E-01  1.49840E-01
    7732.337     -2.841   1.900  1.06552E+00  9.13355E-01  1.61963E-01
    7733.071     -2.108   1.950  1.06364E+00  9.18837E-01  1.53353E-01
    7733.823     -1.356   2.000  1.04719E+00  9.24319E-01  1.29481E-01
    7734.595     -0.584   2.050  1.02294E+00  9.27951E-01  9.98011E-02
    7735.385      0.206   2.100  9.97420E-01  9.31584E-01  6.89732E-02
    7736.195      1.016   2.150  9.75493E-01  9.35217E-01  4.20737E-02
