# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.827 Rnm= 1.827 K  shell
# # Pot 1 Z=57 Rmt= 1.840 Rnm= 1.840
# # Pot 2 Z=14 Rmt= 1.347 Rnm= 1.399
# # Pot 3 Z=26 Rmt= 1.368 Rnm= 1.420
# # Gam_ch=1.706E+01 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.682E+01 kf=2.092E+00 Vint=-2.565E+01 Rs_int= 1.734
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      3.00     2   3.3096
#           2       0.00000     99.44      3.00     2   3.3148
#           3       0.00000     99.23      3.00     2   3.3168
#           4       0.00000     98.08      3.00     2   3.3276
#           5       0.00000     96.38      3.00     2   3.3440
#           6       0.00000     96.30      3.00     2   3.3448
#           7       0.00000     95.36      3.00     2   3.3540
#           8       0.00000     70.35      3.00     2   3.3822
#          24       0.00000      7.24      1.00     2   4.9292
#          25       0.00000     21.38      3.00     2   4.9486
#          26       0.00000      7.11      1.00     2   4.9522
#          27       0.00000     21.25      3.00     2   4.9563
#          28       0.00000     11.39      3.00     2   5.0878
#          29       0.00000     18.94      3.00     2   5.0963
#          30       0.00000     18.67      3.00     2   5.1141
#          31       0.00000     18.54      3.00     2   5.1227
#          32       0.00000     36.57      6.00     2   5.1395
#          33       0.00000     17.76      3.00     2   5.1761
#          34       0.00000     17.73      3.00     2   5.1781
#          55       0.00000     20.22      3.00     2   5.7005
#          56       0.00000     19.83      3.00     2   5.7300
#          57       0.00000      5.68      3.00     2   5.8696
#          58       0.00000     10.43      3.00     2   5.8696
#          59       0.00000     18.89      6.00     3   5.8741
#          60       0.00000     34.62      6.00     3   5.8747
#          61       0.00000     15.50      3.00     4   5.8786
#          62       0.00000     28.48      3.00     4   5.8799
#          63       0.00000     10.30      3.00     2   5.8864
#          64       0.00000     35.87      6.00     3   5.8883
#          65       0.00000     10.27      3.00     2   5.8906
#          66       0.00000     31.54      3.00     4   5.8902
#          67       0.00000     10.25      3.00     2   5.8936
#          68       0.00000     35.25      6.00     3   5.8935
#          69       0.00000     36.26      6.00     3   5.8945
#          70       0.00000     32.59      3.00     4   5.8954
#          71       0.00000     30.41      3.00     4   5.8964
#          72       0.00000     10.21      3.00     2   5.8986
#          73       0.00000     10.19      3.00     2   5.9014
#          74       0.00000     33.22      6.00     3   5.9019
#          75       0.00000     27.01      3.00     4   5.9052
#          76       0.00000     33.06      6.00     3   5.9077
#          77       0.00000     26.44      3.00     4   5.9140
#          78       0.00000     10.08      3.00     2   5.9171
#          79       0.00000     34.24      6.00     3   5.9203
#          80       0.00000     29.19      3.00     4   5.9234
#          93       0.00000      4.80      3.00     2   7.0076
#          95       0.00000      4.66      3.00     2   7.0538
#          96       0.00000      4.66      3.00     2   7.0543
#          97       0.00000      4.62      3.00     2   7.0692
#          98       0.00000      4.60      3.00     2   7.0749
#          99       0.00000      4.51      3.00     2   7.1062
#         100       0.00000      4.49      3.00     2   7.1130
#         101       0.00000      4.14      3.00     2   7.2442
#         102       0.00000      4.11      3.00     2   7.2555
#         103       0.00000      4.10      3.00     2   7.2597
#         104       0.00000      4.09      3.00     2   7.2634
#         106       0.00000      4.04      3.00     2   7.2840
#    57/  89 paths used
#  xsedge+50, used to normalize mu           5.2506E-05
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   38980.525    -16.814   0.050  3.53490E-01  3.69202E-01 -2.87182E-02
   38980.553    -16.786   0.100  3.53910E-01  3.69760E-01 -2.89536E-02
   38980.601    -16.738   0.150  3.55126E-01  3.71387E-01 -2.96530E-02
   38980.668    -16.671   0.200  3.56342E-01  3.73015E-01 -3.03497E-02
   38980.753    -16.586   0.250  3.58335E-01  3.75691E-01 -3.14994E-02
   38980.858    -16.481   0.300  3.60330E-01  3.78368E-01 -3.26392E-02
   38980.982    -16.357   0.350  3.63133E-01  3.82116E-01 -3.42049E-02
   38981.125    -16.214   0.400  3.65942E-01  3.85864E-01 -3.57440E-02
   38981.287    -16.052   0.450  3.69582E-01  3.90687E-01 -3.76563E-02
   38981.468    -15.871   0.500  3.73244E-01  3.95511E-01 -3.95093E-02
   38981.668    -15.671   0.550  3.77785E-01  4.01420E-01 -4.16431E-02
   38981.887    -15.452   0.600  3.82375E-01  4.07329E-01 -4.36600E-02
   38982.125    -15.214   0.650  3.87900E-01  4.14308E-01 -4.58113E-02
   38982.382    -14.957   0.700  3.93524E-01  4.21288E-01 -4.77554E-02
   38982.658    -14.681   0.750  4.00173E-01  4.29317E-01 -4.96229E-02
   38982.954    -14.385   0.800  4.06998E-01  4.37346E-01 -5.11570E-02
   38983.268    -14.071   0.850  4.14956E-01  4.46379E-01 -5.23414E-02
   38983.601    -13.738   0.900  4.23193E-01  4.55412E-01 -5.30389E-02
   38983.954    -13.385   0.950  4.32677E-01  4.65362E-01 -5.30760E-02
   38984.325    -13.014   1.000  4.42560E-01  4.75313E-01 -5.24722E-02
   38984.716    -12.623   1.050  4.53816E-01  4.86095E-01 -5.09136E-02
   38985.125    -12.214   1.100  4.65585E-01  4.96877E-01 -4.86076E-02
   38985.554    -11.785   1.150  4.78798E-01  5.08374E-01 -4.51467E-02
   38986.002    -11.337   1.200  4.92588E-01  5.19872E-01 -4.09404E-02
   38986.468    -10.871   1.250  5.07825E-01  5.31982E-01 -3.55545E-02
   38986.954    -10.385   1.300  5.23606E-01  5.44091E-01 -2.95849E-02
   38987.459     -9.880   1.350  5.40686E-01  5.56694E-01 -2.26375E-02
   38987.983     -9.356   1.400  5.58151E-01  5.69297E-01 -1.54408E-02
   38988.526     -8.813   1.450  5.76616E-01  5.82289E-01 -7.68432E-03
   38989.088     -8.251   1.500  5.95173E-01  5.95281E-01 -1.43083E-04
   38989.669     -7.670   1.550  6.14286E-01  6.08559E-01  7.41110E-03
   38990.269     -7.070   1.600  6.33103E-01  6.21837E-01  1.42457E-02
   38990.888     -6.451   1.650  6.51932E-01  6.35299E-01  2.05377E-02
   38991.526     -5.813   1.700  6.70050E-01  6.48761E-01  2.56813E-02
   38992.183     -5.156   1.750  6.87672E-01  6.62350E-01  2.98514E-02
   38992.860     -4.479   1.800  7.04224E-01  6.75939E-01  3.26017E-02
   38993.555     -3.784   1.850  7.19423E-01  6.89135E-01  3.41893E-02
   38994.269     -3.070   1.900  7.33291E-01  7.02331E-01  3.42403E-02
   38995.003     -2.336   1.950  7.40911E-01  7.11235E-01  3.16435E-02
   38995.755     -1.584   2.000  7.47209E-01  7.20139E-01  2.78650E-02
   38996.527     -0.812   2.050  7.52411E-01  7.28639E-01  2.38105E-02
   38997.317     -0.022   2.100  7.56937E-01  7.37139E-01  1.93090E-02
   38998.127      0.788   2.150  7.61097E-01  7.45640E-01  1.46902E-02
   38998.956      1.617   2.200  7.65180E-01  7.54140E-01  1.02310E-02
   38999.803      2.464   2.250  7.69414E-01  7.62959E-01  5.86658E-03
   39000.670      3.331   2.300  7.74007E-01  7.71779E-01  1.98727E-03
   39001.556      4.217   2.350  7.79093E-01  7.80598E-01 -1.31753E-03
   39002.461      5.122   2.400  7.84753E-01  7.89417E-01 -4.00915E-03
