# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.362 Rnm= 1.416 K  shell
# # Pot 1 Z=62 Rmt= 1.684 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.371 Rnm= 1.428
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.651E+01 kf=1.987E+00 Vint=-2.437E+01 Rs_int= 1.825
# # PATH  Rmax= 9.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01101    100.00      6.00     2   2.4522
#           2       0.00945     51.15      3.00     2   2.8879
#           3       0.01292     35.83      3.00     2   2.8879
#           4       0.01247      8.14     12.00     3   3.7027
#           5       0.01323      7.81     12.00     3   3.8961
#           6       0.01527     11.62      2.00     2   3.9640
#           7       0.01549     56.73     12.00     2   4.3038
#           8       0.01497      7.61     12.00     3   4.4342
#           9       0.01530     15.52     24.00     3   4.6285
#          10       0.01555     14.85     12.00     3   4.7957
#          11       0.01549      6.80     16.00     3   4.8220
#          12       0.01117     32.90      6.00     2   4.9044
#          13       0.01567     20.17      6.00     2   4.9044
#          14       0.01567     47.76     12.00     3   4.9044
#          16       0.04402      5.33      6.00     4   4.9045
#          17       0.01567     39.29      6.00     4   4.9044
#          18       0.01570     19.13      6.00     2   5.0020
#          19       0.01148      7.57     12.00     3   5.0519
#          20       0.01423     12.36     24.00     3   5.1914
#          21       0.01163     15.22     24.00     3   5.2739
#          22       0.00733      4.22      6.00     3   5.3889
#          23       0.01504     13.98     12.00     3   5.3889
#          24       0.01591     28.49     12.00     2   5.5707
#          25       0.01138     10.80      3.00     2   5.7758
#          26       0.01602      6.44      3.00     2   5.7758
#          27       0.01138      9.62      6.00     3   5.7758
#          28       0.01602     31.07      6.00     3   5.7758
#          29       0.01138     19.04      6.00     3   5.7758
#          30       0.01138      5.32      6.00     4   5.7758
#          32       0.01602     37.03      3.00     4   5.7758
#          33       0.01138     12.91      3.00     4   5.7758
#          34       0.01553     31.07     24.00     3   5.8249
#          35       0.01706      8.48     12.00     4   6.0791
#          36       0.01624     10.93      6.00     2   6.1188
#          37       0.01635      5.52     12.00     3   6.2675
#          40       0.01640      4.44     24.00     3   6.3139
#          41       0.01642     19.35     12.00     2   6.3823
#          42       0.01655      5.54     16.00     3   6.5692
#          43       0.01655      5.25     24.00     3   6.5692
#          44       0.01655      6.26     24.00     3   6.5692
#          45       0.01658     17.55     12.00     2   6.5987
#          46       0.01665      6.66     24.00     3   6.7018
#    42/  46 paths used
#  xsedge+50, used to normalize mu           2.8964E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.428    -16.511   0.000  2.65049E-01  3.11977E-01 -8.67735E-02
    7718.438    -16.501   0.050  2.71041E-01  3.17028E-01 -8.48451E-02
    7718.466    -16.473   0.100  2.77085E-01  3.22079E-01 -8.28289E-02
    7718.514    -16.425   0.150  2.94990E-01  3.37123E-01 -7.70538E-02
    7718.581    -16.358   0.200  3.13333E-01  3.52167E-01 -7.05606E-02
    7718.666    -16.273   0.250  3.42633E-01  3.75547E-01 -5.91719E-02
    7718.771    -16.168   0.300  3.73085E-01  3.98927E-01 -4.59738E-02
    7718.895    -16.044   0.350  4.12845E-01  4.26014E-01 -2.30973E-02
    7719.038    -15.901   0.400  4.54268E-01  4.53101E-01  2.01928E-03
    7719.200    -15.739   0.450  5.00777E-01  4.79016E-01  3.69923E-02
    7719.381    -15.558   0.500  5.47336E-01  5.04930E-01  7.08737E-02
    7719.581    -15.358   0.550  5.90613E-01  5.27931E-01  1.02733E-01
    7719.800    -15.139   0.600  6.29984E-01  5.50931E-01  1.27099E-01
    7720.038    -14.901   0.650  6.58212E-01  5.71533E-01  1.36436E-01
    7720.295    -14.644   0.700  6.78332E-01  5.92135E-01  1.32891E-01
    7720.571    -14.368   0.750  6.82874E-01  6.11223E-01  1.08053E-01
    7720.867    -14.072   0.800  6.77271E-01  6.30310E-01  6.93047E-02
    7721.181    -13.758   0.850  6.55834E-01  6.48472E-01  1.06247E-02
    7721.514    -13.425   0.900  6.26383E-01  6.66635E-01 -5.68370E-02
    7721.867    -13.072   0.950  5.86590E-01  6.84116E-01 -1.34724E-01
    7722.238    -12.701   1.000  5.45627E-01  7.01597E-01 -2.10884E-01
    7722.629    -12.310   1.050  5.05246E-01  7.18395E-01 -2.82207E-01
    7723.038    -11.901   1.100  4.73254E-01  7.35194E-01 -3.39746E-01
    7723.467    -11.472   1.150  4.53007E-01  7.51206E-01 -3.79244E-01
    7723.914    -11.024   1.200  4.49171E-01  7.67218E-01 -3.96760E-01
    7724.381    -10.558   1.250  4.62007E-01  7.82249E-01 -3.92383E-01
    7724.867    -10.072   1.300  4.91933E-01  7.97280E-01 -3.67586E-01
    7725.372     -9.567   1.350  5.35160E-01  8.11146E-01 -3.26942E-01
    7725.896     -9.043   1.400  5.88278E-01  8.25013E-01 -2.76040E-01
    7726.439     -8.500   1.450  6.45842E-01  8.37532E-01 -2.20406E-01
    7727.001     -7.938   1.500  7.03982E-01  8.50052E-01 -1.65646E-01
    7727.582     -7.357   1.550  7.58361E-01  8.61096E-01 -1.15125E-01
    7728.182     -6.757   1.600  8.08126E-01  8.72140E-01 -7.08952E-02
    7728.801     -6.138   1.650  8.51732E-01  8.81643E-01 -3.28036E-02
    7729.439     -5.500   1.700  8.91431E-01  8.91146E-01  3.10085E-04
    7730.096     -4.843   1.750  9.27355E-01  8.99068E-01  3.04852E-02
    7730.772     -4.166   1.800  9.61952E-01  9.06991E-01  5.87785E-02
    7731.468     -3.471   1.850  9.94287E-01  9.13353E-01  8.60511E-02
