# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.384 Rnm= 1.441 K  shell
# # Pot 1 Z=62 Rmt= 1.686 Rnm= 1.742
# # Pot 2 Z=27 Rmt= 1.392 Rnm= 1.451
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.600E+01 kf=1.935E+00 Vint=-2.334E+01 Rs_int= 1.874
# # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.4710
#           2       0.00000     93.12      4.00     2   2.5595
#           3       0.00000     83.15      4.00     2   3.2591
#           4       0.00000     15.51     16.00     3   3.7950
#           5       0.00000     14.80      2.00     2   4.2500
#           6       0.00000     29.08      4.00     2   4.2799
#           7       0.00000     56.40      8.00     2   4.3316
#           8       0.00000     14.02     16.00     3   4.3359
#          10       0.00000      7.66      8.00     3   4.6110
#          11       0.00000     12.65     16.00     3   4.6810
#          12       0.00000     13.69     16.00     3   4.6810
#          13       0.00000      6.25      8.00     3   4.6845
#          14       0.00000     35.85      4.00     2   4.7784
#          15       0.00000      9.72     16.00     3   4.8721
#          16       0.00000     40.47      8.00     2   4.9161
#          17       0.00000     29.93      6.00     2   4.9420
#          18       0.00000     11.28      4.00     3   4.9420
#          19       0.00000     46.82      8.00     3   4.9420
#          20       0.00000      9.52      4.00     4   4.9420
#          21       0.00000      5.14      4.00     4   4.9420
#          22       0.00000     38.44      4.00     4   4.9420
#          23       0.00000     18.52     16.00     3   5.0175
#          24       0.00000      4.24     16.00     4   5.0305
#          25       0.00000      4.96     16.00     4   5.0305
#          26       0.00000      9.38      8.00     3   5.0956
#          27       0.00000      9.90      4.00     3   5.1189
#          28       0.00000      8.20      4.00     4   5.1189
#          29       0.00000      4.43      4.00     4   5.1189
#          30       0.00000      4.61      8.00     4   5.1190
#          31       0.00000     11.97     16.00     3   5.2220
#          32       0.00000      9.96     16.00     3   5.2542
#          33       0.00000     13.08     16.00     3   5.2542
#          34       0.00000      7.31     16.00     3   5.3990
#          35       0.00000     10.97     16.00     3   5.4687
#          36       0.00000     28.80      8.00     2   5.5654
#          37       0.00000     10.62     16.00     3   5.7171
#          39       0.00000     30.03     16.00     3   5.8389
#          40       0.00000     22.93      8.00     2   6.0316
#          42       0.00000      7.51      8.00     4   6.1123
#          43       0.00000     25.53     16.00     3   6.2749
#          44       0.00000     27.47     12.00     2   6.5181
#          45       0.00000     11.95      4.00     3   6.5181
#          46       0.00000     42.43      8.00     3   6.5181
#          47       0.00000      4.64      4.00     4   6.5181
#          49       0.00000     49.06      4.00     4   6.5181
#          50       0.00000      7.78      8.00     4   6.5181
#          51       0.00000      9.10      4.00     2   6.5327
#          52       0.00000     18.15      8.00     2   6.5377
#          53       0.00000     17.88      8.00     2   6.5716
#          54       0.00000      5.38      8.00     3   6.6443
#          57       0.00000      4.73      8.00     3   6.6711
#          60       0.00000     10.22     16.00     3   6.6871
#          61       0.00000      6.35     16.00     3   6.6871
#          62       0.00000      7.89     16.00     3   6.7046
#          63       0.00000      4.49     16.00     3   6.7046
#          64       0.00000      5.28     16.00     3   6.7046
#    56/  64 paths used
#  xsedge+50, used to normalize mu           2.9058E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7717.853    -15.990   0.050  3.77863E-01  3.04451E-01  1.41978E-01
    7717.881    -15.962   0.100  3.83006E-01  3.09276E-01  1.42243E-01
    7717.929    -15.914   0.150  3.99010E-01  3.23688E-01  1.44266E-01
    7717.995    -15.847   0.200  4.15624E-01  3.38101E-01  1.47419E-01
    7718.081    -15.762   0.250  4.43596E-01  3.60541E-01  1.56093E-01
    7718.186    -15.657   0.300  4.72848E-01  3.82982E-01  1.66946E-01
    7718.310    -15.533   0.350  5.09565E-01  4.09121E-01  1.83691E-01
    7718.453    -15.390   0.400  5.46654E-01  4.35260E-01  2.00590E-01
    7718.615    -15.228   0.450  5.80704E-01  4.60520E-01  2.12347E-01
    7718.796    -15.047   0.500  6.11544E-01  4.85780E-01  2.18101E-01
    7718.996    -14.847   0.550  6.27201E-01  5.08495E-01  2.01485E-01
    7719.215    -14.628   0.600  6.34906E-01  5.31211E-01  1.72342E-01
    7719.453    -14.390   0.650  6.20272E-01  5.51842E-01  1.11122E-01
    7719.710    -14.133   0.700  5.95973E-01  5.72473E-01  3.73039E-02
    7719.986    -13.857   0.750  5.50638E-01  5.91836E-01 -6.38450E-02
    7720.281    -13.561   0.800  5.00438E-01  6.11199E-01 -1.67660E-01
    7720.596    -13.247   0.850  4.39207E-01  6.29791E-01 -2.81585E-01
    7720.929    -12.914   0.900  3.82953E-01  6.48383E-01 -3.83005E-01
    7721.282    -12.561   0.950  3.29300E-01  6.66389E-01 -4.75026E-01
    7721.653    -12.190   1.000  2.90581E-01  6.84395E-01 -5.42275E-01
    7722.044    -11.799   1.050  2.65629E-01  7.01768E-01 -5.87158E-01
    7722.453    -11.390   1.100  2.62452E-01  7.19140E-01 -6.01407E-01
    7722.882    -10.961   1.150  2.80836E-01  7.35722E-01 -5.86592E-01
    7723.329    -10.513   1.200  3.22736E-01  7.52304E-01 -5.42673E-01
    7723.796    -10.047   1.250  3.86875E-01  7.67880E-01 -4.72229E-01
    7724.282     -9.561   1.300  4.66092E-01  7.83456E-01 -3.86056E-01
    7724.787     -9.056   1.350  5.54423E-01  7.97820E-01 -2.91106E-01
    7725.311     -8.532   1.400  6.40538E-01  8.12183E-01 -2.01900E-01
    7725.854     -7.989   1.450  7.16047E-01  8.25134E-01 -1.26446E-01
    7726.416     -7.427   1.500  7.75099E-01  8.38084E-01 -7.19606E-02
    7726.997     -6.846   1.550  8.15525E-01  8.49489E-01 -3.83273E-02
    7727.597     -6.246   1.600  8.41887E-01  8.60894E-01 -2.11894E-02
    7728.216     -5.627   1.650  8.59887E-01  8.70686E-01 -1.19185E-02
    7728.854     -4.989   1.700  8.78947E-01  8.80479E-01 -1.67334E-03
    7729.511     -4.332   1.750  9.04490E-01  8.88622E-01  1.72021E-02
    7730.187     -3.655   1.800  9.40279E-01  8.96765E-01  4.68031E-02
    7730.883     -2.960   1.850  9.82735E-01  9.03289E-01  8.49512E-02
    7731.597     -2.246   1.900  1.02585E+00  9.09813E-01  1.23356E-01
    7732.331     -1.512   1.950  1.05999E+00  9.14692E-01  1.53832E-01
    7733.083     -0.760   2.000  1.07809E+00  9.19571E-01  1.67154E-01
    7733.855      0.012   2.050  1.07510E+00  9.22188E-01  1.61044E-01
    7734.645      0.802   2.100  1.04868E+00  9.24805E-01  1.30307E-01
    7735.455      1.612   2.150  1.00591E+00  9.27422E-01  8.24643E-02
    7736.283      2.441   2.200  9.58419E-01  9.30040E-01  2.97793E-02
    7737.131      3.288   2.250  9.18132E-01  9.33978E-01 -1.66388E-02
    7737.998      4.155   2.300  8.98813E-01  9.37916E-01 -4.10858E-02
    7738.884      5.041   2.350  9.01618E-01  9.41854E-01 -4.23052E-02
