# # Once                                                         FEFF 9.6.4  
# # POT  SCF  30  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.310 Rnm= 1.362 K  shell
# # Pot 1 Z=62 Rmt= 1.665 Rnm= 1.689
# # Pot 2 Z=27 Rmt= 1.337 Rnm= 1.389
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.782E+01 kf=2.079E+00 Vint=-2.683E+01 Rs_int= 1.744
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 330.00  Debye_temp= 331.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00880    100.00      2.00     2   2.3819
#           2       0.00880      9.97      2.00     2   2.3819
#           3       0.00890     71.61      2.00     2   2.4058
#           4       0.00890     10.52      2.00     2   2.4058
#           5       0.00947      7.40      2.00     2   2.5553
#           6       0.00804     52.60      2.00     2   3.1395
#           7       0.00996      4.53      4.00     3   3.5908
#           8       0.01006      4.43      4.00     3   3.6241
#           9       0.01012      4.63      4.00     3   3.6435
#          10       0.01012      5.05      4.00     3   3.6435
#          12       0.01211     11.01      2.00     2   3.9151
#          13       0.01215      4.41      2.00     2   3.9803
#          14       0.01218     19.12      2.00     2   4.0382
#          16       0.01223     12.39      2.00     2   4.1639
#          18       0.01190      5.17      4.00     3   4.3078
#          19       0.01201      6.69      4.00     3   4.4010
#          20       0.01201      5.14      4.00     3   4.4010
#          21       0.01202      7.59      4.00     3   4.4112
#          24       0.01205      4.71      4.00     3   4.4357
#          27       0.01210      4.89      4.00     3   4.4878
#          29       0.01232     24.35      2.00     2   4.5418
#          31       0.01232     26.78      2.00     2   4.5520
#          32       0.01232      4.47      2.00     2   4.5520
#          37       0.00879     30.90      2.00     2   4.6277
#          39       0.01229     12.44      4.00     3   4.7558
#          42       0.01229     10.42      4.00     3   4.7626
#          44       0.01236     10.25      2.00     3   4.7637
#          46       0.01236      9.51      2.00     4   4.7637
#          47       0.03520      4.82      2.00     4   4.7637
#          51       0.01237      7.51      2.00     3   4.8117
#          53       0.01237      6.89      2.00     4   4.8117
#          56       0.01238     10.85      2.00     2   4.8154
#          58       0.01237     22.05      4.00     3   4.8288
#          59       0.01237      6.47      4.00     3   4.8288
#          60       0.01250     15.61      2.00     4   4.8423
#          62       0.01238     15.00      2.00     2   4.8446
#          64       0.01238     27.59      4.00     3   4.8629
#          66       0.01255     17.12      2.00     4   4.8811
#          70       0.00917      9.99      4.00     3   4.9937
#          74       0.00924      4.64      4.00     3   5.1014
#          80       0.00925      4.45      4.00     3   5.1249
#          85       0.01258     10.65      2.00     2   5.4618
#          86       0.01262      9.36      2.00     2   5.5403
#          88       0.01227     11.14      4.00     3   5.7432
#          89       0.01275     12.48      2.00     2   5.8005
#          94       0.01230      8.85      4.00     3   5.8517
#    46/  59 paths used
#  xsedge+50, used to normalize mu           2.8908E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.642    -17.817   0.000  3.57805E-01  3.32464E-01  4.27685E-02
    7719.651    -17.807   0.050  3.65664E-01  3.37914E-01  4.67524E-02
    7719.680    -17.779   0.100  3.73501E-01  3.43363E-01  5.06856E-02
    7719.727    -17.731   0.150  3.96266E-01  3.59490E-01  6.15304E-02
    7719.794    -17.664   0.200  4.18768E-01  3.75616E-01  7.18240E-02
    7719.880    -17.579   0.250  4.52389E-01  4.00542E-01  8.55731E-02
    7719.985    -17.474   0.300  4.85023E-01  4.25468E-01  9.74757E-02
    7720.108    -17.350   0.350  5.20282E-01  4.54046E-01  1.07192E-01
    7720.251    -17.207   0.400  5.53465E-01  4.82624E-01  1.13368E-01
    7720.413    -17.045   0.450  5.82015E-01  5.09420E-01  1.14591E-01
    7720.594    -16.864   0.500  6.07665E-01  5.36215E-01  1.11263E-01
    7720.794    -16.664   0.550  6.26904E-01  5.59327E-01  1.03594E-01
    7721.013    -16.445   0.600  6.41740E-01  5.82439E-01  8.95147E-02
    7721.251    -16.207   0.650  6.46724E-01  6.02478E-01  6.56594E-02
    7721.509    -15.950   0.700  6.45281E-01  6.22516E-01  3.32201E-02
    7721.785    -15.674   0.750  6.30817E-01  6.40528E-01 -1.39199E-02
    7722.080    -15.378   0.800  6.09335E-01  6.58540E-01 -6.93026E-02
    7722.394    -15.064   0.850  5.75012E-01  6.75257E-01 -1.38650E-01
    7722.728    -14.731   0.900  5.36158E-01  6.91974E-01 -2.11701E-01
    7723.080    -14.378   0.950  4.89663E-01  7.07772E-01 -2.91072E-01
    7723.452    -14.007   1.000  4.45151E-01  7.23571E-01 -3.65069E-01
    7723.842    -13.616   1.050  4.03233E-01  7.38572E-01 -4.32145E-01
    7724.252    -13.207   1.100  3.72616E-01  7.53572E-01 -4.82638E-01
    7724.680    -12.778   1.150  3.56522E-01  7.67742E-01 -5.12545E-01
    7725.128    -12.330   1.200  3.59515E-01  7.81912E-01 -5.18088E-01
    7725.595    -11.864   1.250  3.83919E-01  7.95164E-01 -4.96862E-01
    7726.081    -11.378   1.300  4.28350E-01  8.08415E-01 -4.52422E-01
    7726.585    -10.873   1.350  4.91194E-01  8.20633E-01 -3.86853E-01
    7727.109    -10.349   1.400  5.66317E-01  8.32852E-01 -3.08808E-01
    7727.652     -9.806   1.450  6.48470E-01  8.43915E-01 -2.23735E-01
    7728.214     -9.244   1.500  7.30224E-01  8.54978E-01 -1.41125E-01
    7728.795     -8.663   1.550  8.05867E-01  8.64808E-01 -6.59886E-02
    7729.395     -8.063   1.600  8.70075E-01  8.74638E-01 -5.05650E-03
    7730.014     -7.444   1.650  9.19845E-01  8.83166E-01  4.02940E-02
    7730.653     -6.806   1.700  9.53800E-01  8.91694E-01  6.76410E-02
    7731.310     -6.149   1.750  9.72676E-01  8.98926E-01  7.97565E-02
    7731.986     -5.472   1.800  9.78936E-01  9.06158E-01  7.81546E-02
    7732.681     -4.777   1.850  9.75523E-01  9.12098E-01  6.77331E-02
    7733.396     -4.063   1.900  9.67126E-01  9.18038E-01  5.21344E-02
    7734.129     -3.329   1.950  9.56553E-01  9.22684E-01  3.58226E-02
    7734.882     -2.577   2.000  9.48351E-01  9.27330E-01  2.21421E-02
