# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.355 Rnm= 1.409 K  shell
# # Pot 1 Z=62 Rmt= 1.682 Rnm= 1.728
# # Pot 2 Z=27 Rmt= 1.369 Rnm= 1.427
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.651E+01 kf=1.991E+00 Vint=-2.430E+01 Rs_int= 1.821
# # PATH  Rmax= 7.960,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 275.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01095    100.00      6.00     2   2.4399
#           2       0.00941     50.99      3.00     2   2.8734
#           3       0.01287     23.89      2.00     2   2.8734
#           4       0.01287     11.95      1.00     2   2.8735
#           5       0.01241      8.27     12.00     3   3.6842
#           6       0.01525     11.63      2.00     2   3.9442
#           7       0.01548     56.84     12.00     2   4.2823
#           8       0.01494      7.65     12.00     3   4.4120
#           9       0.01528     15.56     24.00     3   4.6054
#          10       0.01554     14.99     12.00     3   4.7717
#          11       0.01546      5.70     16.00     3   4.7979
#          12       0.01546     10.25     24.00     3   4.7979
#          13       0.01117     32.96      6.00     2   4.8799
#          14       0.01567     20.22      6.00     2   4.8799
#          15       0.01567     47.94     12.00     3   4.8799
#          17       0.04379      5.47      6.00     4   4.8799
#          18       0.01567     39.66      6.00     4   4.8799
#          19       0.01569     19.18      6.00     2   4.9770
#          21       0.01147      5.08      8.00     3   5.0267
#          22       0.01421     12.63     24.00     3   5.1655
#          23       0.01161     15.23     24.00     3   5.2475
#          25       0.01503      9.49      8.00     3   5.3620
#          26       0.01589     28.57     12.00     2   5.5429
#          27       0.01137      7.22      2.00     2   5.7469
#          28       0.01600      6.45      3.00     2   5.7470
#          29       0.01137      6.48      4.00     3   5.7469
#          31       0.01600     31.38      6.00     3   5.7469
#          32       0.01137     12.70      4.00     3   5.7469
#          35       0.01600     37.59      3.00     4   5.7469
#          36       0.01137      8.67      2.00     4   5.7469
#          37       0.01551     31.54     24.00     3   5.7957
#          38       0.01035      5.90     12.00     3   5.8487
#          39       0.01704      8.55     12.00     4   6.0487
#          40       0.01632      5.57     12.00     3   6.2362
#          41       0.01638      4.49     24.00     3   6.2824
#          42       0.01653      8.39     24.00     3   6.5363
#          45       0.01664      6.95     24.00     4   6.8648
#          46       0.01212      5.47     24.00     3   6.8691
#          47       0.01218     11.04     24.00     3   7.0144
#          49       0.01694      7.17     24.00     3   7.1760
#          50       0.01694      6.80     24.00     4   7.1760
#          52       0.01731      6.06     24.00     5   7.2117
#    42/  50 paths used
#  xsedge+50, used to normalize mu           2.8880E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.587    -16.503   0.050  2.76728E-01  3.26398E-01 -8.87281E-02
    7718.616    -16.474   0.100  2.78580E-01  3.31628E-01 -9.45544E-02
    7718.664    -16.427   0.150  2.84865E-01  3.47160E-01 -1.10314E-01
    7718.730    -16.360   0.200  2.92348E-01  3.62692E-01 -1.23762E-01
    7718.816    -16.274   0.250  3.06518E-01  3.86804E-01 -1.39774E-01
    7718.921    -16.169   0.300  3.23907E-01  4.10917E-01 -1.49907E-01
    7719.045    -16.046   0.350  3.49836E-01  4.38832E-01 -1.51182E-01
    7719.187    -15.903   0.400  3.80771E-01  4.66746E-01 -1.44035E-01
    7719.349    -15.741   0.450  4.17639E-01  4.93416E-01 -1.24807E-01
    7719.530    -15.560   0.500  4.58540E-01  5.20087E-01 -9.96857E-02
    7719.730    -15.360   0.550  4.97106E-01  5.43682E-01 -7.39973E-02
    7719.949    -15.141   0.600  5.35375E-01  5.67278E-01 -4.97352E-02
    7720.188    -14.903   0.650  5.62298E-01  5.88328E-01 -3.97432E-02
    7720.445    -14.645   0.700  5.83587E-01  6.09377E-01 -3.85827E-02
    7720.721    -14.369   0.750  5.88292E-01  6.28765E-01 -5.92545E-02
    7721.016    -14.074   0.800  5.85385E-01  6.48153E-01 -8.99727E-02
    7721.330    -13.760   0.850  5.68805E-01  6.66486E-01 -1.37015E-01
    7721.664    -13.426   0.900  5.49751E-01  6.84818E-01 -1.85479E-01
    7722.016    -13.074   0.950  5.28979E-01  7.02321E-01 -2.33054E-01
    7722.388    -12.702   1.000  5.14925E-01  7.19825E-01 -2.69828E-01
    7722.778    -12.312   1.050  5.10682E-01  7.36508E-01 -2.91465E-01
    7723.188    -11.902   1.100  5.16741E-01  7.53192E-01 -2.99221E-01
    7723.616    -11.474   1.150  5.31733E-01  7.68929E-01 -2.94607E-01
    7724.064    -11.026   1.200  5.52026E-01  7.84667E-01 -2.83696E-01
    7724.531    -10.559   1.250  5.72243E-01  7.99293E-01 -2.72241E-01
    7725.017    -10.074   1.300  5.91457E-01  8.13919E-01 -2.62345E-01
    7725.521     -9.569   1.350  6.07534E-01  8.27241E-01 -2.55259E-01
    7726.045     -9.045   1.400  6.23783E-01  8.40562E-01 -2.48184E-01
    7726.588     -8.502   1.450  6.42861E-01  8.52424E-01 -2.36862E-01
    7727.150     -7.940   1.500  6.69327E-01  8.64287E-01 -2.17580E-01
    7727.731     -7.359   1.550  7.05075E-01  8.74602E-01 -1.87178E-01
    7728.331     -6.759   1.600  7.52116E-01  8.84917E-01 -1.45081E-01
    7728.950     -6.140   1.650  8.07507E-01  8.93614E-01 -9.32600E-02
    7729.589     -5.502   1.700  8.68876E-01  9.02312E-01 -3.59044E-02
    7730.246     -4.844   1.750  9.29691E-01  9.09414E-01  2.16286E-02
    7730.922     -4.168   1.800  9.85210E-01  9.16517E-01  7.27901E-02
    7731.617     -3.473   1.850  1.02971E+00  9.22069E-01  1.13512E-01
    7732.332     -2.758   1.900  1.06050E+00  9.27621E-01  1.39452E-01
