# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9500   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=62 Rmt= 1.687 Rnm= 1.707 L3 shell
# # Pot 1 Z=62 Rmt= 1.691 Rnm= 1.712
# # Pot 2 Z=27 Rmt= 1.323 Rnm= 1.374
# # Gam_ch=3.655E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.806E+01 kf=2.114E+00 Vint=-2.753E+01 Rs_int= 1.716
# # PATH  Rmax= 7.920,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 332.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00689    100.00      6.00     2   2.9480
#           2       0.00697     95.41      6.00     2   3.0092
#           3       0.00722     81.56      6.00     2   3.2253
#           4       0.00421     21.75      2.00     2   3.9979
#           5       0.00823      6.85     24.00     3   4.2545
#           6       0.00817      6.60     24.00     3   4.3233
#           7       0.00821      6.06     24.00     3   4.3238
#           8       0.00775     68.03     12.00     2   4.5814
#           9       0.00428     21.46      3.00     2   4.7600
#          10       0.00779     28.26      6.00     2   4.8950
#          11       0.00808     11.39     24.00     3   4.9437
#          12       0.00780     54.20     12.00     2   4.9673
#          13       0.00813     10.07     24.00     3   4.9862
#          14       0.00823      8.07     24.00     3   5.0942
#          15       0.00808     14.34     24.00     3   5.2254
#          16       0.00817     10.18     24.00     3   5.2254
#          17       0.00787     22.03      6.00     2   5.3315
#          18       0.00787     56.83     12.00     3   5.3366
#          19       0.00792     42.37      6.00     4   5.3416
#          20       0.00825      7.15     24.00     3   5.3722
#          22       0.00792     19.51      6.00     2   5.5512
#          23       0.00795     37.37     12.00     3   5.5722
#          24       0.00815     19.17      6.00     4   5.5931
#          25       0.01094      7.72     24.00     3   5.7497
#          27       0.01083      5.26     24.00     3   5.8401
#          28       0.01126      5.53      6.00     3   5.8735
#          29       0.01136      9.11      6.00     4   5.8960
#          31       0.00731      5.12     24.00     3   5.9566
#          32       0.01187      4.29     24.00     4   5.9572
#          38       0.00450     20.19      6.00     2   6.2162
#          39       0.00450     47.13     12.00     3   6.2186
#          41       0.00453     32.33      6.00     4   6.2211
#          42       0.01148      9.83     12.00     3   6.2317
#          43       0.01149     22.02     12.00     4   6.2344
#          46       0.00815     13.13      6.00     2   6.2987
#          48       0.00823     23.10     12.00     2   6.5515
#          50       0.00825     11.21      6.00     2   6.6118
#          52       0.00798      6.39     12.00     3   6.6529
#          53       0.00826     21.95     12.00     2   6.6535
#          54       0.00826     21.83     12.00     2   6.6639
#          55       0.00840      6.97     24.00     3   6.7573
#          56       0.00859      4.92     24.00     3   6.7712
#          57       0.00850      6.25     24.00     3   6.7979
#          58       0.00838      7.72     24.00     3   6.8017
#          59       0.00839      7.27     24.00     3   6.8083
#          60       0.00854      5.36     24.00     3   6.8337
#          61       0.00868      4.03     24.00     3   6.8342
#          62       0.00832      9.81      6.00     2   6.8812
#          64       0.00812      6.16     12.00     3   6.9175
#          65       0.00842      7.81     12.00     3   6.9452
#          68       0.00835      9.24      6.00     2   7.0051
#          70       0.00841     11.93     12.00     3   7.0427
#    52/  59 paths used
#  xsedge+50, used to normalize mu           6.7287E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    6715.983    -18.054   0.050  1.13782E+00  1.33575E+00 -8.14084E-02
    6716.012    -18.026   0.100  1.15002E+00  1.34536E+00 -7.94528E-02
    6716.060    -17.978   0.150  1.18671E+00  1.37445E+00 -7.38286E-02
    6716.126    -17.911   0.200  1.22410E+00  1.40354E+00 -6.83029E-02
    6716.212    -17.826   0.250  1.28603E+00  1.45226E+00 -5.98478E-02
    6716.317    -17.721   0.300  1.34936E+00  1.50098E+00 -5.17848E-02
    6716.441    -17.597   0.350  1.43489E+00  1.56805E+00 -4.22125E-02
    6716.583    -17.454   0.400  1.52151E+00  1.63513E+00 -3.36013E-02
    6716.745    -17.292   0.450  1.62286E+00  1.71622E+00 -2.53769E-02
    6716.926    -17.111   0.500  1.72275E+00  1.79732E+00 -1.87488E-02
    6717.126    -16.911   0.550  1.82377E+00  1.88433E+00 -1.41446E-02
    6717.345    -16.692   0.600  1.91909E+00  1.97133E+00 -1.13947E-02
    6717.584    -16.454   0.650  1.99927E+00  2.05311E+00 -1.13525E-02
    6717.841    -16.197   0.700  2.07196E+00  2.13489E+00 -1.28422E-02
    6718.117    -15.921   0.750  2.11844E+00  2.19933E+00 -1.68482E-02
    6718.412    -15.625   0.800  2.16367E+00  2.26377E+00 -2.12894E-02
    6718.727    -15.311   0.850  2.18456E+00  2.30027E+00 -2.61340E-02
    6719.060    -14.978   0.900  2.21731E+00  2.33676E+00 -2.87622E-02
    6719.412    -14.625   0.950  2.23484E+00  2.33903E+00 -2.70847E-02
    6719.784    -14.254   1.000  2.27125E+00  2.34129E+00 -1.97877E-02
    6720.174    -13.863   1.050  2.29523E+00  2.30992E+00 -4.49386E-03
    6720.584    -13.454   1.100  2.32897E+00  2.27854E+00  1.68195E-02
    6721.013    -13.025   1.150  2.34224E+00  2.22048E+00  4.38571E-02
    6721.460    -12.577   1.200  2.34735E+00  2.16242E+00  7.24030E-02
    6721.927    -12.111   1.250  2.32450E+00  2.08836E+00  9.93683E-02
    6722.413    -11.625   1.300  2.28133E+00  2.01430E+00  1.21453E-01
    6722.918    -11.120   1.350  2.21241E+00  1.93458E+00  1.35041E-01
    6723.441    -10.596   1.400  2.12240E+00  1.85486E+00  1.39630E-01
    6723.984    -10.053   1.450  2.01726E+00  1.77737E+00  1.32941E-01
    6724.546     -9.491   1.500  1.89861E+00  1.69988E+00  1.17387E-01
    6725.127     -8.910   1.550  1.77837E+00  1.62936E+00  9.28334E-02
    6725.727     -8.310   1.600  1.65548E+00  1.55885E+00  6.36943E-02
    6726.347     -7.691   1.650  1.54356E+00  1.49755E+00  3.17670E-02
    6726.985     -7.053   1.700  1.43833E+00  1.43625E+00  1.50697E-03
    6727.642     -6.396   1.750  1.35172E+00  1.38479E+00 -2.49367E-02
    6728.318     -5.719   1.800  1.27576E+00  1.33333E+00 -4.52198E-02
    6729.014     -5.024   1.850  1.21920E+00  1.29136E+00 -5.85255E-02
    6729.728     -4.310   1.900  1.17146E+00  1.24939E+00 -6.53484E-02
    6730.461     -3.576   1.950  1.14192E+00  1.21948E+00 -6.65646E-02
    6731.214     -2.824   2.000  1.11652E+00  1.18958E+00 -6.41960E-02
    6731.985     -2.052   2.050  1.10689E+00  1.17295E+00 -5.91267E-02
    6732.776     -1.262   2.100  1.09845E+00  1.15632E+00 -5.27774E-02
    6733.586     -0.452   2.150  1.09054E+00  1.13970E+00 -4.56832E-02
    6734.414      0.377   2.200  1.08283E+00  1.12307E+00 -3.81366E-02
