# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=39 Rmt= 1.638 Rnm= 1.679 K  shell
# # Pot 1 Z=27 Rmt= 1.373 Rnm= 1.431
# # Pot 2 Z=39 Rmt= 1.731 Rnm= 1.790
# # Gam_ch=4.375E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.622E+01 kf=1.936E+00 Vint=-2.392E+01 Rs_int= 1.873
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.8579
#           2       0.00000    152.50     12.00     2   3.1758
#           3       0.00000     16.42      2.00     2   3.9800
#           4       0.00000     25.99     48.00     3   4.2418
#           5       0.00000     12.08     24.00     3   4.4133
#           6       0.00000     48.05     12.00     2   4.7262
#           7       0.00000     42.81     12.00     2   4.8998
#           8       0.00000     26.12      6.00     2   4.9500
#     8/   8 paths used
#  xsedge+50, used to normalize mu           1.3186E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
   17056.206    -16.218   0.000  2.89137E-01  3.20324E-01 -6.17621E-02
   17056.216    -16.209   0.050  2.91002E-01  3.22040E-01 -6.13668E-02
   17056.245    -16.180   0.100  2.92873E-01  3.23756E-01 -6.09616E-02
   17056.292    -16.133   0.150  2.98511E-01  3.28894E-01 -5.96879E-02
   17056.359    -16.066   0.200  3.04175E-01  3.34032E-01 -5.83750E-02
   17056.445    -15.980   0.250  3.13617E-01  3.42587E-01 -5.61999E-02
   17056.549    -15.875   0.300  3.23005E-01  3.51142E-01 -5.41609E-02
   17056.673    -15.752   0.350  3.35685E-01  3.62955E-01 -5.19371E-02
   17056.816    -15.609   0.400  3.47954E-01  3.74767E-01 -5.05311E-02
   17056.978    -15.447   0.450  3.62120E-01  3.89363E-01 -5.06704E-02
   17057.159    -15.266   0.500  3.75164E-01  4.03959E-01 -5.28657E-02
   17057.359    -15.066   0.550  3.87881E-01  4.20522E-01 -5.90131E-02
   17057.578    -14.847   0.600  3.98581E-01  4.37085E-01 -6.85671E-02
   17057.816    -14.609   0.650  4.06560E-01  4.54652E-01 -8.41827E-02
   17058.073    -14.351   0.700  4.11870E-01  4.72218E-01 -1.03869E-01
   17058.350    -14.075   0.750  4.13128E-01  4.89996E-01 -1.29863E-01
   17058.645    -13.780   0.800  4.11733E-01  5.07775E-01 -1.59317E-01
   17058.959    -13.466   0.850  4.06183E-01  5.25308E-01 -1.93759E-01
   17059.293    -13.132   0.900  3.99002E-01  5.42842E-01 -2.29484E-01
   17059.645    -12.780   0.950  3.89149E-01  5.59969E-01 -2.67021E-01
   17060.016    -12.408   1.000  3.79862E-01  5.77096E-01 -3.02203E-01
   17060.407    -12.018   1.050  3.70919E-01  5.93811E-01 -3.34478E-01
   17060.816    -11.608   1.100  3.65962E-01  6.10525E-01 -3.59590E-01
   17061.245    -11.180   1.150  3.65816E-01  6.26864E-01 -3.75880E-01
