# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.311 Rnm= 1.361 K  shell
# # Pot 1 Z=58 Rmt= 1.689 Rnm= 1.715
# # Pot 2 Z=27 Rmt= 1.340 Rnm= 1.390
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.791E+01 kf=2.070E+00 Vint=-2.711E+01 Rs_int= 1.752
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.3941
#           2       0.00000     99.05      4.00     2   2.4057
#           3       0.00000     44.09      2.00     2   2.5499
#           4       0.00000     44.14      2.00     2   3.1419
#           5       0.00000      7.09      8.00     3   3.6584
#           6       0.00000     33.72      4.00     2   3.9268
#           7       0.00000     16.14      2.00     2   3.9981
#           8       0.00000     15.67      2.00     2   4.0477
#           9       0.00000     29.26      4.00     2   4.1624
#          10       0.00000      9.43      8.00     3   4.3242
#          11       0.00000      8.91      8.00     3   4.4180
#          12       0.00000      6.47      8.00     3   4.4332
#          13       0.00000      6.57      8.00     3   4.4434
#          14       0.00000      9.33      8.00     3   4.4869
#          15       0.00000     23.79      4.00     2   4.5223
#          16       0.00000     23.49      4.00     2   4.5446
#          17       0.00000      5.73      8.00     3   4.5554
#          18       0.00000      5.84      8.00     3   4.5854
#          19       0.00000     37.13      4.00     2   4.6284
#          20       0.00000     10.49      8.00     3   4.7389
#          21       0.00000     10.80      8.00     3   4.7442
#          22       0.00000     11.38      4.00     3   4.7883
#          23       0.00000     10.74      4.00     4   4.7883
#          24       0.00000      5.53      4.00     4   4.7883
#          25       0.00000     10.21      2.00     2   4.8004
#          26       0.00000     11.18      4.00     3   4.8114
#          27       0.00000     10.52      4.00     4   4.8114
#          28       0.00000      5.41      4.00     4   4.8114
#          29       0.00000     20.25      4.00     2   4.8148
#          30       0.00000     38.74      8.00     3   4.8311
#          31       0.00000     22.22      4.00     4   4.8474
#          32       0.00000     19.69      4.00     2   4.8671
#          33       0.00000     34.42      8.00     3   4.8891
#          34       0.00000     17.28      4.00     4   4.9110
#          35       0.00000      4.57      4.00     3   4.9800
#          36       0.00000     10.86      8.00     3   4.9875
#          37       0.00000     17.73      4.00     2   5.0659
#          38       0.00000      4.54      2.00     3   5.0998
#          39       0.00000      4.10      2.00     4   5.0998
#          41       0.00000      5.03      8.00     3   5.1195
#          42       0.00000      4.99      8.00     3   5.1305
#          43       0.00000     12.96      8.00     3   5.1408
#          45       0.00000      7.26      2.00     2   5.4577
#          46       0.00000     13.94      4.00     2   5.5403
#          47       0.00000      7.46      4.00     3   5.7379
#          48       0.00000     24.50      8.00     2   5.8060
#          49       0.00000     12.74      8.00     3   5.8484
#          50       0.00000     14.08      8.00     3   6.0448
#          52       0.00000      4.33      8.00     3   6.0635
#          54       0.00000      5.20      2.00     2   6.1571
#          55       0.00000     23.29      4.00     3   6.1579
#          56       0.00000     26.33      2.00     4   6.1587
#          57       0.00000     10.34      4.00     2   6.1683
#          58       0.00000      5.13      8.00     3   6.1696
#          59       0.00000      5.85      8.00     3   6.1972
#          60       0.00000     10.17      4.00     2   6.2048
#          61       0.00000      4.69      8.00     3   6.2097
#          62       0.00000      4.19      8.00     3   6.2689
#          63       0.00000      6.17      2.00     3   6.2837
#          66       0.00000      4.44      4.00     4   6.2837
#          67       0.00000      4.51      8.00     3   6.2954
#          68       0.00000      9.69      4.00     2   6.3109
#          70       0.00000      5.59      8.00     3   6.3233
#          71       0.00000      4.55      8.00     3   6.3233
#          73       0.00000      9.48      4.00     2   6.3592
#          74       0.00000      9.43      4.00     2   6.3700
#          75       0.00000      8.64      8.00     3   6.3725
#          76       0.00000      4.66      2.00     2   6.3989
#          77       0.00000      9.27      4.00     2   6.4097
#          78       0.00000      9.24      4.00     2   6.4151
#          79       0.00000      5.49      8.00     3   6.4636
#          80       0.00000      4.56      8.00     3   6.4637
#          81       0.00000      4.75      8.00     3   6.4774
#          82       0.00000      4.84      8.00     3   6.5180
#          83       0.00000      7.48      2.00     2   6.5299
#          85       0.00000      4.45      8.00     3   6.5637
#    76/  82 paths used
#  xsedge+50, used to normalize mu           2.8928E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.745    -17.915   0.000  5.71490E-01  3.31911E-01  4.04165E-01
    7719.755    -17.905   0.050  5.77114E-01  3.37345E-01  4.03789E-01
    7719.783    -17.877   0.100  5.82662E-01  3.42779E-01  4.03289E-01
    7719.831    -17.829   0.150  5.98759E-01  3.58879E-01  4.01255E-01
    7719.898    -17.762   0.200  6.14139E-01  3.74978E-01  3.98049E-01
    7719.983    -17.676   0.250  6.36459E-01  3.99848E-01  3.90591E-01
    7720.088    -17.572   0.300  6.56669E-01  4.24717E-01  3.79801E-01
    7720.212    -17.448   0.350  6.75452E-01  4.53196E-01  3.59932E-01
    7720.355    -17.305   0.400  6.90096E-01  4.81674E-01  3.33865E-01
    7720.517    -17.143   0.450  6.93495E-01  5.08336E-01  2.92647E-01
    7720.698    -16.962   0.500  6.90735E-01  5.34998E-01  2.42906E-01
    7720.898    -16.762   0.550  6.70197E-01  5.57932E-01  1.72439E-01
    7721.117    -16.543   0.600  6.42545E-01  5.80866E-01  9.33192E-02
    7721.355    -16.305   0.650  5.93425E-01  6.00696E-01 -1.08189E-02
    7721.612    -16.048   0.700  5.38685E-01  6.20526E-01 -1.19795E-01
    7721.888    -15.772   0.750  4.64381E-01  6.38306E-01 -2.50160E-01
    7722.184    -15.476   0.800  3.95978E-01  6.56087E-01 -3.67729E-01
    7722.498    -15.162   0.850  3.36467E-01  6.72575E-01 -4.66767E-01
    7722.831    -14.829   0.900  2.92527E-01  6.89063E-01 -5.41113E-01
    7723.184    -14.476   0.950  2.52130E-01  7.04634E-01 -6.06671E-01
    7723.555    -14.105   1.000  2.25477E-01  7.20206E-01 -6.51861E-01
    7723.946    -13.714   1.050  2.09220E-01  7.35006E-01 -6.81011E-01
    7724.355    -13.305   1.100  2.13717E-01  7.49806E-01 -6.82754E-01
    7724.784    -12.876   1.150  2.40017E-01  7.63810E-01 -6.56387E-01
    7725.232    -12.428   1.200  2.88488E-01  7.77814E-01 -6.03509E-01
    7725.698    -11.962   1.250  3.58177E-01  7.90953E-01 -5.25805E-01
    7726.184    -11.476   1.300  4.41411E-01  8.04093E-01 -4.34171E-01
    7726.689    -10.971   1.350  5.33127E-01  8.16232E-01 -3.34329E-01
    7727.213    -10.447   1.400  6.22248E-01  8.28370E-01 -2.40172E-01
    7727.756     -9.904   1.450  7.02247E-01  8.39414E-01 -1.57905E-01
    7728.318     -9.342   1.500  7.66058E-01  8.50458E-01 -9.60063E-02
    7728.899     -8.761   1.550  8.11291E-01  8.60320E-01 -5.51900E-02
    7729.499     -8.161   1.600  8.39687E-01  8.70183E-01 -3.39735E-02
    7730.118     -7.542   1.650  8.55496E-01  8.78794E-01 -2.57263E-02
    7730.756     -6.904   1.700  8.66560E-01  8.87405E-01 -2.28158E-02
    7731.413     -6.247   1.750  8.79568E-01  8.94758E-01 -1.65057E-02
    7732.089     -5.570   1.800  9.00200E-01  9.02111E-01 -2.06209E-03
    7732.785     -4.875   1.850  9.30418E-01  9.08219E-01  2.38112E-02
    7733.499     -4.161   1.900  9.67844E-01  9.14326E-01  5.70757E-02
    7734.233     -3.427   1.950  1.00735E+00  9.19164E-01  9.36404E-02
    7734.985     -2.675   2.000  1.04119E+00  9.24002E-01  1.23892E-01
    7735.757     -1.903   2.050  1.06429E+00  9.27280E-01  1.44473E-01
    7736.547     -1.113   2.100  1.07025E+00  9.30558E-01  1.46927E-01
    7737.357     -0.303   2.150  1.05935E+00  9.33836E-01  1.31681E-01
    7738.185      0.526   2.200  1.03608E+00  9.37114E-01  1.03563E-01
    7739.033      1.373   2.250  1.00210E+00  9.38301E-01  6.67654E-02
    7739.900      2.240   2.300  9.69603E-01  9.39488E-01  3.15215E-02
    7740.786      3.126   2.350  9.46993E-01  9.40675E-01  6.61416E-03
    7741.691      4.031   2.400  9.37985E-01  9.41862E-01 -4.05885E-03
    7742.615      4.955   2.450  9.43983E-01  9.45397E-01 -1.48103E-03
    7743.558      5.898   2.500  9.54585E-01  9.48931E-01  5.92288E-03
    7744.520      6.860   2.550  9.64376E-01  9.52466E-01  1.24800E-02
    7745.501      7.841   2.600  9.70100E-01  9.56001E-01  1.47787E-02
    7746.501      8.841   2.650  9.70399E-01  9.58841E-01  1.20926E-02
    7747.520      9.860   2.700  9.68326E-01  9.61680E-01  6.93948E-03
    7748.558     10.898   2.750  9.65045E-01  9.64520E-01  5.46811E-04
    7749.615     11.956   2.800  9.62074E-01  9.67360E-01 -5.49914E-03
    7750.692     13.032   2.850  9.57178E-01  9.69311E-01 -1.25902E-02
    7751.787     14.127   2.900  9.54571E-01  9.71263E-01 -1.72776E-02
