# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  6.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=57 Rmt= 1.927 Rnm= 1.936 L3 shell
# # Pot 1 Z=26 Rmt= 1.392 Rnm= 1.454
# # Pot 2 Z=14 Rmt= 1.374 Rnm= 1.433
# # Pot 3 Z=57 Rmt= 1.969 Rnm= 1.987
# # Gam_ch=3.160E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.601E+01 kf=2.008E+00 Vint=-2.347E+01 Rs_int= 1.806
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.800  Temp=  20.00  Debye_temp= 370.00  Global_sig2= 0.00150
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00392    100.00     15.00     2   3.3344
#           2       0.00565     16.02      2.00     2   3.3344
#           3       0.00426      4.65     20.00     3   4.5286
#           5       0.00390      9.58      4.00     2   4.9796
#           6       0.00388     22.89     11.00     2   5.2204
#           7       0.00406      4.54     22.00     3   5.5696
#           8       0.00285      7.35      4.00     2   5.7500
#           9       0.00388     11.43      8.00     2   5.8871
#          10       0.00388     21.74     14.00     3   5.8927
#          11       0.00560      4.81      4.00     3   5.8927
#          12       0.00389      4.22      2.00     3   5.8927
#          13       0.00390     15.11      7.00     4   5.8982
#    12/  14 paths used
#  xsedge+50, used to normalize mu           8.8563E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    5487.136    -15.999   0.050  1.19844E+00  1.42574E+00 -1.11664E-01
    5487.164    -15.970   0.100  1.21119E+00  1.43792E+00 -1.09671E-01
    5487.212    -15.923   0.150  1.24957E+00  1.47504E+00 -1.03889E-01
    5487.279    -15.856   0.200  1.28925E+00  1.51215E+00 -9.80586E-02
    5487.364    -15.770   0.250  1.35462E+00  1.57472E+00 -8.90089E-02
    5487.469    -15.666   0.300  1.42357E+00  1.63728E+00 -7.99715E-02
    5487.593    -15.542   0.350  1.51540E+00  1.72378E+00 -6.89034E-02
    5487.736    -15.399   0.400  1.61394E+00  1.81027E+00 -5.81522E-02
    5487.898    -15.237   0.450  1.72691E+00  1.91455E+00 -4.71645E-02
    5488.079    -15.056   0.500  1.84956E+00  2.01882E+00 -3.69516E-02
    5488.279    -14.856   0.550  1.97278E+00  2.12837E+00 -2.85785E-02
    5488.498    -14.637   0.600  2.10456E+00  2.23792E+00 -2.11433E-02
    5488.736    -14.399   0.650  2.22157E+00  2.33422E+00 -1.67198E-02
    5488.993    -14.142   0.700  2.34025E+00  2.43051E+00 -1.25940E-02
    5489.269    -13.865   0.750  2.42647E+00  2.49220E+00 -1.00086E-02
    5489.565    -13.570   0.800  2.51620E+00  2.55389E+00 -6.31610E-03
    5489.879    -13.256   0.850  2.55954E+00  2.56428E+00 -9.09338E-04
    5490.212    -12.922   0.900  2.60792E+00  2.57468E+00  7.44328E-03
    5490.565    -12.570   0.950  2.61044E+00  2.53011E+00  2.04029E-02
    5490.936    -12.198   1.000  2.61364E+00  2.48553E+00  3.75850E-02
    5491.327    -11.808   1.050  2.57828E+00  2.39784E+00  5.91585E-02
    5491.736    -11.398   1.100  2.53297E+00  2.31015E+00  8.27824E-02
    5492.165    -10.970   1.150  2.45638E+00  2.19997E+00  1.05067E-01
    5492.613    -10.522   1.200  2.35923E+00  2.08979E+00  1.23079E-01
    5493.079    -10.055   1.250  2.24095E+00  1.97638E+00  1.31742E-01
    5493.565     -9.570   1.300  2.10130E+00  1.86297E+00  1.30427E-01
    5494.070     -9.065   1.350  1.95672E+00  1.75888E+00  1.16724E-01
    5494.594     -8.541   1.400  1.80090E+00  1.65480E+00  9.34974E-02
    5495.137     -7.998   1.450  1.65738E+00  1.56576E+00  6.25205E-02
    5495.699     -7.436   1.500  1.51514E+00  1.47673E+00  2.80737E-02
