# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  4.9750   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.348 Rnm= 1.400 K  shell
# # Pot 1 Z=62 Rmt= 1.705 Rnm= 1.772
# # Pot 2 Z=27 Rmt= 1.348 Rnm= 1.404
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.729E+01 kf=2.019E+00 Vint=-2.508E+01 Rs_int= 1.796
# # PATH  Rmax= 4.975,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.900  Temp= 290.00  Debye_temp= 331.00  Global_sig2= 0.00200
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00994    100.00      1.00     2   2.4562
#           2       0.00994     98.62      1.00     2   2.4562
#           3       0.00994      8.32      1.00     2   2.4562
#           4       0.00994      8.36      1.00     2   2.4562
#           5       0.00994     35.98      1.00     2   2.4562
#           6       0.00994     34.27      1.00     2   2.4562
#           7       0.00854     40.21      1.00     2   2.7727
#           8       0.00854     38.45      1.00     2   2.7727
#           9       0.01094      5.32      1.00     2   2.7727
#          10       0.01094     30.05      1.00     2   2.7727
#          11       0.01094     28.87      1.00     2   2.7727
#          14       0.01087      9.89      2.00     3   3.6569
#          15       0.01087      9.78      2.00     3   3.6568
#          16       0.01087      4.79      2.00     3   3.6568
#          17       0.01087      4.66      2.00     3   3.6569
#          23       0.01136      7.59      2.00     3   3.8426
#          24       0.01136      7.39      2.00     3   3.8426
#          26       0.01278     31.17      1.00     2   4.0265
#          28       0.01279     34.58      2.00     2   4.0551
#          30       0.01284     28.75      1.00     2   4.1911
#          31       0.01284     28.53      1.00     2   4.1911
#          36       0.01284     17.85      1.00     2   4.1911
#          37       0.01284     17.16      1.00     2   4.1911
#          40       0.01284      9.33      1.00     2   4.1911
#          41       0.01284      8.70      1.00     2   4.1911
#          45       0.01266      5.24      2.00     3   4.4838
#          46       0.01266      5.20      2.00     3   4.4838
#          51       0.01272      7.93      2.00     3   4.5243
#          52       0.01272      7.85      2.00     3   4.5243
#          55       0.01272      5.79      2.00     3   4.5243
#          56       0.01272      5.63      2.00     3   4.5243
#          63       0.01296     21.47      2.00     2   4.8025
#          64       0.01296      4.50      2.00     2   4.8025
#          65       0.01296      5.08      2.00     2   4.8025
#          66       0.01292     10.20      2.00     3   4.8126
#          67       0.01292      9.94      2.00     3   4.8126
#          71       0.01292     15.92      2.00     3   4.8126
#          73       0.01184      8.17      2.00     3   4.8595
#          74       0.00982     27.35      1.00     2   4.9124
#          75       0.01298     18.20      1.00     2   4.9124
#          76       0.01298     17.96      1.00     2   4.9124
#          78       0.00982     10.75      1.00     2   4.9124
#          79       0.00982     10.29      1.00     2   4.9124
#          82       0.01298      7.16      1.00     2   4.9124
#          83       0.01298      6.86      1.00     2   4.9124
#          84       0.01298     39.34      2.00     3   4.9124
#          85       0.01298     38.85      2.00     3   4.9124
#          88       0.01298     16.25      2.00     3   4.9124
#          89       0.01298     15.62      2.00     3   4.9124
#          96       0.03378      4.61      1.00     4   4.9124
#          97       0.03378      4.55      1.00     4   4.9124
#          98       0.01298     32.29      1.00     4   4.9124
#          99       0.01298     31.87      1.00     4   4.9124
#         106       0.01298     13.10      1.00     4   4.9124
#         107       0.01298     12.59      1.00     4   4.9124
#         110       0.01006      6.49      2.00     3   4.9280
#         111       0.01006      6.36      2.00     3   4.9280
#    57/  75 paths used
#  xsedge+50, used to normalize mu           2.8989E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7718.809    -17.287   0.000  2.91824E-01  3.14895E-01 -4.22314E-02
    7718.819    -17.278   0.050  3.00069E-01  3.19988E-01 -3.63806E-02
    7718.847    -17.249   0.100  3.08319E-01  3.25081E-01 -3.05471E-02
    7718.895    -17.202   0.150  3.32594E-01  3.40282E-01 -1.39188E-02
    7718.961    -17.135   0.200  3.56853E-01  3.55483E-01  2.46318E-03
    7719.047    -17.049   0.250  3.94062E-01  3.79103E-01  2.66210E-02
    7719.152    -16.944   0.300  4.30974E-01  4.02723E-01  4.97518E-02
    7719.276    -16.821   0.350  4.74064E-01  4.30083E-01  7.63573E-02
    7719.419    -16.678   0.400  5.16185E-01  4.57444E-01  1.00562E-01
    7719.581    -16.516   0.450  5.58641E-01  4.83615E-01  1.26247E-01
    7719.762    -16.335   0.500  5.98922E-01  5.09786E-01  1.47468E-01
    7719.962    -16.135   0.550  6.36759E-01  5.33004E-01  1.68335E-01
    7720.181    -15.916   0.600  6.70457E-01  5.56223E-01  1.81820E-01
    7720.419    -15.678   0.650  6.98051E-01  5.76981E-01  1.88676E-01
    7720.676    -15.420   0.700  7.19011E-01  5.97740E-01  1.85124E-01
    7720.952    -15.144   0.750  7.29544E-01  6.16945E-01  1.68156E-01
    7721.247    -14.849   0.800  7.31012E-01  6.36151E-01  1.38658E-01
    7721.562    -14.535   0.850  7.18243E-01  6.54370E-01  9.13204E-02
    7721.895    -14.201   0.900  6.95524E-01  6.72589E-01  3.20889E-02
    7722.248    -13.849   0.950  6.57772E-01  6.90066E-01 -4.42157E-02
    7722.619    -13.477   1.000  6.13157E-01  7.07543E-01 -1.26519E-01
    7723.010    -13.087   1.050  5.59511E-01  7.24275E-01 -2.16342E-01
    7723.419    -12.677   1.100  5.07967E-01  7.41008E-01 -2.99860E-01
    7723.848    -12.249   1.150  4.60694E-01  7.56883E-01 -3.73838E-01
    7724.295    -11.801   1.200  4.27457E-01  7.72759E-01 -4.27660E-01
    7724.762    -11.334   1.250  4.11779E-01  7.87592E-01 -4.57360E-01
    7725.248    -10.848   1.300  4.17049E-01  8.02426E-01 -4.60987E-01
    7725.753    -10.344   1.350  4.42761E-01  8.16018E-01 -4.39578E-01
    7726.277     -9.820   1.400  4.85766E-01  8.29610E-01 -3.98767E-01
    7726.820     -9.277   1.450  5.40698E-01  8.41802E-01 -3.44506E-01
    7727.382     -8.715   1.500  6.02529E-01  8.53993E-01 -2.83896E-01
    7727.963     -8.134   1.550  6.65239E-01  8.64679E-01 -2.22613E-01
    7728.563     -7.534   1.600  7.26142E-01  8.75364E-01 -1.64696E-01
    7729.182     -6.915   1.650  7.82195E-01  8.84456E-01 -1.11822E-01
    7729.820     -6.276   1.700  8.33830E-01  8.93549E-01 -6.47046E-02
    7730.477     -5.619   1.750  8.80860E-01  9.01050E-01 -2.17181E-02
    7731.153     -4.943   1.800  9.25063E-01  9.08551E-01  1.76342E-02
    7731.849     -4.248   1.850  9.66257E-01  9.14476E-01  5.50059E-02
    7732.563     -3.533   1.900  1.00557E+00  9.20400E-01  8.99995E-02
    7733.297     -2.800   1.950  1.04077E+00  9.24751E-01  1.22159E-01
    7734.049     -2.047   2.000  1.07215E+00  9.29102E-01  1.50085E-01
    7734.821     -1.276   2.050  1.09647E+00  9.31242E-01  1.73166E-01
    7735.611     -0.485   2.100  1.11156E+00  9.33381E-01  1.86538E-01
    7736.421      0.324   2.150  1.11544E+00  9.35520E-01  1.88163E-01
    7737.249      1.153   2.200  1.10720E+00  9.37659E-01  1.77117E-01
    7738.097      2.001   2.250  1.08322E+00  9.37137E-01  1.52881E-01
    7738.964      2.867   2.300  1.04943E+00  9.36616E-01  1.18279E-01
